# _root_ " ekintza guztietan material asko kendu digute , telefono mobilak , mendiko materiala ... portugalen kendu zizkiguten hiru furgonetak ez dizkigute itzuli " .
#goldHeads=0,6,2,6,4,8,6,0,11,9,4,13,11,13,16,19,16,19,22,22,22,8,22,23,
#predictedHeads=0,6,2,6,4,0,6,7,6,9,10,13,6,13,16,19,16,19,22,22,22,9,22,23,
(0,1),0.850807 # DEPENDENCYPART_ARC
(0,2),-0.53963 # DEPENDENCYPART_ARC
(0,3),-1.42834 # DEPENDENCYPART_ARC
(0,4),-0.606965 # DEPENDENCYPART_ARC
(0,5),-1.39711 # DEPENDENCYPART_ARC
(0,6),-0.0587241 # DEPENDENCYPART_ARC
(0,7),-0.601025 # DEPENDENCYPART_ARC
(0,8),-0.643547 # DEPENDENCYPART_ARC
(0,9),-0.827002 # DEPENDENCYPART_ARC
(0,11),-0.528343 # DEPENDENCYPART_ARC
(0,12),-0.876204 # DEPENDENCYPART_ARC
(0,13),-0.675116 # DEPENDENCYPART_ARC
(0,15),-1.26405 # DEPENDENCYPART_ARC
(0,16),-0.199959 # DEPENDENCYPART_ARC
(0,17),-0.558013 # DEPENDENCYPART_ARC
(0,18),-1.07471 # DEPENDENCYPART_ARC
(0,19),-1.19944 # DEPENDENCYPART_ARC
(0,20),-0.933717 # DEPENDENCYPART_ARC
(0,21),-0.825041 # DEPENDENCYPART_ARC
(0,22),-0.849954 # DEPENDENCYPART_ARC
(0,23),-2.23804 # DEPENDENCYPART_ARC
(0,24),-1.73368 # DEPENDENCYPART_ARC
(1,2),-1.38991 # DEPENDENCYPART_ARC
(1,6),-1.85999 # DEPENDENCYPART_ARC
(2,1),-0.567117 # DEPENDENCYPART_ARC
(2,3),1.6736 # DEPENDENCYPART_ARC
(2,4),-0.66837 # DEPENDENCYPART_ARC
(2,5),0.40419 # DEPENDENCYPART_ARC
(2,7),-1.03403 # DEPENDENCYPART_ARC
(2,18),-1.43868 # DEPENDENCYPART_ARC
