# _root_ " garai benetan korapilatsu eta zailak bizitzen ari_gara , eta ezin_dugu horrela bizitzen jarraitu , elkarrekin bizitzen ikasi behar_dugu .
#goldHeads=0,7,4,5,2,5,8,10,8,0,10,13,14,11,14,17,18,19,10,19,
#predictedHeads=0,7,4,5,2,5,8,10,8,0,10,11,14,11,14,17,18,19,0,19,
(0,1),0.850807 # DEPENDENCYPART_ARC
(0,2),-0.561982 # DEPENDENCYPART_ARC
(0,3),-0.551493 # DEPENDENCYPART_ARC
(0,4),-0.966729 # DEPENDENCYPART_ARC
(0,5),-0.285988 # DEPENDENCYPART_ARC
(0,7),-0.650292 # DEPENDENCYPART_ARC
(0,8),0.116557 # DEPENDENCYPART_ARC
(0,9),-0.439693 # DEPENDENCYPART_ARC
(0,10),0.827533 # DEPENDENCYPART_ARC
(0,11),0.64859 # DEPENDENCYPART_ARC
(0,12),-0.43619 # DEPENDENCYPART_ARC
(0,13),-0.86587 # DEPENDENCYPART_ARC
(0,14),-0.668523 # DEPENDENCYPART_ARC
(0,15),-0.164891 # DEPENDENCYPART_ARC
(0,17),-0.773239 # DEPENDENCYPART_ARC
(0,18),-0.0189874 # DEPENDENCYPART_ARC
(0,19),0.636284 # DEPENDENCYPART_ARC
(0,20),-0.868793 # DEPENDENCYPART_ARC
(2,1),-0.572156 # DEPENDENCYPART_ARC
(2,3),0.117297 # DEPENDENCYPART_ARC
(2,4),-0.109117 # DEPENDENCYPART_ARC
(2,5),-0.294871 # DEPENDENCYPART_ARC
(2,6),-0.33434 # DEPENDENCYPART_ARC
(3,2),-0.358945 # DEPENDENCYPART_ARC
(3,4),-0.35801 # DEPENDENCYPART_ARC
(3,9),-0.655673 # DEPENDENCYPART_ARC
(3,12),-1.12809 # DEPENDENCYPART_ARC
(4,2),-0.735671 # DEPENDENCYPART_ARC
(4,3),0.592326 # DEPENDENCYPART_ARC
(4,6),-0.649505 # DEPENDENCYPART_ARC
(5,2),-0.304204 # DEPENDENCYPART_ARC
(5,3),-0.216182 # DEPENDENCYPART_ARC
(5,4),1.41348 # DEPENDENCYPART_ARC
(5,6),1.47145 # DEPENDENCYPART_ARC
(5,7),-0.209553 # DEPENDENCYPART_ARC
(5,8),0.25534 # DEPENDENCYPART_ARC
(5,9),-0.526894 # DEPENDENCYPART_ARC
(5,10),-0.328367 # DEPENDENCYPART_ARC
(5,11),0.138974 # DEPENDENCYPART_ARC
(5,13),-0.456667 # DEPENDENCYPART_ARC
(5,14),-0.763692 # DEPENDENCYPART_ARC
(5,17),-0.760216 # DEPENDENCYPART_ARC
(5,18),-0.975454 # DEPENDENCYPART_ARC
(5,19),-0.473192 # DEPENDENCYPART_ARC
(6,7),-0.753744 # DEPENDENCYPART_ARC
(6,9),-0.455712 # DEPENDENCYPART_ARC
(7,2),0.200166 # DEPENDENCYPART_ARC
(7,3),-0.221538 # DEPENDENCYPART_ARC
(7,4),-0.464479 # DEPENDENCYPART_ARC
(7,5),-0.179802 # DEPENDENCYPART_ARC
(7,6),0.420832 # DEPENDENCYPART_ARC
(7,8),0.0747092 # DEPENDENCYPART_ARC
(7,9),-0.384496 # DEPENDENCYPART_ARC
(7,10),-0.795 # DEPENDENCYPART_ARC
(7,11),-1.63219 # DEPENDENCYPART_ARC
(7,12),-1.13105 # DEPENDENCYPART_ARC
(7,15),-1.06801 # DEPENDENCYPART_ARC
(8,2),-0.379186 # DEPENDENCYPART_ARC
(8,3),-0.178085 # DEPENDENCYPART_ARC
(8,4),-0.527438 # DEPENDENCYPART_ARC
(8,5),-0.187267 # DEPENDENCYPART_ARC
(8,6),-0.37869 # DEPENDENCYPART_ARC
(8,7),2.19026 # DEPENDENCYPART_ARC
(8,9),1.41183 # DEPENDENCYPART_ARC
(8,10),-0.661334 # DEPENDENCYPART_ARC
(8,11),-1.39968 # DEPENDENCYPART_ARC
(8,13),-0.532267 # DEPENDENCYPART_ARC
(8,14),-0.314502 # DEPENDENCYPART_ARC
(8,17),-0.730041 # DEPENDENCYPART_ARC
(8,18),-1.33711 # DEPENDENCYPART_ARC
(8,19),-1.86862 # DEPENDENCYPART_ARC
(9,7),-0.940787 # DEPENDENCYPART_ARC
(9,8),-0.361459 # DEPENDENCYPART_ARC
(10,2),-1.04379 # DEPENDENCYPART_ARC
(10,3),-0.763696 # DEPENDENCYPART_ARC
(10,5),-0.459393 # DEPENDENCYPART_ARC
(10,6),-0.599888 # DEPENDENCYPART_ARC
(10,7),-0.0422081 # DEPENDENCYPART_ARC
(10,8),0.939825 # DEPENDENCYPART_ARC
(10,9),-0.336513 # DEPENDENCYPART_ARC
(10,11),1.43752 # DEPENDENCYPART_ARC
(10,12),-0.804804 # DEPENDENCYPART_ARC
(10,13),0.107925 # DEPENDENCYPART_ARC
(10,14),-0.193536 # DEPENDENCYPART_ARC
(10,15),-0.671699 # DEPENDENCYPART_ARC
(10,17),-0.320359 # DEPENDENCYPART_ARC
(10,18),-0.432472 # DEPENDENCYPART_ARC
(10,19),0.0801354 # DEPENDENCYPART_ARC
(11,2),-1.54951 # DEPENDENCYPART_ARC
(11,8),-1.86329 # DEPENDENCYPART_ARC
(11,10),-0.59477 # DEPENDENCYPART_ARC
(11,12),0.761108 # DEPENDENCYPART_ARC
(11,13),-0.239799 # DEPENDENCYPART_ARC
(11,14),0.0337979 # DEPENDENCYPART_ARC
(11,17),-0.711519 # DEPENDENCYPART_ARC
(11,18),-1.41826 # DEPENDENCYPART_ARC
(11,19),-2.27968 # DEPENDENCYPART_ARC
(12,11),-0.344052 # DEPENDENCYPART_ARC
(12,13),-0.308487 # DEPENDENCYPART_ARC
(12,15),-0.779457 # DEPENDENCYPART_ARC
(13,2),-0.526934 # DEPENDENCYPART_ARC
(13,3),-0.977935 # DEPENDENCYPART_ARC
(13,4),-1.14012 # DEPENDENCYPART_ARC
(13,5),-0.40453 # DEPENDENCYPART_ARC
(13,6),-1.19732 # DEPENDENCYPART_ARC
(13,7),0.171567 # DEPENDENCYPART_ARC
(13,8),-1.13886 # DEPENDENCYPART_ARC
(13,9),-1.26313 # DEPENDENCYPART_ARC
(13,10),-0.42437 # DEPENDENCYPART_ARC
(13,11),-0.532863 # DEPENDENCYPART_ARC
(13,12),0.75275 # DEPENDENCYPART_ARC
(13,14),0.428086 # DEPENDENCYPART_ARC
(13,15),-0.229496 # DEPENDENCYPART_ARC
(13,17),-0.573056 # DEPENDENCYPART_ARC
(13,18),-1.4592 # DEPENDENCYPART_ARC
(13,19),-1.24402 # DEPENDENCYPART_ARC
(14,2),-1.0925 # DEPENDENCYPART_ARC
(14,3),-1.05293 # DEPENDENCYPART_ARC
(14,4),-1.00341 # DEPENDENCYPART_ARC
(14,5),-0.0517906 # DEPENDENCYPART_ARC
(14,6),-0.974761 # DEPENDENCYPART_ARC
(14,7),-0.107201 # DEPENDENCYPART_ARC
(14,8),-0.885947 # DEPENDENCYPART_ARC
(14,9),-1.27853 # DEPENDENCYPART_ARC
(14,10),-0.108462 # DEPENDENCYPART_ARC
(14,11),-0.377016 # DEPENDENCYPART_ARC
(14,12),0.0772274 # DEPENDENCYPART_ARC
(14,13),1.26076 # DEPENDENCYPART_ARC
(14,15),1.21144 # DEPENDENCYPART_ARC
(14,17),-0.266778 # DEPENDENCYPART_ARC
(14,18),-0.354176 # DEPENDENCYPART_ARC
(14,19),-1.09163 # DEPENDENCYPART_ARC
(15,14),-0.340927 # DEPENDENCYPART_ARC
(15,17),-0.876403 # DEPENDENCYPART_ARC
(15,19),-0.827908 # DEPENDENCYPART_ARC
(17,4),-1.09638 # DEPENDENCYPART_ARC
(17,5),-0.406799 # DEPENDENCYPART_ARC
(17,6),-1.30347 # DEPENDENCYPART_ARC
(17,7),-0.017798 # DEPENDENCYPART_ARC
(17,8),-1.49699 # DEPENDENCYPART_ARC
(17,9),-1.17476 # DEPENDENCYPART_ARC
(17,10),-0.530042 # DEPENDENCYPART_ARC
(17,11),-1.47945 # DEPENDENCYPART_ARC
(17,12),-0.714542 # DEPENDENCYPART_ARC
(17,13),0.124142 # DEPENDENCYPART_ARC
(17,14),-0.00709364 # DEPENDENCYPART_ARC
(17,15),-0.82962 # DEPENDENCYPART_ARC
(17,16),1.54912 # DEPENDENCYPART_ARC
(17,18),-0.276298 # DEPENDENCYPART_ARC
(17,19),-0.81349 # DEPENDENCYPART_ARC
(18,4),-1.1628 # DEPENDENCYPART_ARC
(18,5),-0.203243 # DEPENDENCYPART_ARC
(18,6),-1.20349 # DEPENDENCYPART_ARC
(18,8),-1.13221 # DEPENDENCYPART_ARC
(18,10),-0.347761 # DEPENDENCYPART_ARC
(18,11),-0.88612 # DEPENDENCYPART_ARC
(18,12),-0.985958 # DEPENDENCYPART_ARC
(18,13),-0.106179 # DEPENDENCYPART_ARC
(18,14),-0.293007 # DEPENDENCYPART_ARC
(18,15),-1.09096 # DEPENDENCYPART_ARC
(18,16),0.49791 # DEPENDENCYPART_ARC
(18,17),1.47844 # DEPENDENCYPART_ARC
(18,19),-0.328848 # DEPENDENCYPART_ARC
(18,20),-0.201998 # DEPENDENCYPART_ARC
(19,3),-1.32723 # DEPENDENCYPART_ARC
(19,5),-0.432231 # DEPENDENCYPART_ARC
(19,7),0.143499 # DEPENDENCYPART_ARC
(19,10),-0.591785 # DEPENDENCYPART_ARC
(19,12),-0.845749 # DEPENDENCYPART_ARC
(19,13),-0.193798 # DEPENDENCYPART_ARC
(19,14),0.180604 # DEPENDENCYPART_ARC
(19,17),0.848053 # DEPENDENCYPART_ARC
(19,18),1.39578 # DEPENDENCYPART_ARC
(19,20),1.91435 # DEPENDENCYPART_ARC
(20,18),-1.03081 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.133387 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0878748 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0141519 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.231979 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0442218 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0431222 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.216774 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.231979 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0442218 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.0473175 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0442218 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.042388 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.216774 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.0442218 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.0323517 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.0491893 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.161528 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.0253242 # DEPENDENCYPART_SIBL
(0,2),(0,4),0.0183917 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0875979 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.112488 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.105092 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.134844 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0875979 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.112488 # DEPENDENCYPART_SIBL
(0,2),(0,12),0.0861378 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.112488 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.111493 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.134844 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.112488 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.100618 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.112123 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.174986 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.0575662 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0620214 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0331322 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0257365 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0735291 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.0620214 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0331322 # DEPENDENCYPART_SIBL
(0,3),(0,12),0.0195874 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.0331322 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.0304181 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0735291 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.0331322 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.0212621 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.0327738 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.0941738 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0649172 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.098332 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0909362 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.072892 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0649172 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.098332 # DEPENDENCYPART_SIBL
(0,4),(0,12),0.0559344 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.098332 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.0956094 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.072892 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.098332 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.0864618 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.0979671 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.0798058 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.032339 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.0101201 # DEPENDENCYPART_SIBL
(0,5),(0,9),0.0156699 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.0395181 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.032339 # DEPENDENCYPART_SIBL
(0,5),(0,12),0.178356 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.032339 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.0258672 # DEPENDENCYPART_SIBL
(0,5),(0,15),0.0156699 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.032339 # DEPENDENCYPART_SIBL
(0,5),(0,18),0.00920642 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.0433824 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.0473547 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.109737 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.0464622 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.126699 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.117133 # DEPENDENCYPART_SIBL
(0,7),(0,12),0.0327158 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.117133 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.114886 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.0464622 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.117133 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.105263 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.104694 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.0693041 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.0464622 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.126699 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.117133 # DEPENDENCYPART_SIBL
(0,8),(0,12),0.0327158 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.117133 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.114886 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.0464622 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.117133 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.105263 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.104694 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.0693041 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.226163 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.293028 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.251141 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.293028 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.291913 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.413823 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.293028 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.281158 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.291697 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.340789 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.032339 # DEPENDENCYPART_SIBL
(0,10),(0,12),0.178356 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.032339 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.0258672 # DEPENDENCYPART_SIBL
(0,10),(0,15),0.0156699 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.032339 # DEPENDENCYPART_SIBL
(0,10),(0,18),0.00920642 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.0433824 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.0473547 # DEPENDENCYPART_SIBL
(0,11),(0,12),0.0327158 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.117133 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.114886 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.0464622 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.117133 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.105263 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.104694 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.0693041 # DEPENDENCYPART_SIBL
(0,12),(0,13),0.0567061 # DEPENDENCYPART_SIBL
(0,12),(0,14),0.0594145 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.0580471 # DEPENDENCYPART_SIBL
(0,12),(0,17),0.0567061 # DEPENDENCYPART_SIBL
(0,12),(0,18),0.0685763 # DEPENDENCYPART_SIBL
(0,12),(0,19),0.0570601 # DEPENDENCYPART_SIBL
(0,12),(0,20),-0.0783706 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.114886 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.0464622 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.117133 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.105263 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.104694 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.0693041 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.0626148 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.131804 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.119934 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.119382 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.0822947 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.293028 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.281158 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.291697 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.340789 # DEPENDENCYPART_SIBL
(0,17),(0,18),-0.105263 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.104694 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.0693041 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.0928905 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.0574403 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.0565087 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0206812 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.025792 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.000107466 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0257889 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.00587727 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.00912197 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0058232 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0778347 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.00092742 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0170854 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.000925746 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0400561 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.000600332 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0377597 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0186014 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.15354 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0184888 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0328592 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0619178 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0299565 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.129627 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0489843 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0889921 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0836435 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0860311 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.00703966 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0889921 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0889921 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.104822 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.0889921 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.0893764 # DEPENDENCYPART_SIBL
(5,2),(5,19),-0.0844335 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0869015 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0145027 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0113131 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.00601645 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0509467 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.00134584 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0113131 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0113131 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0259766 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0113131 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.0113131 # DEPENDENCYPART_SIBL
(5,3),(5,19),-0.00664661 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.249079 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0240452 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0186168 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0078156 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0218738 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0240452 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0240452 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.035826 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.0240452 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.0240452 # DEPENDENCYPART_SIBL
(5,4),(5,19),-0.0198629 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.191934 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.191934 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.161106 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.113457 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.191934 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.191934 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.193615 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.191934 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.191934 # DEPENDENCYPART_SIBL
(5,6),(5,19),-0.18612 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.117136 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0666458 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0125337 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.117136 # DEPENDENCYPART_SIBL
