# _root_ gogoan_dut beste batzuetan nola barneratzen ninduzun itsasoan txalupa koskor - niretzat , intxaur azal txikitxo - batean , atsegin bait zenuen nire izu-ikara zentzugabearen_aurrean zure segurtasun babeslea agertzea .
#goldHeads=0,3,5,5,1,5,5,5,8,9,14,11,14,8,14,15,8,17,0,21,19,23,28,23,26,28,26,21,28,
#predictedHeads=0,3,5,5,1,5,6,5,8,9,5,11,14,19,14,15,14,17,0,19,20,23,19,23,26,28,26,21,28,
(0,1),1.01323 # DEPENDENCYPART_ARC
(0,2),-1.15567 # DEPENDENCYPART_ARC
(0,3),-1.88856 # DEPENDENCYPART_ARC
(0,4),-0.665982 # DEPENDENCYPART_ARC
(0,5),-0.351211 # DEPENDENCYPART_ARC
(0,6),-0.622852 # DEPENDENCYPART_ARC
(0,7),-1.09081 # DEPENDENCYPART_ARC
(0,8),-1.15713 # DEPENDENCYPART_ARC
(0,9),-1.20494 # DEPENDENCYPART_ARC
(0,10),-0.601199 # DEPENDENCYPART_ARC
(0,11),-1.25794 # DEPENDENCYPART_ARC
(0,12),-0.583664 # DEPENDENCYPART_ARC
(0,16),-0.643854 # DEPENDENCYPART_ARC
(0,17),-1.75648 # DEPENDENCYPART_ARC
(0,18),-0.639242 # DEPENDENCYPART_ARC
(0,19),0.567698 # DEPENDENCYPART_ARC
(0,20),-1.33309 # DEPENDENCYPART_ARC
(0,21),-0.505886 # DEPENDENCYPART_ARC
(0,22),-1.50181 # DEPENDENCYPART_ARC
(0,24),-1.95026 # DEPENDENCYPART_ARC
(0,25),-1.54984 # DEPENDENCYPART_ARC
(0,26),-1.79849 # DEPENDENCYPART_ARC
(0,27),-1.58053 # DEPENDENCYPART_ARC
(0,28),-1.21429 # DEPENDENCYPART_ARC
(0,29),-1.61836 # DEPENDENCYPART_ARC
(1,5),-1.76962 # DEPENDENCYPART_ARC
(1,6),-0.513997 # DEPENDENCYPART_ARC
(1,7),-1.26249 # DEPENDENCYPART_ARC
(1,8),-1.89826 # DEPENDENCYPART_ARC
(1,19),-2.88119 # DEPENDENCYPART_ARC
(2,3),0.177028 # DEPENDENCYPART_ARC
(2,5),-0.633737 # DEPENDENCYPART_ARC
(3,2),0.503039 # DEPENDENCYPART_ARC
(3,4),0.347902 # DEPENDENCYPART_ARC
(3,5),-1.24535 # DEPENDENCYPART_ARC
(5,1),-0.811849 # DEPENDENCYPART_ARC
(5,2),-0.846789 # DEPENDENCYPART_ARC
(5,3),0.147945 # DEPENDENCYPART_ARC
(5,4),0.774835 # DEPENDENCYPART_ARC
(5,6),2.0801 # DEPENDENCYPART_ARC
(5,7),0.410215 # DEPENDENCYPART_ARC
(5,8),-0.292844 # DEPENDENCYPART_ARC
(5,9),-0.761421 # DEPENDENCYPART_ARC
(5,11),-0.298788 # DEPENDENCYPART_ARC
(5,12),-0.726168 # DEPENDENCYPART_ARC
(5,13),-1.36007 # DEPENDENCYPART_ARC
(5,14),-1.05073 # DEPENDENCYPART_ARC
(5,15),-1.00477 # DEPENDENCYPART_ARC
(5,19),-1.31805 # DEPENDENCYPART_ARC
(5,20),-0.475877 # DEPENDENCYPART_ARC
(5,21),-0.852738 # DEPENDENCYPART_ARC
(5,23),-1.55612 # DEPENDENCYPART_ARC
(5,26),-1.68679 # DEPENDENCYPART_ARC
(5,28),-0.488941 # DEPENDENCYPART_ARC
(6,7),0.814439 # DEPENDENCYPART_ARC
(7,1),-2.67739 # DEPENDENCYPART_ARC
(7,5),-0.470163 # DEPENDENCYPART_ARC
(7,6),-0.459801 # DEPENDENCYPART_ARC
(7,8),-0.712844 # DEPENDENCYPART_ARC
(7,9),-1.46016 # DEPENDENCYPART_ARC
(7,17),-2.39472 # DEPENDENCYPART_ARC
(8,5),-0.744541 # DEPENDENCYPART_ARC
(8,6),-1.00877 # DEPENDENCYPART_ARC
(8,7),0.173313 # DEPENDENCYPART_ARC
(8,9),1.17891 # DEPENDENCYPART_ARC
(8,13),-0.932772 # DEPENDENCYPART_ARC
(8,14),-1.13803 # DEPENDENCYPART_ARC
(8,17),-0.279276 # DEPENDENCYPART_ARC
(8,28),-0.853059 # DEPENDENCYPART_ARC
(9,7),-0.974481 # DEPENDENCYPART_ARC
(9,8),-0.589343 # DEPENDENCYPART_ARC
(9,10),1.34211 # DEPENDENCYPART_ARC
(9,12),0.207235 # DEPENDENCYPART_ARC
(9,14),-0.524592 # DEPENDENCYPART_ARC
(9,19),-0.433915 # DEPENDENCYPART_ARC
(10,12),-0.240074 # DEPENDENCYPART_ARC
(11,12),1.048 # DEPENDENCYPART_ARC
(11,13),-0.674748 # DEPENDENCYPART_ARC
(11,15),-0.398096 # DEPENDENCYPART_ARC
(12,13),-0.573458 # DEPENDENCYPART_ARC
(12,15),-1.09433 # DEPENDENCYPART_ARC
(13,9),-1.13593 # DEPENDENCYPART_ARC
(13,11),-0.87641 # DEPENDENCYPART_ARC
(13,12),-0.298201 # DEPENDENCYPART_ARC
(13,14),-0.0441619 # DEPENDENCYPART_ARC
(13,15),-0.306449 # DEPENDENCYPART_ARC
(13,17),-0.0398823 # DEPENDENCYPART_ARC
(14,5),-1.38173 # DEPENDENCYPART_ARC
(14,7),-1.63954 # DEPENDENCYPART_ARC
(14,8),-0.763245 # DEPENDENCYPART_ARC
(14,9),-1.01298 # DEPENDENCYPART_ARC
(14,11),-0.998147 # DEPENDENCYPART_ARC
(14,12),-1.00371 # DEPENDENCYPART_ARC
