# _root_ benetan , erdi tontolo geratu naiz leihotik begira : muxuka zeuden txirikorda eta nicolasito , biak eskutik helduta ! .
#goldHeads=5,3,4,5,0,5,5,7,8,11,0,13,11,13,14,18,18,11,18,19,
#predictedHeads=5,3,4,5,0,5,5,7,8,11,5,13,11,13,14,18,18,11,18,19,
(0,1),-0.112033 # DEPENDENCYPART_ARC
(0,2),-1.15695 # DEPENDENCYPART_ARC
(0,3),-0.762748 # DEPENDENCYPART_ARC
(0,4),-1.36235 # DEPENDENCYPART_ARC
(0,5),-0.0152198 # DEPENDENCYPART_ARC
(0,6),-0.66197 # DEPENDENCYPART_ARC
(0,7),-1.1857 # DEPENDENCYPART_ARC
(0,8),-0.79296 # DEPENDENCYPART_ARC
(0,9),-0.973225 # DEPENDENCYPART_ARC
(0,10),-0.790254 # DEPENDENCYPART_ARC
(0,11),-0.475322 # DEPENDENCYPART_ARC
(0,12),-1.12739 # DEPENDENCYPART_ARC
(0,13),-0.617113 # DEPENDENCYPART_ARC
(0,14),-1.30949 # DEPENDENCYPART_ARC
(0,15),-1.35154 # DEPENDENCYPART_ARC
(0,16),-1.63696 # DEPENDENCYPART_ARC
(0,17),-1.29562 # DEPENDENCYPART_ARC
(0,18),-1.06081 # DEPENDENCYPART_ARC
(0,20),-1.66096 # DEPENDENCYPART_ARC
(1,2),-0.563521 # DEPENDENCYPART_ARC
(1,3),-1.43445 # DEPENDENCYPART_ARC
(2,4),-1.00909 # DEPENDENCYPART_ARC
(2,5),-0.914158 # DEPENDENCYPART_ARC
(2,18),-1.39137 # DEPENDENCYPART_ARC
(3,1),-0.867861 # DEPENDENCYPART_ARC
(3,2),-0.333889 # DEPENDENCYPART_ARC
(3,4),-0.326246 # DEPENDENCYPART_ARC
(3,7),-1.01605 # DEPENDENCYPART_ARC
(3,8),-1.03605 # DEPENDENCYPART_ARC
(3,10),-1.03104 # DEPENDENCYPART_ARC
(4,1),-0.35072 # DEPENDENCYPART_ARC
(4,3),0.553478 # DEPENDENCYPART_ARC
(4,5),0.0926324 # DEPENDENCYPART_ARC
(5,1),-0.152861 # DEPENDENCYPART_ARC
(5,2),-0.964007 # DEPENDENCYPART_ARC
(5,3),0.277214 # DEPENDENCYPART_ARC
(5,4),1.02702 # DEPENDENCYPART_ARC
(5,6),1.36977 # DEPENDENCYPART_ARC
(5,7),0.359195 # DEPENDENCYPART_ARC
(5,8),-0.476748 # DEPENDENCYPART_ARC
(5,10),-0.685934 # DEPENDENCYPART_ARC
(5,11),-0.446144 # DEPENDENCYPART_ARC
(5,13),-0.371064 # DEPENDENCYPART_ARC
(5,17),-0.957295 # DEPENDENCYPART_ARC
(5,18),-0.352871 # DEPENDENCYPART_ARC
(6,4),-0.699781 # DEPENDENCYPART_ARC
(6,5),-0.587219 # DEPENDENCYPART_ARC
(6,7),-0.578966 # DEPENDENCYPART_ARC
(6,8),-0.934496 # DEPENDENCYPART_ARC
(6,10),-1.20294 # DEPENDENCYPART_ARC
(6,13),-0.728649 # DEPENDENCYPART_ARC
(7,1),-1.29122 # DEPENDENCYPART_ARC
(7,2),-1.54227 # DEPENDENCYPART_ARC
(7,3),-1.20416 # DEPENDENCYPART_ARC
(7,4),-1.62011 # DEPENDENCYPART_ARC
(7,5),-0.50257 # DEPENDENCYPART_ARC
(7,6),-0.777134 # DEPENDENCYPART_ARC
(7,8),-0.0924512 # DEPENDENCYPART_ARC
(7,9),-0.722414 # DEPENDENCYPART_ARC
(7,10),-1.32805 # DEPENDENCYPART_ARC
(7,11),-2.02329 # DEPENDENCYPART_ARC
(7,12),-1.85478 # DEPENDENCYPART_ARC
(7,13),-1.43818 # DEPENDENCYPART_ARC
(7,16),-3.61595 # DEPENDENCYPART_ARC
(7,18),-1.75268 # DEPENDENCYPART_ARC
(8,5),-1.05326 # DEPENDENCYPART_ARC
(8,7),-0.207275 # DEPENDENCYPART_ARC
(8,9),0.947685 # DEPENDENCYPART_ARC
(8,10),-0.634228 # DEPENDENCYPART_ARC
(8,12),-0.724316 # DEPENDENCYPART_ARC
(8,13),-0.530862 # DEPENDENCYPART_ARC
(8,14),-0.757959 # DEPENDENCYPART_ARC
(9,8),0.00424691 # DEPENDENCYPART_ARC
(9,11),-0.72288 # DEPENDENCYPART_ARC
(9,12),-1.0108 # DEPENDENCYPART_ARC
(9,14),-1.10071 # DEPENDENCYPART_ARC
(10,7),-0.96692 # DEPENDENCYPART_ARC
(10,8),-0.53827 # DEPENDENCYPART_ARC
(10,11),-0.0890704 # DEPENDENCYPART_ARC
(10,12),-0.75076 # DEPENDENCYPART_ARC
(10,13),-0.581835 # DEPENDENCYPART_ARC
(10,14),-0.819274 # DEPENDENCYPART_ARC
(10,15),-0.658723 # DEPENDENCYPART_ARC
(10,17),-0.923137 # DEPENDENCYPART_ARC
(11,1),-0.62912 # DEPENDENCYPART_ARC
(11,2),-1.31596 # DEPENDENCYPART_ARC
(11,3),-0.470063 # DEPENDENCYPART_ARC
(11,4),-0.436336 # DEPENDENCYPART_ARC
(11,5),-0.891825 # DEPENDENCYPART_ARC
(11,7),-0.191257 # DEPENDENCYPART_ARC
(11,8),-0.102045 # DEPENDENCYPART_ARC
(11,10),1.14925 # DEPENDENCYPART_ARC
(11,12),0.518764 # DEPENDENCYPART_ARC
(11,13),-0.147727 # DEPENDENCYPART_ARC
(11,14),-0.0925414 # DEPENDENCYPART_ARC
(11,16),-0.209842 # DEPENDENCYPART_ARC
(11,17),-0.734354 # DEPENDENCYPART_ARC
(11,18),0.0782056 # DEPENDENCYPART_ARC
(12,11),-0.618372 # DEPENDENCYPART_ARC
(12,14),-0.660161 # DEPENDENCYPART_ARC
(12,17),-1.80372 # DEPENDENCYPART_ARC
(13,1),-0.875945 # DEPENDENCYPART_ARC
(13,3),-0.864337 # DEPENDENCYPART_ARC
(13,5),-0.44386 # DEPENDENCYPART_ARC
(13,6),-1.29721 # DEPENDENCYPART_ARC
(13,7),-0.955615 # DEPENDENCYPART_ARC
(13,8),-0.901147 # DEPENDENCYPART_ARC
(13,10),-0.616765 # DEPENDENCYPART_ARC
(13,11),0.294809 # DEPENDENCYPART_ARC
(13,12),1.52675 # DEPENDENCYPART_ARC
(13,14),1.36974 # DEPENDENCYPART_ARC
(13,15),-0.259144 # DEPENDENCYPART_ARC
(13,16),-0.898283 # DEPENDENCYPART_ARC
(13,17),0.0674722 # DEPENDENCYPART_ARC
(13,18),-0.619687 # DEPENDENCYPART_ARC
(14,15),1.13248 # DEPENDENCYPART_ARC
(14,16),-3.37084 # DEPENDENCYPART_ARC
(14,17),-1.52994 # DEPENDENCYPART_ARC
(14,18),-1.69836 # DEPENDENCYPART_ARC
(15,11),-0.867715 # DEPENDENCYPART_ARC
(15,12),-1.21552 # DEPENDENCYPART_ARC
(15,13),-0.910315 # DEPENDENCYPART_ARC
(15,14),-0.690002 # DEPENDENCYPART_ARC
(15,16),-0.417963 # DEPENDENCYPART_ARC
(15,17),-1.12157 # DEPENDENCYPART_ARC
(15,18),-0.926227 # DEPENDENCYPART_ARC
(16,1),-0.993583 # DEPENDENCYPART_ARC
(16,3),-0.95004 # DEPENDENCYPART_ARC
(16,10),-1.13367 # DEPENDENCYPART_ARC
(16,15),-0.457375 # DEPENDENCYPART_ARC
(16,17),-0.291242 # DEPENDENCYPART_ARC
(17,1),-0.82326 # DEPENDENCYPART_ARC
(17,3),-0.86929 # DEPENDENCYPART_ARC
(17,4),-1.48777 # DEPENDENCYPART_ARC
(17,5),-1.10617 # DEPENDENCYPART_ARC
(17,7),-1.45869 # DEPENDENCYPART_ARC
(17,11),-1.28856 # DEPENDENCYPART_ARC
(17,12),-1.65972 # DEPENDENCYPART_ARC
(17,13),-0.550172 # DEPENDENCYPART_ARC
(17,14),-1.40635 # DEPENDENCYPART_ARC
(17,15),-0.724022 # DEPENDENCYPART_ARC
(17,16),-0.278103 # DEPENDENCYPART_ARC
(17,18),-0.800631 # DEPENDENCYPART_ARC
(17,20),-1.16551 # DEPENDENCYPART_ARC
(18,1),-1.08998 # DEPENDENCYPART_ARC
(18,2),-1.51852 # DEPENDENCYPART_ARC
(18,3),-0.85062 # DEPENDENCYPART_ARC
(18,4),-0.770398 # DEPENDENCYPART_ARC
(18,5),-1.00624 # DEPENDENCYPART_ARC
(18,7),-1.07113 # DEPENDENCYPART_ARC
(18,8),-0.818567 # DEPENDENCYPART_ARC
(18,10),-0.388134 # DEPENDENCYPART_ARC
