# _root_ 25 urtetik beherako gazteen langabezi tasa ebn %%16,2koa zen ekainean eta euro eremukoa %%17,2koa .
#goldHeads=2,4,2,6,6,9,9,9,11,9,0,13,11,11,14,
#predictedHeads=2,9,4,5,6,9,9,9,11,11,0,13,11,12,14,
(0,1),-0.468218 # DEPENDENCYPART_ARC
(0,2),-0.692326 # DEPENDENCYPART_ARC
(0,3),-0.534207 # DEPENDENCYPART_ARC
(0,4),-0.729764 # DEPENDENCYPART_ARC
(0,5),-0.771747 # DEPENDENCYPART_ARC
(0,6),-0.71826 # DEPENDENCYPART_ARC
(0,7),-1.06651 # DEPENDENCYPART_ARC
(0,8),-0.928654 # DEPENDENCYPART_ARC
(0,9),-0.340067 # DEPENDENCYPART_ARC
(0,10),-1.29092 # DEPENDENCYPART_ARC
(0,11),-0.735418 # DEPENDENCYPART_ARC
(0,12),-1.19149 # DEPENDENCYPART_ARC
(0,13),-1.25973 # DEPENDENCYPART_ARC
(0,14),-2.11993 # DEPENDENCYPART_ARC
(0,15),-2.18464 # DEPENDENCYPART_ARC
(1,2),-0.601741 # DEPENDENCYPART_ARC
(2,1),1.05956 # DEPENDENCYPART_ARC
(2,3),-0.42016 # DEPENDENCYPART_ARC
(2,4),-1.43626 # DEPENDENCYPART_ARC
(2,9),-1.99497 # DEPENDENCYPART_ARC
(2,11),-1.46836 # DEPENDENCYPART_ARC
(3,1),0.00273866 # DEPENDENCYPART_ARC
(3,2),-1.12823 # DEPENDENCYPART_ARC
(3,4),-0.967978 # DEPENDENCYPART_ARC
(3,5),-1.04066 # DEPENDENCYPART_ARC
(3,6),-2.35883 # DEPENDENCYPART_ARC
(3,7),-2.84085 # DEPENDENCYPART_ARC
(3,8),-2.48385 # DEPENDENCYPART_ARC
(3,11),-1.76506 # DEPENDENCYPART_ARC
(4,1),-0.672692 # DEPENDENCYPART_ARC
(4,2),-0.377862 # DEPENDENCYPART_ARC
(4,3),1.82366 # DEPENDENCYPART_ARC
(4,5),0.0685121 # DEPENDENCYPART_ARC
(4,6),-0.645121 # DEPENDENCYPART_ARC
(4,7),-0.799728 # DEPENDENCYPART_ARC
(4,8),-0.0875828 # DEPENDENCYPART_ARC
(4,9),-1.58649 # DEPENDENCYPART_ARC
(4,11),-1.37386 # DEPENDENCYPART_ARC
(4,14),-4.27724 # DEPENDENCYPART_ARC
(5,1),-1.48295 # DEPENDENCYPART_ARC
(5,2),-0.942762 # DEPENDENCYPART_ARC
(5,3),-0.28742 # DEPENDENCYPART_ARC
(5,4),0.656792 # DEPENDENCYPART_ARC
(5,6),0.308281 # DEPENDENCYPART_ARC
(5,7),-0.509748 # DEPENDENCYPART_ARC
(5,8),-0.795289 # DEPENDENCYPART_ARC
(5,10),-0.94095 # DEPENDENCYPART_ARC
(5,13),-1.02337 # DEPENDENCYPART_ARC
(5,14),-1.26839 # DEPENDENCYPART_ARC
(5,15),-1.46953 # DEPENDENCYPART_ARC
