# _root_ ehiztariek oihu_egin ziguten , otsoarengandik apartatzeko esanaz , eta eztarriek ez zieten bere belarriei gure lasaitzeko eta ez tiratzeko hitzik entzuten utzi .
#goldHeads=2,9,2,3,6,7,2,7,0,22,22,22,14,22,20,17,20,19,17,21,22,9,22,
#predictedHeads=2,9,2,3,6,7,9,7,0,16,22,22,14,16,16,17,22,19,20,21,22,9,22,
(0,1),-0.473844 # DEPENDENCYPART_ARC
(0,2),0.031051 # DEPENDENCYPART_ARC
(0,3),-0.570505 # DEPENDENCYPART_ARC
(0,4),-0.928225 # DEPENDENCYPART_ARC
(0,6),-1.13469 # DEPENDENCYPART_ARC
(0,7),-1.00934 # DEPENDENCYPART_ARC
(0,8),-0.67983 # DEPENDENCYPART_ARC
(0,9),0.84014 # DEPENDENCYPART_ARC
(0,15),-1.57728 # DEPENDENCYPART_ARC
(0,16),-1.50367 # DEPENDENCYPART_ARC
(0,17),0.165509 # DEPENDENCYPART_ARC
(0,18),-1.20813 # DEPENDENCYPART_ARC
(0,19),-1.44805 # DEPENDENCYPART_ARC
(0,20),-1.30242 # DEPENDENCYPART_ARC
(0,21),-1.5527 # DEPENDENCYPART_ARC
(0,22),-0.987444 # DEPENDENCYPART_ARC
(0,23),-1.83917 # DEPENDENCYPART_ARC
(1,2),-1.4233 # DEPENDENCYPART_ARC
(1,3),-1.44958 # DEPENDENCYPART_ARC
(1,4),-1.76705 # DEPENDENCYPART_ARC
(2,1),1.6663 # DEPENDENCYPART_ARC
(2,3),1.24307 # DEPENDENCYPART_ARC
(2,5),-0.652554 # DEPENDENCYPART_ARC
(2,6),-0.524745 # DEPENDENCYPART_ARC
(2,7),-0.48278 # DEPENDENCYPART_ARC
(2,9),-0.865962 # DEPENDENCYPART_ARC
(2,11),-0.783279 # DEPENDENCYPART_ARC
(2,12),-1.88588 # DEPENDENCYPART_ARC
(2,17),-0.655435 # DEPENDENCYPART_ARC
(2,18),-0.701442 # DEPENDENCYPART_ARC
(2,19),-1.33 # DEPENDENCYPART_ARC
(3,1),-0.613961 # DEPENDENCYPART_ARC
(3,4),1.17295 # DEPENDENCYPART_ARC
(3,5),-1.03272 # DEPENDENCYPART_ARC
(4,2),-0.776896 # DEPENDENCYPART_ARC
(4,3),-0.451161 # DEPENDENCYPART_ARC
(4,5),-0.56488 # DEPENDENCYPART_ARC
(4,22),-0.778068 # DEPENDENCYPART_ARC
(5,1),-2.13692 # DEPENDENCYPART_ARC
(5,2),-1.5228 # DEPENDENCYPART_ARC
(5,3),-1.21789 # DEPENDENCYPART_ARC
(5,4),-0.165758 # DEPENDENCYPART_ARC
(5,6),-0.643594 # DEPENDENCYPART_ARC
(5,8),-0.871708 # DEPENDENCYPART_ARC
(6,1),-0.492026 # DEPENDENCYPART_ARC
(6,2),-0.340877 # DEPENDENCYPART_ARC
(6,3),-2.00551 # DEPENDENCYPART_ARC
(6,4),-1.05862 # DEPENDENCYPART_ARC
(6,5),1.58556 # DEPENDENCYPART_ARC
(6,7),-0.0405209 # DEPENDENCYPART_ARC
(6,8),-0.400802 # DEPENDENCYPART_ARC
(6,10),-1.58729 # DEPENDENCYPART_ARC
(6,11),-1.43237 # DEPENDENCYPART_ARC
(6,12),-3.96416 # DEPENDENCYPART_ARC
(6,14),-1.75667 # DEPENDENCYPART_ARC
(6,15),-1.96236 # DEPENDENCYPART_ARC
(6,16),-1.60244 # DEPENDENCYPART_ARC
(6,17),-0.670482 # DEPENDENCYPART_ARC
(6,20),-1.85718 # DEPENDENCYPART_ARC
(6,21),-1.457 # DEPENDENCYPART_ARC
(6,22),-2.45766 # DEPENDENCYPART_ARC
(7,1),-0.668404 # DEPENDENCYPART_ARC
(7,2),-1.07867 # DEPENDENCYPART_ARC
(7,3),-1.8137 # DEPENDENCYPART_ARC
