# _root_ jeltzaleen jarrerari_buruz mintzatu zen eta , adierazi zuenez , " konturatu behar_dute haien apustuak kale_egin duela eta estatutuaren bidera itzuli beharko dute " .
#goldHeads=2,3,5,3,0,5,17,7,8,9,17,11,14,15,11,15,0,19,20,17,20,21,22,23,
#predictedHeads=2,3,5,3,0,5,5,7,8,9,12,17,14,15,17,15,0,19,20,21,17,21,22,23,
(0,1),-0.371409 # DEPENDENCYPART_ARC
(0,2),-0.949182 # DEPENDENCYPART_ARC
(0,3),0.0288695 # DEPENDENCYPART_ARC
(0,4),-0.777446 # DEPENDENCYPART_ARC
(0,5),0.0908312 # DEPENDENCYPART_ARC
(0,6),-0.897152 # DEPENDENCYPART_ARC
(0,7),0.203652 # DEPENDENCYPART_ARC
(0,8),-0.577833 # DEPENDENCYPART_ARC
(0,9),-0.783086 # DEPENDENCYPART_ARC
(0,10),-0.937716 # DEPENDENCYPART_ARC
(0,11),-0.901203 # DEPENDENCYPART_ARC
(0,12),0.0786696 # DEPENDENCYPART_ARC
(0,13),-1.68655 # DEPENDENCYPART_ARC
(0,15),-0.278814 # DEPENDENCYPART_ARC
(0,16),-0.485553 # DEPENDENCYPART_ARC
(0,17),0.393662 # DEPENDENCYPART_ARC
(0,20),-1.56963 # DEPENDENCYPART_ARC
(0,21),-1.57234 # DEPENDENCYPART_ARC
(0,22),-0.36237 # DEPENDENCYPART_ARC
(0,23),-2.19408 # DEPENDENCYPART_ARC
(0,24),-1.82036 # DEPENDENCYPART_ARC
(1,2),-0.0784169 # DEPENDENCYPART_ARC
(1,4),-1.77435 # DEPENDENCYPART_ARC
(1,7),-2.61864 # DEPENDENCYPART_ARC
(2,1),1.46818 # DEPENDENCYPART_ARC
(2,3),-1.83185 # DEPENDENCYPART_ARC
(2,4),-0.648114 # DEPENDENCYPART_ARC
(2,7),-2.73808 # DEPENDENCYPART_ARC
(2,8),-2.27994 # DEPENDENCYPART_ARC
(3,1),0.125564 # DEPENDENCYPART_ARC
(3,2),1.80774 # DEPENDENCYPART_ARC
(3,4),1.18026 # DEPENDENCYPART_ARC
(3,5),-0.390688 # DEPENDENCYPART_ARC
(3,6),-0.886592 # DEPENDENCYPART_ARC
(3,7),-0.953529 # DEPENDENCYPART_ARC
(3,8),-0.159152 # DEPENDENCYPART_ARC
(3,9),-1.20482 # DEPENDENCYPART_ARC
(3,12),-1.81715 # DEPENDENCYPART_ARC
(3,16),-1.57132 # DEPENDENCYPART_ARC
(3,17),-0.405204 # DEPENDENCYPART_ARC
(3,20),-1.01096 # DEPENDENCYPART_ARC
(4,1),-0.845262 # DEPENDENCYPART_ARC
(4,2),-0.83008 # DEPENDENCYPART_ARC
(4,5),-0.197149 # DEPENDENCYPART_ARC
(4,8),-0.67592 # DEPENDENCYPART_ARC
(5,1),-0.79527 # DEPENDENCYPART_ARC
(5,2),-0.876274 # DEPENDENCYPART_ARC
(5,3),0.882053 # DEPENDENCYPART_ARC
(5,4),-0.0145409 # DEPENDENCYPART_ARC
(5,6),1.22321 # DEPENDENCYPART_ARC
(5,7),0.415688 # DEPENDENCYPART_ARC
(5,8),-0.231994 # DEPENDENCYPART_ARC
(5,9),-0.126029 # DEPENDENCYPART_ARC
(5,11),-0.48366 # DEPENDENCYPART_ARC
(5,12),0.174386 # DEPENDENCYPART_ARC
(5,14),-0.629571 # DEPENDENCYPART_ARC
(5,15),-0.194513 # DEPENDENCYPART_ARC
(5,17),-0.0996314 # DEPENDENCYPART_ARC
(5,19),-1.25917 # DEPENDENCYPART_ARC
(5,20),-0.756403 # DEPENDENCYPART_ARC
(5,21),-0.559639 # DEPENDENCYPART_ARC
(6,3),-1.58769 # DEPENDENCYPART_ARC
(6,4),-1.82839 # DEPENDENCYPART_ARC
(7,1),-1.2308 # DEPENDENCYPART_ARC
(7,2),-0.446942 # DEPENDENCYPART_ARC
(7,3),-0.235829 # DEPENDENCYPART_ARC
(7,4),-0.777674 # DEPENDENCYPART_ARC
(7,5),-0.122376 # DEPENDENCYPART_ARC
(7,6),-0.380618 # DEPENDENCYPART_ARC
(7,8),1.92856 # DEPENDENCYPART_ARC
(7,9),-0.521822 # DEPENDENCYPART_ARC
(7,11),-0.555177 # DEPENDENCYPART_ARC
(7,12),-1.58525 # DEPENDENCYPART_ARC
(7,15),-1.10162 # DEPENDENCYPART_ARC
(7,16),-1.1538 # DEPENDENCYPART_ARC
(7,17),-0.248044 # DEPENDENCYPART_ARC
(7,19),-1.25347 # DEPENDENCYPART_ARC
(7,20),-0.992001 # DEPENDENCYPART_ARC
(8,2),-0.995967 # DEPENDENCYPART_ARC
(8,9),1.36046 # DEPENDENCYPART_ARC
(9,4),-1.43692 # DEPENDENCYPART_ARC
(9,5),-0.79506 # DEPENDENCYPART_ARC
(9,8),-0.524824 # DEPENDENCYPART_ARC
(9,10),1.10342 # DEPENDENCYPART_ARC
(9,12),-0.492405 # DEPENDENCYPART_ARC
(9,21),-0.640428 # DEPENDENCYPART_ARC
(10,11),-0.296814 # DEPENDENCYPART_ARC
(11,1),-1.70996 # DEPENDENCYPART_ARC
(11,2),-1.08146 # DEPENDENCYPART_ARC
(11,3),-0.796171 # DEPENDENCYPART_ARC
(11,4),-1.13464 # DEPENDENCYPART_ARC
(11,5),-0.315276 # DEPENDENCYPART_ARC
(11,6),-1.2544 # DEPENDENCYPART_ARC
(11,7),-0.381907 # DEPENDENCYPART_ARC
(11,8),-1.07362 # DEPENDENCYPART_ARC
(11,9),-0.831438 # DEPENDENCYPART_ARC
(11,12),-0.0963906 # DEPENDENCYPART_ARC
(11,13),-0.528723 # DEPENDENCYPART_ARC
(11,14),-0.244399 # DEPENDENCYPART_ARC
(11,15),-0.356487 # DEPENDENCYPART_ARC
(11,16),-0.555868 # DEPENDENCYPART_ARC
(11,17),-0.368651 # DEPENDENCYPART_ARC
(11,18),-0.960218 # DEPENDENCYPART_ARC
(11,19),-0.661948 # DEPENDENCYPART_ARC
(11,20),-0.450851 # DEPENDENCYPART_ARC
(11,21),-0.9224 # DEPENDENCYPART_ARC
(11,22),-1.75778 # DEPENDENCYPART_ARC
(12,1),-2.38243 # DEPENDENCYPART_ARC
(12,2),-0.854235 # DEPENDENCYPART_ARC
(12,3),-0.683346 # DEPENDENCYPART_ARC
(12,4),-0.852761 # DEPENDENCYPART_ARC
(12,5),-0.661533 # DEPENDENCYPART_ARC
(12,7),-0.353023 # DEPENDENCYPART_ARC
(12,8),-0.324599 # DEPENDENCYPART_ARC
(12,11),1.71249 # DEPENDENCYPART_ARC
(12,13),-0.840729 # DEPENDENCYPART_ARC
(12,14),-0.728131 # DEPENDENCYPART_ARC
(12,15),-1.64674 # DEPENDENCYPART_ARC
(12,16),-1.32815 # DEPENDENCYPART_ARC
(12,17),-0.962544 # DEPENDENCYPART_ARC
(12,18),-2.00805 # DEPENDENCYPART_ARC
(12,19),-1.35889 # DEPENDENCYPART_ARC
(12,20),-0.682353 # DEPENDENCYPART_ARC
(12,21),-1.47149 # DEPENDENCYPART_ARC
(12,22),-2.59835 # DEPENDENCYPART_ARC
(13,11),-0.638138 # DEPENDENCYPART_ARC
(13,14),0.127171 # DEPENDENCYPART_ARC
(13,18),-0.980606 # DEPENDENCYPART_ARC
(14,9),-1.37035 # DEPENDENCYPART_ARC
(14,11),-0.455577 # DEPENDENCYPART_ARC
(14,12),-1.8275 # DEPENDENCYPART_ARC
