# _root_ orain , sasoi hura udazkenean enarak_bezala ostendu eta urrundu denean , etxetxoak egiteari ekin diot berriro .
#goldHeads=14,3,7,3,7,7,8,14,8,9,10,13,14,0,14,14,16,
#predictedHeads=14,3,5,3,7,7,8,0,8,9,10,13,14,0,14,14,16,
(0,1),-0.17416 # DEPENDENCYPART_ARC
(0,2),-1.21824 # DEPENDENCYPART_ARC
(0,3),-0.632505 # DEPENDENCYPART_ARC
(0,4),-1.64104 # DEPENDENCYPART_ARC
(0,5),-0.913702 # DEPENDENCYPART_ARC
(0,6),-1.188 # DEPENDENCYPART_ARC
(0,7),-0.820071 # DEPENDENCYPART_ARC
(0,8),-0.214948 # DEPENDENCYPART_ARC
(0,9),-0.244396 # DEPENDENCYPART_ARC
(0,10),-0.780175 # DEPENDENCYPART_ARC
(0,11),-1.02159 # DEPENDENCYPART_ARC
(0,12),-0.882135 # DEPENDENCYPART_ARC
(0,13),-1.34781 # DEPENDENCYPART_ARC
(0,14),-0.235366 # DEPENDENCYPART_ARC
(0,15),-0.499637 # DEPENDENCYPART_ARC
(0,16),-0.762602 # DEPENDENCYPART_ARC
(0,17),-1.84305 # DEPENDENCYPART_ARC
(1,2),-0.608208 # DEPENDENCYPART_ARC
(1,3),-1.29803 # DEPENDENCYPART_ARC
(1,8),-1.09731 # DEPENDENCYPART_ARC
(1,16),-1.52769 # DEPENDENCYPART_ARC
(2,3),-0.752427 # DEPENDENCYPART_ARC
(2,7),-1.25891 # DEPENDENCYPART_ARC
(3,1),-0.877245 # DEPENDENCYPART_ARC
(3,2),-0.280223 # DEPENDENCYPART_ARC
(3,4),1.66931 # DEPENDENCYPART_ARC
(3,5),-0.595559 # DEPENDENCYPART_ARC
(3,6),-0.898133 # DEPENDENCYPART_ARC
(3,8),-0.717909 # DEPENDENCYPART_ARC
(3,10),-1.38721 # DEPENDENCYPART_ARC
(4,5),-0.44808 # DEPENDENCYPART_ARC
(4,6),-1.1423 # DEPENDENCYPART_ARC
(4,9),-1.44804 # DEPENDENCYPART_ARC
(4,14),-1.38291 # DEPENDENCYPART_ARC
(5,1),-1.21284 # DEPENDENCYPART_ARC
(5,2),-1.29773 # DEPENDENCYPART_ARC
(5,3),-0.0217832 # DEPENDENCYPART_ARC
(5,4),-1.24248 # DEPENDENCYPART_ARC
(5,6),-1.10817 # DEPENDENCYPART_ARC
(5,17),-1.66356 # DEPENDENCYPART_ARC
(6,1),-1.08045 # DEPENDENCYPART_ARC
(6,2),-1.50431 # DEPENDENCYPART_ARC
(6,3),-0.294417 # DEPENDENCYPART_ARC
(6,4),-2.43792 # DEPENDENCYPART_ARC
(6,5),-0.839653 # DEPENDENCYPART_ARC
(6,7),-0.647624 # DEPENDENCYPART_ARC
(6,9),-2.69909 # DEPENDENCYPART_ARC
(6,10),-1.99658 # DEPENDENCYPART_ARC
(6,17),-1.29157 # DEPENDENCYPART_ARC
(7,1),-0.496724 # DEPENDENCYPART_ARC
(7,2),-1.75517 # DEPENDENCYPART_ARC
(7,3),-0.0727012 # DEPENDENCYPART_ARC
(7,4),-0.548005 # DEPENDENCYPART_ARC
(7,5),0.811817 # DEPENDENCYPART_ARC
(7,6),1.43327 # DEPENDENCYPART_ARC
(7,8),0.0841358 # DEPENDENCYPART_ARC
(7,9),-0.271293 # DEPENDENCYPART_ARC
(7,10),-0.339873 # DEPENDENCYPART_ARC
(7,11),-1.09065 # DEPENDENCYPART_ARC
(7,12),-1.11721 # DEPENDENCYPART_ARC
(7,13),-0.678929 # DEPENDENCYPART_ARC
(7,14),-0.745952 # DEPENDENCYPART_ARC
(7,15),-1.34618 # DEPENDENCYPART_ARC
(7,16),-1.15158 # DEPENDENCYPART_ARC
(8,1),-0.747753 # DEPENDENCYPART_ARC
(8,3),-0.76936 # DEPENDENCYPART_ARC
(8,4),-1.01092 # DEPENDENCYPART_ARC
(8,5),-0.658842 # DEPENDENCYPART_ARC
(8,6),-0.395746 # DEPENDENCYPART_ARC
(8,7),1.73359 # DEPENDENCYPART_ARC
(8,9),1.33551 # DEPENDENCYPART_ARC
(8,10),-0.191149 # DEPENDENCYPART_ARC
(8,11),-0.296079 # DEPENDENCYPART_ARC
(8,12),-0.163334 # DEPENDENCYPART_ARC
(8,13),0.0540099 # DEPENDENCYPART_ARC
(8,14),-0.220563 # DEPENDENCYPART_ARC
(9,1),-0.860414 # DEPENDENCYPART_ARC
(9,2),-2.17763 # DEPENDENCYPART_ARC
(9,3),-0.982188 # DEPENDENCYPART_ARC
(9,4),-1.09075 # DEPENDENCYPART_ARC
(9,5),0.0763068 # DEPENDENCYPART_ARC
(9,6),-0.459303 # DEPENDENCYPART_ARC
(9,7),-0.231514 # DEPENDENCYPART_ARC
(9,8),-0.198468 # DEPENDENCYPART_ARC
(9,10),1.69346 # DEPENDENCYPART_ARC
(9,11),-0.550721 # DEPENDENCYPART_ARC
(9,12),-1.07624 # DEPENDENCYPART_ARC
(9,13),-0.191305 # DEPENDENCYPART_ARC
(9,14),-0.918923 # DEPENDENCYPART_ARC
(9,15),-1.26803 # DEPENDENCYPART_ARC
(9,16),-0.914495 # DEPENDENCYPART_ARC
(10,5),-0.824808 # DEPENDENCYPART_ARC
(10,6),-0.53063 # DEPENDENCYPART_ARC
(10,7),-1.15968 # DEPENDENCYPART_ARC
(10,8),-0.683542 # DEPENDENCYPART_ARC
(10,9),-0.554166 # DEPENDENCYPART_ARC
(10,11),1.35889 # DEPENDENCYPART_ARC
(10,12),-1.02246 # DEPENDENCYPART_ARC
(10,13),-0.045388 # DEPENDENCYPART_ARC
(10,14),-0.919954 # DEPENDENCYPART_ARC
(10,15),-0.83464 # DEPENDENCYPART_ARC
(10,16),-0.687998 # DEPENDENCYPART_ARC
(11,7),-1.1028 # DEPENDENCYPART_ARC
(11,8),-0.661882 # DEPENDENCYPART_ARC
(11,9),-0.828316 # DEPENDENCYPART_ARC
(11,10),-0.520078 # DEPENDENCYPART_ARC
(11,12),-0.530533 # DEPENDENCYPART_ARC
(11,13),-0.843461 # DEPENDENCYPART_ARC
(11,14),-0.766411 # DEPENDENCYPART_ARC
(12,1),-1.16575 # DEPENDENCYPART_ARC
(12,4),-3.43193 # DEPENDENCYPART_ARC
(12,7),-0.753278 # DEPENDENCYPART_ARC
(12,8),-0.477145 # DEPENDENCYPART_ARC
(12,9),-0.681086 # DEPENDENCYPART_ARC
(12,10),-1.66572 # DEPENDENCYPART_ARC
(12,11),-0.106245 # DEPENDENCYPART_ARC
(12,13),0.203304 # DEPENDENCYPART_ARC
(12,14),-1.9919 # DEPENDENCYPART_ARC
(12,15),-0.768461 # DEPENDENCYPART_ARC
(12,16),-0.846777 # DEPENDENCYPART_ARC
(12,17),-0.999863 # DEPENDENCYPART_ARC
(13,1),-0.885856 # DEPENDENCYPART_ARC
(13,2),-1.68903 # DEPENDENCYPART_ARC
(13,3),-1.22928 # DEPENDENCYPART_ARC
(13,4),-0.575025 # DEPENDENCYPART_ARC
(13,5),-0.874012 # DEPENDENCYPART_ARC
(13,6),-1.47562 # DEPENDENCYPART_ARC
(13,7),-0.901145 # DEPENDENCYPART_ARC
(13,8),-0.592639 # DEPENDENCYPART_ARC
(13,9),-1.09308 # DEPENDENCYPART_ARC
(13,10),-1.72726 # DEPENDENCYPART_ARC
(13,11),-1.03579 # DEPENDENCYPART_ARC
(13,12),1.41127 # DEPENDENCYPART_ARC
(13,14),-1.30569 # DEPENDENCYPART_ARC
(13,15),-2.23451 # DEPENDENCYPART_ARC
(13,16),-0.87318 # DEPENDENCYPART_ARC
(14,1),-0.522462 # DEPENDENCYPART_ARC
(14,2),-1.5763 # DEPENDENCYPART_ARC
(14,3),-1.14839 # DEPENDENCYPART_ARC
(14,4),-0.661655 # DEPENDENCYPART_ARC
(14,5),-0.189581 # DEPENDENCYPART_ARC
(14,6),-1.01815 # DEPENDENCYPART_ARC
(14,7),-0.720845 # DEPENDENCYPART_ARC
(14,8),-0.259998 # DEPENDENCYPART_ARC
(14,9),-0.378583 # DEPENDENCYPART_ARC
(14,10),-0.911344 # DEPENDENCYPART_ARC
(14,11),-1.1067 # DEPENDENCYPART_ARC
(14,12),0.548349 # DEPENDENCYPART_ARC
(14,13),1.41626 # DEPENDENCYPART_ARC
(14,15),1.37783 # DEPENDENCYPART_ARC
(14,16),0.155366 # DEPENDENCYPART_ARC
(15,12),-0.757519 # DEPENDENCYPART_ARC
(15,13),-1.13338 # DEPENDENCYPART_ARC
(15,16),-0.340293 # DEPENDENCYPART_ARC
(16,12),-1.29169 # DEPENDENCYPART_ARC
(16,13),-1.27369 # DEPENDENCYPART_ARC
(16,14),-1.06714 # DEPENDENCYPART_ARC
(16,17),1.32625 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.100628 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.0595254 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.0329465 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.0595254 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.0595254 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0540668 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0918521 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0540668 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0706976 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.100628 # DEPENDENCYPART_SIBL
(0,1),(0,12),0.0595254 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0540746 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0598802 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0641213 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.0471724 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.121273 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.178071 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.293028 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.226163 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.293028 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.203107 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.413823 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.293036 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.298842 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.189868 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.296863 # DEPENDENCYPART_SIBL
