# _root_ elkartasun taldeak ugaritu arren zeregin asko dagoela ere argi dute , eta beraz , jarraitu beharra dagoela .
#goldHeads=2,3,7,3,7,5,10,0,10,12,10,0,0,13,16,17,12,17,
#predictedHeads=2,3,12,0,7,5,10,0,10,12,10,0,0,13,16,17,12,17,
(0,1),-0.222205 # DEPENDENCYPART_ARC
(0,2),-0.931951 # DEPENDENCYPART_ARC
(0,3),-0.829113 # DEPENDENCYPART_ARC
(0,4),-0.140314 # DEPENDENCYPART_ARC
(0,6),-1.57603 # DEPENDENCYPART_ARC
(0,7),-1.29045 # DEPENDENCYPART_ARC
(0,8),1.13662 # DEPENDENCYPART_ARC
(0,9),-0.569426 # DEPENDENCYPART_ARC
(0,10),0.15019 # DEPENDENCYPART_ARC
(0,11),-0.967477 # DEPENDENCYPART_ARC
(0,12),0.501175 # DEPENDENCYPART_ARC
(0,13),0.301026 # DEPENDENCYPART_ARC
(0,14),-1.0503 # DEPENDENCYPART_ARC
(0,15),-0.964744 # DEPENDENCYPART_ARC
(0,16),-0.865293 # DEPENDENCYPART_ARC
(0,17),-1.45158 # DEPENDENCYPART_ARC
(0,18),-1.5134 # DEPENDENCYPART_ARC
(1,2),0.0705128 # DEPENDENCYPART_ARC
(1,6),-0.793203 # DEPENDENCYPART_ARC
(2,1),1.52397 # DEPENDENCYPART_ARC
(2,3),-0.601626 # DEPENDENCYPART_ARC
(2,5),-1.35334 # DEPENDENCYPART_ARC
(2,6),-2.54035 # DEPENDENCYPART_ARC
(2,9),-1.17634 # DEPENDENCYPART_ARC
(3,1),0.465851 # DEPENDENCYPART_ARC
(3,2),1.98469 # DEPENDENCYPART_ARC
(3,4),0.0412911 # DEPENDENCYPART_ARC
(3,5),-0.604759 # DEPENDENCYPART_ARC
(3,6),-1.0214 # DEPENDENCYPART_ARC
(3,7),-0.567966 # DEPENDENCYPART_ARC
(3,8),-0.909511 # DEPENDENCYPART_ARC
(3,9),-1.22111 # DEPENDENCYPART_ARC
(3,10),-1.30264 # DEPENDENCYPART_ARC
(3,11),-1.14153 # DEPENDENCYPART_ARC
(3,12),-1.01687 # DEPENDENCYPART_ARC
(3,17),-0.895533 # DEPENDENCYPART_ARC
(4,1),-0.513304 # DEPENDENCYPART_ARC
(4,2),-0.379025 # DEPENDENCYPART_ARC
(4,5),-0.394976 # DEPENDENCYPART_ARC
(5,1),-0.864199 # DEPENDENCYPART_ARC
(5,2),-1.62235 # DEPENDENCYPART_ARC
(5,3),-0.309728 # DEPENDENCYPART_ARC
(5,4),-0.187695 # DEPENDENCYPART_ARC
(5,6),1.59458 # DEPENDENCYPART_ARC
(5,7),-1.03967 # DEPENDENCYPART_ARC
(5,8),-0.599234 # DEPENDENCYPART_ARC
(5,9),-0.936132 # DEPENDENCYPART_ARC
(5,15),-0.556504 # DEPENDENCYPART_ARC
(6,5),-0.445377 # DEPENDENCYPART_ARC
(7,1),-0.378283 # DEPENDENCYPART_ARC
(7,2),0.356114 # DEPENDENCYPART_ARC
(7,3),-0.274588 # DEPENDENCYPART_ARC
(7,4),-0.0780156 # DEPENDENCYPART_ARC
(7,5),0.883388 # DEPENDENCYPART_ARC
(7,6),0.696354 # DEPENDENCYPART_ARC
(7,8),0.651741 # DEPENDENCYPART_ARC
(7,9),-0.609771 # DEPENDENCYPART_ARC
(7,10),-2.14084 # DEPENDENCYPART_ARC
(7,12),-0.327308 # DEPENDENCYPART_ARC
(7,15),-1.26341 # DEPENDENCYPART_ARC
(7,16),-0.675194 # DEPENDENCYPART_ARC
(7,17),-0.775098 # DEPENDENCYPART_ARC
(8,3),-0.88978 # DEPENDENCYPART_ARC
(8,7),0.0970243 # DEPENDENCYPART_ARC
(8,10),-0.544278 # DEPENDENCYPART_ARC
(8,12),-0.967461 # DEPENDENCYPART_ARC
(8,13),-1.22595 # DEPENDENCYPART_ARC
(8,15),-1.40404 # DEPENDENCYPART_ARC
(9,5),-0.968985 # DEPENDENCYPART_ARC
(9,8),-0.0330619 # DEPENDENCYPART_ARC
(9,10),0.44656 # DEPENDENCYPART_ARC
(9,11),-0.0744865 # DEPENDENCYPART_ARC
(9,14),-0.419554 # DEPENDENCYPART_ARC
(9,16),-0.797077 # DEPENDENCYPART_ARC
(10,1),-0.535598 # DEPENDENCYPART_ARC
(10,2),0.0217855 # DEPENDENCYPART_ARC
(10,3),-0.509253 # DEPENDENCYPART_ARC
(10,4),-0.678808 # DEPENDENCYPART_ARC
(10,5),-0.0960689 # DEPENDENCYPART_ARC
(10,6),-0.735107 # DEPENDENCYPART_ARC
(10,7),-0.220409 # DEPENDENCYPART_ARC
(10,8),-0.425004 # DEPENDENCYPART_ARC
(10,9),0.873345 # DEPENDENCYPART_ARC
(10,11),1.18842 # DEPENDENCYPART_ARC
(10,12),-0.394928 # DEPENDENCYPART_ARC
(10,13),-0.505282 # DEPENDENCYPART_ARC
(10,15),-0.644187 # DEPENDENCYPART_ARC
(10,16),-0.0651863 # DEPENDENCYPART_ARC
(10,17),0.605931 # DEPENDENCYPART_ARC
(11,7),-0.925114 # DEPENDENCYPART_ARC
(11,12),-0.379746 # DEPENDENCYPART_ARC
(11,17),-0.905149 # DEPENDENCYPART_ARC
(12,1),-1.30593 # DEPENDENCYPART_ARC
(12,2),-1.59568 # DEPENDENCYPART_ARC
(12,3),-0.393624 # DEPENDENCYPART_ARC
(12,5),-0.818188 # DEPENDENCYPART_ARC
(12,7),-0.389406 # DEPENDENCYPART_ARC
(12,9),-0.349466 # DEPENDENCYPART_ARC
(12,10),0.806762 # DEPENDENCYPART_ARC
(12,11),-0.306281 # DEPENDENCYPART_ARC
(12,13),0.0527643 # DEPENDENCYPART_ARC
(12,14),-0.10275 # DEPENDENCYPART_ARC
