# _root_ " ez dizkiegu gauzak errazak jarriko andaluzian " , esan zuen torresek , eta polizia lanean ari_dela gehitu zuen .
#goldHeads=0,6,6,6,6,10,6,7,8,14,10,10,12,0,17,17,18,14,18,19,
#predictedHeads=0,6,6,6,6,10,6,7,8,0,10,10,12,0,17,17,18,14,18,19,
(0,1),0.867561 # DEPENDENCYPART_ARC
(0,2),-0.640101 # DEPENDENCYPART_ARC
(0,3),-0.348889 # DEPENDENCYPART_ARC
(0,4),-0.49882 # DEPENDENCYPART_ARC
(0,5),-1.45846 # DEPENDENCYPART_ARC
(0,6),-0.488785 # DEPENDENCYPART_ARC
(0,7),-1.22839 # DEPENDENCYPART_ARC
(0,8),-0.744017 # DEPENDENCYPART_ARC
(0,9),-0.469953 # DEPENDENCYPART_ARC
(0,10),0.954986 # DEPENDENCYPART_ARC
(0,11),-0.155709 # DEPENDENCYPART_ARC
(0,12),-1.11827 # DEPENDENCYPART_ARC
(0,13),-0.573175 # DEPENDENCYPART_ARC
(0,14),0.689399 # DEPENDENCYPART_ARC
(0,15),-0.576653 # DEPENDENCYPART_ARC
(0,16),-0.942347 # DEPENDENCYPART_ARC
(0,17),-0.516267 # DEPENDENCYPART_ARC
(0,18),-0.0718859 # DEPENDENCYPART_ARC
(0,19),-0.231473 # DEPENDENCYPART_ARC
(0,20),-1.34046 # DEPENDENCYPART_ARC
(1,2),-1.03822 # DEPENDENCYPART_ARC
(1,3),-1.53133 # DEPENDENCYPART_ARC
(2,4),-1.10976 # DEPENDENCYPART_ARC
(2,6),-1.02053 # DEPENDENCYPART_ARC
(3,2),-0.633617 # DEPENDENCYPART_ARC
(3,4),-0.80419 # DEPENDENCYPART_ARC
(3,5),-1.60338 # DEPENDENCYPART_ARC
(3,7),-0.90998 # DEPENDENCYPART_ARC
(3,11),-1.38662 # DEPENDENCYPART_ARC
(4,2),-0.667767 # DEPENDENCYPART_ARC
(4,3),-1.0838 # DEPENDENCYPART_ARC
(4,5),0.143212 # DEPENDENCYPART_ARC
(4,6),-1.85668 # DEPENDENCYPART_ARC
(4,7),-1.77425 # DEPENDENCYPART_ARC
(4,11),-1.06505 # DEPENDENCYPART_ARC
(4,14),-1.30541 # DEPENDENCYPART_ARC
(4,15),-1.65552 # DEPENDENCYPART_ARC
(4,16),-1.46584 # DEPENDENCYPART_ARC
(4,17),-1.88406 # DEPENDENCYPART_ARC
(4,18),-2.35408 # DEPENDENCYPART_ARC
(5,4),-0.346147 # DEPENDENCYPART_ARC
(5,6),-0.659089 # DEPENDENCYPART_ARC
(6,2),0.6684 # DEPENDENCYPART_ARC
(6,3),0.381043 # DEPENDENCYPART_ARC
(6,4),1.64206 # DEPENDENCYPART_ARC
(6,5),0.909194 # DEPENDENCYPART_ARC
(6,7),1.14933 # DEPENDENCYPART_ARC
(6,9),-0.712335 # DEPENDENCYPART_ARC
(6,10),-0.910147 # DEPENDENCYPART_ARC
(6,11),-1.14988 # DEPENDENCYPART_ARC
(6,12),-0.564229 # DEPENDENCYPART_ARC
(6,13),-0.924219 # DEPENDENCYPART_ARC
(6,14),-0.764598 # DEPENDENCYPART_ARC
(6,16),-0.871165 # DEPENDENCYPART_ARC
(6,17),-0.724466 # DEPENDENCYPART_ARC
(6,18),-1.17208 # DEPENDENCYPART_ARC
(6,19),-2.55558 # DEPENDENCYPART_ARC
(7,4),-3.31938 # DEPENDENCYPART_ARC
(7,6),-0.203634 # DEPENDENCYPART_ARC
(7,8),1.04747 # DEPENDENCYPART_ARC
(7,10),-2.32898 # DEPENDENCYPART_ARC
(7,15),-1.36603 # DEPENDENCYPART_ARC
(8,7),-0.548106 # DEPENDENCYPART_ARC
(8,9),1.14135 # DEPENDENCYPART_ARC
(8,10),-0.776008 # DEPENDENCYPART_ARC
(8,18),-0.799375 # DEPENDENCYPART_ARC
(9,6),-0.615415 # DEPENDENCYPART_ARC
(9,10),-0.475712 # DEPENDENCYPART_ARC
(10,2),-0.97271 # DEPENDENCYPART_ARC
(10,3),-1.18278 # DEPENDENCYPART_ARC
(10,4),-0.467478 # DEPENDENCYPART_ARC
(10,5),-1.16254 # DEPENDENCYPART_ARC
(10,6),0.0497209 # DEPENDENCYPART_ARC
(10,7),0.168045 # DEPENDENCYPART_ARC
(10,9),-0.615377 # DEPENDENCYPART_ARC
(10,11),1.62174 # DEPENDENCYPART_ARC
(10,12),1.13321 # DEPENDENCYPART_ARC
(10,13),-0.492368 # DEPENDENCYPART_ARC
(10,14),-0.245837 # DEPENDENCYPART_ARC
(10,15),-0.385524 # DEPENDENCYPART_ARC
(10,16),-0.421564 # DEPENDENCYPART_ARC
(10,17),-0.228112 # DEPENDENCYPART_ARC
(10,18),-0.75747 # DEPENDENCYPART_ARC
(10,19),-1.56387 # DEPENDENCYPART_ARC
(11,2),-1.63173 # DEPENDENCYPART_ARC
(11,12),-0.857104 # DEPENDENCYPART_ARC
(11,14),-1.01306 # DEPENDENCYPART_ARC
(11,19),-0.91202 # DEPENDENCYPART_ARC
(12,10),-0.355536 # DEPENDENCYPART_ARC
(12,13),1.161 # DEPENDENCYPART_ARC
(12,15),-1.34496 # DEPENDENCYPART_ARC
(12,16),-1.74591 # DEPENDENCYPART_ARC
(12,17),-1.96432 # DEPENDENCYPART_ARC
(13,11),-1.34076 # DEPENDENCYPART_ARC
(13,12),-0.758168 # DEPENDENCYPART_ARC
(13,14),-0.354997 # DEPENDENCYPART_ARC
(13,17),-1.0349 # DEPENDENCYPART_ARC
(13,18),-1.07937 # DEPENDENCYPART_ARC
(14,4),-0.83192 # DEPENDENCYPART_ARC
(14,6),-0.493516 # DEPENDENCYPART_ARC
(14,7),-0.729761 # DEPENDENCYPART_ARC
(14,9),-1.46335 # DEPENDENCYPART_ARC
(14,10),0.4705 # DEPENDENCYPART_ARC
(14,11),-1.03839 # DEPENDENCYPART_ARC
