# _root_ " antidemokratiko " eta " baztertzailetzat " jo zuen udalbiltza erakundea , eta haren xedeak lurraldetasuna , subiranotasuna eta eraikuntza nazionala direla azpimarratu zuen .
#goldHeads=0,4,2,8,4,4,6,13,8,11,8,11,0,15,22,19,16,19,22,19,20,23,13,23,24,
#predictedHeads=0,4,2,8,4,8,6,13,8,11,8,11,0,15,22,19,16,19,22,19,22,23,13,23,24,
(0,1),0.876897 # DEPENDENCYPART_ARC
(0,2),-0.887069 # DEPENDENCYPART_ARC
(0,3),-0.165033 # DEPENDENCYPART_ARC
(0,4),0.785561 # DEPENDENCYPART_ARC
(0,5),-0.44461 # DEPENDENCYPART_ARC
(0,6),-1.05688 # DEPENDENCYPART_ARC
(0,7),-0.239037 # DEPENDENCYPART_ARC
(0,8),0.515592 # DEPENDENCYPART_ARC
(0,9),-0.256375 # DEPENDENCYPART_ARC
(0,10),-1.00823 # DEPENDENCYPART_ARC
(0,11),-0.448102 # DEPENDENCYPART_ARC
(0,12),-0.477958 # DEPENDENCYPART_ARC
(0,13),0.769724 # DEPENDENCYPART_ARC
(0,14),-1.16798 # DEPENDENCYPART_ARC
(0,15),-0.584658 # DEPENDENCYPART_ARC
(0,17),-0.659727 # DEPENDENCYPART_ARC
(0,18),-0.863249 # DEPENDENCYPART_ARC
(0,19),-0.484808 # DEPENDENCYPART_ARC
(0,20),-0.680673 # DEPENDENCYPART_ARC
(0,21),-1.28876 # DEPENDENCYPART_ARC
(0,22),-0.850274 # DEPENDENCYPART_ARC
(0,23),0.87784 # DEPENDENCYPART_ARC
(0,24),-0.587728 # DEPENDENCYPART_ARC
(0,25),-1.44215 # DEPENDENCYPART_ARC
(1,2),-1.01858 # DEPENDENCYPART_ARC
(2,1),-0.473285 # DEPENDENCYPART_ARC
(2,3),1.38361 # DEPENDENCYPART_ARC
(2,4),-0.388421 # DEPENDENCYPART_ARC
(2,6),-0.528595 # DEPENDENCYPART_ARC
(4,2),0.196946 # DEPENDENCYPART_ARC
(4,3),-0.0813192 # DEPENDENCYPART_ARC
(4,5),1.48343 # DEPENDENCYPART_ARC
(4,6),0.00813164 # DEPENDENCYPART_ARC
(4,8),0.14543 # DEPENDENCYPART_ARC
(4,11),-0.766614 # DEPENDENCYPART_ARC
(4,13),-0.367575 # DEPENDENCYPART_ARC
(4,16),-0.899322 # DEPENDENCYPART_ARC
(4,19),-0.730743 # DEPENDENCYPART_ARC
(4,23),-0.557364 # DEPENDENCYPART_ARC
(5,6),-0.438301 # DEPENDENCYPART_ARC
(6,4),-0.660623 # DEPENDENCYPART_ARC
(6,5),-0.469625 # DEPENDENCYPART_ARC
(6,7),1.21728 # DEPENDENCYPART_ARC
(6,8),-0.924743 # DEPENDENCYPART_ARC
(7,8),-0.369812 # DEPENDENCYPART_ARC
(7,9),-0.591821 # DEPENDENCYPART_ARC
(8,2),-0.475489 # DEPENDENCYPART_ARC
(8,4),0.0532837 # DEPENDENCYPART_ARC
(8,6),0.588445 # DEPENDENCYPART_ARC
(8,9),1.48684 # DEPENDENCYPART_ARC
(8,10),0.0314831 # DEPENDENCYPART_ARC
(8,11),0.337692 # DEPENDENCYPART_ARC
(8,12),-0.60567 # DEPENDENCYPART_ARC
(8,13),-0.573448 # DEPENDENCYPART_ARC
(8,15),-0.941056 # DEPENDENCYPART_ARC
(8,16),-0.274546 # DEPENDENCYPART_ARC
(8,17),-0.709855 # DEPENDENCYPART_ARC
(8,18),-0.772037 # DEPENDENCYPART_ARC
(8,19),-0.56283 # DEPENDENCYPART_ARC
(8,20),-1.30546 # DEPENDENCYPART_ARC
(8,22),-0.28147 # DEPENDENCYPART_ARC
(8,23),-0.753117 # DEPENDENCYPART_ARC
(8,24),-1.99528 # DEPENDENCYPART_ARC
(9,10),-0.945945 # DEPENDENCYPART_ARC
(10,8),-0.456387 # DEPENDENCYPART_ARC
(10,11),0.5617 # DEPENDENCYPART_ARC
(11,2),-1.1155 # DEPENDENCYPART_ARC
(11,4),-0.807523 # DEPENDENCYPART_ARC
(11,6),-1.41238 # DEPENDENCYPART_ARC
(11,8),-0.642868 # DEPENDENCYPART_ARC
(11,9),-1.37068 # DEPENDENCYPART_ARC
(11,10),1.27706 # DEPENDENCYPART_ARC
(11,12),1.11577 # DEPENDENCYPART_ARC
(11,13),-0.98795 # DEPENDENCYPART_ARC
(11,14),-1.87278 # DEPENDENCYPART_ARC
(11,22),-1.77606 # DEPENDENCYPART_ARC
(11,23),-2.18955 # DEPENDENCYPART_ARC
(12,9),-1.22981 # DEPENDENCYPART_ARC
(13,4),-0.555332 # DEPENDENCYPART_ARC
(13,8),0.397716 # DEPENDENCYPART_ARC
