# _root_ beraz , koazerbatuek materiaren antolamenduaren nolabaiteko hastapen-forma eskaintzen digutela ikusten dugu , nahiz_eta antolamendu hau oraindik oso primitiboa eta erabat ezegonkorra izan .
#goldHeads=10,3,8,5,7,7,8,10,8,0,10,11,10,22,14,22,0,19,22,21,19,10,22,
#predictedHeads=0,3,8,5,7,7,8,10,8,0,10,11,0,22,14,18,18,19,22,21,19,10,22,
(0,1),0.963571 # DEPENDENCYPART_ARC
(0,2),-1.0358 # DEPENDENCYPART_ARC
(0,3),-0.642927 # DEPENDENCYPART_ARC
(0,4),-0.536317 # DEPENDENCYPART_ARC
(0,5),-0.709945 # DEPENDENCYPART_ARC
(0,6),-0.802626 # DEPENDENCYPART_ARC
(0,7),-0.367822 # DEPENDENCYPART_ARC
(0,8),-0.451729 # DEPENDENCYPART_ARC
(0,9),-0.830376 # DEPENDENCYPART_ARC
(0,10),-0.20122 # DEPENDENCYPART_ARC
(0,11),-0.684117 # DEPENDENCYPART_ARC
(0,12),-1.04238 # DEPENDENCYPART_ARC
(0,13),0.428719 # DEPENDENCYPART_ARC
(0,15),-1.5206 # DEPENDENCYPART_ARC
(0,16),-0.84789 # DEPENDENCYPART_ARC
(0,17),-0.802239 # DEPENDENCYPART_ARC
(0,18),-1.49605 # DEPENDENCYPART_ARC
(0,19),-0.301549 # DEPENDENCYPART_ARC
(0,20),-0.684081 # DEPENDENCYPART_ARC
(0,21),-1.55464 # DEPENDENCYPART_ARC
(0,22),-1.62818 # DEPENDENCYPART_ARC
(0,23),-1.99515 # DEPENDENCYPART_ARC
(1,2),-0.274573 # DEPENDENCYPART_ARC
(1,3),-1.87583 # DEPENDENCYPART_ARC
(1,4),-2.24731 # DEPENDENCYPART_ARC
(1,8),-1.81936 # DEPENDENCYPART_ARC
(1,10),-2.04463 # DEPENDENCYPART_ARC
(2,3),-0.706077 # DEPENDENCYPART_ARC
(2,10),-1.45603 # DEPENDENCYPART_ARC
(3,2),-0.316748 # DEPENDENCYPART_ARC
(3,4),-0.671957 # DEPENDENCYPART_ARC
(3,5),-1.62062 # DEPENDENCYPART_ARC
(3,6),-1.24079 # DEPENDENCYPART_ARC
(3,7),-2.06374 # DEPENDENCYPART_ARC
(3,9),-2.16773 # DEPENDENCYPART_ARC
(4,2),-1.11404 # DEPENDENCYPART_ARC
(4,3),-0.642129 # DEPENDENCYPART_ARC
(4,5),-0.430957 # DEPENDENCYPART_ARC
(4,6),-0.884227 # DEPENDENCYPART_ARC
(4,7),-1.15741 # DEPENDENCYPART_ARC
(4,9),-2.10323 # DEPENDENCYPART_ARC
(4,11),-1.85494 # DEPENDENCYPART_ARC
(5,2),-1.5079 # DEPENDENCYPART_ARC
(5,3),-1.6793 # DEPENDENCYPART_ARC
(5,4),1.30123 # DEPENDENCYPART_ARC
(5,6),-0.247639 # DEPENDENCYPART_ARC
(5,7),-1.04188 # DEPENDENCYPART_ARC
(5,9),-2.15058 # DEPENDENCYPART_ARC
(5,11),-1.93253 # DEPENDENCYPART_ARC
(6,1),-1.04823 # DEPENDENCYPART_ARC
(6,3),-1.24035 # DEPENDENCYPART_ARC
(6,4),-1.28044 # DEPENDENCYPART_ARC
(6,5),-0.702576 # DEPENDENCYPART_ARC
(6,7),-0.390543 # DEPENDENCYPART_ARC
(6,12),-0.648791 # DEPENDENCYPART_ARC
(6,17),-1.11416 # DEPENDENCYPART_ARC
(7,2),-1.61111 # DEPENDENCYPART_ARC
(7,3),-2.93751 # DEPENDENCYPART_ARC
(7,4),-0.338041 # DEPENDENCYPART_ARC
(7,5),0.261237 # DEPENDENCYPART_ARC
(7,6),1.27701 # DEPENDENCYPART_ARC
(7,8),-0.550486 # DEPENDENCYPART_ARC
(7,9),-0.782447 # DEPENDENCYPART_ARC
(7,11),-1.3029 # DEPENDENCYPART_ARC
(8,1),-0.132668 # DEPENDENCYPART_ARC
(8,2),-1.77571 # DEPENDENCYPART_ARC
(8,3),0.394622 # DEPENDENCYPART_ARC
(8,4),-0.67635 # DEPENDENCYPART_ARC
(8,5),-0.444726 # DEPENDENCYPART_ARC
(8,6),-0.0877243 # DEPENDENCYPART_ARC
(8,7),1.76001 # DEPENDENCYPART_ARC
(8,9),2.50961 # DEPENDENCYPART_ARC
(8,10),-0.555076 # DEPENDENCYPART_ARC
(8,11),-0.487233 # DEPENDENCYPART_ARC
(8,12),-1.01974 # DEPENDENCYPART_ARC
(8,13),-0.682802 # DEPENDENCYPART_ARC
(8,14),-1.23992 # DEPENDENCYPART_ARC
(8,16),-1.05125 # DEPENDENCYPART_ARC
(8,17),-1.09677 # DEPENDENCYPART_ARC
(8,18),-1.6525 # DEPENDENCYPART_ARC
(8,19),-0.736803 # DEPENDENCYPART_ARC
(8,20),-1.17938 # DEPENDENCYPART_ARC
(8,22),-0.772282 # DEPENDENCYPART_ARC
(9,4),-0.820141 # DEPENDENCYPART_ARC
(9,5),-0.741997 # DEPENDENCYPART_ARC
(9,7),-0.341059 # DEPENDENCYPART_ARC
(9,10),-0.91714 # DEPENDENCYPART_ARC
(9,11),-0.857652 # DEPENDENCYPART_ARC
(10,1),-0.161067 # DEPENDENCYPART_ARC
(10,2),-1.58094 # DEPENDENCYPART_ARC
(10,3),-0.0659891 # DEPENDENCYPART_ARC
(10,4),-1.06508 # DEPENDENCYPART_ARC
(10,5),-0.861294 # DEPENDENCYPART_ARC
(10,6),-0.435349 # DEPENDENCYPART_ARC
(10,7),0.301234 # DEPENDENCYPART_ARC
(10,8),0.38865 # DEPENDENCYPART_ARC
(10,9),0.0190409 # DEPENDENCYPART_ARC
(10,11),1.49056 # DEPENDENCYPART_ARC
(10,12),-0.435695 # DEPENDENCYPART_ARC
(10,13),-0.52139 # DEPENDENCYPART_ARC
(10,14),-0.957204 # DEPENDENCYPART_ARC
(10,16),-0.902987 # DEPENDENCYPART_ARC
(10,17),-0.971105 # DEPENDENCYPART_ARC
(10,18),-1.6726 # DEPENDENCYPART_ARC
(10,19),-0.830551 # DEPENDENCYPART_ARC
(10,20),-1.04027 # DEPENDENCYPART_ARC
(10,21),-1.65928 # DEPENDENCYPART_ARC
(10,22),-0.702868 # DEPENDENCYPART_ARC
(11,7),-0.970088 # DEPENDENCYPART_ARC
(11,8),-1.7383 # DEPENDENCYPART_ARC
(11,12),1.08512 # DEPENDENCYPART_ARC
(11,14),-1.18077 # DEPENDENCYPART_ARC
(11,16),-0.989226 # DEPENDENCYPART_ARC
(11,19),-0.843451 # DEPENDENCYPART_ARC
(11,22),-1.22363 # DEPENDENCYPART_ARC
(12,8),-1.00306 # DEPENDENCYPART_ARC
(12,9),-1.13568 # DEPENDENCYPART_ARC
(12,10),-0.684116 # DEPENDENCYPART_ARC
(12,11),-0.487805 # DEPENDENCYPART_ARC
(12,22),-1.13185 # DEPENDENCYPART_ARC
(13,8),-0.613126 # DEPENDENCYPART_ARC
(13,10),-0.546683 # DEPENDENCYPART_ARC
(13,12),-0.666383 # DEPENDENCYPART_ARC
(13,14),-0.513951 # DEPENDENCYPART_ARC
(13,19),-0.55014 # DEPENDENCYPART_ARC
(13,22),-0.628557 # DEPENDENCYPART_ARC
(14,6),-0.923766 # DEPENDENCYPART_ARC
(14,8),-1.27281 # DEPENDENCYPART_ARC
(14,10),-1.09603 # DEPENDENCYPART_ARC
(14,12),-1.08279 # DEPENDENCYPART_ARC
(14,15),1.85988 # DEPENDENCYPART_ARC
(14,16),-0.533439 # DEPENDENCYPART_ARC
(14,17),-0.88815 # DEPENDENCYPART_ARC
(14,18),-0.327408 # DEPENDENCYPART_ARC
(14,19),-0.559684 # DEPENDENCYPART_ARC
(14,20),-0.955012 # DEPENDENCYPART_ARC
(14,22),-0.880327 # DEPENDENCYPART_ARC
(14,23),-1.22647 # DEPENDENCYPART_ARC
(15,22),-1.22178 # DEPENDENCYPART_ARC
