# _root_ proposamenak pse , pp eta uaren babesa jaso zuen ; eajk eta eak kontra bozkatu zuten , eta iu-eb abstenitu egin zen .
#goldHeads=8,5,2,5,15,7,8,0,8,9,12,15,12,15,18,15,16,0,20,18,20,21,22,
#predictedHeads=8,5,2,5,8,7,8,18,8,9,12,15,12,15,18,15,16,0,20,18,20,20,22,
(0,1),-0.309665 # DEPENDENCYPART_ARC
(0,2),-1.07512 # DEPENDENCYPART_ARC
(0,3),-1.16067 # DEPENDENCYPART_ARC
(0,4),-1.04563 # DEPENDENCYPART_ARC
(0,5),-0.526037 # DEPENDENCYPART_ARC
(0,8),-0.0132709 # DEPENDENCYPART_ARC
(0,9),-0.941327 # DEPENDENCYPART_ARC
(0,10),-0.684927 # DEPENDENCYPART_ARC
(0,11),-0.922306 # DEPENDENCYPART_ARC
(0,12),-0.603693 # DEPENDENCYPART_ARC
(0,14),-0.851028 # DEPENDENCYPART_ARC
(0,15),-0.505651 # DEPENDENCYPART_ARC
(0,16),-0.646382 # DEPENDENCYPART_ARC
(0,17),-1.35755 # DEPENDENCYPART_ARC
(0,18),0.188589 # DEPENDENCYPART_ARC
(0,19),-1.24413 # DEPENDENCYPART_ARC
(0,20),-1.3331 # DEPENDENCYPART_ARC
(0,21),-1.70784 # DEPENDENCYPART_ARC
(0,22),-1.11218 # DEPENDENCYPART_ARC
(0,23),-2.38471 # DEPENDENCYPART_ARC
(1,2),-0.589876 # DEPENDENCYPART_ARC
(1,3),-1.70905 # DEPENDENCYPART_ARC
(2,1),-0.390414 # DEPENDENCYPART_ARC
(2,3),1.66596 # DEPENDENCYPART_ARC
(2,4),0.0721387 # DEPENDENCYPART_ARC
(2,7),-0.534742 # DEPENDENCYPART_ARC
(3,1),-1.21079 # DEPENDENCYPART_ARC
(4,2),-0.824306 # DEPENDENCYPART_ARC
(4,3),-0.275157 # DEPENDENCYPART_ARC
(4,5),-0.110249 # DEPENDENCYPART_ARC
(4,6),-0.629685 # DEPENDENCYPART_ARC
(5,1),-0.710095 # DEPENDENCYPART_ARC
(5,2),0.407065 # DEPENDENCYPART_ARC
(5,3),-1.08423 # DEPENDENCYPART_ARC
(5,4),2.29631 # DEPENDENCYPART_ARC
(5,6),1.42239 # DEPENDENCYPART_ARC
(5,7),0.315696 # DEPENDENCYPART_ARC
(5,8),-0.167521 # DEPENDENCYPART_ARC
(5,9),-0.8774 # DEPENDENCYPART_ARC
(5,12),-0.467039 # DEPENDENCYPART_ARC
(5,15),-0.516901 # DEPENDENCYPART_ARC
(5,18),-0.674701 # DEPENDENCYPART_ARC
(5,20),-1.11034 # DEPENDENCYPART_ARC
(5,21),-0.817236 # DEPENDENCYPART_ARC
(6,3),-2.19178 # DEPENDENCYPART_ARC
(6,7),0.00455942 # DEPENDENCYPART_ARC
(7,1),-2.91693 # DEPENDENCYPART_ARC
(7,2),-0.600053 # DEPENDENCYPART_ARC
(7,3),-1.40099 # DEPENDENCYPART_ARC
(7,4),-0.0431165 # DEPENDENCYPART_ARC
(7,5),-0.11114 # DEPENDENCYPART_ARC
(7,6),1.64466 # DEPENDENCYPART_ARC
(7,8),-1.52474 # DEPENDENCYPART_ARC
(7,9),-0.494426 # DEPENDENCYPART_ARC
(7,11),-2.45617 # DEPENDENCYPART_ARC
(7,13),-2.53123 # DEPENDENCYPART_ARC
(8,1),0.412963 # DEPENDENCYPART_ARC
(8,2),-0.773458 # DEPENDENCYPART_ARC
(8,3),-1.40587 # DEPENDENCYPART_ARC
(8,4),-0.399245 # DEPENDENCYPART_ARC
(8,5),0.505629 # DEPENDENCYPART_ARC
(8,6),0.0463187 # DEPENDENCYPART_ARC
(8,7),1.86969 # DEPENDENCYPART_ARC
(8,9),1.05034 # DEPENDENCYPART_ARC
(8,11),-0.214649 # DEPENDENCYPART_ARC
(8,12),-0.705015 # DEPENDENCYPART_ARC
