# _root_ esteban olaizola_gipuzkoako_kofradien_federazioko lehendakariaren ustez , " itsasontzi zaharrak dira , baina teknologia puntakoa dute " , esan du .
#goldHeads=9,1,1,3,4,5,9,7,11,9,17,14,12,11,14,15,0,17,18,
#predictedHeads=2,3,4,9,4,5,9,7,11,9,0,14,14,11,14,15,0,17,18,
(0,1),-0.278081 # DEPENDENCYPART_ARC
(0,2),-0.909765 # DEPENDENCYPART_ARC
(0,4),-0.625466 # DEPENDENCYPART_ARC
(0,5),-1.25646 # DEPENDENCYPART_ARC
(0,6),-1.08663 # DEPENDENCYPART_ARC
(0,7),-0.793827 # DEPENDENCYPART_ARC
(0,9),0.734685 # DEPENDENCYPART_ARC
(0,10),-1.09127 # DEPENDENCYPART_ARC
(0,11),1.1241 # DEPENDENCYPART_ARC
(0,13),-1.55795 # DEPENDENCYPART_ARC
(0,14),0.469098 # DEPENDENCYPART_ARC
(0,15),-1.62418 # DEPENDENCYPART_ARC
(0,16),-0.86485 # DEPENDENCYPART_ARC
(0,17),0.985777 # DEPENDENCYPART_ARC
(0,18),-0.623063 # DEPENDENCYPART_ARC
(0,19),-1.40033 # DEPENDENCYPART_ARC
(1,2),1.41293 # DEPENDENCYPART_ARC
(1,3),-0.0883841 # DEPENDENCYPART_ARC
(2,1),0.394439 # DEPENDENCYPART_ARC
(2,3),-0.167862 # DEPENDENCYPART_ARC
(2,4),-1.76029 # DEPENDENCYPART_ARC
(3,1),-0.0235999 # DEPENDENCYPART_ARC
(3,2),1.87856 # DEPENDENCYPART_ARC
(3,4),-0.164051 # DEPENDENCYPART_ARC
(3,5),-0.629991 # DEPENDENCYPART_ARC
(3,8),-3.30068 # DEPENDENCYPART_ARC
(4,1),-0.298839 # DEPENDENCYPART_ARC
(4,2),0.186684 # DEPENDENCYPART_ARC
(4,3),1.0589 # DEPENDENCYPART_ARC
(4,5),1.15353 # DEPENDENCYPART_ARC
(4,7),-0.896038 # DEPENDENCYPART_ARC
(4,8),-1.47342 # DEPENDENCYPART_ARC
(5,1),-1.27812 # DEPENDENCYPART_ARC
(5,3),-1.17736 # DEPENDENCYPART_ARC
(5,6),0.953484 # DEPENDENCYPART_ARC
(5,7),-0.870727 # DEPENDENCYPART_ARC
(5,8),-0.8112 # DEPENDENCYPART_ARC
(5,9),-0.444548 # DEPENDENCYPART_ARC
(5,12),-0.704131 # DEPENDENCYPART_ARC
(5,17),-0.898871 # DEPENDENCYPART_ARC
(6,2),-1.15877 # DEPENDENCYPART_ARC
(6,7),-0.734965 # DEPENDENCYPART_ARC
(6,8),-1.02304 # DEPENDENCYPART_ARC
(7,1),-1.19619 # DEPENDENCYPART_ARC
(7,2),-1.45871 # DEPENDENCYPART_ARC
(7,3),-0.967845 # DEPENDENCYPART_ARC
(7,4),-1.31225 # DEPENDENCYPART_ARC
(7,5),-0.846372 # DEPENDENCYPART_ARC
(7,6),-0.428125 # DEPENDENCYPART_ARC
(7,8),1.52882 # DEPENDENCYPART_ARC
(7,9),-1.06361 # DEPENDENCYPART_ARC
(7,10),-0.674493 # DEPENDENCYPART_ARC
(7,11),-0.692875 # DEPENDENCYPART_ARC
(7,12),-0.823183 # DEPENDENCYPART_ARC
(7,13),-0.217136 # DEPENDENCYPART_ARC
(7,14),-1.30626 # DEPENDENCYPART_ARC
(7,17),-0.75798 # DEPENDENCYPART_ARC
(7,19),-1.21181 # DEPENDENCYPART_ARC
(8,3),-0.627045 # DEPENDENCYPART_ARC
(8,4),-1.21776 # DEPENDENCYPART_ARC
(8,7),-0.285985 # DEPENDENCYPART_ARC
(8,9),-0.569699 # DEPENDENCYPART_ARC
(8,10),-0.12621 # DEPENDENCYPART_ARC
(8,11),-0.764353 # DEPENDENCYPART_ARC
(8,12),-1.07724 # DEPENDENCYPART_ARC
(9,1),-0.426053 # DEPENDENCYPART_ARC
(9,2),-0.187627 # DEPENDENCYPART_ARC
(9,3),-0.627702 # DEPENDENCYPART_ARC
(9,4),0.426297 # DEPENDENCYPART_ARC
(9,5),-0.707124 # DEPENDENCYPART_ARC
(9,7),1.0541 # DEPENDENCYPART_ARC
(9,8),0.855911 # DEPENDENCYPART_ARC
(9,10),1.18631 # DEPENDENCYPART_ARC
(9,11),-0.4181 # DEPENDENCYPART_ARC
(9,12),-0.181995 # DEPENDENCYPART_ARC
(9,13),-0.367642 # DEPENDENCYPART_ARC
(9,14),-1.00785 # DEPENDENCYPART_ARC
(9,17),-0.760032 # DEPENDENCYPART_ARC
(9,18),-1.59335 # DEPENDENCYPART_ARC
(10,1),-1.16178 # DEPENDENCYPART_ARC
(10,9),-0.369351 # DEPENDENCYPART_ARC
(10,11),-0.31124 # DEPENDENCYPART_ARC
(10,12),-1.34282 # DEPENDENCYPART_ARC
