# _root_ urtero bezalaxe jarri dira , ailegatu bezain agudo , plaza_erdian danborra eta turutarekin abisua emanez .
#goldHeads=3,1,0,3,4,3,6,7,8,15,12,15,12,15,3,15,
#predictedHeads=3,3,0,3,4,3,6,7,8,11,12,14,12,15,3,15,
(0,1),-0.0869807 # DEPENDENCYPART_ARC
(0,2),-0.794388 # DEPENDENCYPART_ARC
(0,3),-0.137558 # DEPENDENCYPART_ARC
(0,4),-0.643615 # DEPENDENCYPART_ARC
(0,5),-1.09845 # DEPENDENCYPART_ARC
(0,6),-0.817142 # DEPENDENCYPART_ARC
(0,7),-0.794896 # DEPENDENCYPART_ARC
(0,8),-0.840014 # DEPENDENCYPART_ARC
(0,9),-1.2202 # DEPENDENCYPART_ARC
(0,10),-0.964182 # DEPENDENCYPART_ARC
(0,11),-0.584942 # DEPENDENCYPART_ARC
(0,12),-0.425965 # DEPENDENCYPART_ARC
(0,13),-1.09116 # DEPENDENCYPART_ARC
(0,14),-0.702069 # DEPENDENCYPART_ARC
(0,15),-1.0952 # DEPENDENCYPART_ARC
(0,16),-1.87516 # DEPENDENCYPART_ARC
(1,2),-0.889314 # DEPENDENCYPART_ARC
(1,5),-1.69653 # DEPENDENCYPART_ARC
(2,1),0.0226358 # DEPENDENCYPART_ARC
(2,3),-0.233152 # DEPENDENCYPART_ARC
(2,5),-0.52651 # DEPENDENCYPART_ARC
(2,7),-1.04062 # DEPENDENCYPART_ARC
(2,8),-1.00879 # DEPENDENCYPART_ARC
(3,1),0.274055 # DEPENDENCYPART_ARC
(3,2),0.71751 # DEPENDENCYPART_ARC
(3,4),1.33167 # DEPENDENCYPART_ARC
(3,5),-0.35493 # DEPENDENCYPART_ARC
(3,6),-0.247188 # DEPENDENCYPART_ARC
(3,7),-0.499158 # DEPENDENCYPART_ARC
(3,8),-0.563353 # DEPENDENCYPART_ARC
(3,9),-0.898574 # DEPENDENCYPART_ARC
(3,10),-1.04483 # DEPENDENCYPART_ARC
(3,11),-0.833009 # DEPENDENCYPART_ARC
(3,12),-0.308188 # DEPENDENCYPART_ARC
(3,13),-1.10166 # DEPENDENCYPART_ARC
(3,14),-1.08202 # DEPENDENCYPART_ARC
(3,15),0.00101934 # DEPENDENCYPART_ARC
(4,2),-0.601491 # DEPENDENCYPART_ARC
(4,3),-0.3323 # DEPENDENCYPART_ARC
(4,5),1.11937 # DEPENDENCYPART_ARC
(4,6),-0.728215 # DEPENDENCYPART_ARC
(4,7),-0.731297 # DEPENDENCYPART_ARC
(4,8),-0.837758 # DEPENDENCYPART_ARC
(4,12),-0.393732 # DEPENDENCYPART_ARC
(4,15),-0.715049 # DEPENDENCYPART_ARC
(5,3),-0.692088 # DEPENDENCYPART_ARC
(5,4),-0.42119 # DEPENDENCYPART_ARC
(5,6),-0.101684 # DEPENDENCYPART_ARC
(5,15),-1.01275 # DEPENDENCYPART_ARC
(6,1),-0.841555 # DEPENDENCYPART_ARC
(6,2),-0.798751 # DEPENDENCYPART_ARC
(6,3),-0.414605 # DEPENDENCYPART_ARC
(6,4),-0.674396 # DEPENDENCYPART_ARC
(6,5),-0.350145 # DEPENDENCYPART_ARC
(6,7),0.691506 # DEPENDENCYPART_ARC
(6,8),-0.170367 # DEPENDENCYPART_ARC
(6,9),-0.783644 # DEPENDENCYPART_ARC
(6,10),-0.830994 # DEPENDENCYPART_ARC
(6,11),-0.573527 # DEPENDENCYPART_ARC
(6,12),-0.733255 # DEPENDENCYPART_ARC
(6,13),-1.0089 # DEPENDENCYPART_ARC
(6,14),-0.984354 # DEPENDENCYPART_ARC
(6,15),-0.21302 # DEPENDENCYPART_ARC
(7,3),-1.37117 # DEPENDENCYPART_ARC
(7,6),-0.392332 # DEPENDENCYPART_ARC
(7,8),0.0605694 # DEPENDENCYPART_ARC
(7,9),-0.357895 # DEPENDENCYPART_ARC
(7,10),-0.996665 # DEPENDENCYPART_ARC
