# _root_ aurtengo ekoizpenen erakusketez_gainera , bertso txapelketak eta lete , valverde eta lertxundiren kantaldiek hartuko dute lekurik nabarmenena .
#goldHeads=2,3,14,3,6,7,14,11,8,11,13,11,7,0,14,14,16,17,
#predictedHeads=2,3,7,3,6,7,14,11,8,11,13,11,14,0,14,14,16,17,
(0,1),-0.265335 # DEPENDENCYPART_ARC
(0,2),-1.00606 # DEPENDENCYPART_ARC
(0,3),-1.16629 # DEPENDENCYPART_ARC
(0,4),-1.44312 # DEPENDENCYPART_ARC
(0,5),-0.770856 # DEPENDENCYPART_ARC
(0,6),-0.979881 # DEPENDENCYPART_ARC
(0,7),-0.677945 # DEPENDENCYPART_ARC
(0,8),-1.41345 # DEPENDENCYPART_ARC
(0,9),-1.68562 # DEPENDENCYPART_ARC
(0,10),-1.09995 # DEPENDENCYPART_ARC
(0,11),-0.879429 # DEPENDENCYPART_ARC
(0,12),-1.36758 # DEPENDENCYPART_ARC
(0,13),-1.44439 # DEPENDENCYPART_ARC
(0,14),-0.43619 # DEPENDENCYPART_ARC
(0,15),-0.94815 # DEPENDENCYPART_ARC
(0,16),-1.39581 # DEPENDENCYPART_ARC
(0,17),-1.51926 # DEPENDENCYPART_ARC
(0,18),-2.31949 # DEPENDENCYPART_ARC
(1,2),-1.03674 # DEPENDENCYPART_ARC
(1,3),-1.9071 # DEPENDENCYPART_ARC
(1,4),-1.72095 # DEPENDENCYPART_ARC
(2,1),0.664091 # DEPENDENCYPART_ARC
(2,3),-0.626981 # DEPENDENCYPART_ARC
(2,4),-0.560846 # DEPENDENCYPART_ARC
(2,5),-1.19832 # DEPENDENCYPART_ARC
(2,6),-1.33239 # DEPENDENCYPART_ARC
(2,7),-1.34157 # DEPENDENCYPART_ARC
(2,8),-1.19128 # DEPENDENCYPART_ARC
(3,1),0.253214 # DEPENDENCYPART_ARC
(3,2),1.70075 # DEPENDENCYPART_ARC
(3,4),1.40813 # DEPENDENCYPART_ARC
(3,5),-0.802899 # DEPENDENCYPART_ARC
(3,6),-1.38466 # DEPENDENCYPART_ARC
(3,7),-1.4215 # DEPENDENCYPART_ARC
(3,8),-0.802964 # DEPENDENCYPART_ARC
(3,11),-1.41681 # DEPENDENCYPART_ARC
(3,14),-1.76313 # DEPENDENCYPART_ARC
(4,2),-1.06947 # DEPENDENCYPART_ARC
(4,3),-0.710761 # DEPENDENCYPART_ARC
(4,5),-0.462896 # DEPENDENCYPART_ARC
(4,6),-1.11241 # DEPENDENCYPART_ARC
(4,16),-0.938179 # DEPENDENCYPART_ARC
(5,1),-1.04177 # DEPENDENCYPART_ARC
(5,2),-0.916817 # DEPENDENCYPART_ARC
(5,3),-0.634961 # DEPENDENCYPART_ARC
(5,4),-0.25426 # DEPENDENCYPART_ARC
(5,6),0.332111 # DEPENDENCYPART_ARC
(5,7),-0.496591 # DEPENDENCYPART_ARC
(5,8),-0.814118 # DEPENDENCYPART_ARC
(5,10),-0.791134 # DEPENDENCYPART_ARC
(5,11),-0.648571 # DEPENDENCYPART_ARC
(6,1),-0.0635252 # DEPENDENCYPART_ARC
(6,2),0.212977 # DEPENDENCYPART_ARC
(6,3),-0.298472 # DEPENDENCYPART_ARC
(6,4),-0.822665 # DEPENDENCYPART_ARC
(6,5),1.19768 # DEPENDENCYPART_ARC
(6,7),-0.816363 # DEPENDENCYPART_ARC
(6,8),-1.33497 # DEPENDENCYPART_ARC
(6,9),-0.898576 # DEPENDENCYPART_ARC
(6,10),-0.956207 # DEPENDENCYPART_ARC
(6,11),-1.80186 # DEPENDENCYPART_ARC
(6,12),-1.86795 # DEPENDENCYPART_ARC
(7,1),-0.95595 # DEPENDENCYPART_ARC
(7,2),-0.805283 # DEPENDENCYPART_ARC
(7,3),-0.391113 # DEPENDENCYPART_ARC
(7,4),-1.33588 # DEPENDENCYPART_ARC
(7,5),0.171333 # DEPENDENCYPART_ARC
(7,6),1.43325 # DEPENDENCYPART_ARC
(7,8),0.996789 # DEPENDENCYPART_ARC
(7,9),-0.337423 # DEPENDENCYPART_ARC
(7,10),-0.639764 # DEPENDENCYPART_ARC
(7,11),-0.589912 # DEPENDENCYPART_ARC
(7,12),-0.411594 # DEPENDENCYPART_ARC
(7,13),0.231341 # DEPENDENCYPART_ARC
(7,14),-0.503109 # DEPENDENCYPART_ARC
(7,16),-0.700677 # DEPENDENCYPART_ARC
(8,5),-1.89263 # DEPENDENCYPART_ARC
(8,6),-2.45024 # DEPENDENCYPART_ARC
(8,9),1.46201 # DEPENDENCYPART_ARC
(8,11),-0.506664 # DEPENDENCYPART_ARC
(8,13),-0.739306 # DEPENDENCYPART_ARC
(8,14),-0.63429 # DEPENDENCYPART_ARC
(8,16),-0.847568 # DEPENDENCYPART_ARC
(9,7),-0.831258 # DEPENDENCYPART_ARC
(9,11),-0.91863 # DEPENDENCYPART_ARC
(9,14),-0.944771 # DEPENDENCYPART_ARC
(10,8),-1.10677 # DEPENDENCYPART_ARC
(10,9),-0.351522 # DEPENDENCYPART_ARC
(10,12),0.371046 # DEPENDENCYPART_ARC
(10,13),-0.31699 # DEPENDENCYPART_ARC
(11,1),-1.01434 # DEPENDENCYPART_ARC
(11,2),-1.14115 # DEPENDENCYPART_ARC
(11,3),-0.736592 # DEPENDENCYPART_ARC
(11,5),-0.683818 # DEPENDENCYPART_ARC
(11,6),-0.325311 # DEPENDENCYPART_ARC
(11,7),-0.515271 # DEPENDENCYPART_ARC
(11,8),0.616826 # DEPENDENCYPART_ARC
(11,9),-1.154 # DEPENDENCYPART_ARC
(11,10),2.08073 # DEPENDENCYPART_ARC
(11,12),1.34161 # DEPENDENCYPART_ARC
(11,13),0.915703 # DEPENDENCYPART_ARC
(11,14),-0.12919 # DEPENDENCYPART_ARC
(11,15),-0.672565 # DEPENDENCYPART_ARC
(11,16),-0.237315 # DEPENDENCYPART_ARC
(12,13),-0.327952 # DEPENDENCYPART_ARC
(12,14),-1.92969 # DEPENDENCYPART_ARC
(12,16),-1.40876 # DEPENDENCYPART_ARC
