# _root_ bigarrenik , polimerizazio edo oxigeno zein nitrogenozko zubi baten bidezko bi molekula organikoren konbinazioa , eta alderantzizko prozesu edo hidrolisia .
#goldHeads=0,1,4,14,6,8,6,4,8,9,12,14,12,16,14,0,18,19,16,19,20,
#predictedHeads=3,3,4,8,6,8,6,12,8,9,12,14,12,16,14,0,18,19,16,19,20,
(0,2),-0.892406 # DEPENDENCYPART_ARC
(0,3),-0.677566 # DEPENDENCYPART_ARC
(0,4),-0.371843 # DEPENDENCYPART_ARC
(0,5),-0.744032 # DEPENDENCYPART_ARC
(0,6),-0.356031 # DEPENDENCYPART_ARC
(0,12),-1.07501 # DEPENDENCYPART_ARC
(0,13),-1.3916 # DEPENDENCYPART_ARC
(0,14),-1.33703 # DEPENDENCYPART_ARC
(0,15),-1.34311 # DEPENDENCYPART_ARC
(0,16),-0.152208 # DEPENDENCYPART_ARC
(0,17),-1.13629 # DEPENDENCYPART_ARC
(0,18),-1.37061 # DEPENDENCYPART_ARC
(0,19),-1.03219 # DEPENDENCYPART_ARC
(0,20),-1.43617 # DEPENDENCYPART_ARC
(0,21),-2.16596 # DEPENDENCYPART_ARC
(2,3),-0.632219 # DEPENDENCYPART_ARC
(3,1),-0.640628 # DEPENDENCYPART_ARC
(3,2),-0.334035 # DEPENDENCYPART_ARC
(3,4),0.103395 # DEPENDENCYPART_ARC
(3,5),-0.590518 # DEPENDENCYPART_ARC
(4,2),-0.818612 # DEPENDENCYPART_ARC
(4,3),2.22295 # DEPENDENCYPART_ARC
(4,5),1.20623 # DEPENDENCYPART_ARC
(4,6),-0.243609 # DEPENDENCYPART_ARC
(4,7),0.379004 # DEPENDENCYPART_ARC
(4,8),-0.494111 # DEPENDENCYPART_ARC
(4,9),-0.657403 # DEPENDENCYPART_ARC
(4,10),-0.182253 # DEPENDENCYPART_ARC
(4,11),-0.559238 # DEPENDENCYPART_ARC
(4,12),-0.612586 # DEPENDENCYPART_ARC
(4,14),-0.295106 # DEPENDENCYPART_ARC
(4,16),-0.638534 # DEPENDENCYPART_ARC
(4,18),-1.00362 # DEPENDENCYPART_ARC
(4,19),-0.494802 # DEPENDENCYPART_ARC
(4,20),-0.393085 # DEPENDENCYPART_ARC
(5,1),-1.76488 # DEPENDENCYPART_ARC
(5,2),-1.62337 # DEPENDENCYPART_ARC
(5,3),-0.687377 # DEPENDENCYPART_ARC
(5,4),-0.276715 # DEPENDENCYPART_ARC
(5,6),0.0535482 # DEPENDENCYPART_ARC
(5,7),-0.0397797 # DEPENDENCYPART_ARC
(5,9),-0.529431 # DEPENDENCYPART_ARC
(6,2),-1.43153 # DEPENDENCYPART_ARC
(6,3),0.417804 # DEPENDENCYPART_ARC
(6,4),-0.560701 # DEPENDENCYPART_ARC
(6,5),1.58484 # DEPENDENCYPART_ARC
(6,7),1.53937 # DEPENDENCYPART_ARC
(6,8),-0.348055 # DEPENDENCYPART_ARC
(6,9),-0.759158 # DEPENDENCYPART_ARC
(6,10),-0.110251 # DEPENDENCYPART_ARC
(6,11),-0.763004 # DEPENDENCYPART_ARC
(6,12),-0.516378 # DEPENDENCYPART_ARC
(6,14),-0.267706 # DEPENDENCYPART_ARC
(6,16),-0.668202 # DEPENDENCYPART_ARC
(6,18),-0.797314 # DEPENDENCYPART_ARC
(6,19),-0.778715 # DEPENDENCYPART_ARC
(6,20),-0.124406 # DEPENDENCYPART_ARC
(7,2),-2.02475 # DEPENDENCYPART_ARC
(7,5),-0.620767 # DEPENDENCYPART_ARC
(7,6),-0.256593 # DEPENDENCYPART_ARC
(7,8),-0.60582 # DEPENDENCYPART_ARC
(7,9),-1.32112 # DEPENDENCYPART_ARC
(7,11),-2.62696 # DEPENDENCYPART_ARC
(7,13),-2.73479 # DEPENDENCYPART_ARC
(8,2),-1.59618 # DEPENDENCYPART_ARC
(8,3),-0.856411 # DEPENDENCYPART_ARC
(8,4),-0.322627 # DEPENDENCYPART_ARC
(8,5),-0.336597 # DEPENDENCYPART_ARC
(8,6),-0.0366117 # DEPENDENCYPART_ARC
(8,7),1.15172 # DEPENDENCYPART_ARC
(8,9),1.33901 # DEPENDENCYPART_ARC
(8,10),-0.0786879 # DEPENDENCYPART_ARC
(8,11),-0.56459 # DEPENDENCYPART_ARC
(8,13),-0.728688 # DEPENDENCYPART_ARC
(8,16),-0.568418 # DEPENDENCYPART_ARC
(9,7),-0.452902 # DEPENDENCYPART_ARC
(9,8),-0.474523 # DEPENDENCYPART_ARC
(9,10),0.777867 # DEPENDENCYPART_ARC
(10,3),-1.5493 # DEPENDENCYPART_ARC
(10,4),-0.851779 # DEPENDENCYPART_ARC
(10,5),-1.2568 # DEPENDENCYPART_ARC
(10,6),-0.780986 # DEPENDENCYPART_ARC
(10,7),-0.97119 # DEPENDENCYPART_ARC
(10,8),-0.31986 # DEPENDENCYPART_ARC
