# _root_ hura ikustean arkitektoa izan behar_nuen burutazioa sartu zitzaion aitari , etxetxoak ganbarara bazterreratu eta traste_artean zapuztu , potortu eta hautsatu ziren arte .
#goldHeads=2,7,4,5,6,7,0,7,7,9,13,13,14,7,16,14,16,14,7,14,20,21,22,
#predictedHeads=2,5,4,5,6,7,0,7,7,9,13,13,14,7,16,14,16,19,0,19,20,20,22,
(0,1),-0.880871 # DEPENDENCYPART_ARC
(0,2),-1.18916 # DEPENDENCYPART_ARC
(0,3),-0.395409 # DEPENDENCYPART_ARC
(0,4),-1.11429 # DEPENDENCYPART_ARC
(0,5),-0.70414 # DEPENDENCYPART_ARC
(0,6),-0.658333 # DEPENDENCYPART_ARC
(0,7),-0.27576 # DEPENDENCYPART_ARC
(0,8),-0.753657 # DEPENDENCYPART_ARC
(0,9),-1.3994 # DEPENDENCYPART_ARC
(0,10),-0.777504 # DEPENDENCYPART_ARC
(0,13),-1.41242 # DEPENDENCYPART_ARC
(0,14),0.00685788 # DEPENDENCYPART_ARC
(0,16),-1.3738 # DEPENDENCYPART_ARC
(0,17),-0.737483 # DEPENDENCYPART_ARC
(0,18),-1.23605 # DEPENDENCYPART_ARC
(0,19),0.145639 # DEPENDENCYPART_ARC
(0,20),-0.672391 # DEPENDENCYPART_ARC
(0,21),-0.514946 # DEPENDENCYPART_ARC
(0,22),-1.4708 # DEPENDENCYPART_ARC
(0,23),-2.3415 # DEPENDENCYPART_ARC
(1,2),-1.12504 # DEPENDENCYPART_ARC
(2,1),0.968096 # DEPENDENCYPART_ARC
(2,3),0.165532 # DEPENDENCYPART_ARC
(2,4),-0.48275 # DEPENDENCYPART_ARC
(2,5),-0.594844 # DEPENDENCYPART_ARC
(2,6),-1.09452 # DEPENDENCYPART_ARC
(2,8),-2.53302 # DEPENDENCYPART_ARC
(2,10),-1.02933 # DEPENDENCYPART_ARC
(2,19),-0.355681 # DEPENDENCYPART_ARC
(3,1),-1.93772 # DEPENDENCYPART_ARC
(3,2),1.25849 # DEPENDENCYPART_ARC
(3,4),0.0279573 # DEPENDENCYPART_ARC
(4,1),-0.656891 # DEPENDENCYPART_ARC
(4,2),0.400456 # DEPENDENCYPART_ARC
(4,3),1.52891 # DEPENDENCYPART_ARC
(4,5),0.332759 # DEPENDENCYPART_ARC
(4,6),-0.0825366 # DEPENDENCYPART_ARC
(4,7),-0.347679 # DEPENDENCYPART_ARC
(4,8),-0.804412 # DEPENDENCYPART_ARC
(4,9),-0.250769 # DEPENDENCYPART_ARC
(4,10),-1.02065 # DEPENDENCYPART_ARC
(4,11),-1.2323 # DEPENDENCYPART_ARC
(4,12),-0.868871 # DEPENDENCYPART_ARC
(4,13),-0.474353 # DEPENDENCYPART_ARC
(4,14),-0.549911 # DEPENDENCYPART_ARC
(4,16),-0.557857 # DEPENDENCYPART_ARC
(4,18),-0.786269 # DEPENDENCYPART_ARC
(4,19),-0.571795 # DEPENDENCYPART_ARC
(4,20),-0.952739 # DEPENDENCYPART_ARC
(4,22),-1.53467 # DEPENDENCYPART_ARC
(5,1),-0.347121 # DEPENDENCYPART_ARC
(5,2),1.4592 # DEPENDENCYPART_ARC
(5,3),0.529043 # DEPENDENCYPART_ARC
(5,4),1.55207 # DEPENDENCYPART_ARC
(5,6),-1.614 # DEPENDENCYPART_ARC
(5,7),-1.77974 # DEPENDENCYPART_ARC
(5,8),-0.691973 # DEPENDENCYPART_ARC
(5,9),-1.77523 # DEPENDENCYPART_ARC
(5,12),-2.75988 # DEPENDENCYPART_ARC
(5,14),-0.686192 # DEPENDENCYPART_ARC
(5,19),-0.685128 # DEPENDENCYPART_ARC
(5,21),-1.67479 # DEPENDENCYPART_ARC
(6,1),-3.37606 # DEPENDENCYPART_ARC
