# _root_ - abuztuaren 9an , berriozarren espainiako ejerzitoaren_aurka armaz burututako ekintza , zeinaren ondorioz francisco_casanova vicente tenienteordea hilik gertatu zen .
#goldHeads=0,3,9,3,9,7,9,9,10,0,10,13,18,16,14,18,18,10,18,19,
#predictedHeads=0,3,18,3,9,7,8,9,10,18,10,13,18,16,14,18,18,0,18,19,
(0,1),0.797785 # DEPENDENCYPART_ARC
(0,2),-0.506017 # DEPENDENCYPART_ARC
(0,3),-0.594731 # DEPENDENCYPART_ARC
(0,4),-0.920328 # DEPENDENCYPART_ARC
(0,5),-0.767446 # DEPENDENCYPART_ARC
(0,6),-0.880493 # DEPENDENCYPART_ARC
(0,7),-0.597463 # DEPENDENCYPART_ARC
(0,8),-0.489983 # DEPENDENCYPART_ARC
(0,9),-0.833221 # DEPENDENCYPART_ARC
(0,10),-0.43221 # DEPENDENCYPART_ARC
(0,11),-1.11001 # DEPENDENCYPART_ARC
(0,12),-1.61084 # DEPENDENCYPART_ARC
(0,13),-0.489883 # DEPENDENCYPART_ARC
(0,14),-0.896897 # DEPENDENCYPART_ARC
(0,15),-0.830104 # DEPENDENCYPART_ARC
(0,16),-0.896968 # DEPENDENCYPART_ARC
(0,17),-0.965065 # DEPENDENCYPART_ARC
(0,18),-0.650713 # DEPENDENCYPART_ARC
(0,19),-1.21289 # DEPENDENCYPART_ARC
(0,20),-2.25629 # DEPENDENCYPART_ARC
(1,2),-1.30515 # DEPENDENCYPART_ARC
(1,9),-1.66482 # DEPENDENCYPART_ARC
(2,1),-0.620226 # DEPENDENCYPART_ARC
(2,3),1.02422 # DEPENDENCYPART_ARC
(2,4),-0.105664 # DEPENDENCYPART_ARC
(2,5),-0.529233 # DEPENDENCYPART_ARC
(2,6),-0.299595 # DEPENDENCYPART_ARC
(2,7),-0.731856 # DEPENDENCYPART_ARC
(2,8),-0.604473 # DEPENDENCYPART_ARC
(2,9),-1.23741 # DEPENDENCYPART_ARC
(2,10),-0.854004 # DEPENDENCYPART_ARC
(2,18),-1.65238 # DEPENDENCYPART_ARC
(3,2),0.812767 # DEPENDENCYPART_ARC
(3,4),1.39511 # DEPENDENCYPART_ARC
(3,7),-1.84996 # DEPENDENCYPART_ARC
(4,8),-0.871847 # DEPENDENCYPART_ARC
(4,9),-1.06755 # DEPENDENCYPART_ARC
(4,18),-1.49661 # DEPENDENCYPART_ARC
(5,2),-1.56199 # DEPENDENCYPART_ARC
(5,4),-0.506856 # DEPENDENCYPART_ARC
(5,6),-0.0289719 # DEPENDENCYPART_ARC
(5,7),-1.44222 # DEPENDENCYPART_ARC
(5,8),-1.35882 # DEPENDENCYPART_ARC
(6,2),-1.59878 # DEPENDENCYPART_ARC
(6,4),-1.41446 # DEPENDENCYPART_ARC
(6,5),-2.93028 # DEPENDENCYPART_ARC
(6,7),-0.922133 # DEPENDENCYPART_ARC
(6,8),-1.36584 # DEPENDENCYPART_ARC
(7,2),-0.513142 # DEPENDENCYPART_ARC
