# _root_ haren ustez , eaj eta eaeko gobernua dira askatasun faltaren arduradunak , " etak finkatutako ildoak jarraitzen dituztelako " .
#goldHeads=2,8,2,5,7,5,8,0,10,11,8,11,12,15,16,17,8,17,18,19,
#predictedHeads=2,8,2,5,8,7,8,0,10,11,8,11,12,15,16,17,8,17,18,19,
(0,1),-0.764628 # DEPENDENCYPART_ARC
(0,2),-0.76615 # DEPENDENCYPART_ARC
(0,3),-1.10589 # DEPENDENCYPART_ARC
(0,4),-0.690332 # DEPENDENCYPART_ARC
(0,5),-0.347121 # DEPENDENCYPART_ARC
(0,6),-1.07543 # DEPENDENCYPART_ARC
(0,7),-0.848665 # DEPENDENCYPART_ARC
(0,8),0.345108 # DEPENDENCYPART_ARC
(0,9),-0.988153 # DEPENDENCYPART_ARC
(0,10),-0.687492 # DEPENDENCYPART_ARC
(0,11),-0.841469 # DEPENDENCYPART_ARC
(0,12),-1.55195 # DEPENDENCYPART_ARC
(0,13),-2.07156 # DEPENDENCYPART_ARC
(0,14),-1.28488 # DEPENDENCYPART_ARC
(0,15),-1.18945 # DEPENDENCYPART_ARC
(0,16),-0.967605 # DEPENDENCYPART_ARC
(0,17),-0.638729 # DEPENDENCYPART_ARC
(0,18),-0.947584 # DEPENDENCYPART_ARC
(0,19),-2.64299 # DEPENDENCYPART_ARC
(0,20),-2.07164 # DEPENDENCYPART_ARC
(2,1),0.0215423 # DEPENDENCYPART_ARC
(2,3),0.901995 # DEPENDENCYPART_ARC
(2,4),-0.746728 # DEPENDENCYPART_ARC
(2,5),-0.458627 # DEPENDENCYPART_ARC
(2,7),-0.821887 # DEPENDENCYPART_ARC
(2,9),-0.776516 # DEPENDENCYPART_ARC
(2,10),-0.839002 # DEPENDENCYPART_ARC
(3,8),-0.771072 # DEPENDENCYPART_ARC
(4,3),-0.218864 # DEPENDENCYPART_ARC
(4,6),-1.61859 # DEPENDENCYPART_ARC
(5,1),-1.154 # DEPENDENCYPART_ARC
(5,2),-0.523765 # DEPENDENCYPART_ARC
(5,3),-1.09235 # DEPENDENCYPART_ARC
(5,4),2.41766 # DEPENDENCYPART_ARC
(5,6),1.6417 # DEPENDENCYPART_ARC
(5,7),0.275946 # DEPENDENCYPART_ARC
(5,8),-0.219471 # DEPENDENCYPART_ARC
(5,9),-0.681768 # DEPENDENCYPART_ARC
(5,10),-0.65434 # DEPENDENCYPART_ARC
(5,11),-0.14614 # DEPENDENCYPART_ARC
(5,12),-1.08684 # DEPENDENCYPART_ARC
(5,15),-0.873269 # DEPENDENCYPART_ARC
(5,16),-0.557465 # DEPENDENCYPART_ARC
(5,17),-0.716441 # DEPENDENCYPART_ARC
(6,3),-2.35598 # DEPENDENCYPART_ARC
(6,4),-3.38408 # DEPENDENCYPART_ARC
(6,7),-0.700006 # DEPENDENCYPART_ARC
(7,1),-1.07507 # DEPENDENCYPART_ARC
(7,2),-0.908924 # DEPENDENCYPART_ARC
(7,3),-1.30195 # DEPENDENCYPART_ARC
(7,4),-0.605428 # DEPENDENCYPART_ARC
(7,5),-0.186447 # DEPENDENCYPART_ARC
(7,6),1.83093 # DEPENDENCYPART_ARC
(7,8),-1.13586 # DEPENDENCYPART_ARC
(7,9),-1.14869 # DEPENDENCYPART_ARC
(7,10),-1.40351 # DEPENDENCYPART_ARC
(7,11),-1.43101 # DEPENDENCYPART_ARC
(7,17),-1.56931 # DEPENDENCYPART_ARC
(8,1),-1.09483 # DEPENDENCYPART_ARC
(8,2),-0.327009 # DEPENDENCYPART_ARC
(8,3),-1.04017 # DEPENDENCYPART_ARC
(8,4),-0.14535 # DEPENDENCYPART_ARC
