# _root_ berdin egiten dute elefante eta zaldi gidariek , zeintzuek praktikaz hezitzen dituzte abere hoiek , hezitzeko zientziatik ezertxo_ere jakin gabe .
#goldHeads=2,0,2,5,7,5,2,7,11,11,7,11,11,13,14,17,19,19,11,19,20,
#predictedHeads=2,0,2,5,7,5,11,7,11,11,0,11,11,13,14,17,19,19,11,19,20,
(0,1),-0.281355 # DEPENDENCYPART_ARC
(0,2),-0.423621 # DEPENDENCYPART_ARC
(0,3),-0.413993 # DEPENDENCYPART_ARC
(0,4),-0.993025 # DEPENDENCYPART_ARC
(0,5),-0.064317 # DEPENDENCYPART_ARC
(0,6),-1.13543 # DEPENDENCYPART_ARC
(0,7),-1.37355 # DEPENDENCYPART_ARC
(0,8),-0.985978 # DEPENDENCYPART_ARC
(0,9),-1.90331 # DEPENDENCYPART_ARC
(0,10),-0.96182 # DEPENDENCYPART_ARC
(0,11),-0.499972 # DEPENDENCYPART_ARC
(0,12),-0.669454 # DEPENDENCYPART_ARC
(0,13),-1.46646 # DEPENDENCYPART_ARC
(0,14),-1.74512 # DEPENDENCYPART_ARC
(0,15),-0.796648 # DEPENDENCYPART_ARC
(0,16),-1.30571 # DEPENDENCYPART_ARC
(0,17),-1.36759 # DEPENDENCYPART_ARC
(0,18),-1.42249 # DEPENDENCYPART_ARC
(0,19),-1.24849 # DEPENDENCYPART_ARC
(0,20),-0.958269 # DEPENDENCYPART_ARC
(0,21),-1.91731 # DEPENDENCYPART_ARC
(1,2),-0.626418 # DEPENDENCYPART_ARC
(2,1),0.590883 # DEPENDENCYPART_ARC
(2,3),1.17618 # DEPENDENCYPART_ARC
(2,4),-0.439977 # DEPENDENCYPART_ARC
(2,5),-0.5956 # DEPENDENCYPART_ARC
(2,6),-0.966105 # DEPENDENCYPART_ARC
(2,7),-0.384606 # DEPENDENCYPART_ARC
(2,8),-0.886731 # DEPENDENCYPART_ARC
(2,10),-1.3793 # DEPENDENCYPART_ARC
(2,11),-1.12098 # DEPENDENCYPART_ARC
(2,12),-1.72868 # DEPENDENCYPART_ARC
(2,13),-1.45156 # DEPENDENCYPART_ARC
(2,16),-1.35332 # DEPENDENCYPART_ARC
(2,17),-1.2896 # DEPENDENCYPART_ARC
(2,19),-1.0948 # DEPENDENCYPART_ARC
(3,1),-1.05239 # DEPENDENCYPART_ARC
(3,4),-0.617418 # DEPENDENCYPART_ARC
(3,12),-1.33195 # DEPENDENCYPART_ARC
(4,1),-1.23136 # DEPENDENCYPART_ARC
(4,2),-0.219181 # DEPENDENCYPART_ARC
(4,3),-0.488557 # DEPENDENCYPART_ARC
(4,5),-0.00600078 # DEPENDENCYPART_ARC
(4,6),-0.547075 # DEPENDENCYPART_ARC
(4,7),-0.500654 # DEPENDENCYPART_ARC
(5,1),-0.701477 # DEPENDENCYPART_ARC
(5,2),-0.243788 # DEPENDENCYPART_ARC
(5,3),-0.880553 # DEPENDENCYPART_ARC
(5,4),1.75329 # DEPENDENCYPART_ARC
(5,6),1.11509 # DEPENDENCYPART_ARC
(5,7),0.699283 # DEPENDENCYPART_ARC
(5,8),-0.636555 # DEPENDENCYPART_ARC
(5,10),-0.0849236 # DEPENDENCYPART_ARC
(5,11),-0.62372 # DEPENDENCYPART_ARC
(5,13),-0.999358 # DEPENDENCYPART_ARC
(5,16),-0.849052 # DEPENDENCYPART_ARC
(5,17),-1.2173 # DEPENDENCYPART_ARC
(5,19),-0.898184 # DEPENDENCYPART_ARC
(6,4),-1.04018 # DEPENDENCYPART_ARC
(6,5),-0.706023 # DEPENDENCYPART_ARC
(6,7),0.283578 # DEPENDENCYPART_ARC
(6,8),-0.273192 # DEPENDENCYPART_ARC
(6,9),-0.556745 # DEPENDENCYPART_ARC
(7,1),-1.49214 # DEPENDENCYPART_ARC
(7,2),-0.977119 # DEPENDENCYPART_ARC
(7,4),-0.38333 # DEPENDENCYPART_ARC
(7,5),0.350664 # DEPENDENCYPART_ARC
(7,6),1.05328 # DEPENDENCYPART_ARC
(7,8),1.11794 # DEPENDENCYPART_ARC
(7,9),-1.32367 # DEPENDENCYPART_ARC
(7,10),-1.28833 # DEPENDENCYPART_ARC
(7,11),-1.3856 # DEPENDENCYPART_ARC
(7,12),-2.15056 # DEPENDENCYPART_ARC
(7,13),-1.01081 # DEPENDENCYPART_ARC
(8,3),-1.45279 # DEPENDENCYPART_ARC
(8,6),-0.997472 # DEPENDENCYPART_ARC
(8,7),-0.569437 # DEPENDENCYPART_ARC
(8,11),-0.845328 # DEPENDENCYPART_ARC
(8,19),-1.17945 # DEPENDENCYPART_ARC
(9,8),-0.359112 # DEPENDENCYPART_ARC
(9,10),-0.518117 # DEPENDENCYPART_ARC
(10,1),-1.95741 # DEPENDENCYPART_ARC
(10,2),-1.48372 # DEPENDENCYPART_ARC
(10,4),-1.23365 # DEPENDENCYPART_ARC
(10,5),-0.746513 # DEPENDENCYPART_ARC
(10,6),-0.848953 # DEPENDENCYPART_ARC
(10,7),-1.92817 # DEPENDENCYPART_ARC
(10,8),-0.857064 # DEPENDENCYPART_ARC
(10,9),0.464047 # DEPENDENCYPART_ARC
(10,11),-0.48256 # DEPENDENCYPART_ARC
