# _root_ agian , bizpahiru urte gehiago izan zitzakeen , kirolariak erretiratu baina profesionariek gailurra jotzen duteneko adina .
#goldHeads=6,3,4,6,4,0,6,7,10,11,16,14,14,11,14,4,16,
#predictedHeads=6,3,4,6,4,0,6,7,10,11,0,14,14,11,14,14,16,
(0,1),-0.0404833 # DEPENDENCYPART_ARC
(0,2),-1.10965 # DEPENDENCYPART_ARC
(0,3),-1.17917 # DEPENDENCYPART_ARC
(0,4),-0.746385 # DEPENDENCYPART_ARC
(0,5),-1.52917 # DEPENDENCYPART_ARC
(0,6),-0.366524 # DEPENDENCYPART_ARC
(0,7),-0.839582 # DEPENDENCYPART_ARC
(0,8),-0.934424 # DEPENDENCYPART_ARC
(0,9),-0.963658 # DEPENDENCYPART_ARC
(0,10),-0.801817 # DEPENDENCYPART_ARC
(0,11),0.512703 # DEPENDENCYPART_ARC
(0,12),-1.15378 # DEPENDENCYPART_ARC
(0,13),-0.739799 # DEPENDENCYPART_ARC
(0,14),-0.573634 # DEPENDENCYPART_ARC
(0,15),-0.879335 # DEPENDENCYPART_ARC
(0,16),-1.01645 # DEPENDENCYPART_ARC
(0,17),-1.78041 # DEPENDENCYPART_ARC
(1,2),-0.389465 # DEPENDENCYPART_ARC
(2,3),-0.403486 # DEPENDENCYPART_ARC
(2,5),-1.11863 # DEPENDENCYPART_ARC
(2,6),-0.971992 # DEPENDENCYPART_ARC
(2,14),-1.25155 # DEPENDENCYPART_ARC
(3,1),-0.89308 # DEPENDENCYPART_ARC
(3,2),-0.355031 # DEPENDENCYPART_ARC
(3,4),-0.282231 # DEPENDENCYPART_ARC
(4,1),-0.77594 # DEPENDENCYPART_ARC
(4,2),-0.776694 # DEPENDENCYPART_ARC
(4,3),0.85839 # DEPENDENCYPART_ARC
(4,5),1.55166 # DEPENDENCYPART_ARC
(4,7),-1.12173 # DEPENDENCYPART_ARC
(4,9),-0.975873 # DEPENDENCYPART_ARC
(4,11),-0.597412 # DEPENDENCYPART_ARC
(4,13),-0.663289 # DEPENDENCYPART_ARC
(4,14),-0.803382 # DEPENDENCYPART_ARC
(4,16),-0.522404 # DEPENDENCYPART_ARC
(5,1),-1.02168 # DEPENDENCYPART_ARC
(5,4),-0.660474 # DEPENDENCYPART_ARC
(5,6),-0.0588611 # DEPENDENCYPART_ARC
(5,10),-0.837892 # DEPENDENCYPART_ARC
(6,1),-0.0367286 # DEPENDENCYPART_ARC
(6,2),-1.14881 # DEPENDENCYPART_ARC
(6,3),-0.251183 # DEPENDENCYPART_ARC
