# _root_ langileen " lorpena "
#goldHeads=3,3,0,3,
#predictedHeads=3,1,0,3,
(0,1),-0.648097 # DEPENDENCYPART_ARC
(0,2),-0.856411 # DEPENDENCYPART_ARC
(0,3),-0.872772 # DEPENDENCYPART_ARC
(0,4),-1.23819 # DEPENDENCYPART_ARC
(1,2),-0.324604 # DEPENDENCYPART_ARC
(1,3),-0.803934 # DEPENDENCYPART_ARC
(2,1),-0.841544 # DEPENDENCYPART_ARC
(2,3),-0.553598 # DEPENDENCYPART_ARC
(3,1),0.00647339 # DEPENDENCYPART_ARC
(3,2),-0.403256 # DEPENDENCYPART_ARC
(3,4),1.12483 # DEPENDENCYPART_ARC
(4,1),-1.53364 # DEPENDENCYPART_ARC
(4,3),-0.808576 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.198273 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.0509433 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.198273 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.133325 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.181443 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.198273 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.00159988 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.155938 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.00999658 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.058122 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0349889 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0201857 # DEPENDENCYPART_SIBL
(0,1),(1,2),-0.144721 # DEPENDENCYPART_GRANDPAR
(0,1),(1,3),0.0462604 # DEPENDENCYPART_GRANDPAR
(0,2),(2,1),-0.0790497 # DEPENDENCYPART_GRANDPAR
(0,2),(2,3),-0.00886311 # DEPENDENCYPART_GRANDPAR
(0,3),(3,1),0.0593816 # DEPENDENCYPART_GRANDPAR
(0,3),(3,2),-0.164622 # DEPENDENCYPART_GRANDPAR
(0,3),(3,4),-0.035522 # DEPENDENCYPART_GRANDPAR
(0,4),(4,1),-0.0790497 # DEPENDENCYPART_GRANDPAR
(0,4),(4,3),-0.081531 # DEPENDENCYPART_GRANDPAR
(1,2),(2,1),-0.407925 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,2),(2,3),0.166669 # DEPENDENCYPART_GRANDPAR
(1,3),(3,1),-0.332065 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,3),(3,2),0.219657 # DEPENDENCYPART_GRANDPAR
(1,3),(3,4),0.165259 # DEPENDENCYPART_GRANDPAR
(2,1),(1,2),-0.67881 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,1),(1,3),-0.274936 # DEPENDENCYPART_GRANDPAR
(2,3),(3,1),-0.231059 # DEPENDENCYPART_GRANDPAR
(2,3),(3,2),-0.492344 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,3),(3,4),-0.421116 # DEPENDENCYPART_GRANDPAR
(3,1),(1,2),-0.044104 # DEPENDENCYPART_GRANDPAR
(3,1),(1,3),-0.895637 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,2),(2,1),0.422923 # DEPENDENCYPART_GRANDPAR
(3,2),(2,3),-0.874651 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,4),(4,1),0.228021 # DEPENDENCYPART_GRANDPAR
(3,4),(4,3),-0.585296 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,1),(1,2),-0.188649 # DEPENDENCYPART_GRANDPAR
(4,1),(1,3),0.0319167 # DEPENDENCYPART_GRANDPAR
(4,3),(3,1),-0.145385 # DEPENDENCYPART_GRANDPAR
(4,3),(3,2),-0.329469 # DEPENDENCYPART_GRANDPAR
(4,3),(3,4),-0.677199 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
