# _root_ politikarien_artean , jordi pujol_kataluniako erkidegoko presidentea egon zen , eta pp eta pscko ordezkariak ere han ziren .
#goldHeads=7,1,6,3,6,7,10,7,8,0,12,14,12,17,0,17,10,17,
#predictedHeads=7,1,5,3,6,7,10,7,8,0,12,14,12,17,0,17,10,17,
(0,1),-0.732425 # DEPENDENCYPART_ARC
(0,2),-1.15559 # DEPENDENCYPART_ARC
(0,3),-0.933291 # DEPENDENCYPART_ARC
(0,4),-1.02793 # DEPENDENCYPART_ARC
(0,5),-0.940037 # DEPENDENCYPART_ARC
(0,7),-0.310763 # DEPENDENCYPART_ARC
(0,8),-1.16241 # DEPENDENCYPART_ARC
(0,9),-1.25688 # DEPENDENCYPART_ARC
(0,10),0.293405 # DEPENDENCYPART_ARC
(0,11),-1.44428 # DEPENDENCYPART_ARC
(0,12),-0.672285 # DEPENDENCYPART_ARC
(0,13),-1.57652 # DEPENDENCYPART_ARC
(0,14),-1.05838 # DEPENDENCYPART_ARC
(0,15),1.38473 # DEPENDENCYPART_ARC
(0,16),-1.05768 # DEPENDENCYPART_ARC
(0,17),0.0460544 # DEPENDENCYPART_ARC
(0,18),-2.21077 # DEPENDENCYPART_ARC
(1,2),-0.410001 # DEPENDENCYPART_ARC
(1,3),-0.85546 # DEPENDENCYPART_ARC
(1,4),-1.24074 # DEPENDENCYPART_ARC
(1,5),-1.2068 # DEPENDENCYPART_ARC
(1,6),-1.63049 # DEPENDENCYPART_ARC
(1,7),-2.71628 # DEPENDENCYPART_ARC
(1,8),-1.4288 # DEPENDENCYPART_ARC
(1,10),-1.68075 # DEPENDENCYPART_ARC
(2,1),-0.779123 # DEPENDENCYPART_ARC
(2,7),-1.02732 # DEPENDENCYPART_ARC
(3,1),-1.61127 # DEPENDENCYPART_ARC
(3,2),-0.548042 # DEPENDENCYPART_ARC
(3,4),1.65317 # DEPENDENCYPART_ARC
(3,5),-0.0416875 # DEPENDENCYPART_ARC
(3,6),-0.41252 # DEPENDENCYPART_ARC
(4,1),-1.73324 # DEPENDENCYPART_ARC
(4,2),-1.42637 # DEPENDENCYPART_ARC
(4,3),0.23836 # DEPENDENCYPART_ARC
(4,5),-0.636601 # DEPENDENCYPART_ARC
(4,6),-1.41053 # DEPENDENCYPART_ARC
(5,1),-1.92934 # DEPENDENCYPART_ARC
(5,2),-1.46531 # DEPENDENCYPART_ARC
(5,3),0.0582859 # DEPENDENCYPART_ARC
(5,4),0.487115 # DEPENDENCYPART_ARC
(5,6),-1.02964 # DEPENDENCYPART_ARC
(5,8),-1.90131 # DEPENDENCYPART_ARC
(5,10),-1.65602 # DEPENDENCYPART_ARC
(5,11),-1.48967 # DEPENDENCYPART_ARC
(5,17),-2.18968 # DEPENDENCYPART_ARC
(6,1),-0.958382 # DEPENDENCYPART_ARC
(6,2),-1.67808 # DEPENDENCYPART_ARC
(6,3),-0.284324 # DEPENDENCYPART_ARC
(6,4),0.54904 # DEPENDENCYPART_ARC
(6,5),1.33232 # DEPENDENCYPART_ARC
(6,7),-1.16982 # DEPENDENCYPART_ARC
(6,8),-0.817016 # DEPENDENCYPART_ARC
(6,9),-0.947207 # DEPENDENCYPART_ARC
(6,10),-1.40054 # DEPENDENCYPART_ARC
(6,11),-0.878257 # DEPENDENCYPART_ARC
(6,12),-1.33951 # DEPENDENCYPART_ARC
(6,14),-1.20957 # DEPENDENCYPART_ARC
(6,17),-1.75828 # DEPENDENCYPART_ARC
(6,18),-1.48902 # DEPENDENCYPART_ARC
(7,1),0.265944 # DEPENDENCYPART_ARC
(7,2),-1.48307 # DEPENDENCYPART_ARC
(7,3),0.12252 # DEPENDENCYPART_ARC
(7,4),-0.294353 # DEPENDENCYPART_ARC
(7,5),0.0916281 # DEPENDENCYPART_ARC
(7,6),2.01291 # DEPENDENCYPART_ARC
(7,8),1.26563 # DEPENDENCYPART_ARC
(7,9),-0.488165 # DEPENDENCYPART_ARC
(7,10),-0.548831 # DEPENDENCYPART_ARC
(7,11),-1.15178 # DEPENDENCYPART_ARC
(7,12),-0.588141 # DEPENDENCYPART_ARC
(7,13),-1.61977 # DEPENDENCYPART_ARC
(7,14),-0.869607 # DEPENDENCYPART_ARC
(7,16),-1.28501 # DEPENDENCYPART_ARC
(7,17),-0.713706 # DEPENDENCYPART_ARC
(8,3),-1.04064 # DEPENDENCYPART_ARC
(8,5),-0.662138 # DEPENDENCYPART_ARC
(8,6),-0.571538 # DEPENDENCYPART_ARC
(8,9),1.31653 # DEPENDENCYPART_ARC
(8,10),-0.815715 # DEPENDENCYPART_ARC
(8,11),-0.931721 # DEPENDENCYPART_ARC
(8,12),-0.812589 # DEPENDENCYPART_ARC
(9,3),-0.948617 # DEPENDENCYPART_ARC
(9,7),-0.89323 # DEPENDENCYPART_ARC
(9,8),-0.592973 # DEPENDENCYPART_ARC
(9,10),-0.296817 # DEPENDENCYPART_ARC
(9,12),-0.892701 # DEPENDENCYPART_ARC
(10,1),-0.841792 # DEPENDENCYPART_ARC
(10,3),-0.67415 # DEPENDENCYPART_ARC
(10,4),-1.04857 # DEPENDENCYPART_ARC
(10,5),-1.05656 # DEPENDENCYPART_ARC
(10,6),-0.237523 # DEPENDENCYPART_ARC
(10,7),0.773451 # DEPENDENCYPART_ARC
(10,8),-0.709822 # DEPENDENCYPART_ARC
(10,9),-0.423669 # DEPENDENCYPART_ARC
(10,11),-0.164121 # DEPENDENCYPART_ARC
(10,12),-0.521588 # DEPENDENCYPART_ARC
(10,13),-0.625371 # DEPENDENCYPART_ARC
(10,14),-0.155487 # DEPENDENCYPART_ARC
(10,17),-0.182426 # DEPENDENCYPART_ARC
(11,9),-1.77167 # DEPENDENCYPART_ARC
(11,12),-0.0833399 # DEPENDENCYPART_ARC
(11,14),-0.927082 # DEPENDENCYPART_ARC
(12,1),-0.954228 # DEPENDENCYPART_ARC
(12,3),-1.04088 # DEPENDENCYPART_ARC
(12,4),-1.31644 # DEPENDENCYPART_ARC
(12,5),-1.44276 # DEPENDENCYPART_ARC
