# _root_ ybarra eta gonzalezen_arabera , bbvak banku bakar bezala egingo du lan bere unitate eta negozio guztietan , " espainiako merkatuan jada ezagunenetakoa den marka bakarrarekin " .
#goldHeads=2,9,2,3,9,9,6,7,0,9,9,13,2,9,2,15,16,17,20,23,23,23,24,9,24,25,26,
#predictedHeads=2,9,2,3,9,9,6,7,0,9,9,13,14,9,14,15,16,17,20,23,23,0,24,9,24,25,26,
(0,1),-0.416122 # DEPENDENCYPART_ARC
(0,2),-0.280982 # DEPENDENCYPART_ARC
(0,3),-1.16559 # DEPENDENCYPART_ARC
(0,4),-1.16846 # DEPENDENCYPART_ARC
(0,5),-1.0484 # DEPENDENCYPART_ARC
(0,7),-1.00435 # DEPENDENCYPART_ARC
(0,8),-0.761168 # DEPENDENCYPART_ARC
(0,9),-0.316192 # DEPENDENCYPART_ARC
(0,10),-0.665916 # DEPENDENCYPART_ARC
(0,11),-0.7087 # DEPENDENCYPART_ARC
(0,13),-1.35344 # DEPENDENCYPART_ARC
(0,14),-0.589344 # DEPENDENCYPART_ARC
(0,16),-1.70889 # DEPENDENCYPART_ARC
(0,17),-1.17769 # DEPENDENCYPART_ARC
(0,18),-2.03122 # DEPENDENCYPART_ARC
(0,19),-1.58327 # DEPENDENCYPART_ARC
(0,21),-0.866134 # DEPENDENCYPART_ARC
(0,23),-1.62102 # DEPENDENCYPART_ARC
(0,24),-1.56556 # DEPENDENCYPART_ARC
(0,25),-1.59785 # DEPENDENCYPART_ARC
(0,26),-2.90289 # DEPENDENCYPART_ARC
(0,27),-2.23613 # DEPENDENCYPART_ARC
(1,3),0.0657623 # DEPENDENCYPART_ARC
(2,1),1.81106 # DEPENDENCYPART_ARC
(2,3),1.57714 # DEPENDENCYPART_ARC
(2,4),-0.257248 # DEPENDENCYPART_ARC
(2,5),-0.205006 # DEPENDENCYPART_ARC
(2,6),-0.500641 # DEPENDENCYPART_ARC
(2,9),-0.50005 # DEPENDENCYPART_ARC
(2,11),-0.819754 # DEPENDENCYPART_ARC
(2,13),-1.1888 # DEPENDENCYPART_ARC
(2,14),-0.711033 # DEPENDENCYPART_ARC
(2,15),-1.09124 # DEPENDENCYPART_ARC
(2,20),-1.25849 # DEPENDENCYPART_ARC
(2,24),-1.72652 # DEPENDENCYPART_ARC
(3,4),1.69621 # DEPENDENCYPART_ARC
(3,5),-0.997592 # DEPENDENCYPART_ARC
(3,6),-1.11578 # DEPENDENCYPART_ARC
(4,1),-1.31907 # DEPENDENCYPART_ARC
(4,2),-0.950113 # DEPENDENCYPART_ARC
(4,3),-0.747861 # DEPENDENCYPART_ARC
(4,7),-1.05737 # DEPENDENCYPART_ARC
(4,9),-1.05765 # DEPENDENCYPART_ARC
(5,3),-1.23216 # DEPENDENCYPART_ARC
(5,4),-0.363685 # DEPENDENCYPART_ARC
(5,6),-0.950013 # DEPENDENCYPART_ARC
(6,1),-0.835958 # DEPENDENCYPART_ARC
(6,2),-0.617173 # DEPENDENCYPART_ARC
(6,3),-1.1259 # DEPENDENCYPART_ARC
(6,4),-0.994236 # DEPENDENCYPART_ARC
(6,5),0.203806 # DEPENDENCYPART_ARC
(6,7),1.63612 # DEPENDENCYPART_ARC
(6,8),-0.32466 # DEPENDENCYPART_ARC
(6,9),-0.721978 # DEPENDENCYPART_ARC
(6,10),-1.00301 # DEPENDENCYPART_ARC
(6,11),-0.381836 # DEPENDENCYPART_ARC
(6,12),-0.551017 # DEPENDENCYPART_ARC
(6,13),-0.885183 # DEPENDENCYPART_ARC
(6,14),-0.56033 # DEPENDENCYPART_ARC
(6,15),-0.824173 # DEPENDENCYPART_ARC
(6,16),-0.488058 # DEPENDENCYPART_ARC
(7,5),0.0466284 # DEPENDENCYPART_ARC
(7,6),-0.25272 # DEPENDENCYPART_ARC
(7,8),0.391864 # DEPENDENCYPART_ARC
(7,9),-0.932482 # DEPENDENCYPART_ARC
(8,6),-0.866383 # DEPENDENCYPART_ARC
(8,9),-0.00768966 # DEPENDENCYPART_ARC
(8,11),-0.636734 # DEPENDENCYPART_ARC
(8,13),-0.716932 # DEPENDENCYPART_ARC
(8,14),-0.379302 # DEPENDENCYPART_ARC
(8,21),-0.861075 # DEPENDENCYPART_ARC
(9,1),-0.531186 # DEPENDENCYPART_ARC
(9,2),-0.443063 # DEPENDENCYPART_ARC
(9,3),-0.369711 # DEPENDENCYPART_ARC
(9,4),-1.6322 # DEPENDENCYPART_ARC
(9,5),0.569426 # DEPENDENCYPART_ARC
(9,6),0.198079 # DEPENDENCYPART_ARC
(9,7),-0.00701472 # DEPENDENCYPART_ARC
(9,8),0.435697 # DEPENDENCYPART_ARC
(9,10),1.22736 # DEPENDENCYPART_ARC
(9,11),0.487112 # DEPENDENCYPART_ARC
(9,12),-0.882003 # DEPENDENCYPART_ARC
(9,13),-0.365357 # DEPENDENCYPART_ARC
(9,14),-0.274221 # DEPENDENCYPART_ARC
(9,15),-0.761784 # DEPENDENCYPART_ARC
(9,17),-0.727292 # DEPENDENCYPART_ARC
(9,19),-1.67212 # DEPENDENCYPART_ARC
(9,20),-0.5839 # DEPENDENCYPART_ARC
(9,21),-1.31828 # DEPENDENCYPART_ARC
(9,23),-0.0847059 # DEPENDENCYPART_ARC
(9,24),-1.17129 # DEPENDENCYPART_ARC
(10,1),-1.27551 # DEPENDENCYPART_ARC
(10,2),-0.803978 # DEPENDENCYPART_ARC
(10,3),-1.41281 # DEPENDENCYPART_ARC
(10,8),-0.837522 # DEPENDENCYPART_ARC
(10,11),-0.918236 # DEPENDENCYPART_ARC
(11,2),-0.898616 # DEPENDENCYPART_ARC
(11,4),-1.72527 # DEPENDENCYPART_ARC
(11,5),-1.96291 # DEPENDENCYPART_ARC
(11,6),-0.70083 # DEPENDENCYPART_ARC
(11,7),-1.82186 # DEPENDENCYPART_ARC
(11,8),-0.999974 # DEPENDENCYPART_ARC
(11,9),-0.23109 # DEPENDENCYPART_ARC
(11,10),-1.1757 # DEPENDENCYPART_ARC
(11,12),-0.0332326 # DEPENDENCYPART_ARC
(11,13),-1.25765 # DEPENDENCYPART_ARC
(11,14),-1.10372 # DEPENDENCYPART_ARC
(11,15),-1.4983 # DEPENDENCYPART_ARC
(11,16),-1.59984 # DEPENDENCYPART_ARC
(11,19),-1.77358 # DEPENDENCYPART_ARC
(11,23),-1.76163 # DEPENDENCYPART_ARC
(13,2),-0.762471 # DEPENDENCYPART_ARC
(13,5),-1.77666 # DEPENDENCYPART_ARC
(13,6),-0.732998 # DEPENDENCYPART_ARC
(13,7),-1.49799 # DEPENDENCYPART_ARC
(13,8),-1.02353 # DEPENDENCYPART_ARC
(13,9),-0.99663 # DEPENDENCYPART_ARC
(13,11),-0.565992 # DEPENDENCYPART_ARC
(13,12),0.679436 # DEPENDENCYPART_ARC
(13,14),0.193008 # DEPENDENCYPART_ARC
(13,15),-0.733637 # DEPENDENCYPART_ARC
(13,16),-0.378252 # DEPENDENCYPART_ARC
(13,19),-0.826068 # DEPENDENCYPART_ARC
(13,23),-1.59966 # DEPENDENCYPART_ARC
(14,1),-0.540157 # DEPENDENCYPART_ARC
(14,2),-0.46784 # DEPENDENCYPART_ARC
(14,3),-0.617768 # DEPENDENCYPART_ARC
(14,5),-1.40358 # DEPENDENCYPART_ARC
(14,6),-0.932296 # DEPENDENCYPART_ARC
(14,8),-0.750755 # DEPENDENCYPART_ARC
(14,9),-0.253549 # DEPENDENCYPART_ARC
(14,10),-1.18013 # DEPENDENCYPART_ARC
(14,11),-0.185649 # DEPENDENCYPART_ARC
(14,12),-0.403885 # DEPENDENCYPART_ARC
(14,13),1.78567 # DEPENDENCYPART_ARC
(14,15),1.24537 # DEPENDENCYPART_ARC
(14,16),-0.826132 # DEPENDENCYPART_ARC
(14,17),-0.442095 # DEPENDENCYPART_ARC
(14,20),-0.405278 # DEPENDENCYPART_ARC
(14,23),-0.653807 # DEPENDENCYPART_ARC
(14,24),-0.863344 # DEPENDENCYPART_ARC
(15,2),-1.711 # DEPENDENCYPART_ARC
(15,5),-2.71867 # DEPENDENCYPART_ARC
(15,7),-2.44199 # DEPENDENCYPART_ARC
(15,12),-1.57329 # DEPENDENCYPART_ARC
(15,13),-0.823526 # DEPENDENCYPART_ARC
(15,16),1.52071 # DEPENDENCYPART_ARC
(15,17),-0.409977 # DEPENDENCYPART_ARC
(15,19),-0.623375 # DEPENDENCYPART_ARC
(15,21),-1.02251 # DEPENDENCYPART_ARC
(15,23),-1.48965 # DEPENDENCYPART_ARC
(15,27),-1.37875 # DEPENDENCYPART_ARC
(16,15),-0.081394 # DEPENDENCYPART_ARC
(16,17),1.10329 # DEPENDENCYPART_ARC
(17,18),0.912177 # DEPENDENCYPART_ARC
(17,20),-0.703014 # DEPENDENCYPART_ARC
(17,23),-0.60095 # DEPENDENCYPART_ARC
(17,24),-0.800016 # DEPENDENCYPART_ARC
(18,19),-0.634052 # DEPENDENCYPART_ARC
(19,17),-1.15736 # DEPENDENCYPART_ARC
(19,20),-0.20587 # DEPENDENCYPART_ARC
(19,23),-2.3079 # DEPENDENCYPART_ARC
(19,24),-2.18233 # DEPENDENCYPART_ARC
(20,7),-2.06529 # DEPENDENCYPART_ARC
(20,8),-1.04665 # DEPENDENCYPART_ARC
(20,11),-2.0993 # DEPENDENCYPART_ARC
(20,13),-1.09407 # DEPENDENCYPART_ARC
(20,14),-0.749862 # DEPENDENCYPART_ARC
(20,15),-0.801243 # DEPENDENCYPART_ARC
(20,17),-1.33362 # DEPENDENCYPART_ARC
(20,19),1.67434 # DEPENDENCYPART_ARC
(20,21),-0.11776 # DEPENDENCYPART_ARC
(20,23),-1.97661 # DEPENDENCYPART_ARC
(20,24),-1.61242 # DEPENDENCYPART_ARC
(20,25),-2.42591 # DEPENDENCYPART_ARC
(20,27),-1.34067 # DEPENDENCYPART_ARC
(21,20),-0.338643 # DEPENDENCYPART_ARC
(21,24),-0.862065 # DEPENDENCYPART_ARC
(22,20),-0.012908 # DEPENDENCYPART_ARC
(23,6),-1.34526 # DEPENDENCYPART_ARC
(23,8),-0.86327 # DEPENDENCYPART_ARC
(23,9),-1.85692 # DEPENDENCYPART_ARC
(23,11),-1.18029 # DEPENDENCYPART_ARC
(23,13),-1.13553 # DEPENDENCYPART_ARC
(23,14),-0.644992 # DEPENDENCYPART_ARC
(23,15),-0.806677 # DEPENDENCYPART_ARC
(23,16),-1.21727 # DEPENDENCYPART_ARC
(23,17),-1.33603 # DEPENDENCYPART_ARC
(23,19),-1.09145 # DEPENDENCYPART_ARC
(23,20),0.752282 # DEPENDENCYPART_ARC
(23,21),0.0399006 # DEPENDENCYPART_ARC
(23,24),0.119889 # DEPENDENCYPART_ARC
(23,25),-0.914423 # DEPENDENCYPART_ARC
(24,7),-1.70489 # DEPENDENCYPART_ARC
(24,14),-0.852945 # DEPENDENCYPART_ARC
(24,17),-1.53281 # DEPENDENCYPART_ARC
(24,19),-1.00773 # DEPENDENCYPART_ARC
(24,20),-1.41861 # DEPENDENCYPART_ARC
(24,21),-0.855951 # DEPENDENCYPART_ARC
(24,23),0.716802 # DEPENDENCYPART_ARC
(24,25),1.7417 # DEPENDENCYPART_ARC
(24,27),-0.900415 # DEPENDENCYPART_ARC
(25,15),-1.48576 # DEPENDENCYPART_ARC
(25,20),-1.03892 # DEPENDENCYPART_ARC
