# _root_ jarritako helburuetan lan_egiteko , hamabost kidek osatutako batzorde iraunkorra izendatu zen , eta horiek bost lan batzordetan lan_egin dute ordutik_hona .
#goldHeads=2,3,10,3,6,7,8,10,8,13,10,11,0,16,17,18,16,13,18,18,20,
#predictedHeads=2,3,10,3,6,7,8,10,8,13,10,11,0,18,16,17,18,13,18,18,20,
(0,1),-0.217329 # DEPENDENCYPART_ARC
(0,2),-0.933467 # DEPENDENCYPART_ARC
(0,3),-0.55678 # DEPENDENCYPART_ARC
(0,4),-0.634338 # DEPENDENCYPART_ARC
(0,5),-1.19629 # DEPENDENCYPART_ARC
(0,6),-0.844037 # DEPENDENCYPART_ARC
(0,7),-0.786668 # DEPENDENCYPART_ARC
(0,9),-1.44549 # DEPENDENCYPART_ARC
(0,10),-0.048174 # DEPENDENCYPART_ARC
(0,11),-0.535561 # DEPENDENCYPART_ARC
(0,12),-0.291328 # DEPENDENCYPART_ARC
(0,13),0.912929 # DEPENDENCYPART_ARC
(0,14),-1.5861 # DEPENDENCYPART_ARC
(0,15),-1.14382 # DEPENDENCYPART_ARC
(0,18),0.298203 # DEPENDENCYPART_ARC
(0,19),-0.412607 # DEPENDENCYPART_ARC
(0,20),-0.542408 # DEPENDENCYPART_ARC
(0,21),-1.70271 # DEPENDENCYPART_ARC
(1,2),-0.982207 # DEPENDENCYPART_ARC
(1,3),-0.812817 # DEPENDENCYPART_ARC
(1,4),-1.13367 # DEPENDENCYPART_ARC
(1,5),-1.76239 # DEPENDENCYPART_ARC
(1,6),-1.65434 # DEPENDENCYPART_ARC
(1,9),-2.29766 # DEPENDENCYPART_ARC
(1,11),-2.4703 # DEPENDENCYPART_ARC
(2,1),2.18025 # DEPENDENCYPART_ARC
(2,3),-1.2496 # DEPENDENCYPART_ARC
(2,4),-0.693409 # DEPENDENCYPART_ARC
(2,5),-2.24287 # DEPENDENCYPART_ARC
(2,15),-2.90354 # DEPENDENCYPART_ARC
(3,1),-0.256923 # DEPENDENCYPART_ARC
(3,2),2.05757 # DEPENDENCYPART_ARC
(3,4),1.12752 # DEPENDENCYPART_ARC
(3,6),0.198078 # DEPENDENCYPART_ARC
(3,7),-1.5761 # DEPENDENCYPART_ARC
(3,8),-1.28545 # DEPENDENCYPART_ARC
(3,10),-2.40889 # DEPENDENCYPART_ARC
(3,11),-2.51118 # DEPENDENCYPART_ARC
(3,13),-0.865332 # DEPENDENCYPART_ARC
(3,18),-2.17283 # DEPENDENCYPART_ARC
(3,19),-3.79955 # DEPENDENCYPART_ARC
(4,1),-0.846975 # DEPENDENCYPART_ARC
(4,2),-0.875585 # DEPENDENCYPART_ARC
(4,3),-0.226298 # DEPENDENCYPART_ARC
(4,5),-0.39686 # DEPENDENCYPART_ARC
(4,18),-1.2043 # DEPENDENCYPART_ARC
(5,2),-1.38966 # DEPENDENCYPART_ARC
(5,4),-0.352029 # DEPENDENCYPART_ARC
(5,6),-0.00843208 # DEPENDENCYPART_ARC
(6,1),-0.610801 # DEPENDENCYPART_ARC
(6,2),-0.545459 # DEPENDENCYPART_ARC
(6,3),-1.6641 # DEPENDENCYPART_ARC
(6,4),-0.65885 # DEPENDENCYPART_ARC
(6,5),1.38031 # DEPENDENCYPART_ARC
(6,7),0.0591024 # DEPENDENCYPART_ARC
(6,8),-0.74092 # DEPENDENCYPART_ARC
(6,9),-1.08901 # DEPENDENCYPART_ARC
(6,11),-0.962138 # DEPENDENCYPART_ARC
(6,15),-1.74675 # DEPENDENCYPART_ARC
(7,1),-1.12563 # DEPENDENCYPART_ARC
(7,2),0.148058 # DEPENDENCYPART_ARC
(7,3),0.0319815 # DEPENDENCYPART_ARC
(7,4),-1.35754 # DEPENDENCYPART_ARC
(7,5),-0.25859 # DEPENDENCYPART_ARC
(7,6),1.60317 # DEPENDENCYPART_ARC
(7,8),-0.254562 # DEPENDENCYPART_ARC
(7,9),-1.26024 # DEPENDENCYPART_ARC
(7,10),-0.954964 # DEPENDENCYPART_ARC
(7,11),-1.2689 # DEPENDENCYPART_ARC
(7,12),-1.15855 # DEPENDENCYPART_ARC
(7,16),-1.9667 # DEPENDENCYPART_ARC
(7,17),-1.79534 # DEPENDENCYPART_ARC
(7,18),-1.77903 # DEPENDENCYPART_ARC
(7,19),-2.36048 # DEPENDENCYPART_ARC
(8,1),-0.643954 # DEPENDENCYPART_ARC
(8,3),-1.8794 # DEPENDENCYPART_ARC
(8,4),-1.36011 # DEPENDENCYPART_ARC
(8,5),-0.601676 # DEPENDENCYPART_ARC
(8,6),-0.415664 # DEPENDENCYPART_ARC
(8,7),1.22281 # DEPENDENCYPART_ARC
(8,9),2.04473 # DEPENDENCYPART_ARC
(8,10),-0.701524 # DEPENDENCYPART_ARC
(8,11),-0.865895 # DEPENDENCYPART_ARC
(8,13),-0.423743 # DEPENDENCYPART_ARC
(8,15),-0.786473 # DEPENDENCYPART_ARC
(8,16),-0.920921 # DEPENDENCYPART_ARC
(8,17),-0.471996 # DEPENDENCYPART_ARC
(8,18),-0.458885 # DEPENDENCYPART_ARC
(9,2),-1.23183 # DEPENDENCYPART_ARC
(9,6),-1.03157 # DEPENDENCYPART_ARC
(9,7),-0.311811 # DEPENDENCYPART_ARC
(9,8),-0.350982 # DEPENDENCYPART_ARC
(9,10),-0.883104 # DEPENDENCYPART_ARC
(9,12),-0.40096 # DEPENDENCYPART_ARC
(10,1),-0.89915 # DEPENDENCYPART_ARC
(10,2),0.269784 # DEPENDENCYPART_ARC
(10,3),-0.0401958 # DEPENDENCYPART_ARC
(10,4),-1.22446 # DEPENDENCYPART_ARC
(10,5),-0.383208 # DEPENDENCYPART_ARC
(10,6),0.524242 # DEPENDENCYPART_ARC
(10,7),-0.23274 # DEPENDENCYPART_ARC
(10,8),1.00319 # DEPENDENCYPART_ARC
(10,9),0.338487 # DEPENDENCYPART_ARC
(10,11),1.18312 # DEPENDENCYPART_ARC
(10,12),-0.450812 # DEPENDENCYPART_ARC
(10,13),-0.608528 # DEPENDENCYPART_ARC
(10,15),-1.08972 # DEPENDENCYPART_ARC
(10,16),-1.34279 # DEPENDENCYPART_ARC
(10,17),-0.802678 # DEPENDENCYPART_ARC
(10,18),-0.978467 # DEPENDENCYPART_ARC
(10,19),-1.62355 # DEPENDENCYPART_ARC
(10,20),-0.789755 # DEPENDENCYPART_ARC
(11,8),-0.67032 # DEPENDENCYPART_ARC
(11,9),-0.959084 # DEPENDENCYPART_ARC
(11,12),1.29403 # DEPENDENCYPART_ARC
(11,13),-0.829745 # DEPENDENCYPART_ARC
(11,19),-0.896982 # DEPENDENCYPART_ARC
(12,7),-1.18801 # DEPENDENCYPART_ARC
(12,11),-0.58244 # DEPENDENCYPART_ARC
(12,13),-0.258033 # DEPENDENCYPART_ARC
(12,18),-1.07251 # DEPENDENCYPART_ARC
(13,1),-0.903347 # DEPENDENCYPART_ARC
(13,3),-0.557962 # DEPENDENCYPART_ARC
(13,5),-0.85081 # DEPENDENCYPART_ARC
(13,6),-1.03083 # DEPENDENCYPART_ARC
(13,7),-0.319307 # DEPENDENCYPART_ARC
(13,8),-0.737641 # DEPENDENCYPART_ARC
(13,9),-0.632696 # DEPENDENCYPART_ARC
(13,10),0.661459 # DEPENDENCYPART_ARC
(13,11),-0.742516 # DEPENDENCYPART_ARC
(13,12),-0.41327 # DEPENDENCYPART_ARC
(13,14),-0.495688 # DEPENDENCYPART_ARC
(13,15),-1.00937 # DEPENDENCYPART_ARC
(13,16),-0.793727 # DEPENDENCYPART_ARC
(13,17),-0.455896 # DEPENDENCYPART_ARC
(13,18),0.174222 # DEPENDENCYPART_ARC
(14,10),-1.43469 # DEPENDENCYPART_ARC
(14,13),-0.305235 # DEPENDENCYPART_ARC
(14,16),-1.26793 # DEPENDENCYPART_ARC
(14,17),-1.28582 # DEPENDENCYPART_ARC
(15,14),0.00731581 # DEPENDENCYPART_ARC
(15,16),-0.0857026 # DEPENDENCYPART_ARC
(15,17),-0.827535 # DEPENDENCYPART_ARC
(16,8),-0.840996 # DEPENDENCYPART_ARC
(16,9),-1.99496 # DEPENDENCYPART_ARC
(16,10),-1.22614 # DEPENDENCYPART_ARC
(16,12),-1.46488 # DEPENDENCYPART_ARC
(16,13),-0.792845 # DEPENDENCYPART_ARC
(16,14),-1.12384 # DEPENDENCYPART_ARC
(16,15),0.555425 # DEPENDENCYPART_ARC
(16,17),0.493984 # DEPENDENCYPART_ARC
(16,18),-0.607264 # DEPENDENCYPART_ARC
(16,19),-1.29892 # DEPENDENCYPART_ARC
(16,20),-1.08154 # DEPENDENCYPART_ARC
(16,21),-1.26918 # DEPENDENCYPART_ARC
(17,7),-0.464184 # DEPENDENCYPART_ARC
(17,8),-0.62951 # DEPENDENCYPART_ARC
(17,9),-2.31409 # DEPENDENCYPART_ARC
(17,10),-1.13745 # DEPENDENCYPART_ARC
(17,12),-1.39643 # DEPENDENCYPART_ARC
(17,13),-0.6111 # DEPENDENCYPART_ARC
(17,14),-1.9265 # DEPENDENCYPART_ARC
(17,15),0.48983 # DEPENDENCYPART_ARC
(17,16),1.23526 # DEPENDENCYPART_ARC
(17,18),-0.378258 # DEPENDENCYPART_ARC
(17,19),-0.778038 # DEPENDENCYPART_ARC
(17,20),-1.14322 # DEPENDENCYPART_ARC
(17,21),-1.18738 # DEPENDENCYPART_ARC
(18,2),-0.476741 # DEPENDENCYPART_ARC
(18,5),-1.00847 # DEPENDENCYPART_ARC
(18,6),-0.701251 # DEPENDENCYPART_ARC
(18,7),-1.111 # DEPENDENCYPART_ARC
(18,8),-0.614674 # DEPENDENCYPART_ARC
(18,10),-0.95564 # DEPENDENCYPART_ARC
(18,11),-1.39447 # DEPENDENCYPART_ARC
(18,13),-0.520593 # DEPENDENCYPART_ARC
(18,14),-0.386768 # DEPENDENCYPART_ARC
(18,15),-0.659017 # DEPENDENCYPART_ARC
(18,16),0.423357 # DEPENDENCYPART_ARC
(18,17),1.42741 # DEPENDENCYPART_ARC
(18,19),1.263 # DEPENDENCYPART_ARC
(18,20),0.244833 # DEPENDENCYPART_ARC
(19,16),-0.511391 # DEPENDENCYPART_ARC
(19,17),-0.667589 # DEPENDENCYPART_ARC
(19,20),-0.492726 # DEPENDENCYPART_ARC
(20,16),-1.27969 # DEPENDENCYPART_ARC
(20,17),-1.19076 # DEPENDENCYPART_ARC
(20,21),1.40961 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.00563756 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.117175 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0464706 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.00695131 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.00565516 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.117148 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.000188042 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.117148 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.00412274 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.0464706 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.126708 # DEPENDENCYPART_SIBL
(0,1),(0,14),0.0069513 # DEPENDENCYPART_SIBL
(0,1),(0,15),0.00695126 # DEPENDENCYPART_SIBL
