# _root_ ildo horretan , ppk eta pse-eek ere " joko bikoitza " egiten dutela esan du , eta euren testua ehren babesa lortzeko aldatzea leporatu die .
#goldHeads=14,1,2,5,12,5,0,7,12,9,10,14,12,17,14,15,0,19,23,21,22,23,24,17,24,25,
#predictedHeads=14,1,2,5,12,5,0,7,12,9,10,14,12,17,14,15,0,19,24,21,22,23,24,17,24,25,
(0,1),-0.458522 # DEPENDENCYPART_ARC
(0,2),-1.60325 # DEPENDENCYPART_ARC
(0,3),-1.01659 # DEPENDENCYPART_ARC
(0,4),-1.24455 # DEPENDENCYPART_ARC
(0,5),-0.538612 # DEPENDENCYPART_ARC
(0,7),0.897547 # DEPENDENCYPART_ARC
(0,8),-1.45177 # DEPENDENCYPART_ARC
(0,10),-1.62708 # DEPENDENCYPART_ARC
(0,11),-1.38135 # DEPENDENCYPART_ARC
(0,12),-0.728465 # DEPENDENCYPART_ARC
(0,13),-1.05488 # DEPENDENCYPART_ARC
(0,14),0.39438 # DEPENDENCYPART_ARC
(0,15),-0.686032 # DEPENDENCYPART_ARC
(0,16),-0.962439 # DEPENDENCYPART_ARC
(0,17),0.54069 # DEPENDENCYPART_ARC
(0,18),-1.65587 # DEPENDENCYPART_ARC
(0,20),-1.43708 # DEPENDENCYPART_ARC
(0,22),-1.51929 # DEPENDENCYPART_ARC
(0,23),-1.52627 # DEPENDENCYPART_ARC
(0,24),-0.427828 # DEPENDENCYPART_ARC
(0,25),-0.766353 # DEPENDENCYPART_ARC
(0,26),-2.18039 # DEPENDENCYPART_ARC
(1,2),1.49444 # DEPENDENCYPART_ARC
(1,3),-1.37446 # DEPENDENCYPART_ARC
(1,4),-1.37029 # DEPENDENCYPART_ARC
(2,3),1.03324 # DEPENDENCYPART_ARC
(4,1),-1.11451 # DEPENDENCYPART_ARC
(4,3),-0.257837 # DEPENDENCYPART_ARC
(4,6),-1.52998 # DEPENDENCYPART_ARC
(5,1),-0.00558626 # DEPENDENCYPART_ARC
(5,2),-0.9735 # DEPENDENCYPART_ARC
(5,3),-1.02185 # DEPENDENCYPART_ARC
(5,4),1.91061 # DEPENDENCYPART_ARC
(5,6),1.69036 # DEPENDENCYPART_ARC
(5,7),-0.230733 # DEPENDENCYPART_ARC
(5,9),-0.406689 # DEPENDENCYPART_ARC
(5,12),-0.595169 # DEPENDENCYPART_ARC
(5,14),-0.522397 # DEPENDENCYPART_ARC
(5,19),-1.0087 # DEPENDENCYPART_ARC
(5,21),-0.966938 # DEPENDENCYPART_ARC
(5,22),-0.623838 # DEPENDENCYPART_ARC
(5,23),-0.753551 # DEPENDENCYPART_ARC
(5,24),-1.1703 # DEPENDENCYPART_ARC
(6,3),-1.90849 # DEPENDENCYPART_ARC
(6,4),-3.33622 # DEPENDENCYPART_ARC
(7,8),1.05271 # DEPENDENCYPART_ARC
(7,9),-0.577545 # DEPENDENCYPART_ARC
(7,12),-1.13428 # DEPENDENCYPART_ARC
(7,14),-1.15886 # DEPENDENCYPART_ARC
(7,17),-0.332614 # DEPENDENCYPART_ARC
(8,6),-1.12685 # DEPENDENCYPART_ARC
(8,9),-0.783875 # DEPENDENCYPART_ARC
(8,10),-1.10865 # DEPENDENCYPART_ARC
(9,2),-2.05791 # DEPENDENCYPART_ARC
(9,3),-1.33924 # DEPENDENCYPART_ARC
(9,4),-1.70793 # DEPENDENCYPART_ARC
(9,5),-0.606609 # DEPENDENCYPART_ARC
(9,6),-1.32136 # DEPENDENCYPART_ARC
(9,8),-0.247058 # DEPENDENCYPART_ARC
(9,10),1.50884 # DEPENDENCYPART_ARC
(9,13),-1.08037 # DEPENDENCYPART_ARC
(9,15),-1.21627 # DEPENDENCYPART_ARC
(9,21),-0.564186 # DEPENDENCYPART_ARC
(9,23),-0.698141 # DEPENDENCYPART_ARC
(9,24),-0.864434 # DEPENDENCYPART_ARC
(10,1),-1.65833 # DEPENDENCYPART_ARC
(10,9),-0.593231 # DEPENDENCYPART_ARC
(10,11),1.02779 # DEPENDENCYPART_ARC
(11,12),0.0445842 # DEPENDENCYPART_ARC
(11,13),-0.209663 # DEPENDENCYPART_ARC
(12,1),-0.305185 # DEPENDENCYPART_ARC
(12,2),-0.888397 # DEPENDENCYPART_ARC
(12,3),-1.45181 # DEPENDENCYPART_ARC
(12,4),-0.180365 # DEPENDENCYPART_ARC
(12,5),-0.250915 # DEPENDENCYPART_ARC
(12,6),-0.39886 # DEPENDENCYPART_ARC
(12,7),-0.538447 # DEPENDENCYPART_ARC
(12,9),0.091737 # DEPENDENCYPART_ARC
(12,10),-0.542537 # DEPENDENCYPART_ARC
(12,13),1.84348 # DEPENDENCYPART_ARC
(12,14),-1.26811 # DEPENDENCYPART_ARC
(12,15),-1.31371 # DEPENDENCYPART_ARC
(12,16),-1.37798 # DEPENDENCYPART_ARC
(12,17),-1.11489 # DEPENDENCYPART_ARC
