# _root_ baina oraingoan , alderdiko ordezkaritza guztiek eman die abisu alderdikideei , " abenturazko bideetara eraman nahi_gaituztenak berriz_ere uxatzeko " agindurik .
#goldHeads=0,7,2,5,7,5,0,7,7,7,10,11,14,15,16,18,18,20,18,7,20,
#predictedHeads=0,7,2,5,7,5,0,7,7,7,10,11,14,15,18,15,18,7,18,19,20,
(0,1),1.3179 # DEPENDENCYPART_ARC
(0,2),-0.659167 # DEPENDENCYPART_ARC
(0,3),-1.08153 # DEPENDENCYPART_ARC
(0,4),-0.679912 # DEPENDENCYPART_ARC
(0,6),-1.67506 # DEPENDENCYPART_ARC
(0,7),-0.0906955 # DEPENDENCYPART_ARC
(0,8),-0.754926 # DEPENDENCYPART_ARC
(0,9),-0.436865 # DEPENDENCYPART_ARC
(0,10),-1.0746 # DEPENDENCYPART_ARC
(0,11),-1.12259 # DEPENDENCYPART_ARC
(0,12),-1.51593 # DEPENDENCYPART_ARC
(0,15),-0.744094 # DEPENDENCYPART_ARC
(0,16),-0.28344 # DEPENDENCYPART_ARC
(0,17),-0.907113 # DEPENDENCYPART_ARC
(0,18),-1.11879 # DEPENDENCYPART_ARC
(0,19),-2.27126 # DEPENDENCYPART_ARC
(0,20),-0.777083 # DEPENDENCYPART_ARC
(0,21),-2.04584 # DEPENDENCYPART_ARC
(1,2),-1.09501 # DEPENDENCYPART_ARC
(1,3),-1.30364 # DEPENDENCYPART_ARC
(1,7),-1.60046 # DEPENDENCYPART_ARC
(1,18),-2.14405 # DEPENDENCYPART_ARC
(1,20),-2.556 # DEPENDENCYPART_ARC
(2,1),-0.430669 # DEPENDENCYPART_ARC
(2,3),0.90933 # DEPENDENCYPART_ARC
(2,4),-0.786598 # DEPENDENCYPART_ARC
(2,5),-0.765276 # DEPENDENCYPART_ARC
(2,17),-0.892939 # DEPENDENCYPART_ARC
(3,1),-0.945293 # DEPENDENCYPART_ARC
(3,4),-0.619334 # DEPENDENCYPART_ARC
(4,1),-1.01059 # DEPENDENCYPART_ARC
(4,2),-1.06252 # DEPENDENCYPART_ARC
(4,3),-0.209613 # DEPENDENCYPART_ARC
(4,5),-0.520362 # DEPENDENCYPART_ARC
(4,6),-1.27007 # DEPENDENCYPART_ARC
(4,8),-1.81823 # DEPENDENCYPART_ARC
(5,1),-0.805722 # DEPENDENCYPART_ARC
(5,2),-0.984138 # DEPENDENCYPART_ARC
(5,3),-1.17797 # DEPENDENCYPART_ARC
(5,4),0.967308 # DEPENDENCYPART_ARC
(5,6),1.94854 # DEPENDENCYPART_ARC
(5,8),-0.787559 # DEPENDENCYPART_ARC
(5,10),-0.806442 # DEPENDENCYPART_ARC
(6,5),-0.190194 # DEPENDENCYPART_ARC
(7,1),-0.439103 # DEPENDENCYPART_ARC
(7,2),-0.166287 # DEPENDENCYPART_ARC
(7,3),-1.31202 # DEPENDENCYPART_ARC
(7,4),0.225347 # DEPENDENCYPART_ARC
(7,5),0.734281 # DEPENDENCYPART_ARC
(7,6),0.663625 # DEPENDENCYPART_ARC
(7,8),1.288 # DEPENDENCYPART_ARC
(7,9),0.245799 # DEPENDENCYPART_ARC
(7,10),0.28093 # DEPENDENCYPART_ARC
(7,11),-0.71659 # DEPENDENCYPART_ARC
(7,13),-1.55448 # DEPENDENCYPART_ARC
(7,14),-1.01574 # DEPENDENCYPART_ARC
(7,15),-0.502478 # DEPENDENCYPART_ARC
(7,16),-0.305678 # DEPENDENCYPART_ARC
(7,17),-1.02698 # DEPENDENCYPART_ARC
(7,18),-0.278123 # DEPENDENCYPART_ARC
(7,20),-0.652947 # DEPENDENCYPART_ARC
(8,9),-0.977168 # DEPENDENCYPART_ARC
(9,3),-1.50837 # DEPENDENCYPART_ARC
(9,4),-0.480618 # DEPENDENCYPART_ARC
(9,5),-0.552947 # DEPENDENCYPART_ARC
(9,7),-0.238126 # DEPENDENCYPART_ARC
(9,8),-1.24811 # DEPENDENCYPART_ARC
(9,10),-0.674914 # DEPENDENCYPART_ARC
(9,11),-0.497519 # DEPENDENCYPART_ARC
(9,13),-0.808546 # DEPENDENCYPART_ARC
(9,14),-1.25767 # DEPENDENCYPART_ARC
(10,1),-0.953365 # DEPENDENCYPART_ARC
(10,2),-1.18957 # DEPENDENCYPART_ARC
(10,3),-1.90333 # DEPENDENCYPART_ARC
(10,4),-0.636976 # DEPENDENCYPART_ARC
(10,5),-0.714838 # DEPENDENCYPART_ARC
(10,7),-0.886069 # DEPENDENCYPART_ARC
(10,8),-1.46743 # DEPENDENCYPART_ARC
(10,9),0.103062 # DEPENDENCYPART_ARC
(10,11),1.10116 # DEPENDENCYPART_ARC
(10,13),-0.290584 # DEPENDENCYPART_ARC
(10,14),-0.958328 # DEPENDENCYPART_ARC
(10,15),-1.13108 # DEPENDENCYPART_ARC
(10,16),-2.36917 # DEPENDENCYPART_ARC
(10,17),-1.15609 # DEPENDENCYPART_ARC
(10,18),-1.92075 # DEPENDENCYPART_ARC
(10,20),-1.37696 # DEPENDENCYPART_ARC
(10,21),-1.20444 # DEPENDENCYPART_ARC
(11,7),-1.10833 # DEPENDENCYPART_ARC
(11,8),-1.31124 # DEPENDENCYPART_ARC
(11,9),-1.11509 # DEPENDENCYPART_ARC
(11,12),0.99567 # DEPENDENCYPART_ARC
(11,13),-0.751094 # DEPENDENCYPART_ARC
(11,14),-0.525536 # DEPENDENCYPART_ARC
(11,15),-0.700763 # DEPENDENCYPART_ARC
(11,16),-0.735711 # DEPENDENCYPART_ARC
(11,18),-0.778905 # DEPENDENCYPART_ARC
(11,20),-0.861909 # DEPENDENCYPART_ARC
(12,13),-0.643632 # DEPENDENCYPART_ARC
(12,15),-0.948094 # DEPENDENCYPART_ARC
(12,18),-1.13082 # DEPENDENCYPART_ARC
(12,20),-1.28708 # DEPENDENCYPART_ARC
(13,10),-2.82274 # DEPENDENCYPART_ARC
(13,11),-0.947449 # DEPENDENCYPART_ARC
(13,12),-0.427101 # DEPENDENCYPART_ARC
(13,14),-0.769061 # DEPENDENCYPART_ARC
