# _root_ eh abstenitu egin zen , eta beste idazki bat aurkeztu zuen , " politikoa den arazoak behingoz irtenbide politikoa " behar_duela argudiatuz .
#goldHeads=2,6,2,2,4,0,8,10,8,6,10,10,11,15,16,21,21,21,18,18,22,10,22,
#predictedHeads=2,6,2,2,4,0,8,10,8,6,10,11,12,16,14,21,21,21,18,19,22,10,22,
(0,1),-0.302897 # DEPENDENCYPART_ARC
(0,2),-0.898493 # DEPENDENCYPART_ARC
(0,3),-0.341009 # DEPENDENCYPART_ARC
(0,4),-0.64609 # DEPENDENCYPART_ARC
(0,5),-0.795722 # DEPENDENCYPART_ARC
(0,6),1.11129 # DEPENDENCYPART_ARC
(0,7),-1.19663 # DEPENDENCYPART_ARC
(0,9),-1.55719 # DEPENDENCYPART_ARC
(0,10),-0.148291 # DEPENDENCYPART_ARC
(0,11),-0.59689 # DEPENDENCYPART_ARC
(0,12),-0.506417 # DEPENDENCYPART_ARC
(0,13),-1.11974 # DEPENDENCYPART_ARC
(0,15),-0.63621 # DEPENDENCYPART_ARC
(0,17),-0.436381 # DEPENDENCYPART_ARC
(0,19),-1.5814 # DEPENDENCYPART_ARC
(0,20),-1.60146 # DEPENDENCYPART_ARC
(0,21),-0.978379 # DEPENDENCYPART_ARC
(0,22),-1.2066 # DEPENDENCYPART_ARC
(0,23),-1.64161 # DEPENDENCYPART_ARC
(1,2),-0.758282 # DEPENDENCYPART_ARC
(1,3),-2.87698 # DEPENDENCYPART_ARC
(2,1),1.76536 # DEPENDENCYPART_ARC
(2,3),1.67176 # DEPENDENCYPART_ARC
(2,4),0.954169 # DEPENDENCYPART_ARC
(2,5),-0.186213 # DEPENDENCYPART_ARC
(2,6),-0.00572577 # DEPENDENCYPART_ARC
(2,7),-0.367144 # DEPENDENCYPART_ARC
(2,8),-0.442607 # DEPENDENCYPART_ARC
(2,10),-0.0422618 # DEPENDENCYPART_ARC
(2,11),-0.840856 # DEPENDENCYPART_ARC
(2,15),-0.694015 # DEPENDENCYPART_ARC
(2,18),-1.06177 # DEPENDENCYPART_ARC
(2,22),0.0749272 # DEPENDENCYPART_ARC
(3,1),0.962238 # DEPENDENCYPART_ARC
(3,2),0.80348 # DEPENDENCYPART_ARC
(3,4),0.606601 # DEPENDENCYPART_ARC
(3,5),-0.831269 # DEPENDENCYPART_ARC
(3,6),-1.00238 # DEPENDENCYPART_ARC
(3,7),-1.34868 # DEPENDENCYPART_ARC
(3,8),-1.41772 # DEPENDENCYPART_ARC
(3,10),-1.49885 # DEPENDENCYPART_ARC
(3,11),-2.18117 # DEPENDENCYPART_ARC
(3,12),-1.53926 # DEPENDENCYPART_ARC
(3,14),-1.48036 # DEPENDENCYPART_ARC
(3,15),-1.46154 # DEPENDENCYPART_ARC
(3,18),-2.16843 # DEPENDENCYPART_ARC
(3,22),-0.897204 # DEPENDENCYPART_ARC
