# _root_ plangintzak lan arloan dauden arazoei ez die aurre_egiten , ugtko kidearen ustez , eta ppk estatu mailan duen plangintza jarraitzen duela gehitu zuen .
#goldHeads=8,3,4,5,8,8,8,14,8,11,12,8,12,0,20,17,18,19,20,22,20,14,22,23,
#predictedHeads=8,3,4,5,8,8,8,14,8,11,12,8,12,0,16,17,18,19,20,22,20,14,22,23,
(0,1),-0.310698 # DEPENDENCYPART_ARC
(0,2),-0.782419 # DEPENDENCYPART_ARC
(0,4),-0.918548 # DEPENDENCYPART_ARC
(0,5),-1.24339 # DEPENDENCYPART_ARC
(0,6),-1.29261 # DEPENDENCYPART_ARC
(0,7),-0.990806 # DEPENDENCYPART_ARC
(0,8),-0.889432 # DEPENDENCYPART_ARC
(0,9),-1.05624 # DEPENDENCYPART_ARC
(0,13),-1.41588 # DEPENDENCYPART_ARC
(0,14),0.191139 # DEPENDENCYPART_ARC
(0,18),-1.26685 # DEPENDENCYPART_ARC
(0,19),-1.05891 # DEPENDENCYPART_ARC
(0,20),-1.01456 # DEPENDENCYPART_ARC
(0,21),-1.55106 # DEPENDENCYPART_ARC
(0,22),-0.775847 # DEPENDENCYPART_ARC
(0,23),-1.04303 # DEPENDENCYPART_ARC
(0,24),-2.63219 # DEPENDENCYPART_ARC
(1,2),-0.732316 # DEPENDENCYPART_ARC
(1,3),-1.96763 # DEPENDENCYPART_ARC
(1,7),-2.58575 # DEPENDENCYPART_ARC
(2,1),-0.0623849 # DEPENDENCYPART_ARC
(2,3),0.221783 # DEPENDENCYPART_ARC
(2,7),-1.33663 # DEPENDENCYPART_ARC
(3,1),-1.81025 # DEPENDENCYPART_ARC
(3,2),1.47466 # DEPENDENCYPART_ARC
(3,4),-1.31651 # DEPENDENCYPART_ARC
(3,5),-1.7472 # DEPENDENCYPART_ARC
(3,6),-2.20268 # DEPENDENCYPART_ARC
(3,7),-2.02729 # DEPENDENCYPART_ARC
(4,1),0.10947 # DEPENDENCYPART_ARC
(4,2),0.422233 # DEPENDENCYPART_ARC
(4,3),1.36395 # DEPENDENCYPART_ARC
(4,5),-1.13726 # DEPENDENCYPART_ARC
(4,6),-0.692664 # DEPENDENCYPART_ARC
(4,7),-1.81378 # DEPENDENCYPART_ARC
(4,8),-0.829699 # DEPENDENCYPART_ARC
(4,11),-1.94986 # DEPENDENCYPART_ARC
(4,12),-1.19844 # DEPENDENCYPART_ARC
(4,14),-0.386092 # DEPENDENCYPART_ARC
(4,16),-1.64747 # DEPENDENCYPART_ARC
(4,17),-2.17865 # DEPENDENCYPART_ARC
(4,18),-1.42875 # DEPENDENCYPART_ARC
(4,19),-2.25996 # DEPENDENCYPART_ARC
(4,20),-1.38182 # DEPENDENCYPART_ARC
(4,22),-1.8323 # DEPENDENCYPART_ARC
(5,1),-2.27313 # DEPENDENCYPART_ARC
(5,2),0.0141356 # DEPENDENCYPART_ARC
(5,3),-1.35382 # DEPENDENCYPART_ARC
(5,4),2.48191 # DEPENDENCYPART_ARC
(5,6),-0.967935 # DEPENDENCYPART_ARC
(5,7),-0.982167 # DEPENDENCYPART_ARC
(5,10),-1.1151 # DEPENDENCYPART_ARC
(6,3),-1.62857 # DEPENDENCYPART_ARC
(6,5),-0.695996 # DEPENDENCYPART_ARC
(6,11),-1.12836 # DEPENDENCYPART_ARC
(7,5),-0.676647 # DEPENDENCYPART_ARC
(7,6),-0.666746 # DEPENDENCYPART_ARC
(7,10),-1.8127 # DEPENDENCYPART_ARC
(8,1),0.550406 # DEPENDENCYPART_ARC
(8,2),-0.507815 # DEPENDENCYPART_ARC
(8,3),0.229524 # DEPENDENCYPART_ARC
(8,4),-0.424084 # DEPENDENCYPART_ARC
(8,5),1.19293 # DEPENDENCYPART_ARC
(8,6),1.05147 # DEPENDENCYPART_ARC
(8,7),1.57395 # DEPENDENCYPART_ARC
(8,9),1.34752 # DEPENDENCYPART_ARC
(8,11),-0.869831 # DEPENDENCYPART_ARC
(8,12),-0.401689 # DEPENDENCYPART_ARC
(8,14),-0.642258 # DEPENDENCYPART_ARC
(8,16),-1.22623 # DEPENDENCYPART_ARC
(8,17),-0.813591 # DEPENDENCYPART_ARC
(8,19),-1.33843 # DEPENDENCYPART_ARC
(8,20),-1.3004 # DEPENDENCYPART_ARC
(8,21),-1.27474 # DEPENDENCYPART_ARC
(8,22),-1.53561 # DEPENDENCYPART_ARC
(8,23),-2.39337 # DEPENDENCYPART_ARC
(9,4),-0.995921 # DEPENDENCYPART_ARC
(9,7),-1.19664 # DEPENDENCYPART_ARC
(9,8),-0.288839 # DEPENDENCYPART_ARC
(9,22),-1.41744 # DEPENDENCYPART_ARC
(10,9),-0.664949 # DEPENDENCYPART_ARC
(10,11),-0.317761 # DEPENDENCYPART_ARC
(10,12),-1.72437 # DEPENDENCYPART_ARC
(10,15),-2.17497 # DEPENDENCYPART_ARC
(11,8),-1.15599 # DEPENDENCYPART_ARC
(11,9),-1.06338 # DEPENDENCYPART_ARC
(11,10),2.14979 # DEPENDENCYPART_ARC
(11,12),-0.0837499 # DEPENDENCYPART_ARC
(11,13),-0.518115 # DEPENDENCYPART_ARC
(11,15),-0.823334 # DEPENDENCYPART_ARC
(12,8),-1.89334 # DEPENDENCYPART_ARC
(12,9),-1.39132 # DEPENDENCYPART_ARC
(12,10),0.642777 # DEPENDENCYPART_ARC
(12,11),1.08745 # DEPENDENCYPART_ARC
(12,13),1.346 # DEPENDENCYPART_ARC
(12,14),-0.685154 # DEPENDENCYPART_ARC
(12,15),-1.21996 # DEPENDENCYPART_ARC
(12,16),-0.633959 # DEPENDENCYPART_ARC
(12,17),-1.14073 # DEPENDENCYPART_ARC
(12,18),-1.76497 # DEPENDENCYPART_ARC
(12,20),-1.24928 # DEPENDENCYPART_ARC
(12,22),-1.64653 # DEPENDENCYPART_ARC
(13,4),-0.892404 # DEPENDENCYPART_ARC
(13,8),-1.27961 # DEPENDENCYPART_ARC
(13,18),-0.965471 # DEPENDENCYPART_ARC
(14,1),-1.27716 # DEPENDENCYPART_ARC
(14,2),-1.13922 # DEPENDENCYPART_ARC
(14,3),-1.44959 # DEPENDENCYPART_ARC
(14,4),-0.473204 # DEPENDENCYPART_ARC
(14,5),-0.979039 # DEPENDENCYPART_ARC
(14,6),-0.947207 # DEPENDENCYPART_ARC
(14,7),-1.3554 # DEPENDENCYPART_ARC
(14,8),-0.524397 # DEPENDENCYPART_ARC
(14,9),-1.54069 # DEPENDENCYPART_ARC
(14,10),-0.545656 # DEPENDENCYPART_ARC
(14,11),-0.393572 # DEPENDENCYPART_ARC
(14,12),0.265645 # DEPENDENCYPART_ARC
(14,13),-0.508594 # DEPENDENCYPART_ARC
(14,15),0.198083 # DEPENDENCYPART_ARC
(14,16),-1.02633 # DEPENDENCYPART_ARC
(14,17),-0.542346 # DEPENDENCYPART_ARC
(14,18),-0.711586 # DEPENDENCYPART_ARC
(14,19),-0.795695 # DEPENDENCYPART_ARC
(14,20),0.0505998 # DEPENDENCYPART_ARC
(14,22),-0.130966 # DEPENDENCYPART_ARC
(15,16),0.0804298 # DEPENDENCYPART_ARC
(15,17),-1.74423 # DEPENDENCYPART_ARC
(16,9),-2.0942 # DEPENDENCYPART_ARC
(16,10),-1.26795 # DEPENDENCYPART_ARC
(16,11),-1.15001 # DEPENDENCYPART_ARC
(16,12),-1.20052 # DEPENDENCYPART_ARC
(16,13),-1.54805 # DEPENDENCYPART_ARC
(16,14),-0.753311 # DEPENDENCYPART_ARC
(16,15),0.626994 # DEPENDENCYPART_ARC
(16,17),0.207176 # DEPENDENCYPART_ARC
(16,18),-0.742317 # DEPENDENCYPART_ARC
(16,21),-1.20813 # DEPENDENCYPART_ARC
(16,23),-1.27598 # DEPENDENCYPART_ARC
(17,10),-0.0787177 # DEPENDENCYPART_ARC
(17,12),-2.26655 # DEPENDENCYPART_ARC
(17,13),-1.16783 # DEPENDENCYPART_ARC
(17,14),-0.278148 # DEPENDENCYPART_ARC
(17,15),-1.50119 # DEPENDENCYPART_ARC
(17,16),1.32781 # DEPENDENCYPART_ARC
(17,18),-1.28613 # DEPENDENCYPART_ARC
(17,19),-1.58556 # DEPENDENCYPART_ARC
(17,21),-2.70813 # DEPENDENCYPART_ARC
(17,23),-1.80537 # DEPENDENCYPART_ARC
(17,24),-1.55278 # DEPENDENCYPART_ARC
(18,1),-0.997215 # DEPENDENCYPART_ARC
(18,2),-1.63888 # DEPENDENCYPART_ARC
(18,3),-0.914935 # DEPENDENCYPART_ARC
(18,4),-1.43002 # DEPENDENCYPART_ARC
(18,5),-1.26716 # DEPENDENCYPART_ARC
(18,8),-1.52491 # DEPENDENCYPART_ARC
(18,9),-1.55614 # DEPENDENCYPART_ARC
(18,10),-1.74569 # DEPENDENCYPART_ARC
(18,11),-1.32951 # DEPENDENCYPART_ARC
(18,12),-0.849277 # DEPENDENCYPART_ARC
(18,13),-1.34954 # DEPENDENCYPART_ARC
(18,14),-0.433802 # DEPENDENCYPART_ARC
(18,15),0.509958 # DEPENDENCYPART_ARC
(18,16),0.0859403 # DEPENDENCYPART_ARC
(18,17),1.93669 # DEPENDENCYPART_ARC
(18,19),-0.229505 # DEPENDENCYPART_ARC
(18,20),-1.09826 # DEPENDENCYPART_ARC
(18,21),-1.42517 # DEPENDENCYPART_ARC
(18,22),-1.48781 # DEPENDENCYPART_ARC
(18,23),-2.09206 # DEPENDENCYPART_ARC
(19,13),-1.34455 # DEPENDENCYPART_ARC
(19,14),-0.688126 # DEPENDENCYPART_ARC
(19,15),-2.46607 # DEPENDENCYPART_ARC
(19,16),-0.518414 # DEPENDENCYPART_ARC
(19,17),-1.48833 # DEPENDENCYPART_ARC
(19,18),1.68659 # DEPENDENCYPART_ARC
(19,20),-0.564757 # DEPENDENCYPART_ARC
(19,21),-1.28075 # DEPENDENCYPART_ARC
(19,22),-2.44417 # DEPENDENCYPART_ARC
(19,23),-1.09535 # DEPENDENCYPART_ARC
(19,24),-1.31237 # DEPENDENCYPART_ARC
(20,1),-0.416163 # DEPENDENCYPART_ARC
(20,2),-1.64319 # DEPENDENCYPART_ARC
(20,3),-0.775706 # DEPENDENCYPART_ARC
(20,4),-1.10309 # DEPENDENCYPART_ARC
(20,5),-0.537178 # DEPENDENCYPART_ARC
(20,6),-0.609491 # DEPENDENCYPART_ARC
(20,8),-0.956983 # DEPENDENCYPART_ARC
(20,9),-1.94538 # DEPENDENCYPART_ARC
(20,10),-1.25138 # DEPENDENCYPART_ARC
(20,11),-1.21336 # DEPENDENCYPART_ARC
(20,12),-0.212165 # DEPENDENCYPART_ARC
(20,13),-1.74914 # DEPENDENCYPART_ARC
(20,14),-0.617597 # DEPENDENCYPART_ARC
(20,15),0.138181 # DEPENDENCYPART_ARC
(20,16),-0.49782 # DEPENDENCYPART_ARC
(20,17),0.329078 # DEPENDENCYPART_ARC
(20,18),-0.024036 # DEPENDENCYPART_ARC
(20,19),1.64826 # DEPENDENCYPART_ARC
(20,21),2.17359 # DEPENDENCYPART_ARC
(20,22),-0.911587 # DEPENDENCYPART_ARC
(20,23),-1.01968 # DEPENDENCYPART_ARC
(21,19),-0.322136 # DEPENDENCYPART_ARC
(21,20),-0.667698 # DEPENDENCYPART_ARC
(21,22),-0.859598 # DEPENDENCYPART_ARC
(21,23),-0.845441 # DEPENDENCYPART_ARC
(22,1),-0.389507 # DEPENDENCYPART_ARC
(22,2),-1.79198 # DEPENDENCYPART_ARC
