# _root_ era_berean , astrologiak egokitzat adierazitako egunetan pertsona ugarik betetzen ditu bere egin beharrak , zientzia horren ezagutza izpirik eduki gabe .
#goldHeads=0,1,5,5,6,9,9,7,0,9,12,9,12,13,17,15,19,17,9,19,20,
#predictedHeads=9,1,5,5,6,9,9,7,0,9,12,13,9,13,18,15,18,19,9,19,20,
(0,1),0.0147734 # DEPENDENCYPART_ARC
(0,2),-1.1564 # DEPENDENCYPART_ARC
(0,3),-0.730443 # DEPENDENCYPART_ARC
(0,4),-1.32316 # DEPENDENCYPART_ARC
(0,5),-0.955309 # DEPENDENCYPART_ARC
(0,6),-1.1233 # DEPENDENCYPART_ARC
(0,7),-0.975725 # DEPENDENCYPART_ARC
(0,8),-1.42574 # DEPENDENCYPART_ARC
(0,9),-0.2121 # DEPENDENCYPART_ARC
(0,10),-0.460816 # DEPENDENCYPART_ARC
(0,12),-1.58026 # DEPENDENCYPART_ARC
(0,13),-1.35552 # DEPENDENCYPART_ARC
(0,14),-0.804204 # DEPENDENCYPART_ARC
(0,16),-1.56777 # DEPENDENCYPART_ARC
(0,17),-1.46126 # DEPENDENCYPART_ARC
(0,18),-1.36434 # DEPENDENCYPART_ARC
(0,19),-0.914399 # DEPENDENCYPART_ARC
(0,20),-1.13233 # DEPENDENCYPART_ARC
(0,21),-2.13855 # DEPENDENCYPART_ARC
(1,2),-0.165337 # DEPENDENCYPART_ARC
(1,20),-1.30302 # DEPENDENCYPART_ARC
(2,3),-0.718124 # DEPENDENCYPART_ARC
(2,4),-1.02415 # DEPENDENCYPART_ARC
(2,9),-1.22527 # DEPENDENCYPART_ARC
(3,1),-0.766202 # DEPENDENCYPART_ARC
(3,2),-0.0187183 # DEPENDENCYPART_ARC
(3,4),-0.322536 # DEPENDENCYPART_ARC
(3,5),-1.55667 # DEPENDENCYPART_ARC
(3,6),-1.84712 # DEPENDENCYPART_ARC
(3,7),-1.41716 # DEPENDENCYPART_ARC
(3,8),-1.90773 # DEPENDENCYPART_ARC
(3,10),-2.30751 # DEPENDENCYPART_ARC
(3,13),-1.74155 # DEPENDENCYPART_ARC
