# _root_ ez zuen denbora asko behar_izan , ez zuen senitarteko askorekin hitzegin behar_izan , guztien arretaren iturria non zegoen zehazki asmatzeko .
#goldHeads=5,5,5,3,0,5,5,5,11,9,12,0,12,15,16,18,18,20,20,12,20,
#predictedHeads=5,5,5,3,0,5,12,12,11,9,12,0,12,15,16,18,18,12,20,12,20,
(0,1),-0.200083 # DEPENDENCYPART_ARC
(0,2),-0.456474 # DEPENDENCYPART_ARC
(0,3),-0.744305 # DEPENDENCYPART_ARC
(0,4),-1.49472 # DEPENDENCYPART_ARC
(0,5),-0.483251 # DEPENDENCYPART_ARC
(0,6),-0.689148 # DEPENDENCYPART_ARC
(0,7),-0.851597 # DEPENDENCYPART_ARC
(0,8),-0.798998 # DEPENDENCYPART_ARC
(0,9),-1.15073 # DEPENDENCYPART_ARC
(0,10),-1.61212 # DEPENDENCYPART_ARC
(0,11),-1.09178 # DEPENDENCYPART_ARC
(0,12),-0.494947 # DEPENDENCYPART_ARC
(0,13),-0.519812 # DEPENDENCYPART_ARC
(0,14),-1.58809 # DEPENDENCYPART_ARC
(0,15),-1.09974 # DEPENDENCYPART_ARC
(0,16),-1.1153 # DEPENDENCYPART_ARC
(0,17),-0.647372 # DEPENDENCYPART_ARC
(0,18),-0.918763 # DEPENDENCYPART_ARC
(0,19),-0.709122 # DEPENDENCYPART_ARC
(0,20),-1.23938 # DEPENDENCYPART_ARC
(0,21),-1.698 # DEPENDENCYPART_ARC
(1,3),-1.44737 # DEPENDENCYPART_ARC
(2,1),-0.695192 # DEPENDENCYPART_ARC
(2,3),-0.611678 # DEPENDENCYPART_ARC
(2,5),-1.4094 # DEPENDENCYPART_ARC
(2,8),-0.998182 # DEPENDENCYPART_ARC
(3,1),-0.48978 # DEPENDENCYPART_ARC
(3,2),-0.346808 # DEPENDENCYPART_ARC
(3,4),1.87149 # DEPENDENCYPART_ARC
(3,5),-0.409112 # DEPENDENCYPART_ARC
(3,6),-0.719024 # DEPENDENCYPART_ARC
(3,8),-1.0136 # DEPENDENCYPART_ARC
(3,10),0.0214184 # DEPENDENCYPART_ARC
(3,12),-0.594134 # DEPENDENCYPART_ARC
(3,14),-0.422807 # DEPENDENCYPART_ARC
(3,20),-0.344055 # DEPENDENCYPART_ARC
(4,1),-0.449626 # DEPENDENCYPART_ARC
(4,3),-0.525043 # DEPENDENCYPART_ARC
(5,1),0.619502 # DEPENDENCYPART_ARC
(5,2),0.284734 # DEPENDENCYPART_ARC
(5,3),0.920373 # DEPENDENCYPART_ARC
(5,4),0.541454 # DEPENDENCYPART_ARC
(5,6),1.39005 # DEPENDENCYPART_ARC
(5,7),0.10657 # DEPENDENCYPART_ARC
(5,8),-0.28457 # DEPENDENCYPART_ARC
(5,9),-0.51241 # DEPENDENCYPART_ARC
(5,11),-0.0756046 # DEPENDENCYPART_ARC
(5,12),-0.691045 # DEPENDENCYPART_ARC
(5,15),-1.05532 # DEPENDENCYPART_ARC
(5,16),-0.588559 # DEPENDENCYPART_ARC
(5,20),0.203496 # DEPENDENCYPART_ARC
(6,2),-1.20196 # DEPENDENCYPART_ARC
(6,5),-0.153016 # DEPENDENCYPART_ARC
(6,10),-1.13824 # DEPENDENCYPART_ARC
(6,11),-0.907725 # DEPENDENCYPART_ARC
(6,12),-0.88419 # DEPENDENCYPART_ARC
(6,20),-1.13932 # DEPENDENCYPART_ARC
(7,3),-1.4249 # DEPENDENCYPART_ARC
(7,6),-0.506955 # DEPENDENCYPART_ARC
(7,9),-0.792957 # DEPENDENCYPART_ARC
(8,1),-1.61792 # DEPENDENCYPART_ARC
(8,7),-0.628328 # DEPENDENCYPART_ARC
(8,9),-0.434018 # DEPENDENCYPART_ARC
(9,5),-0.815312 # DEPENDENCYPART_ARC
(9,6),-1.31388 # DEPENDENCYPART_ARC
(9,7),-0.575878 # DEPENDENCYPART_ARC
(9,8),-0.264733 # DEPENDENCYPART_ARC
(9,10),1.70671 # DEPENDENCYPART_ARC
(9,11),-0.365474 # DEPENDENCYPART_ARC
(9,14),-0.329518 # DEPENDENCYPART_ARC
(9,15),-0.733106 # DEPENDENCYPART_ARC
(9,16),-0.66965 # DEPENDENCYPART_ARC
(9,18),-0.751939 # DEPENDENCYPART_ARC
(9,21),-1.31752 # DEPENDENCYPART_ARC
(10,1),-0.608123 # DEPENDENCYPART_ARC
(10,7),-0.477435 # DEPENDENCYPART_ARC
(10,9),-0.314619 # DEPENDENCYPART_ARC
(11,2),-1.16786 # DEPENDENCYPART_ARC
(11,3),-0.537916 # DEPENDENCYPART_ARC
(11,4),-1.16677 # DEPENDENCYPART_ARC
(11,5),-0.673338 # DEPENDENCYPART_ARC
(11,7),-0.0607298 # DEPENDENCYPART_ARC
(11,8),-0.633242 # DEPENDENCYPART_ARC
(11,9),0.624093 # DEPENDENCYPART_ARC
(11,10),0.322772 # DEPENDENCYPART_ARC
(11,12),0.730381 # DEPENDENCYPART_ARC
(11,15),-0.729916 # DEPENDENCYPART_ARC
(11,16),-0.476633 # DEPENDENCYPART_ARC
(11,18),-0.730113 # DEPENDENCYPART_ARC
(11,20),-0.320888 # DEPENDENCYPART_ARC
(12,2),-0.318423 # DEPENDENCYPART_ARC
(12,3),-0.697289 # DEPENDENCYPART_ARC
(12,4),-0.984666 # DEPENDENCYPART_ARC
(12,7),0.369196 # DEPENDENCYPART_ARC
(12,8),0.0386646 # DEPENDENCYPART_ARC
(12,9),0.397176 # DEPENDENCYPART_ARC
(12,10),-0.24544 # DEPENDENCYPART_ARC
(12,11),1.85805 # DEPENDENCYPART_ARC
(12,13),1.42202 # DEPENDENCYPART_ARC
(12,15),-0.576318 # DEPENDENCYPART_ARC
(12,16),-0.151403 # DEPENDENCYPART_ARC
(12,18),-0.0583786 # DEPENDENCYPART_ARC
(12,20),0.233758 # DEPENDENCYPART_ARC
