# _root_ pisu baten erosteko , beren seme-alaben ikasketen pagatzeko edo erretreta gehigarri baten segurtatzeko erabil daiteke , ministerioak eman zituen adibideen_arabera .
#goldHeads=3,1,9,3,6,7,8,9,14,13,10,10,9,0,14,15,18,20,18,14,20,
#predictedHeads=3,1,9,3,6,7,8,9,14,13,10,10,14,0,14,15,18,20,18,14,20,
(0,1),-0.393793 # DEPENDENCYPART_ARC
(0,2),-1.4109 # DEPENDENCYPART_ARC
(0,3),-1.05418 # DEPENDENCYPART_ARC
(0,4),-0.872728 # DEPENDENCYPART_ARC
(0,6),-1.10893 # DEPENDENCYPART_ARC
(0,7),-0.921411 # DEPENDENCYPART_ARC
(0,8),-1.1147 # DEPENDENCYPART_ARC
(0,9),-0.403421 # DEPENDENCYPART_ARC
(0,10),-1.18438 # DEPENDENCYPART_ARC
(0,13),-1.22241 # DEPENDENCYPART_ARC
(0,14),-0.357142 # DEPENDENCYPART_ARC
(0,15),-0.8537 # DEPENDENCYPART_ARC
(0,16),-0.57766 # DEPENDENCYPART_ARC
(0,17),-1.47142 # DEPENDENCYPART_ARC
(0,18),-0.441087 # DEPENDENCYPART_ARC
(0,19),-0.821448 # DEPENDENCYPART_ARC
(0,20),-2.11592 # DEPENDENCYPART_ARC
(0,21),-1.99013 # DEPENDENCYPART_ARC
(1,2),1.87414 # DEPENDENCYPART_ARC
(1,3),-0.95128 # DEPENDENCYPART_ARC
(1,4),-1.3991 # DEPENDENCYPART_ARC
(1,5),-0.745745 # DEPENDENCYPART_ARC
(1,12),-0.269367 # DEPENDENCYPART_ARC
(2,1),-0.400645 # DEPENDENCYPART_ARC
(3,1),1.09997 # DEPENDENCYPART_ARC
(3,2),0.573326 # DEPENDENCYPART_ARC
(3,4),0.96736 # DEPENDENCYPART_ARC
(3,5),-1.35473 # DEPENDENCYPART_ARC
(3,6),-1.80535 # DEPENDENCYPART_ARC
(3,7),-1.24838 # DEPENDENCYPART_ARC
(3,8),-1.13756 # DEPENDENCYPART_ARC
(3,9),-0.510669 # DEPENDENCYPART_ARC
(3,10),-1.66553 # DEPENDENCYPART_ARC
(3,11),-1.26811 # DEPENDENCYPART_ARC
(3,13),-1.01782 # DEPENDENCYPART_ARC
(3,14),-1.24216 # DEPENDENCYPART_ARC
(3,15),-2.41055 # DEPENDENCYPART_ARC
(3,18),-1.85986 # DEPENDENCYPART_ARC
(3,19),-3.40343 # DEPENDENCYPART_ARC
(3,20),-2.4144 # DEPENDENCYPART_ARC
(4,3),-0.200906 # DEPENDENCYPART_ARC
(4,6),-1.08905 # DEPENDENCYPART_ARC
(4,8),-0.907504 # DEPENDENCYPART_ARC
(5,4),-0.385872 # DEPENDENCYPART_ARC
(6,1),-0.521105 # DEPENDENCYPART_ARC
(6,2),-2.22328 # DEPENDENCYPART_ARC
(6,3),-0.390137 # DEPENDENCYPART_ARC
(6,4),-1.00929 # DEPENDENCYPART_ARC
(6,5),0.823212 # DEPENDENCYPART_ARC
(6,7),0.120753 # DEPENDENCYPART_ARC
(6,11),-1.64421 # DEPENDENCYPART_ARC
(6,12),-2.24524 # DEPENDENCYPART_ARC
(7,1),-0.623893 # DEPENDENCYPART_ARC
(7,2),-1.57897 # DEPENDENCYPART_ARC
(7,3),-0.460645 # DEPENDENCYPART_ARC
(7,4),-1.24003 # DEPENDENCYPART_ARC
(7,5),0.471998 # DEPENDENCYPART_ARC
(7,6),1.10859 # DEPENDENCYPART_ARC
(7,8),0.22065 # DEPENDENCYPART_ARC
(7,9),-0.601719 # DEPENDENCYPART_ARC
(7,10),-0.827996 # DEPENDENCYPART_ARC
(7,11),-0.918162 # DEPENDENCYPART_ARC
(7,12),-0.653309 # DEPENDENCYPART_ARC
(8,1),-0.382982 # DEPENDENCYPART_ARC
(8,2),-1.06578 # DEPENDENCYPART_ARC
(8,3),-0.667462 # DEPENDENCYPART_ARC
(8,4),-1.60409 # DEPENDENCYPART_ARC
(8,5),-0.574637 # DEPENDENCYPART_ARC
(8,6),-0.11201 # DEPENDENCYPART_ARC
(8,7),1.45791 # DEPENDENCYPART_ARC
(8,9),-0.298881 # DEPENDENCYPART_ARC
(8,10),-1.30453 # DEPENDENCYPART_ARC
(8,11),-1.46416 # DEPENDENCYPART_ARC
(8,12),-1.77837 # DEPENDENCYPART_ARC
(8,13),-1.33416 # DEPENDENCYPART_ARC
(8,14),-1.49578 # DEPENDENCYPART_ARC
(8,15),-2.57705 # DEPENDENCYPART_ARC
(8,16),-1.56327 # DEPENDENCYPART_ARC
(8,18),-2.15007 # DEPENDENCYPART_ARC
(8,19),-3.4373 # DEPENDENCYPART_ARC
(8,20),-2.61264 # DEPENDENCYPART_ARC
(9,1),-0.612603 # DEPENDENCYPART_ARC
(9,2),-0.990109 # DEPENDENCYPART_ARC
(9,3),-0.556069 # DEPENDENCYPART_ARC
(9,4),-1.20304 # DEPENDENCYPART_ARC
(9,6),-0.437851 # DEPENDENCYPART_ARC
(9,7),0.209608 # DEPENDENCYPART_ARC
(9,8),1.46994 # DEPENDENCYPART_ARC
(9,10),0.215525 # DEPENDENCYPART_ARC
(9,11),-0.255455 # DEPENDENCYPART_ARC
(9,12),-0.501943 # DEPENDENCYPART_ARC
(9,13),0.145482 # DEPENDENCYPART_ARC
(9,14),-0.124598 # DEPENDENCYPART_ARC
(9,16),-0.333334 # DEPENDENCYPART_ARC
(9,17),-0.615845 # DEPENDENCYPART_ARC
(9,18),-0.310559 # DEPENDENCYPART_ARC
(9,20),-0.725027 # DEPENDENCYPART_ARC
(10,7),-1.34182 # DEPENDENCYPART_ARC
(10,8),-0.330494 # DEPENDENCYPART_ARC
(10,9),-0.179498 # DEPENDENCYPART_ARC
(10,11),1.23459 # DEPENDENCYPART_ARC
(10,12),1.09376 # DEPENDENCYPART_ARC
(10,13),-0.611431 # DEPENDENCYPART_ARC
(10,15),-1.05119 # DEPENDENCYPART_ARC
