# _root_ azkenik , agiri " nazionala " zein den ere zalantzan jarri zuen , " epaigelako bi banderen_artean ere bakoitzak bat hartzen baitu bere naziokotzat " .
#goldHeads=0,3,8,3,3,5,8,11,0,11,0,11,12,13,17,17,21,0,21,21,11,21,24,21,24,25,
#predictedHeads=0,3,8,3,3,5,8,11,0,11,0,11,12,13,17,17,21,0,21,21,11,21,24,21,24,25,
(0,1),-0.0755343 # DEPENDENCYPART_ARC
(0,2),-1.19152 # DEPENDENCYPART_ARC
(0,3),-0.696111 # DEPENDENCYPART_ARC
(0,4),-0.971841 # DEPENDENCYPART_ARC
(0,5),-1.59915 # DEPENDENCYPART_ARC
(0,6),-0.839321 # DEPENDENCYPART_ARC
(0,7),-1.4622 # DEPENDENCYPART_ARC
(0,8),-1.19398 # DEPENDENCYPART_ARC
(0,9),0.829258 # DEPENDENCYPART_ARC
(0,10),-0.676745 # DEPENDENCYPART_ARC
(0,11),0.0303063 # DEPENDENCYPART_ARC
(0,12),-0.607005 # DEPENDENCYPART_ARC
(0,13),-0.939781 # DEPENDENCYPART_ARC
(0,14),-1.13567 # DEPENDENCYPART_ARC
(0,15),-1.06899 # DEPENDENCYPART_ARC
(0,16),-1.20447 # DEPENDENCYPART_ARC
(0,17),-1.34865 # DEPENDENCYPART_ARC
(0,18),0.643979 # DEPENDENCYPART_ARC
(0,19),-1.79952 # DEPENDENCYPART_ARC
(0,20),-1.38868 # DEPENDENCYPART_ARC
(0,21),-0.474064 # DEPENDENCYPART_ARC
(0,22),-0.638592 # DEPENDENCYPART_ARC
(0,24),-1.61616 # DEPENDENCYPART_ARC
(0,25),-2.11731 # DEPENDENCYPART_ARC
(0,26),-1.61699 # DEPENDENCYPART_ARC
(1,2),-0.741874 # DEPENDENCYPART_ARC
(1,3),-1.48016 # DEPENDENCYPART_ARC
(2,3),-0.640125 # DEPENDENCYPART_ARC
(2,5),-1.17702 # DEPENDENCYPART_ARC
(2,8),-0.73604 # DEPENDENCYPART_ARC
(3,1),-0.918228 # DEPENDENCYPART_ARC
(3,2),-0.306721 # DEPENDENCYPART_ARC
(3,4),1.46736 # DEPENDENCYPART_ARC
(3,5),0.651718 # DEPENDENCYPART_ARC
(3,7),0.0832708 # DEPENDENCYPART_ARC
(3,8),-1.0256 # DEPENDENCYPART_ARC
(3,10),-0.683349 # DEPENDENCYPART_ARC
(3,16),-0.884563 # DEPENDENCYPART_ARC
(3,20),0.149314 # DEPENDENCYPART_ARC
(3,21),-0.233698 # DEPENDENCYPART_ARC
(3,24),-0.468972 # DEPENDENCYPART_ARC
(4,3),-0.538764 # DEPENDENCYPART_ARC
(4,5),-0.374547 # DEPENDENCYPART_ARC
(4,9),-0.779546 # DEPENDENCYPART_ARC
(5,1),-0.571423 # DEPENDENCYPART_ARC
(5,3),-0.891277 # DEPENDENCYPART_ARC
(5,4),-0.379476 # DEPENDENCYPART_ARC
(5,6),1.00625 # DEPENDENCYPART_ARC
(5,11),-1.55163 # DEPENDENCYPART_ARC
(6,3),-1.06583 # DEPENDENCYPART_ARC
(6,9),-0.699028 # DEPENDENCYPART_ARC
(7,6),-0.117085 # DEPENDENCYPART_ARC
(7,8),0.450394 # DEPENDENCYPART_ARC
(8,1),-0.502582 # DEPENDENCYPART_ARC
(8,2),-1.15472 # DEPENDENCYPART_ARC
(8,3),-0.281419 # DEPENDENCYPART_ARC
(8,5),-0.141727 # DEPENDENCYPART_ARC
(8,7),0.696901 # DEPENDENCYPART_ARC
(8,9),0.619499 # DEPENDENCYPART_ARC
(8,10),-0.51433 # DEPENDENCYPART_ARC
(8,11),-0.966686 # DEPENDENCYPART_ARC
(8,12),-1.72297 # DEPENDENCYPART_ARC
(8,15),-1.38145 # DEPENDENCYPART_ARC
(8,17),-1.11704 # DEPENDENCYPART_ARC
(8,21),-1.36512 # DEPENDENCYPART_ARC
(8,24),-0.861505 # DEPENDENCYPART_ARC
(9,8),0.00595633 # DEPENDENCYPART_ARC
(9,11),-0.504101 # DEPENDENCYPART_ARC
(10,9),-0.146932 # DEPENDENCYPART_ARC
(10,11),-0.274167 # DEPENDENCYPART_ARC
(10,13),-0.5088 # DEPENDENCYPART_ARC
(11,1),-0.677645 # DEPENDENCYPART_ARC
(11,2),-1.24657 # DEPENDENCYPART_ARC
(11,3),-0.637226 # DEPENDENCYPART_ARC
(11,5),-1.01537 # DEPENDENCYPART_ARC
(11,7),-0.889605 # DEPENDENCYPART_ARC
(11,8),0.362255 # DEPENDENCYPART_ARC
(11,9),-0.272499 # DEPENDENCYPART_ARC
(11,10),0.988106 # DEPENDENCYPART_ARC
(11,12),1.33807 # DEPENDENCYPART_ARC
(11,13),-0.298326 # DEPENDENCYPART_ARC
(11,15),-0.787203 # DEPENDENCYPART_ARC
(11,16),-0.875443 # DEPENDENCYPART_ARC
(11,17),-1.07811 # DEPENDENCYPART_ARC
(11,19),-0.907072 # DEPENDENCYPART_ARC
(11,21),-0.846184 # DEPENDENCYPART_ARC
(11,22),-0.627543 # DEPENDENCYPART_ARC
(11,24),-0.97672 # DEPENDENCYPART_ARC
(12,3),-1.08765 # DEPENDENCYPART_ARC
(12,10),-0.804841 # DEPENDENCYPART_ARC
(12,13),1.12041 # DEPENDENCYPART_ARC
(12,21),-1.198 # DEPENDENCYPART_ARC
(13,8),-1.01246 # DEPENDENCYPART_ARC
(13,12),-0.484505 # DEPENDENCYPART_ARC
(13,14),1.06089 # DEPENDENCYPART_ARC
(13,15),-0.871553 # DEPENDENCYPART_ARC
(13,17),-0.67052 # DEPENDENCYPART_ARC
(13,21),-0.766047 # DEPENDENCYPART_ARC
(13,24),-0.675429 # DEPENDENCYPART_ARC
(14,15),-0.691006 # DEPENDENCYPART_ARC
(14,18),-0.868531 # DEPENDENCYPART_ARC
(14,21),-1.15452 # DEPENDENCYPART_ARC
(15,5),-1.96902 # DEPENDENCYPART_ARC
(15,8),-1.47984 # DEPENDENCYPART_ARC
(15,10),-1.26009 # DEPENDENCYPART_ARC
(15,11),-1.03675 # DEPENDENCYPART_ARC
(15,13),-1.04061 # DEPENDENCYPART_ARC
(15,14),-0.594578 # DEPENDENCYPART_ARC
(15,16),-0.423568 # DEPENDENCYPART_ARC
(15,17),-1.90605 # DEPENDENCYPART_ARC
(15,18),-1.42877 # DEPENDENCYPART_ARC
(15,19),-2.63135 # DEPENDENCYPART_ARC
(15,20),-1.92358 # DEPENDENCYPART_ARC
(15,22),-2.66931 # DEPENDENCYPART_ARC
(15,24),-1.67403 # DEPENDENCYPART_ARC
(15,26),-1.73912 # DEPENDENCYPART_ARC
(16,1),-1.01142 # DEPENDENCYPART_ARC
(16,10),-1.0247 # DEPENDENCYPART_ARC
(16,15),-0.461009 # DEPENDENCYPART_ARC
(16,17),0.256568 # DEPENDENCYPART_ARC
(17,1),-0.910339 # DEPENDENCYPART_ARC
(17,5),-1.50448 # DEPENDENCYPART_ARC
(17,10),-0.957892 # DEPENDENCYPART_ARC
(17,11),-0.927818 # DEPENDENCYPART_ARC
(17,13),-1.22796 # DEPENDENCYPART_ARC
(17,15),0.980986 # DEPENDENCYPART_ARC
(17,16),1.31198 # DEPENDENCYPART_ARC
(17,18),-0.597011 # DEPENDENCYPART_ARC
(17,19),-1.57527 # DEPENDENCYPART_ARC
(17,20),-1.81476 # DEPENDENCYPART_ARC
(17,22),-2.81294 # DEPENDENCYPART_ARC
(17,23),-2.50658 # DEPENDENCYPART_ARC
(17,24),-1.40747 # DEPENDENCYPART_ARC
(17,26),-1.41808 # DEPENDENCYPART_ARC
(18,8),-1.3397 # DEPENDENCYPART_ARC
(18,11),-1.22123 # DEPENDENCYPART_ARC
(18,21),-1.14228 # DEPENDENCYPART_ARC
(19,15),-0.406223 # DEPENDENCYPART_ARC
(19,17),-0.352747 # DEPENDENCYPART_ARC
(19,18),0.0221124 # DEPENDENCYPART_ARC
(19,20),-1.05374 # DEPENDENCYPART_ARC
(19,21),-1.40891 # DEPENDENCYPART_ARC
(19,24),-1.39893 # DEPENDENCYPART_ARC
(20,1),-0.741333 # DEPENDENCYPART_ARC
(20,10),-0.815092 # DEPENDENCYPART_ARC
(20,17),-0.401387 # DEPENDENCYPART_ARC
(21,1),-0.909227 # DEPENDENCYPART_ARC
(21,3),-1.01263 # DEPENDENCYPART_ARC
(21,5),-1.31065 # DEPENDENCYPART_ARC
(21,8),-0.261355 # DEPENDENCYPART_ARC
(21,9),-1.01099 # DEPENDENCYPART_ARC
(21,10),-0.803134 # DEPENDENCYPART_ARC
(21,11),-0.955871 # DEPENDENCYPART_ARC
(21,12),-1.2716 # DEPENDENCYPART_ARC
(21,13),-1.28629 # DEPENDENCYPART_ARC
(21,15),0.0331613 # DEPENDENCYPART_ARC
(21,16),-0.771206 # DEPENDENCYPART_ARC
(21,17),0.389613 # DEPENDENCYPART_ARC
(21,18),-0.303451 # DEPENDENCYPART_ARC
(21,19),-0.0503983 # DEPENDENCYPART_ARC
(21,20),0.322374 # DEPENDENCYPART_ARC
(21,22),2.23526 # DEPENDENCYPART_ARC
(21,23),-0.524329 # DEPENDENCYPART_ARC
(21,24),-0.106305 # DEPENDENCYPART_ARC
(22,20),-0.569589 # DEPENDENCYPART_ARC
(22,24),-1.10487 # DEPENDENCYPART_ARC
(24,1),-1.02997 # DEPENDENCYPART_ARC
(24,5),-1.87223 # DEPENDENCYPART_ARC
(24,11),-1.55189 # DEPENDENCYPART_ARC
(24,15),-0.9024 # DEPENDENCYPART_ARC
(24,17),-0.94755 # DEPENDENCYPART_ARC
(24,19),-2.06315 # DEPENDENCYPART_ARC
(24,20),-1.51554 # DEPENDENCYPART_ARC
(24,21),-0.938859 # DEPENDENCYPART_ARC
(24,22),-1.18418 # DEPENDENCYPART_ARC
(24,23),0.86339 # DEPENDENCYPART_ARC
(24,25),1.16828 # DEPENDENCYPART_ARC
(24,26),-0.0763914 # DEPENDENCYPART_ARC
(25,26),1.39213 # DEPENDENCYPART_ARC
(0,1),(0,2),0.0224075 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.146168 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0182466 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.113915 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0182466 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.112146 # DEPENDENCYPART_SIBL
(0,1),(0,8),0.0435712 # DEPENDENCYPART_SIBL
(0,1),(0,9),0.0565501 # DEPENDENCYPART_SIBL
(0,1),(0,10),0.0383176 # DEPENDENCYPART_SIBL
(0,1),(0,11),0.0554189 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.00795714 # DEPENDENCYPART_SIBL
(0,1),(0,13),0.0224075 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0182466 # DEPENDENCYPART_SIBL
(0,1),(0,15),0.146171 # DEPENDENCYPART_SIBL
(0,1),(0,16),0.11298 # DEPENDENCYPART_SIBL
(0,1),(0,17),0.146171 # DEPENDENCYPART_SIBL
(0,1),(0,18),0.0565501 # DEPENDENCYPART_SIBL
(0,1),(0,19),0.113766 # DEPENDENCYPART_SIBL
(0,1),(0,20),0.114352 # DEPENDENCYPART_SIBL
(0,1),(0,21),0.0600867 # DEPENDENCYPART_SIBL
(0,1),(0,22),0.00765319 # DEPENDENCYPART_SIBL
(0,1),(0,24),0.146171 # DEPENDENCYPART_SIBL
(0,1),(0,25),-0.0182466 # DEPENDENCYPART_SIBL
(0,1),(0,26),0.00176438 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.370046 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.132739 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.370046 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.180275 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.186957 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.070263 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.290997 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.301175 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.231843 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.413823 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.370046 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.177381 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.070263 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.133817 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.173746 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.288052 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.203281 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,25),-0.370046 # DEPENDENCYPART_SIBL
(0,2),(0,26),-0.340789 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.199298 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.017369 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.199298 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.00469578 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0414411 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0318082 # DEPENDENCYPART_SIBL
(0,3),(0,10),0.0253725 # DEPENDENCYPART_SIBL
