# _root_ honi oxidazio-prozesu bat eta , ondoren kondentsazioko beste bat jarraikitzen bazaio , hortik konposatu kimiko edo eraldaketaren produktu mugatu bat sortuko da .
#goldHeads=10,10,2,21,4,10,10,9,10,4,10,11,21,16,14,21,18,16,18,18,0,21,22,
#predictedHeads=10,4,2,0,4,10,10,7,7,21,10,11,21,16,14,18,16,21,18,18,0,21,22,
(0,1),-0.662703 # DEPENDENCYPART_ARC
(0,2),-0.748795 # DEPENDENCYPART_ARC
(0,3),-1.43733 # DEPENDENCYPART_ARC
(0,4),0.0555715 # DEPENDENCYPART_ARC
(0,5),-1.08598 # DEPENDENCYPART_ARC
(0,6),-0.575264 # DEPENDENCYPART_ARC
(0,7),-0.949741 # DEPENDENCYPART_ARC
(0,8),-1.33471 # DEPENDENCYPART_ARC
(0,9),-1.56443 # DEPENDENCYPART_ARC
(0,10),-0.47673 # DEPENDENCYPART_ARC
(0,11),-0.841986 # DEPENDENCYPART_ARC
(0,12),-0.816631 # DEPENDENCYPART_ARC
(0,13),-0.823622 # DEPENDENCYPART_ARC
(0,14),-1.24748 # DEPENDENCYPART_ARC
(0,15),-1.09027 # DEPENDENCYPART_ARC
(0,16),-0.62285 # DEPENDENCYPART_ARC
(0,18),-1.20718 # DEPENDENCYPART_ARC
(0,19),-0.969814 # DEPENDENCYPART_ARC
(0,20),-1.57338 # DEPENDENCYPART_ARC
(0,21),-0.326714 # DEPENDENCYPART_ARC
(0,22),-1.14568 # DEPENDENCYPART_ARC
(0,23),-1.94249 # DEPENDENCYPART_ARC
(1,2),-1.2022 # DEPENDENCYPART_ARC
(1,8),-1.07567 # DEPENDENCYPART_ARC
(2,1),-0.632131 # DEPENDENCYPART_ARC
(2,3),1.64263 # DEPENDENCYPART_ARC
(2,4),-0.525597 # DEPENDENCYPART_ARC
(2,5),-0.767186 # DEPENDENCYPART_ARC
(2,8),-0.683245 # DEPENDENCYPART_ARC
(2,9),-0.141007 # DEPENDENCYPART_ARC
(2,20),-0.577462 # DEPENDENCYPART_ARC
(3,2),-0.334442 # DEPENDENCYPART_ARC
(3,4),0.151822 # DEPENDENCYPART_ARC
(4,1),-0.84729 # DEPENDENCYPART_ARC
(4,2),0.147511 # DEPENDENCYPART_ARC
(4,3),0.26602 # DEPENDENCYPART_ARC
(4,5),1.24397 # DEPENDENCYPART_ARC
(4,6),-0.321656 # DEPENDENCYPART_ARC
(4,7),-0.289608 # DEPENDENCYPART_ARC
(4,8),-0.443277 # DEPENDENCYPART_ARC
(4,9),-0.543163 # DEPENDENCYPART_ARC
(4,10),-0.032402 # DEPENDENCYPART_ARC
(4,14),-0.944054 # DEPENDENCYPART_ARC
(4,16),-0.313152 # DEPENDENCYPART_ARC
(4,17),-0.876135 # DEPENDENCYPART_ARC
(4,18),-0.979159 # DEPENDENCYPART_ARC
(4,19),-0.473295 # DEPENDENCYPART_ARC
(4,21),-0.309862 # DEPENDENCYPART_ARC
(5,8),-1.29963 # DEPENDENCYPART_ARC
(5,21),-1.5411 # DEPENDENCYPART_ARC
(6,2),-1.30114 # DEPENDENCYPART_ARC
(6,4),-0.979369 # DEPENDENCYPART_ARC
(6,5),-0.475911 # DEPENDENCYPART_ARC
(6,7),-0.27595 # DEPENDENCYPART_ARC
(6,12),-0.618335 # DEPENDENCYPART_ARC
(7,1),-1.539 # DEPENDENCYPART_ARC
(7,2),-1.0042 # DEPENDENCYPART_ARC
(7,3),-1.46323 # DEPENDENCYPART_ARC
(7,4),-0.728273 # DEPENDENCYPART_ARC
(7,5),-1.19354 # DEPENDENCYPART_ARC
(7,6),-0.340473 # DEPENDENCYPART_ARC
(7,8),1.10674 # DEPENDENCYPART_ARC
(7,9),0.159001 # DEPENDENCYPART_ARC
(7,11),-1.27205 # DEPENDENCYPART_ARC
(7,20),-0.957477 # DEPENDENCYPART_ARC
(8,6),-0.756077 # DEPENDENCYPART_ARC
(8,7),-0.431762 # DEPENDENCYPART_ARC
(8,9),0.192413 # DEPENDENCYPART_ARC
(8,10),-0.709789 # DEPENDENCYPART_ARC
(9,6),-0.313342 # DEPENDENCYPART_ARC
(9,7),-0.538209 # DEPENDENCYPART_ARC
