# _root_ era_berean , beti erabiltzeko prest edukiko dituen goiz , eguerdi eta gauerako opari ekitaldietarako beharrezko gaiak zainduko ditu lorategian .
#goldHeads=0,1,6,5,6,16,6,11,8,11,14,11,14,16,16,17,0,17,17,19,
#predictedHeads=17,1,4,6,6,8,6,11,8,11,17,11,14,16,16,17,0,17,17,19,
(0,1),0.0147734 # DEPENDENCYPART_ARC
(0,2),-1.10994 # DEPENDENCYPART_ARC
(0,3),-0.696441 # DEPENDENCYPART_ARC
(0,4),-0.883996 # DEPENDENCYPART_ARC
(0,5),-0.867753 # DEPENDENCYPART_ARC
(0,6),-0.279555 # DEPENDENCYPART_ARC
(0,7),-0.219938 # DEPENDENCYPART_ARC
(0,8),-1.16217 # DEPENDENCYPART_ARC
(0,9),-1.10734 # DEPENDENCYPART_ARC
(0,11),-0.278429 # DEPENDENCYPART_ARC
(0,13),-1.02629 # DEPENDENCYPART_ARC
(0,14),-1.37788 # DEPENDENCYPART_ARC
(0,16),-1.16219 # DEPENDENCYPART_ARC
(0,17),-0.68789 # DEPENDENCYPART_ARC
(0,18),-0.246701 # DEPENDENCYPART_ARC
(0,19),-1.60457 # DEPENDENCYPART_ARC
(0,20),-2.17584 # DEPENDENCYPART_ARC
(1,2),-0.0326349 # DEPENDENCYPART_ARC
(1,3),-1.12897 # DEPENDENCYPART_ARC
(1,5),-1.28985 # DEPENDENCYPART_ARC
(2,4),-1.07551 # DEPENDENCYPART_ARC
(2,6),-1.07302 # DEPENDENCYPART_ARC
(2,17),-1.44358 # DEPENDENCYPART_ARC
(3,1),-0.826209 # DEPENDENCYPART_ARC
(3,2),-0.288337 # DEPENDENCYPART_ARC
(3,4),-0.169782 # DEPENDENCYPART_ARC
(3,5),-0.777923 # DEPENDENCYPART_ARC
(3,9),-0.506501 # DEPENDENCYPART_ARC
(4,1),-0.193862 # DEPENDENCYPART_ARC
(4,2),-1.04939 # DEPENDENCYPART_ARC
(4,3),0.830919 # DEPENDENCYPART_ARC
(4,5),0.221714 # DEPENDENCYPART_ARC
(4,6),-1.53916 # DEPENDENCYPART_ARC
(4,7),-2.4252 # DEPENDENCYPART_ARC
(4,8),-1.27227 # DEPENDENCYPART_ARC
(4,9),-1.30283 # DEPENDENCYPART_ARC
(4,10),-1.65498 # DEPENDENCYPART_ARC
(4,11),-0.869802 # DEPENDENCYPART_ARC
(4,12),-3.13186 # DEPENDENCYPART_ARC
(4,13),-2.09926 # DEPENDENCYPART_ARC
(4,14),-3.07811 # DEPENDENCYPART_ARC
(4,15),-2.11966 # DEPENDENCYPART_ARC
(4,16),-2.78984 # DEPENDENCYPART_ARC
(4,17),-2.21527 # DEPENDENCYPART_ARC
(4,18),-4.7393 # DEPENDENCYPART_ARC
(4,19),-1.63206 # DEPENDENCYPART_ARC
(5,3),-0.682844 # DEPENDENCYPART_ARC
(5,4),-0.243417 # DEPENDENCYPART_ARC
(5,6),-0.264896 # DEPENDENCYPART_ARC
(5,9),-0.593664 # DEPENDENCYPART_ARC
(6,1),-0.513568 # DEPENDENCYPART_ARC
(6,2),-1.3353 # DEPENDENCYPART_ARC
(6,3),-0.167948 # DEPENDENCYPART_ARC
(6,4),0.964981 # DEPENDENCYPART_ARC
(6,5),0.759957 # DEPENDENCYPART_ARC
(6,7),2.39183 # DEPENDENCYPART_ARC
(6,8),0.325915 # DEPENDENCYPART_ARC
(6,9),-0.573542 # DEPENDENCYPART_ARC
(6,10),-0.78131 # DEPENDENCYPART_ARC
(6,11),-0.162658 # DEPENDENCYPART_ARC
(6,12),-1.16006 # DEPENDENCYPART_ARC
(6,13),-1.05757 # DEPENDENCYPART_ARC
(6,14),-1.25935 # DEPENDENCYPART_ARC
(6,15),-1.18441 # DEPENDENCYPART_ARC
(6,16),-0.965012 # DEPENDENCYPART_ARC
(6,17),-0.722602 # DEPENDENCYPART_ARC
(6,18),-1.95154 # DEPENDENCYPART_ARC
(6,19),-0.160547 # DEPENDENCYPART_ARC
(7,4),-0.777589 # DEPENDENCYPART_ARC
(7,5),-0.7864 # DEPENDENCYPART_ARC
(7,8),-0.479218 # DEPENDENCYPART_ARC
(8,1),-1.28671 # DEPENDENCYPART_ARC
(8,2),-1.46887 # DEPENDENCYPART_ARC
(8,3),-1.25407 # DEPENDENCYPART_ARC
(8,4),-1.78979 # DEPENDENCYPART_ARC
(8,5),-0.969618 # DEPENDENCYPART_ARC
(8,6),-0.299857 # DEPENDENCYPART_ARC
(8,7),-0.51186 # DEPENDENCYPART_ARC
(8,9),1.34957 # DEPENDENCYPART_ARC
(8,10),-0.216887 # DEPENDENCYPART_ARC
(8,11),-0.310139 # DEPENDENCYPART_ARC
(8,12),-0.222511 # DEPENDENCYPART_ARC
(8,13),-0.45592 # DEPENDENCYPART_ARC
(8,17),-0.309039 # DEPENDENCYPART_ARC
(8,19),-0.22699 # DEPENDENCYPART_ARC
(8,20),-0.681765 # DEPENDENCYPART_ARC
(9,4),-1.17259 # DEPENDENCYPART_ARC
(9,6),-0.919476 # DEPENDENCYPART_ARC
(9,7),-1.25585 # DEPENDENCYPART_ARC
(9,8),-0.597727 # DEPENDENCYPART_ARC
(9,10),-0.496446 # DEPENDENCYPART_ARC
(9,17),-1.20518 # DEPENDENCYPART_ARC
(9,19),-0.853443 # DEPENDENCYPART_ARC
(10,6),-1.2342 # DEPENDENCYPART_ARC
(10,8),-0.573053 # DEPENDENCYPART_ARC
(10,9),-0.193208 # DEPENDENCYPART_ARC
(10,12),-0.57297 # DEPENDENCYPART_ARC
(10,15),-0.837163 # DEPENDENCYPART_ARC
(10,20),-1.216 # DEPENDENCYPART_ARC
(11,1),-0.782201 # DEPENDENCYPART_ARC
(11,3),-0.686799 # DEPENDENCYPART_ARC
(11,4),-0.94601 # DEPENDENCYPART_ARC
(11,5),-0.750866 # DEPENDENCYPART_ARC
(11,6),-0.379546 # DEPENDENCYPART_ARC
(11,7),-0.965412 # DEPENDENCYPART_ARC
(11,8),0.348215 # DEPENDENCYPART_ARC
(11,9),-1.10295 # DEPENDENCYPART_ARC
(11,10),2.15955 # DEPENDENCYPART_ARC
(11,12),1.62792 # DEPENDENCYPART_ARC
(11,13),-0.356411 # DEPENDENCYPART_ARC
(11,14),0.440267 # DEPENDENCYPART_ARC
(11,15),-0.832802 # DEPENDENCYPART_ARC
(11,16),0.312312 # DEPENDENCYPART_ARC
(11,17),-0.388471 # DEPENDENCYPART_ARC
(11,19),-0.813787 # DEPENDENCYPART_ARC
(12,10),-1.08103 # DEPENDENCYPART_ARC
(12,11),-0.604054 # DEPENDENCYPART_ARC
(12,13),-0.742492 # DEPENDENCYPART_ARC
(12,14),-2.25916 # DEPENDENCYPART_ARC
(12,15),-3.02144 # DEPENDENCYPART_ARC
(12,18),-2.76394 # DEPENDENCYPART_ARC
(12,20),-1.7899 # DEPENDENCYPART_ARC
(13,3),-1.15975 # DEPENDENCYPART_ARC
(13,8),-0.966101 # DEPENDENCYPART_ARC
(13,9),-1.52102 # DEPENDENCYPART_ARC
(13,10),-0.674263 # DEPENDENCYPART_ARC
(13,11),-0.255126 # DEPENDENCYPART_ARC
(13,12),0.860385 # DEPENDENCYPART_ARC
(13,14),0.174612 # DEPENDENCYPART_ARC
(13,15),-0.429128 # DEPENDENCYPART_ARC
(13,16),-0.688622 # DEPENDENCYPART_ARC
(13,18),-1.44433 # DEPENDENCYPART_ARC
(13,20),-1.24509 # DEPENDENCYPART_ARC
(14,1),-1.12837 # DEPENDENCYPART_ARC
(14,10),-0.863957 # DEPENDENCYPART_ARC
(14,11),-0.200665 # DEPENDENCYPART_ARC
(14,12),0.544144 # DEPENDENCYPART_ARC
(14,13),1.37315 # DEPENDENCYPART_ARC
(14,15),-0.576492 # DEPENDENCYPART_ARC
(14,16),-2.01106 # DEPENDENCYPART_ARC
(14,17),-2.56936 # DEPENDENCYPART_ARC
(14,18),-2.31609 # DEPENDENCYPART_ARC
(14,19),-2.55586 # DEPENDENCYPART_ARC
(14,20),-1.37048 # DEPENDENCYPART_ARC
(15,12),-1.18003 # DEPENDENCYPART_ARC
(15,13),-1.06283 # DEPENDENCYPART_ARC
(15,14),-0.388646 # DEPENDENCYPART_ARC
(15,16),-0.299439 # DEPENDENCYPART_ARC
(16,1),-0.804212 # DEPENDENCYPART_ARC
(16,3),-0.7346 # DEPENDENCYPART_ARC
(16,5),-0.779033 # DEPENDENCYPART_ARC
