# _root_ lau euskal_herritar horiek 1996an epaitu zituzten , eta sei urteko zigorra ezarri zieten , etari laguntza ematea leporatuta .
#goldHeads=2,5,2,5,8,5,6,0,10,11,12,8,12,13,17,17,18,12,18,
#predictedHeads=2,5,2,5,8,5,6,0,10,11,12,8,12,13,17,17,18,12,18,
(0,1),-0.471167 # DEPENDENCYPART_ARC
(0,2),-0.905366 # DEPENDENCYPART_ARC
(0,3),-1.72521 # DEPENDENCYPART_ARC
(0,4),-0.963024 # DEPENDENCYPART_ARC
(0,5),-0.111949 # DEPENDENCYPART_ARC
(0,6),-0.949605 # DEPENDENCYPART_ARC
(0,7),-0.811344 # DEPENDENCYPART_ARC
(0,8),0.751891 # DEPENDENCYPART_ARC
(0,9),-1.35966 # DEPENDENCYPART_ARC
(0,10),-1.00759 # DEPENDENCYPART_ARC
(0,12),-0.414722 # DEPENDENCYPART_ARC
(0,13),-0.999622 # DEPENDENCYPART_ARC
(0,14),-0.885658 # DEPENDENCYPART_ARC
(0,15),-1.1421 # DEPENDENCYPART_ARC
(0,17),-1.43678 # DEPENDENCYPART_ARC
(0,18),-1.41513 # DEPENDENCYPART_ARC
(0,19),-1.84711 # DEPENDENCYPART_ARC
(1,2),-0.765436 # DEPENDENCYPART_ARC
(2,1),0.885974 # DEPENDENCYPART_ARC
(2,3),1.16882 # DEPENDENCYPART_ARC
(2,5),-1.05629 # DEPENDENCYPART_ARC
(2,6),-1.32381 # DEPENDENCYPART_ARC
(2,9),-1.06087 # DEPENDENCYPART_ARC
(3,5),-1.31554 # DEPENDENCYPART_ARC
(3,11),-1.16351 # DEPENDENCYPART_ARC
(3,12),-1.26812 # DEPENDENCYPART_ARC
(3,18),-1.12357 # DEPENDENCYPART_ARC
(5,1),-0.430652 # DEPENDENCYPART_ARC
(5,2),0.555694 # DEPENDENCYPART_ARC
(5,3),-0.0553245 # DEPENDENCYPART_ARC
(5,4),2.11428 # DEPENDENCYPART_ARC
(5,6),1.62003 # DEPENDENCYPART_ARC
(5,7),-0.436526 # DEPENDENCYPART_ARC
(5,8),-0.565069 # DEPENDENCYPART_ARC
(5,9),-1.02998 # DEPENDENCYPART_ARC
(5,10),-1.27247 # DEPENDENCYPART_ARC
(5,11),-0.767363 # DEPENDENCYPART_ARC
(5,12),-0.971074 # DEPENDENCYPART_ARC
(5,13),-1.23996 # DEPENDENCYPART_ARC
(5,14),-1.13037 # DEPENDENCYPART_ARC
(5,16),-1.06972 # DEPENDENCYPART_ARC
