# _root_ haren ustez , euskal_gizarteak aldaketa edo alternatiba bat eskatzen du gobernuan , eta hori ppk bete behar_du .
#goldHeads=2,9,2,9,6,9,6,7,13,17,9,11,0,16,17,17,13,17,
#predictedHeads=2,9,2,9,6,9,6,7,13,9,9,11,0,17,17,17,13,17,
(0,1),-0.764628 # DEPENDENCYPART_ARC
(0,2),-0.76615 # DEPENDENCYPART_ARC
(0,3),-1.10589 # DEPENDENCYPART_ARC
(0,4),-0.899342 # DEPENDENCYPART_ARC
(0,5),-0.832971 # DEPENDENCYPART_ARC
(0,6),-0.466127 # DEPENDENCYPART_ARC
(0,8),-1.69125 # DEPENDENCYPART_ARC
(0,9),-0.601394 # DEPENDENCYPART_ARC
(0,10),-0.857567 # DEPENDENCYPART_ARC
(0,11),-1.3928 # DEPENDENCYPART_ARC
(0,12),-1.23519 # DEPENDENCYPART_ARC
(0,13),0.345223 # DEPENDENCYPART_ARC
(0,14),-1.71685 # DEPENDENCYPART_ARC
(0,15),-1.55314 # DEPENDENCYPART_ARC
(0,16),-1.56293 # DEPENDENCYPART_ARC
(0,17),0.786591 # DEPENDENCYPART_ARC
(0,18),-1.83042 # DEPENDENCYPART_ARC
(1,9),-1.9642 # DEPENDENCYPART_ARC
(2,1),0.0215423 # DEPENDENCYPART_ARC
(2,3),0.901995 # DEPENDENCYPART_ARC
(2,4),-0.744754 # DEPENDENCYPART_ARC
(2,5),-0.725974 # DEPENDENCYPART_ARC
(2,6),-0.568459 # DEPENDENCYPART_ARC
(2,7),-0.829567 # DEPENDENCYPART_ARC
(3,4),-0.611636 # DEPENDENCYPART_ARC
(3,17),-1.30645 # DEPENDENCYPART_ARC
(4,1),-0.957605 # DEPENDENCYPART_ARC
(4,2),-0.975693 # DEPENDENCYPART_ARC
(4,3),-0.0562378 # DEPENDENCYPART_ARC
(4,5),0.0431757 # DEPENDENCYPART_ARC
(4,6),-1.19594 # DEPENDENCYPART_ARC
(4,7),-1.14627 # DEPENDENCYPART_ARC
(4,8),-2.70173 # DEPENDENCYPART_ARC
(5,1),-1.01759 # DEPENDENCYPART_ARC
(5,2),-1.12724 # DEPENDENCYPART_ARC
(5,3),-1.14369 # DEPENDENCYPART_ARC
(5,4),0.673227 # DEPENDENCYPART_ARC
(5,6),0.0827919 # DEPENDENCYPART_ARC
(5,7),-0.515182 # DEPENDENCYPART_ARC
(5,8),-0.22511 # DEPENDENCYPART_ARC
(5,9),-0.813341 # DEPENDENCYPART_ARC
(5,10),-1.14029 # DEPENDENCYPART_ARC
(5,17),-0.62198 # DEPENDENCYPART_ARC
(6,1),-1.21268 # DEPENDENCYPART_ARC
(6,2),-0.668991 # DEPENDENCYPART_ARC
(6,3),-1.13372 # DEPENDENCYPART_ARC
(6,4),0.167152 # DEPENDENCYPART_ARC
(6,5),1.7591 # DEPENDENCYPART_ARC
(6,7),1.07593 # DEPENDENCYPART_ARC
(6,8),-0.290508 # DEPENDENCYPART_ARC
(6,9),-0.378234 # DEPENDENCYPART_ARC
(6,10),-0.746583 # DEPENDENCYPART_ARC
(6,11),-0.154053 # DEPENDENCYPART_ARC
(6,12),-0.444099 # DEPENDENCYPART_ARC
(6,13),-0.302784 # DEPENDENCYPART_ARC
(6,16),-0.880314 # DEPENDENCYPART_ARC
(6,17),-0.746154 # DEPENDENCYPART_ARC
(7,1),-1.60097 # DEPENDENCYPART_ARC
(7,3),-2.0621 # DEPENDENCYPART_ARC
(7,5),-0.699014 # DEPENDENCYPART_ARC
(7,6),-0.369733 # DEPENDENCYPART_ARC
(7,8),1.71238 # DEPENDENCYPART_ARC
