# _root_ orduan alexander potzu izoztuaren erdialdera joan zen , besoak zabalduta , otsoaren ihesa gordeaz adiunez .
#goldHeads=6,6,5,3,6,0,6,7,10,11,6,13,14,11,14,15,
#predictedHeads=6,3,4,5,6,0,6,7,10,6,10,13,14,6,14,15,
(0,1),-0.352615 # DEPENDENCYPART_ARC
(0,2),-0.880536 # DEPENDENCYPART_ARC
(0,3),-0.984933 # DEPENDENCYPART_ARC
(0,4),-1.21662 # DEPENDENCYPART_ARC
(0,5),-1.00317 # DEPENDENCYPART_ARC
(0,6),-0.459234 # DEPENDENCYPART_ARC
(0,7),-1.02956 # DEPENDENCYPART_ARC
(0,8),-1.29212 # DEPENDENCYPART_ARC
(0,9),-1.01218 # DEPENDENCYPART_ARC
(0,10),-1.22562 # DEPENDENCYPART_ARC
(0,11),-1.14226 # DEPENDENCYPART_ARC
(0,12),-1.1104 # DEPENDENCYPART_ARC
(0,13),-1.3713 # DEPENDENCYPART_ARC
(0,14),-1.47357 # DEPENDENCYPART_ARC
(0,15),-1.37498 # DEPENDENCYPART_ARC
(0,16),-2.23199 # DEPENDENCYPART_ARC
(1,2),-0.762786 # DEPENDENCYPART_ARC
(1,3),-1.66956 # DEPENDENCYPART_ARC
(1,5),-1.73943 # DEPENDENCYPART_ARC
(2,3),0.247256 # DEPENDENCYPART_ARC
(2,4),-1.70331 # DEPENDENCYPART_ARC
(2,5),-1.46664 # DEPENDENCYPART_ARC
(3,1),-0.728419 # DEPENDENCYPART_ARC
(3,2),0.782046 # DEPENDENCYPART_ARC
(3,4),0.572198 # DEPENDENCYPART_ARC
(3,5),-0.211445 # DEPENDENCYPART_ARC
(3,7),-0.90406 # DEPENDENCYPART_ARC
(4,1),0.149789 # DEPENDENCYPART_ARC
(4,2),0.0237506 # DEPENDENCYPART_ARC
(4,3),1.35581 # DEPENDENCYPART_ARC
(4,5),0.545035 # DEPENDENCYPART_ARC
(4,6),-1.6194 # DEPENDENCYPART_ARC
(4,7),-1.68264 # DEPENDENCYPART_ARC
(4,8),-1.22156 # DEPENDENCYPART_ARC
(4,9),-1.48103 # DEPENDENCYPART_ARC
(4,10),-0.897905 # DEPENDENCYPART_ARC
(4,11),-1.08449 # DEPENDENCYPART_ARC
(4,12),-2.31063 # DEPENDENCYPART_ARC
(4,13),-1.6117 # DEPENDENCYPART_ARC
(4,14),-1.56037 # DEPENDENCYPART_ARC
(4,15),-1.35599 # DEPENDENCYPART_ARC
