# _root_ jean_francois_lefort_koordinaketako kidearekin_batera eskainitako prentsaurrekoan , abuztuko polizi operazioak " porrot hutsa " izan direla esan zuen , eta " poliziaren azpijokoak porrot " egin duela .
#goldHeads=2,3,4,15,4,8,8,13,8,24,10,11,18,13,0,15,16,15,18,21,24,24,22,18,24,25,
#predictedHeads=2,3,4,13,4,7,8,13,8,13,10,11,15,13,18,15,16,0,18,21,24,24,22,18,24,25,
(0,1),-0.334558 # DEPENDENCYPART_ARC
(0,2),-0.965949 # DEPENDENCYPART_ARC
(0,3),-0.946811 # DEPENDENCYPART_ARC
(0,4),-1.15683 # DEPENDENCYPART_ARC
(0,5),-1.23654 # DEPENDENCYPART_ARC
(0,9),-1.89952 # DEPENDENCYPART_ARC
(0,12),-1.86405 # DEPENDENCYPART_ARC
(0,13),-0.151029 # DEPENDENCYPART_ARC
(0,14),-1.03762 # DEPENDENCYPART_ARC
(0,15),0.52918 # DEPENDENCYPART_ARC
(0,16),-0.6804 # DEPENDENCYPART_ARC
(0,17),-0.970238 # DEPENDENCYPART_ARC
(0,18),0.448789 # DEPENDENCYPART_ARC
(0,19),-2.354 # DEPENDENCYPART_ARC
(0,23),-3.07517 # DEPENDENCYPART_ARC
(0,24),-1.43529 # DEPENDENCYPART_ARC
(0,25),-1.11316 # DEPENDENCYPART_ARC
(0,26),-2.45644 # DEPENDENCYPART_ARC
(1,2),-1.13558 # DEPENDENCYPART_ARC
(2,1),2.21465 # DEPENDENCYPART_ARC
(2,5),-0.61561 # DEPENDENCYPART_ARC
(3,1),0.712393 # DEPENDENCYPART_ARC
(3,2),1.74157 # DEPENDENCYPART_ARC
(3,4),0.138178 # DEPENDENCYPART_ARC
(3,5),-0.620542 # DEPENDENCYPART_ARC
(3,6),-1.94719 # DEPENDENCYPART_ARC
(3,7),-1.246 # DEPENDENCYPART_ARC
(3,8),-2.10459 # DEPENDENCYPART_ARC
(3,11),-2.12564 # DEPENDENCYPART_ARC
(3,13),-1.47657 # DEPENDENCYPART_ARC
(3,14),-1.75441 # DEPENDENCYPART_ARC
(3,16),-3.01228 # DEPENDENCYPART_ARC
(4,1),0.270289 # DEPENDENCYPART_ARC
(4,2),0.255071 # DEPENDENCYPART_ARC
(4,3),1.36279 # DEPENDENCYPART_ARC
(4,5),1.20109 # DEPENDENCYPART_ARC
(4,6),-0.705327 # DEPENDENCYPART_ARC
(4,7),-0.628964 # DEPENDENCYPART_ARC
(4,8),-1.60988 # DEPENDENCYPART_ARC
(5,3),-0.894009 # DEPENDENCYPART_ARC
(5,6),-0.482591 # DEPENDENCYPART_ARC
(6,3),-0.473935 # DEPENDENCYPART_ARC
(6,4),-2.2583 # DEPENDENCYPART_ARC
(6,5),-0.429198 # DEPENDENCYPART_ARC
(6,7),0.0733568 # DEPENDENCYPART_ARC
(6,8),-1.43245 # DEPENDENCYPART_ARC
(6,10),-1.77399 # DEPENDENCYPART_ARC
(6,11),-3.29519 # DEPENDENCYPART_ARC
(7,1),-1.04605 # DEPENDENCYPART_ARC
(7,2),-1.14588 # DEPENDENCYPART_ARC
(7,3),-1.1141 # DEPENDENCYPART_ARC
