# _root_ haren iritziz , irtenbide onena " hemengo jendea lortzea da " ; eta hori erdietsi ezean , kanpotik ekartzeko aukera ez du baztertzen .
#goldHeads=10,1,2,10,4,5,8,9,10,13,10,11,0,15,23,15,16,19,20,23,23,23,13,23,
#predictedHeads=2,10,2,10,4,5,8,9,10,13,10,11,0,15,13,15,16,19,20,23,23,23,13,23,
(0,1),-0.726022 # DEPENDENCYPART_ARC
(0,2),-0.703547 # DEPENDENCYPART_ARC
(0,3),-1.02484 # DEPENDENCYPART_ARC
(0,4),-0.75848 # DEPENDENCYPART_ARC
(0,5),-1.55124 # DEPENDENCYPART_ARC
(0,6),-0.865474 # DEPENDENCYPART_ARC
(0,7),-0.781673 # DEPENDENCYPART_ARC
(0,8),-1.02802 # DEPENDENCYPART_ARC
(0,9),-0.833912 # DEPENDENCYPART_ARC
(0,10),0.243051 # DEPENDENCYPART_ARC
(0,11),-1.26313 # DEPENDENCYPART_ARC
(0,12),-0.389685 # DEPENDENCYPART_ARC
(0,13),0.466965 # DEPENDENCYPART_ARC
(0,14),-1.59113 # DEPENDENCYPART_ARC
(0,15),-0.631826 # DEPENDENCYPART_ARC
(0,16),-1.20514 # DEPENDENCYPART_ARC
(0,17),-0.94978 # DEPENDENCYPART_ARC
(0,18),-1.06294 # DEPENDENCYPART_ARC
(0,19),-0.966795 # DEPENDENCYPART_ARC
(0,20),-0.759195 # DEPENDENCYPART_ARC
(0,21),-1.27046 # DEPENDENCYPART_ARC
(0,22),-0.816399 # DEPENDENCYPART_ARC
(0,23),-0.658273 # DEPENDENCYPART_ARC
(0,24),-1.92322 # DEPENDENCYPART_ARC
(1,2),-1.06953 # DEPENDENCYPART_ARC
(2,1),0.795497 # DEPENDENCYPART_ARC
(2,3),1.22425 # DEPENDENCYPART_ARC
(2,4),-0.510487 # DEPENDENCYPART_ARC
(2,5),-0.142646 # DEPENDENCYPART_ARC
(3,4),-0.63853 # DEPENDENCYPART_ARC
(3,5),-1.02055 # DEPENDENCYPART_ARC
(4,1),-1.3416 # DEPENDENCYPART_ARC
(4,2),-0.910122 # DEPENDENCYPART_ARC
(4,3),-0.198974 # DEPENDENCYPART_ARC
(4,5),1.74598 # DEPENDENCYPART_ARC
(4,7),-0.676593 # DEPENDENCYPART_ARC
(4,8),-0.784302 # DEPENDENCYPART_ARC
(4,9),-0.731745 # DEPENDENCYPART_ARC
(4,13),-0.484458 # DEPENDENCYPART_ARC
(5,2),-1.48334 # DEPENDENCYPART_ARC
(5,4),-0.603142 # DEPENDENCYPART_ARC
(5,6),1.26843 # DEPENDENCYPART_ARC
(5,7),-0.471602 # DEPENDENCYPART_ARC
(5,8),-0.605304 # DEPENDENCYPART_ARC
(7,2),-1.47224 # DEPENDENCYPART_ARC
(7,4),-1.10884 # DEPENDENCYPART_ARC
(7,6),-0.458434 # DEPENDENCYPART_ARC
(7,8),-0.361968 # DEPENDENCYPART_ARC
(8,1),-1.56905 # DEPENDENCYPART_ARC
(8,3),-1.68354 # DEPENDENCYPART_ARC
(8,4),-0.886371 # DEPENDENCYPART_ARC
(8,5),-1.31549 # DEPENDENCYPART_ARC
(8,7),0.299738 # DEPENDENCYPART_ARC
(8,9),-0.731094 # DEPENDENCYPART_ARC
(8,13),-1.20844 # DEPENDENCYPART_ARC
(9,1),-1.54877 # DEPENDENCYPART_ARC
(9,2),-0.373062 # DEPENDENCYPART_ARC
(9,3),-1.55455 # DEPENDENCYPART_ARC
(9,4),-0.053984 # DEPENDENCYPART_ARC
(9,5),-0.886031 # DEPENDENCYPART_ARC
(9,7),-0.349747 # DEPENDENCYPART_ARC
(9,8),1.76858 # DEPENDENCYPART_ARC
(9,10),-0.865491 # DEPENDENCYPART_ARC
(9,13),-0.917776 # DEPENDENCYPART_ARC
(9,16),-0.600581 # DEPENDENCYPART_ARC
(9,17),-1.16323 # DEPENDENCYPART_ARC
(9,19),-1.45176 # DEPENDENCYPART_ARC
(9,22),-4.18515 # DEPENDENCYPART_ARC
(9,23),-1.86207 # DEPENDENCYPART_ARC
(10,1),-1.14042 # DEPENDENCYPART_ARC
(10,2),0.013007 # DEPENDENCYPART_ARC
(10,3),-1.20918 # DEPENDENCYPART_ARC
(10,4),-0.0358706 # DEPENDENCYPART_ARC
(10,5),-0.20931 # DEPENDENCYPART_ARC
(10,7),-0.168159 # DEPENDENCYPART_ARC
(10,8),0.86661 # DEPENDENCYPART_ARC
(10,9),1.77231 # DEPENDENCYPART_ARC
(10,11),1.16651 # DEPENDENCYPART_ARC
(10,13),-0.314923 # DEPENDENCYPART_ARC
(10,15),-0.56755 # DEPENDENCYPART_ARC
