# _root_ otsailean egindako bileran , arabera , giza_eskubideak urratzen dituen ekintzarik ez babesteko konpromisoa hartu zuten sinatzaileek .
#goldHeads=2,3,14,3,14,5,8,10,8,12,12,13,14,0,14,14,16,
#predictedHeads=2,3,14,3,8,5,8,10,8,12,12,13,14,0,14,14,16,
(0,1),-0.340614 # DEPENDENCYPART_ARC
(0,2),-1.08429 # DEPENDENCYPART_ARC
(0,3),-0.980539 # DEPENDENCYPART_ARC
(0,4),-1.04975 # DEPENDENCYPART_ARC
(0,5),-0.949086 # DEPENDENCYPART_ARC
(0,6),-1.0695 # DEPENDENCYPART_ARC
(0,7),-0.551172 # DEPENDENCYPART_ARC
(0,8),-0.224637 # DEPENDENCYPART_ARC
(0,9),-0.231831 # DEPENDENCYPART_ARC
(0,10),-1.10585 # DEPENDENCYPART_ARC
(0,11),-1.19319 # DEPENDENCYPART_ARC
(0,12),-1.264 # DEPENDENCYPART_ARC
(0,13),-1.30164 # DEPENDENCYPART_ARC
(0,14),-0.614587 # DEPENDENCYPART_ARC
(0,15),-0.202385 # DEPENDENCYPART_ARC
(0,16),-1.70546 # DEPENDENCYPART_ARC
(0,17),-1.92665 # DEPENDENCYPART_ARC
(1,4),-1.63804 # DEPENDENCYPART_ARC
(1,5),-1.38609 # DEPENDENCYPART_ARC
(2,1),2.00955 # DEPENDENCYPART_ARC
(2,3),-0.2356 # DEPENDENCYPART_ARC
(2,4),-0.645259 # DEPENDENCYPART_ARC
(2,5),-1.06268 # DEPENDENCYPART_ARC
(2,6),-1.21089 # DEPENDENCYPART_ARC
(2,7),-3.00238 # DEPENDENCYPART_ARC
(2,8),-1.47668 # DEPENDENCYPART_ARC
(2,9),-1.44794 # DEPENDENCYPART_ARC
(2,10),-2.44077 # DEPENDENCYPART_ARC
(2,12),-1.60358 # DEPENDENCYPART_ARC
(2,14),-1.63902 # DEPENDENCYPART_ARC
(2,15),-2.70278 # DEPENDENCYPART_ARC
(2,16),-2.21673 # DEPENDENCYPART_ARC
(3,1),-1.68936 # DEPENDENCYPART_ARC
(3,2),1.99877 # DEPENDENCYPART_ARC
(3,4),0.843985 # DEPENDENCYPART_ARC
(3,5),-0.709612 # DEPENDENCYPART_ARC
(3,6),-0.704563 # DEPENDENCYPART_ARC
(3,7),-1.56316 # DEPENDENCYPART_ARC
(3,8),-1.22599 # DEPENDENCYPART_ARC
(3,9),-2.8066 # DEPENDENCYPART_ARC
(3,12),-1.36726 # DEPENDENCYPART_ARC
(3,13),-1.76404 # DEPENDENCYPART_ARC
(3,14),-2.18058 # DEPENDENCYPART_ARC
(3,16),-1.46308 # DEPENDENCYPART_ARC
(4,2),-0.869421 # DEPENDENCYPART_ARC
(4,3),-0.561721 # DEPENDENCYPART_ARC
(4,8),-0.978259 # DEPENDENCYPART_ARC
(4,14),-1.10851 # DEPENDENCYPART_ARC
(4,16),-0.946645 # DEPENDENCYPART_ARC
(5,1),-1.2681 # DEPENDENCYPART_ARC
(5,2),-1.20865 # DEPENDENCYPART_ARC
(5,3),-0.977504 # DEPENDENCYPART_ARC
(5,4),-0.239596 # DEPENDENCYPART_ARC
(5,6),1.16728 # DEPENDENCYPART_ARC
(5,7),-0.690255 # DEPENDENCYPART_ARC
(5,10),-0.773357 # DEPENDENCYPART_ARC
(5,13),-0.811161 # DEPENDENCYPART_ARC
(6,2),-1.15051 # DEPENDENCYPART_ARC
(6,7),-0.569374 # DEPENDENCYPART_ARC
(6,14),-1.15987 # DEPENDENCYPART_ARC
(7,1),-3.01509 # DEPENDENCYPART_ARC
(7,2),0.569729 # DEPENDENCYPART_ARC
(7,3),-2.88 # DEPENDENCYPART_ARC
(7,4),-1.16675 # DEPENDENCYPART_ARC
(7,5),-0.745686 # DEPENDENCYPART_ARC
(7,6),0.0137071 # DEPENDENCYPART_ARC
(7,8),-0.703534 # DEPENDENCYPART_ARC
(7,9),-1.50126 # DEPENDENCYPART_ARC
(7,12),-1.74206 # DEPENDENCYPART_ARC
(7,17),-1.27568 # DEPENDENCYPART_ARC
(8,1),-0.274426 # DEPENDENCYPART_ARC
(8,2),-1.13726 # DEPENDENCYPART_ARC
(8,3),-0.189048 # DEPENDENCYPART_ARC
(8,4),-1.42311 # DEPENDENCYPART_ARC
(8,5),-0.219114 # DEPENDENCYPART_ARC
(8,6),-1.19449 # DEPENDENCYPART_ARC
(8,7),1.74972 # DEPENDENCYPART_ARC
(8,9),2.56193 # DEPENDENCYPART_ARC
(8,10),-0.00541107 # DEPENDENCYPART_ARC
(8,11),-0.272833 # DEPENDENCYPART_ARC
(8,12),-0.561755 # DEPENDENCYPART_ARC
(8,13),-0.580979 # DEPENDENCYPART_ARC
(8,14),-1.09441 # DEPENDENCYPART_ARC
(8,15),-1.31505 # DEPENDENCYPART_ARC
(8,16),-0.404102 # DEPENDENCYPART_ARC
(9,1),-0.893697 # DEPENDENCYPART_ARC
(9,3),-0.914483 # DEPENDENCYPART_ARC
(9,7),-0.153232 # DEPENDENCYPART_ARC
(9,10),-0.430305 # DEPENDENCYPART_ARC
(9,11),-0.787673 # DEPENDENCYPART_ARC
(9,15),-1.30694 # DEPENDENCYPART_ARC
(10,1),-2.40389 # DEPENDENCYPART_ARC
(10,2),-0.267959 # DEPENDENCYPART_ARC
(10,3),-2.33189 # DEPENDENCYPART_ARC
(10,4),-1.36876 # DEPENDENCYPART_ARC
(10,5),-1.09422 # DEPENDENCYPART_ARC
(10,6),-1.29624 # DEPENDENCYPART_ARC
(10,7),-1.59271 # DEPENDENCYPART_ARC
(10,8),-0.277128 # DEPENDENCYPART_ARC
(10,9),-0.627008 # DEPENDENCYPART_ARC
(10,11),-0.643944 # DEPENDENCYPART_ARC
(10,12),-1.18266 # DEPENDENCYPART_ARC
(10,13),-1.20219 # DEPENDENCYPART_ARC
(10,14),-1.95399 # DEPENDENCYPART_ARC
(10,15),-1.44097 # DEPENDENCYPART_ARC
(10,17),-1.1525 # DEPENDENCYPART_ARC
(11,10),-0.53113 # DEPENDENCYPART_ARC
(11,12),-0.226722 # DEPENDENCYPART_ARC
(11,13),-1.1016 # DEPENDENCYPART_ARC
(11,16),-1.17013 # DEPENDENCYPART_ARC
(12,1),-0.378577 # DEPENDENCYPART_ARC
(12,2),-0.864599 # DEPENDENCYPART_ARC
(12,3),-0.203664 # DEPENDENCYPART_ARC
(12,4),-1.37213 # DEPENDENCYPART_ARC
(12,5),-0.693612 # DEPENDENCYPART_ARC
(12,6),-1.45792 # DEPENDENCYPART_ARC
(12,7),0.436554 # DEPENDENCYPART_ARC
(12,8),-0.486691 # DEPENDENCYPART_ARC
(12,9),-1.04003 # DEPENDENCYPART_ARC
(12,10),1.18891 # DEPENDENCYPART_ARC
(12,11),0.869593 # DEPENDENCYPART_ARC
(12,13),-0.655093 # DEPENDENCYPART_ARC
(12,14),-1.48306 # DEPENDENCYPART_ARC
(12,15),-2.33693 # DEPENDENCYPART_ARC
(12,16),-1.39001 # DEPENDENCYPART_ARC
(13,5),-1.09609 # DEPENDENCYPART_ARC
(13,6),-1.47859 # DEPENDENCYPART_ARC
(13,8),-0.848722 # DEPENDENCYPART_ARC
(13,10),-0.862682 # DEPENDENCYPART_ARC
(13,11),-0.386348 # DEPENDENCYPART_ARC
(13,12),1.44156 # DEPENDENCYPART_ARC
(13,14),-0.922254 # DEPENDENCYPART_ARC
(13,15),-0.835892 # DEPENDENCYPART_ARC
(13,16),-0.802729 # DEPENDENCYPART_ARC
(13,17),-0.907109 # DEPENDENCYPART_ARC
(14,1),-0.439299 # DEPENDENCYPART_ARC
(14,2),-1.17399 # DEPENDENCYPART_ARC
(14,3),-0.567925 # DEPENDENCYPART_ARC
(14,4),-1.7139 # DEPENDENCYPART_ARC
(14,5),-0.788686 # DEPENDENCYPART_ARC
(14,6),-1.74224 # DEPENDENCYPART_ARC
(14,7),-0.424678 # DEPENDENCYPART_ARC
(14,8),-0.841127 # DEPENDENCYPART_ARC
(14,9),-1.0795 # DEPENDENCYPART_ARC
(14,10),-0.401901 # DEPENDENCYPART_ARC
(14,11),-0.300534 # DEPENDENCYPART_ARC
(14,12),0.031501 # DEPENDENCYPART_ARC
(14,13),1.63283 # DEPENDENCYPART_ARC
(14,15),1.43375 # DEPENDENCYPART_ARC
(14,16),0.514591 # DEPENDENCYPART_ARC
(15,11),-1.41184 # DEPENDENCYPART_ARC
(15,13),-0.524748 # DEPENDENCYPART_ARC
(15,16),-0.742757 # DEPENDENCYPART_ARC
(16,8),-1.43191 # DEPENDENCYPART_ARC
(16,10),-1.07183 # DEPENDENCYPART_ARC
(16,12),-0.935512 # DEPENDENCYPART_ARC
(16,13),-1.59548 # DEPENDENCYPART_ARC
