# _root_ irakaskuntza esparruan hezkuntza sistema propioa eduki beharra azpimarratzen da , eta kultura arloa naziotasuna , euskaltasuna eta herritasunaren_gainean oinarritzeko proposatzen da .
#goldHeads=2,8,4,6,4,8,6,11,8,9,0,13,19,17,14,17,0,17,20,11,20,21,
#predictedHeads=2,6,4,6,4,7,8,11,8,9,0,13,14,17,14,17,19,17,20,11,20,21,
(0,1),-0.208682 # DEPENDENCYPART_ARC
(0,6),-0.824565 # DEPENDENCYPART_ARC
(0,7),-0.801934 # DEPENDENCYPART_ARC
(0,8),-0.436401 # DEPENDENCYPART_ARC
(0,9),-0.898413 # DEPENDENCYPART_ARC
(0,10),-0.941989 # DEPENDENCYPART_ARC
(0,11),0.52363 # DEPENDENCYPART_ARC
(0,15),-1.34117 # DEPENDENCYPART_ARC
(0,17),-0.796149 # DEPENDENCYPART_ARC
(0,19),-1.60166 # DEPENDENCYPART_ARC
(0,20),-0.760289 # DEPENDENCYPART_ARC
(0,21),-0.943524 # DEPENDENCYPART_ARC
(0,22),-2.44226 # DEPENDENCYPART_ARC
(1,2),0.223198 # DEPENDENCYPART_ARC
(1,3),-0.825517 # DEPENDENCYPART_ARC
(1,5),-0.887933 # DEPENDENCYPART_ARC
(2,1),1.13886 # DEPENDENCYPART_ARC
(2,3),-0.151877 # DEPENDENCYPART_ARC
(2,4),-1.5916 # DEPENDENCYPART_ARC
(2,5),-2.83089 # DEPENDENCYPART_ARC
(3,1),-0.11153 # DEPENDENCYPART_ARC
(3,2),0.764413 # DEPENDENCYPART_ARC
(3,4),-0.0271387 # DEPENDENCYPART_ARC
(3,5),-0.113086 # DEPENDENCYPART_ARC
(3,9),-1.3115 # DEPENDENCYPART_ARC
(4,1),-0.229298 # DEPENDENCYPART_ARC
(4,2),-0.577821 # DEPENDENCYPART_ARC
(4,3),1.14587 # DEPENDENCYPART_ARC
(4,5),1.93068 # DEPENDENCYPART_ARC
(4,6),-0.612135 # DEPENDENCYPART_ARC
(4,7),-0.479074 # DEPENDENCYPART_ARC
(4,9),-1.17866 # DEPENDENCYPART_ARC
(4,12),-0.558598 # DEPENDENCYPART_ARC
(4,13),-0.430086 # DEPENDENCYPART_ARC
(4,14),-0.568307 # DEPENDENCYPART_ARC
(4,16),-0.292036 # DEPENDENCYPART_ARC
(4,17),-0.700173 # DEPENDENCYPART_ARC
(4,18),-0.3136 # DEPENDENCYPART_ARC
(4,19),-0.415526 # DEPENDENCYPART_ARC
(5,1),-1.33884 # DEPENDENCYPART_ARC
(5,2),-0.991579 # DEPENDENCYPART_ARC
(5,3),-0.910028 # DEPENDENCYPART_ARC
(5,4),-0.416416 # DEPENDENCYPART_ARC
(5,6),-0.404095 # DEPENDENCYPART_ARC
(5,7),-0.94676 # DEPENDENCYPART_ARC
(6,1),-0.0128481 # DEPENDENCYPART_ARC
(6,2),0.672476 # DEPENDENCYPART_ARC
(6,3),0.172483 # DEPENDENCYPART_ARC
(6,4),0.80505 # DEPENDENCYPART_ARC
(6,5),0.591932 # DEPENDENCYPART_ARC
(6,7),0.604657 # DEPENDENCYPART_ARC
(6,8),-0.231161 # DEPENDENCYPART_ARC
(6,9),-0.626402 # DEPENDENCYPART_ARC
(6,10),-0.804985 # DEPENDENCYPART_ARC
(6,11),-0.554297 # DEPENDENCYPART_ARC
(6,14),-0.783555 # DEPENDENCYPART_ARC
(6,15),-0.872428 # DEPENDENCYPART_ARC
(6,17),-0.538016 # DEPENDENCYPART_ARC
(6,19),-0.863926 # DEPENDENCYPART_ARC
(6,20),-0.995777 # DEPENDENCYPART_ARC
(6,21),-2.39886 # DEPENDENCYPART_ARC
(7,2),-2.39146 # DEPENDENCYPART_ARC
(7,3),-0.663883 # DEPENDENCYPART_ARC
(7,4),-0.153757 # DEPENDENCYPART_ARC
(7,5),-1.33167 # DEPENDENCYPART_ARC
(7,6),1.2716 # DEPENDENCYPART_ARC
(7,8),-0.451649 # DEPENDENCYPART_ARC
(7,9),-0.719405 # DEPENDENCYPART_ARC
(7,10),-0.818173 # DEPENDENCYPART_ARC
(7,12),-1.12829 # DEPENDENCYPART_ARC
(8,1),-0.384588 # DEPENDENCYPART_ARC
(8,2),0.0147572 # DEPENDENCYPART_ARC
(8,3),-0.49058 # DEPENDENCYPART_ARC
(8,4),-0.14347 # DEPENDENCYPART_ARC
(8,5),-0.857673 # DEPENDENCYPART_ARC
(8,6),0.0795952 # DEPENDENCYPART_ARC
(8,7),1.70628 # DEPENDENCYPART_ARC
(8,9),1.20245 # DEPENDENCYPART_ARC
(8,10),-0.543172 # DEPENDENCYPART_ARC
(8,11),-0.770906 # DEPENDENCYPART_ARC
(8,12),-1.16636 # DEPENDENCYPART_ARC
(8,13),-0.775431 # DEPENDENCYPART_ARC
(8,14),-0.842467 # DEPENDENCYPART_ARC
(8,15),-1.03674 # DEPENDENCYPART_ARC
(8,16),-1.29577 # DEPENDENCYPART_ARC
(8,17),-0.845127 # DEPENDENCYPART_ARC
(8,18),-1.39592 # DEPENDENCYPART_ARC
(8,19),-0.865517 # DEPENDENCYPART_ARC
(8,20),-1.27753 # DEPENDENCYPART_ARC
(8,21),-2.33071 # DEPENDENCYPART_ARC
(9,7),-0.573729 # DEPENDENCYPART_ARC
(9,10),1.18512 # DEPENDENCYPART_ARC
(9,17),-0.530252 # DEPENDENCYPART_ARC
(9,20),-1.30123 # DEPENDENCYPART_ARC
(10,6),-1.1379 # DEPENDENCYPART_ARC
(10,8),-0.944562 # DEPENDENCYPART_ARC
(10,9),-0.640286 # DEPENDENCYPART_ARC
(10,11),-0.327382 # DEPENDENCYPART_ARC
(10,20),-1.19892 # DEPENDENCYPART_ARC
(11,1),-1.20622 # DEPENDENCYPART_ARC
(11,4),-0.972581 # DEPENDENCYPART_ARC
(11,6),-0.218261 # DEPENDENCYPART_ARC
(11,7),-0.471897 # DEPENDENCYPART_ARC
(11,8),0.40096 # DEPENDENCYPART_ARC
(11,9),-0.70803 # DEPENDENCYPART_ARC
(11,10),-0.525099 # DEPENDENCYPART_ARC
(11,12),-0.111035 # DEPENDENCYPART_ARC
(11,13),-0.537642 # DEPENDENCYPART_ARC
(11,14),-0.507813 # DEPENDENCYPART_ARC
(11,15),-0.839777 # DEPENDENCYPART_ARC
(11,16),-1.00506 # DEPENDENCYPART_ARC
(11,17),-0.844514 # DEPENDENCYPART_ARC
(11,18),-1.06544 # DEPENDENCYPART_ARC
(11,19),0.177692 # DEPENDENCYPART_ARC
(11,20),-0.0965028 # DEPENDENCYPART_ARC
(12,10),-1.75577 # DEPENDENCYPART_ARC
(12,11),-0.801181 # DEPENDENCYPART_ARC
(12,13),-0.106852 # DEPENDENCYPART_ARC
(12,14),-0.966781 # DEPENDENCYPART_ARC
(12,15),-0.798451 # DEPENDENCYPART_ARC
(13,8),-1.08424 # DEPENDENCYPART_ARC
(13,10),-1.16493 # DEPENDENCYPART_ARC
(13,11),-0.340856 # DEPENDENCYPART_ARC
(13,12),1.54355 # DEPENDENCYPART_ARC
(13,14),-1.18733 # DEPENDENCYPART_ARC
(13,15),-0.651399 # DEPENDENCYPART_ARC
(13,16),-1.6081 # DEPENDENCYPART_ARC
(13,18),-2.00314 # DEPENDENCYPART_ARC
(14,5),-2.16899 # DEPENDENCYPART_ARC
(14,8),-1.19204 # DEPENDENCYPART_ARC
(14,10),-1.62225 # DEPENDENCYPART_ARC
(14,11),-0.896693 # DEPENDENCYPART_ARC
(14,12),0.164169 # DEPENDENCYPART_ARC
(14,13),-0.179584 # DEPENDENCYPART_ARC
(14,15),1.21985 # DEPENDENCYPART_ARC
(14,16),-0.987938 # DEPENDENCYPART_ARC
(14,17),-1.20245 # DEPENDENCYPART_ARC
(14,18),-1.45233 # DEPENDENCYPART_ARC
(14,19),-1.75546 # DEPENDENCYPART_ARC
(14,21),-1.62193 # DEPENDENCYPART_ARC
(14,22),-1.15993 # DEPENDENCYPART_ARC
(15,13),-1.08436 # DEPENDENCYPART_ARC
(15,16),-0.512168 # DEPENDENCYPART_ARC
(16,12),-0.635051 # DEPENDENCYPART_ARC
(16,13),-2.51396 # DEPENDENCYPART_ARC
(16,14),-1.61809 # DEPENDENCYPART_ARC
(16,15),-0.00217878 # DEPENDENCYPART_ARC
(16,18),-1.79346 # DEPENDENCYPART_ARC
(16,21),-1.78473 # DEPENDENCYPART_ARC
(17,1),-1.41323 # DEPENDENCYPART_ARC
(17,2),-1.97099 # DEPENDENCYPART_ARC
(17,3),-1.32193 # DEPENDENCYPART_ARC
(17,4),-0.940519 # DEPENDENCYPART_ARC
(17,6),-1.06918 # DEPENDENCYPART_ARC
(17,7),-0.752929 # DEPENDENCYPART_ARC
(17,8),-0.846707 # DEPENDENCYPART_ARC
(17,11),-0.401211 # DEPENDENCYPART_ARC
(17,12),-0.366531 # DEPENDENCYPART_ARC
(17,13),-0.60365 # DEPENDENCYPART_ARC
(17,14),0.391679 # DEPENDENCYPART_ARC
(17,15),-1.03916 # DEPENDENCYPART_ARC
(17,16),2.03565 # DEPENDENCYPART_ARC
(17,18),2.05294 # DEPENDENCYPART_ARC
(17,19),0.296987 # DEPENDENCYPART_ARC
(17,20),-0.215603 # DEPENDENCYPART_ARC
(17,21),-0.830218 # DEPENDENCYPART_ARC
(18,16),-2.38333 # DEPENDENCYPART_ARC
(18,17),-0.390103 # DEPENDENCYPART_ARC
(18,19),-0.97891 # DEPENDENCYPART_ARC
(18,21),-1.52689 # DEPENDENCYPART_ARC
(18,22),-1.02852 # DEPENDENCYPART_ARC
(19,2),-0.805117 # DEPENDENCYPART_ARC
(19,3),-1.39121 # DEPENDENCYPART_ARC
(19,4),-0.93963 # DEPENDENCYPART_ARC
(19,5),-1.51519 # DEPENDENCYPART_ARC
(19,6),-0.677925 # DEPENDENCYPART_ARC
(19,7),-0.521035 # DEPENDENCYPART_ARC
(19,8),-1.04641 # DEPENDENCYPART_ARC
(19,9),-1.36509 # DEPENDENCYPART_ARC
(19,11),-0.577528 # DEPENDENCYPART_ARC
(19,12),-0.502911 # DEPENDENCYPART_ARC
(19,13),-0.0506071 # DEPENDENCYPART_ARC
(19,14),-0.000940325 # DEPENDENCYPART_ARC
(19,16),0.489928 # DEPENDENCYPART_ARC
(19,17),0.0520473 # DEPENDENCYPART_ARC
(19,18),1.40863 # DEPENDENCYPART_ARC
(19,20),-0.424347 # DEPENDENCYPART_ARC
(19,21),-1.48346 # DEPENDENCYPART_ARC
(20,1),-0.86795 # DEPENDENCYPART_ARC
(20,2),-0.660555 # DEPENDENCYPART_ARC
(20,3),-1.34724 # DEPENDENCYPART_ARC
(20,4),-1.28554 # DEPENDENCYPART_ARC
(20,5),-1.39035 # DEPENDENCYPART_ARC
(20,6),-0.927578 # DEPENDENCYPART_ARC
(20,7),-0.890346 # DEPENDENCYPART_ARC
(20,8),-0.828268 # DEPENDENCYPART_ARC
(20,9),-0.826076 # DEPENDENCYPART_ARC
(20,10),-1.47885 # DEPENDENCYPART_ARC
(20,11),-0.424616 # DEPENDENCYPART_ARC
(20,12),-0.575244 # DEPENDENCYPART_ARC
(20,13),-0.130891 # DEPENDENCYPART_ARC
(20,14),-0.347966 # DEPENDENCYPART_ARC
(20,15),-1.36726 # DEPENDENCYPART_ARC
(20,16),0.176377 # DEPENDENCYPART_ARC
(20,17),0.158178 # DEPENDENCYPART_ARC
(20,18),0.333232 # DEPENDENCYPART_ARC
(20,19),1.69823 # DEPENDENCYPART_ARC
(20,21),0.983667 # DEPENDENCYPART_ARC
(20,22),-0.538821 # DEPENDENCYPART_ARC
(21,18),-0.989836 # DEPENDENCYPART_ARC
(21,19),-1.19229 # DEPENDENCYPART_ARC
(21,20),-0.841087 # DEPENDENCYPART_ARC
(21,22),1.55909 # DEPENDENCYPART_ARC
(22,20),-1.01244 # DEPENDENCYPART_ARC
(0,1),(0,6),-0.100781 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.042375 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.112778 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0413996 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.13484 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0875943 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.13484 # DEPENDENCYPART_SIBL
