# _root_ psnk uste du hori ez dela bidezkoa eta upn kritikatu du , enpresa pribatuetan hori bultzatzen ari_den bitartean , publikoetan ez duelako oraindik ezarri .
#goldHeads=2,8,2,6,6,2,6,0,10,8,10,11,16,13,16,17,24,17,18,24,24,24,24,10,24,
#predictedHeads=2,0,2,6,6,10,6,6,10,0,10,11,16,13,13,17,18,10,18,19,24,24,24,10,24,
(0,2),-0.174095 # DEPENDENCYPART_ARC
(0,3),-0.531905 # DEPENDENCYPART_ARC
(0,4),-1.54578 # DEPENDENCYPART_ARC
(0,5),-0.826342 # DEPENDENCYPART_ARC
(0,6),-1.27071 # DEPENDENCYPART_ARC
(0,7),-1.67281 # DEPENDENCYPART_ARC
(0,8),-0.102317 # DEPENDENCYPART_ARC
(0,9),-1.03932 # DEPENDENCYPART_ARC
(0,10),-0.0727533 # DEPENDENCYPART_ARC
(0,11),-0.70585 # DEPENDENCYPART_ARC
(0,12),-0.685895 # DEPENDENCYPART_ARC
(0,14),-1.88209 # DEPENDENCYPART_ARC
(0,15),-1.568 # DEPENDENCYPART_ARC
(0,16),-0.967196 # DEPENDENCYPART_ARC
(0,17),-0.374687 # DEPENDENCYPART_ARC
(0,19),-0.519973 # DEPENDENCYPART_ARC
(0,20),-1.82223 # DEPENDENCYPART_ARC
(0,21),-0.895678 # DEPENDENCYPART_ARC
(0,22),-0.62434 # DEPENDENCYPART_ARC
(0,23),-0.608847 # DEPENDENCYPART_ARC
(0,24),-1.37998 # DEPENDENCYPART_ARC
(0,25),-1.52471 # DEPENDENCYPART_ARC
(2,1),-0.214036 # DEPENDENCYPART_ARC
(2,3),0.873069 # DEPENDENCYPART_ARC
(2,4),-0.80472 # DEPENDENCYPART_ARC
(2,5),-1.58054 # DEPENDENCYPART_ARC
(2,7),-1.67462 # DEPENDENCYPART_ARC
(2,8),-0.820103 # DEPENDENCYPART_ARC
(2,9),-1.61456 # DEPENDENCYPART_ARC
(3,2),-0.184318 # DEPENDENCYPART_ARC
(3,5),-0.890751 # DEPENDENCYPART_ARC
(3,6),-0.631455 # DEPENDENCYPART_ARC
(3,8),-1.00731 # DEPENDENCYPART_ARC
(3,11),-1.18227 # DEPENDENCYPART_ARC
(4,10),-1.3041 # DEPENDENCYPART_ARC
(5,2),-1.32382 # DEPENDENCYPART_ARC
(5,6),-0.660347 # DEPENDENCYPART_ARC
(6,2),0.419054 # DEPENDENCYPART_ARC
(6,3),-0.902511 # DEPENDENCYPART_ARC
(6,4),0.575016 # DEPENDENCYPART_ARC
(6,5),0.875882 # DEPENDENCYPART_ARC
(6,7),1.14177 # DEPENDENCYPART_ARC
(6,8),0.00308991 # DEPENDENCYPART_ARC
(6,9),-0.744502 # DEPENDENCYPART_ARC
(6,10),-1.06136 # DEPENDENCYPART_ARC
(6,11),-2.04263 # DEPENDENCYPART_ARC
