# _root_ adierazi zuenez , " oso erantzun ona " jaso du orain_arte egindako sinadura bilketak , eta hori oso itxaropentsua da .
#goldHeads=16,1,2,3,7,9,6,7,16,9,12,14,14,9,14,0,20,19,20,16,20,
#predictedHeads=9,1,2,3,7,9,6,7,16,9,12,14,14,9,14,0,20,19,20,16,20,
(0,1),0.436977 # DEPENDENCYPART_ARC
(0,2),-0.273812 # DEPENDENCYPART_ARC
(0,3),-0.757978 # DEPENDENCYPART_ARC
(0,4),-0.568283 # DEPENDENCYPART_ARC
(0,5),-0.88085 # DEPENDENCYPART_ARC
(0,6),-0.801397 # DEPENDENCYPART_ARC
(0,7),-1.60748 # DEPENDENCYPART_ARC
(0,8),-0.915828 # DEPENDENCYPART_ARC
(0,9),0.0494428 # DEPENDENCYPART_ARC
(0,10),-0.313249 # DEPENDENCYPART_ARC
(0,11),-0.785663 # DEPENDENCYPART_ARC
(0,12),-1.2622 # DEPENDENCYPART_ARC
(0,13),-1.23812 # DEPENDENCYPART_ARC
(0,14),-1.36871 # DEPENDENCYPART_ARC
(0,15),-0.854335 # DEPENDENCYPART_ARC
(0,16),0.563645 # DEPENDENCYPART_ARC
(0,17),-1.51877 # DEPENDENCYPART_ARC
(0,18),-0.856847 # DEPENDENCYPART_ARC
(0,19),-1.56316 # DEPENDENCYPART_ARC
(0,20),-0.101023 # DEPENDENCYPART_ARC
(0,21),-1.59097 # DEPENDENCYPART_ARC
(1,2),1.54051 # DEPENDENCYPART_ARC
(1,3),-0.978484 # DEPENDENCYPART_ARC
(1,6),-1.55518 # DEPENDENCYPART_ARC
(1,9),-1.62514 # DEPENDENCYPART_ARC
(1,10),-2.31377 # DEPENDENCYPART_ARC
(1,14),-1.627 # DEPENDENCYPART_ARC
(2,3),1.37162 # DEPENDENCYPART_ARC
(2,5),-0.667653 # DEPENDENCYPART_ARC
(2,10),-0.886455 # DEPENDENCYPART_ARC
(3,2),-0.526562 # DEPENDENCYPART_ARC
(3,4),0.990906 # DEPENDENCYPART_ARC
(3,6),-0.744478 # DEPENDENCYPART_ARC
(3,9),-0.811654 # DEPENDENCYPART_ARC
(4,9),-1.29201 # DEPENDENCYPART_ARC
(5,4),-0.407168 # DEPENDENCYPART_ARC
(5,6),-0.424389 # DEPENDENCYPART_ARC
(5,18),-1.38199 # DEPENDENCYPART_ARC
(6,3),-1.13797 # DEPENDENCYPART_ARC
(6,5),-0.13422 # DEPENDENCYPART_ARC
(6,7),1.86839 # DEPENDENCYPART_ARC
(6,10),-0.966422 # DEPENDENCYPART_ARC
(6,12),-0.458801 # DEPENDENCYPART_ARC
(6,13),-0.629964 # DEPENDENCYPART_ARC
(6,14),-0.702246 # DEPENDENCYPART_ARC
(6,16),-0.23893 # DEPENDENCYPART_ARC
(7,5),-0.173966 # DEPENDENCYPART_ARC
(7,6),-0.621123 # DEPENDENCYPART_ARC
(7,8),0.987273 # DEPENDENCYPART_ARC
(7,12),-1.213 # DEPENDENCYPART_ARC
(8,9),-0.276601 # DEPENDENCYPART_ARC
(8,10),-0.515526 # DEPENDENCYPART_ARC
(9,1),0.0908005 # DEPENDENCYPART_ARC
(9,2),-1.0459 # DEPENDENCYPART_ARC
(9,3),-0.97435 # DEPENDENCYPART_ARC
(9,5),0.0278623 # DEPENDENCYPART_ARC
(9,6),0.170961 # DEPENDENCYPART_ARC
(9,7),-0.227414 # DEPENDENCYPART_ARC
(9,10),0.972322 # DEPENDENCYPART_ARC
(9,11),0.0997598 # DEPENDENCYPART_ARC
(9,12),-0.531339 # DEPENDENCYPART_ARC
(9,13),-0.603328 # DEPENDENCYPART_ARC
(9,14),0.29384 # DEPENDENCYPART_ARC
(9,15),-0.714656 # DEPENDENCYPART_ARC
(9,16),-0.47368 # DEPENDENCYPART_ARC
(9,18),-1.08186 # DEPENDENCYPART_ARC
(9,19),-0.973265 # DEPENDENCYPART_ARC
(9,20),-1.08037 # DEPENDENCYPART_ARC
(10,11),-0.39278 # DEPENDENCYPART_ARC
(10,12),-1.43034 # DEPENDENCYPART_ARC
(12,1),-0.746747 # DEPENDENCYPART_ARC
(12,2),-1.64647 # DEPENDENCYPART_ARC
(12,3),-1.30325 # DEPENDENCYPART_ARC
(12,5),-0.70682 # DEPENDENCYPART_ARC
(12,6),-0.543673 # DEPENDENCYPART_ARC
(12,7),-0.752783 # DEPENDENCYPART_ARC
(12,9),-0.18126 # DEPENDENCYPART_ARC
(12,10),-0.600663 # DEPENDENCYPART_ARC
(12,11),0.882516 # DEPENDENCYPART_ARC
(12,13),-0.372213 # DEPENDENCYPART_ARC
(12,14),-1.28318 # DEPENDENCYPART_ARC
(12,15),-1.00322 # DEPENDENCYPART_ARC
(12,16),-1.07194 # DEPENDENCYPART_ARC
(12,18),-1.46463 # DEPENDENCYPART_ARC
(12,19),-1.93695 # DEPENDENCYPART_ARC
(12,20),-1.88946 # DEPENDENCYPART_ARC
(13,5),-1.29989 # DEPENDENCYPART_ARC
(13,7),-1.93617 # DEPENDENCYPART_ARC
(13,9),-0.875348 # DEPENDENCYPART_ARC
(13,11),-0.546081 # DEPENDENCYPART_ARC
(13,12),0.938886 # DEPENDENCYPART_ARC
(13,14),0.228522 # DEPENDENCYPART_ARC
(13,15),-0.296346 # DEPENDENCYPART_ARC
(13,18),-1.06949 # DEPENDENCYPART_ARC
(13,19),-0.463613 # DEPENDENCYPART_ARC
(13,20),-1.29986 # DEPENDENCYPART_ARC
(13,21),-1.23711 # DEPENDENCYPART_ARC
