# _root_ jose_antonio_alvarez_kaperotxipik , afera daraman epaileak , castejonek " ez duela zerikusirik eta gaizki aholkatua " zegoela argudiatu du .
#goldHeads=17,1,4,5,1,5,10,7,10,12,10,17,14,16,14,12,0,17,18,
#predictedHeads=12,3,4,5,10,5,10,7,10,12,10,16,14,16,14,17,0,17,18,
(0,1),-0.816735 # DEPENDENCYPART_ARC
(0,2),-1.06514 # DEPENDENCYPART_ARC
(0,3),-0.266768 # DEPENDENCYPART_ARC
(0,4),-1.08775 # DEPENDENCYPART_ARC
(0,5),-1.11157 # DEPENDENCYPART_ARC
(0,6),-1.14252 # DEPENDENCYPART_ARC
(0,7),-1.35918 # DEPENDENCYPART_ARC
(0,8),-1.49193 # DEPENDENCYPART_ARC
(0,9),-1.17167 # DEPENDENCYPART_ARC
(0,10),-1.40031 # DEPENDENCYPART_ARC
(0,11),-0.952196 # DEPENDENCYPART_ARC
(0,12),-0.345465 # DEPENDENCYPART_ARC
(0,13),-0.921996 # DEPENDENCYPART_ARC
(0,14),-0.836062 # DEPENDENCYPART_ARC
(0,15),-1.75169 # DEPENDENCYPART_ARC
(0,16),-1.13561 # DEPENDENCYPART_ARC
(0,17),-0.287665 # DEPENDENCYPART_ARC
(0,18),-0.679525 # DEPENDENCYPART_ARC
(0,19),-1.56217 # DEPENDENCYPART_ARC
(1,2),-0.0446375 # DEPENDENCYPART_ARC
(1,3),-1.87467 # DEPENDENCYPART_ARC
(2,1),-0.902666 # DEPENDENCYPART_ARC
(2,3),-0.50126 # DEPENDENCYPART_ARC
(3,1),-1.21144 # DEPENDENCYPART_ARC
(3,2),-0.0553701 # DEPENDENCYPART_ARC
(3,4),-1.37359 # DEPENDENCYPART_ARC
(3,5),-1.25215 # DEPENDENCYPART_ARC
(3,6),-0.92454 # DEPENDENCYPART_ARC
(3,7),-1.98228 # DEPENDENCYPART_ARC
(3,12),-1.42532 # DEPENDENCYPART_ARC
(4,1),-0.575931 # DEPENDENCYPART_ARC
(4,2),-0.827099 # DEPENDENCYPART_ARC
(4,3),1.76233 # DEPENDENCYPART_ARC
(4,5),-0.641109 # DEPENDENCYPART_ARC
(4,6),-0.441578 # DEPENDENCYPART_ARC
(4,7),-1.88121 # DEPENDENCYPART_ARC
(4,9),-0.810227 # DEPENDENCYPART_ARC
(4,10),-0.803127 # DEPENDENCYPART_ARC
(4,11),-0.521708 # DEPENDENCYPART_ARC
(4,12),-0.469203 # DEPENDENCYPART_ARC
(4,14),-1.06369 # DEPENDENCYPART_ARC
(4,16),-1.2539 # DEPENDENCYPART_ARC
(4,17),-1.93183 # DEPENDENCYPART_ARC
(5,1),-0.593929 # DEPENDENCYPART_ARC
(5,2),-1.21537 # DEPENDENCYPART_ARC
(5,3),-0.971763 # DEPENDENCYPART_ARC
(5,4),0.990013 # DEPENDENCYPART_ARC
(5,6),1.00185 # DEPENDENCYPART_ARC
(5,7),-1.06338 # DEPENDENCYPART_ARC
(5,10),-1.97055 # DEPENDENCYPART_ARC
(5,11),-1.37251 # DEPENDENCYPART_ARC
(5,12),-1.30057 # DEPENDENCYPART_ARC
(5,14),-1.07606 # DEPENDENCYPART_ARC
(5,16),-1.43689 # DEPENDENCYPART_ARC
(5,17),-1.96478 # DEPENDENCYPART_ARC
(6,1),-1.44774 # DEPENDENCYPART_ARC
(6,4),-0.666025 # DEPENDENCYPART_ARC
(7,5),-3.56057 # DEPENDENCYPART_ARC
(7,6),-0.491216 # DEPENDENCYPART_ARC
(7,8),1.15872 # DEPENDENCYPART_ARC
(7,10),-1.59667 # DEPENDENCYPART_ARC
(7,11),-1.27009 # DEPENDENCYPART_ARC
(7,16),-1.24183 # DEPENDENCYPART_ARC
(8,9),-0.256324 # DEPENDENCYPART_ARC
(8,17),-1.03966 # DEPENDENCYPART_ARC
(9,5),-1.2317 # DEPENDENCYPART_ARC
(9,10),-0.89427 # DEPENDENCYPART_ARC
(9,11),-1.06311 # DEPENDENCYPART_ARC
(9,14),-1.22734 # DEPENDENCYPART_ARC
(9,17),-1.14672 # DEPENDENCYPART_ARC
(10,1),-1.59512 # DEPENDENCYPART_ARC
(10,2),-1.38205 # DEPENDENCYPART_ARC
(10,3),0.257226 # DEPENDENCYPART_ARC
(10,4),-1.69353 # DEPENDENCYPART_ARC
(10,5),0.315767 # DEPENDENCYPART_ARC
(10,6),-1.19471 # DEPENDENCYPART_ARC
(10,7),0.90221 # DEPENDENCYPART_ARC
(10,9),0.785666 # DEPENDENCYPART_ARC
(10,11),1.66194 # DEPENDENCYPART_ARC
(10,12),-0.0622385 # DEPENDENCYPART_ARC
(10,13),-0.590107 # DEPENDENCYPART_ARC
(10,14),-0.398232 # DEPENDENCYPART_ARC
(10,16),-1.03017 # DEPENDENCYPART_ARC
(10,17),-1.37475 # DEPENDENCYPART_ARC
(10,18),-2.486 # DEPENDENCYPART_ARC
(11,4),-1.10637 # DEPENDENCYPART_ARC
(11,6),-1.539 # DEPENDENCYPART_ARC
(11,7),-1.87813 # DEPENDENCYPART_ARC
(11,9),-0.642759 # DEPENDENCYPART_ARC
(11,10),-0.593059 # DEPENDENCYPART_ARC
(11,12),-0.0944417 # DEPENDENCYPART_ARC
(11,13),-0.695413 # DEPENDENCYPART_ARC
(11,14),-0.923632 # DEPENDENCYPART_ARC
(11,16),-1.56048 # DEPENDENCYPART_ARC
(11,18),-1.09894 # DEPENDENCYPART_ARC
(11,19),-1.35759 # DEPENDENCYPART_ARC
(12,1),-0.471454 # DEPENDENCYPART_ARC
(12,3),-0.721387 # DEPENDENCYPART_ARC
(12,4),-0.745772 # DEPENDENCYPART_ARC
(12,5),-0.703139 # DEPENDENCYPART_ARC
(12,7),-0.398972 # DEPENDENCYPART_ARC
(12,9),-0.754926 # DEPENDENCYPART_ARC
(12,10),-0.113178 # DEPENDENCYPART_ARC
(12,11),1.16427 # DEPENDENCYPART_ARC
(12,13),0.0330935 # DEPENDENCYPART_ARC
(12,14),-0.236122 # DEPENDENCYPART_ARC
(12,16),-0.319335 # DEPENDENCYPART_ARC
(12,17),-0.380869 # DEPENDENCYPART_ARC
(13,12),-0.765707 # DEPENDENCYPART_ARC
(13,14),-0.26461 # DEPENDENCYPART_ARC
(14,1),-1.96182 # DEPENDENCYPART_ARC
(14,2),-1.45377 # DEPENDENCYPART_ARC
(14,3),-1.7274 # DEPENDENCYPART_ARC
(14,4),-1.67198 # DEPENDENCYPART_ARC
(14,5),-1.01646 # DEPENDENCYPART_ARC
(14,6),-1.36421 # DEPENDENCYPART_ARC
(14,7),-0.948281 # DEPENDENCYPART_ARC
(14,9),-0.512059 # DEPENDENCYPART_ARC
(14,10),-0.550363 # DEPENDENCYPART_ARC
(14,11),-0.409591 # DEPENDENCYPART_ARC
(14,12),-0.15004 # DEPENDENCYPART_ARC
(14,13),0.923462 # DEPENDENCYPART_ARC
(14,15),0.981653 # DEPENDENCYPART_ARC
(14,16),-1.17933 # DEPENDENCYPART_ARC
(14,17),-1.82348 # DEPENDENCYPART_ARC
(14,18),-1.94427 # DEPENDENCYPART_ARC
(15,17),-0.996295 # DEPENDENCYPART_ARC
(16,3),-0.0734877 # DEPENDENCYPART_ARC
(16,4),-0.985037 # DEPENDENCYPART_ARC
(16,5),-0.301304 # DEPENDENCYPART_ARC
(16,6),-0.950007 # DEPENDENCYPART_ARC
(16,7),0.0401215 # DEPENDENCYPART_ARC
(16,9),-0.425579 # DEPENDENCYPART_ARC
(16,10),-0.913213 # DEPENDENCYPART_ARC
(16,11),-0.332721 # DEPENDENCYPART_ARC
(16,12),-0.117587 # DEPENDENCYPART_ARC
(16,13),0.294895 # DEPENDENCYPART_ARC
(16,14),1.09128 # DEPENDENCYPART_ARC
(16,17),-0.38151 # DEPENDENCYPART_ARC
(16,18),-1.68239 # DEPENDENCYPART_ARC
(17,1),-0.951139 # DEPENDENCYPART_ARC
(17,2),-1.20637 # DEPENDENCYPART_ARC
(17,3),-0.883334 # DEPENDENCYPART_ARC
(17,4),-0.701374 # DEPENDENCYPART_ARC
(17,5),-0.347582 # DEPENDENCYPART_ARC
(17,6),-1.29195 # DEPENDENCYPART_ARC
(17,7),-0.300748 # DEPENDENCYPART_ARC
(17,9),-0.747012 # DEPENDENCYPART_ARC
(17,10),-0.027465 # DEPENDENCYPART_ARC
(17,11),-0.846789 # DEPENDENCYPART_ARC
(17,12),-0.140783 # DEPENDENCYPART_ARC
(17,13),-0.392557 # DEPENDENCYPART_ARC
(17,14),-0.403241 # DEPENDENCYPART_ARC
(17,16),1.43591 # DEPENDENCYPART_ARC
(17,18),0.971907 # DEPENDENCYPART_ARC
(17,19),-0.323677 # DEPENDENCYPART_ARC
(18,9),-1.69938 # DEPENDENCYPART_ARC
(18,19),1.60865 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.13484 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.0509439 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0319401 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.0532689 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.13484 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.0509439 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.198273 # DEPENDENCYPART_SIBL
(0,1),(0,9),0.0553243 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0401849 # DEPENDENCYPART_SIBL
(0,1),(0,11),0.049069 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.0875943 # DEPENDENCYPART_SIBL
(0,1),(0,13),0.0264197 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.112279 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.198273 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.0319933 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.112279 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.0730112 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.174982 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.183944 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.413823 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.370046 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.107489 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.181227 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.202037 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.226163 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.290997 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.293028 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.370046 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.183989 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.293028 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.254856 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.340789 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0320942 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.0531148 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.134994 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.0507897 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.198427 # DEPENDENCYPART_SIBL
(0,3),(0,9),0.0551702 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.040339 # DEPENDENCYPART_SIBL
(0,3),(0,11),0.0489149 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.0878859 # DEPENDENCYPART_SIBL
(0,3),(0,13),0.0262656 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.112526 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.198427 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.0321474 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.112527 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.0731653 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.175136 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0266352 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0763755 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0266347 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.130726 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.0291832 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.088473 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0269466 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.0815473 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0626233 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.178707 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.130726 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.0843444 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.17876 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.082331 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.106242 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.134841 # DEPENDENCYPART_SIBL
(0,5),(0,7),0.0509405 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.198274 # DEPENDENCYPART_SIBL
(0,5),(0,9),0.0553232 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.040186 # DEPENDENCYPART_SIBL
(0,5),(0,11),0.0490656 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.0877481 # DEPENDENCYPART_SIBL
(0,5),(0,13),0.0264186 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.112507 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.198274 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.0319944 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.112508 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.0730123 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.174983 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.202026 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.370046 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.107489 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.181227 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.202037 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.226163 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.290997 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.293028 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.370046 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.183989 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.293028 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.254856 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.340789 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.198273 # DEPENDENCYPART_SIBL
(0,7),(0,9),0.0553243 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.0401849 # DEPENDENCYPART_SIBL
(0,7),(0,11),0.049069 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.0875943 # DEPENDENCYPART_SIBL
(0,7),(0,13),0.0264197 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.112279 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.198273 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.0319933 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.112279 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.0730112 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.174982 # DEPENDENCYPART_SIBL
(0,8),(0,9),0.0517151 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.0625314 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.133335 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.231979 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.0871734 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.0442218 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.181443 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.0726409 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.0442218 # DEPENDENCYPART_SIBL
(0,8),(0,18),-0.0559298 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.161528 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.05082 # DEPENDENCYPART_SIBL
(0,9),(0,11),0.0184821 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.106674 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.0272042 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.0925869 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.111664 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.0461977 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.0925869 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.0690317 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.0912671 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.0407834 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.0968544 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.0734208 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.199564 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.149719 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.0932239 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.199616 # DEPENDENCYPART_SIBL
(0,10),(0,18),-0.097499 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.125236 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.0875943 # DEPENDENCYPART_SIBL
(0,11),(0,13),0.0264197 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.112279 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.198273 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.0319933 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.112279 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.0730112 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.174982 # DEPENDENCYPART_SIBL
(0,12),(0,13),0.0843623 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.032339 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.0798852 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.0618238 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.0323622 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.0180094 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.0473547 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.020379 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.109131 # DEPENDENCYPART_SIBL
(0,13),(0,16),0.0131952 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.020379 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.0713104 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.0891196 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.0808903 # DEPENDENCYPART_SIBL
(0,14),(0,16),-0.0416177 # DEPENDENCYPART_SIBL
(0,14),(0,17),-0.117636 # DEPENDENCYPART_SIBL
(0,14),(0,18),-0.0101621 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.0693041 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.0726409 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.0442218 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.0559298 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.161528 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.168278 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.0732666 # DEPENDENCYPART_SIBL
