# _root_ alderdiak kargu_hartu diola esan zuen atzo iturgaitzek , baina haren_kontrako neurririk ez dela hartuko , legebiltzarreko_mahaiak ere egin ez duelako .
#goldHeads=2,9,2,0,4,4,4,7,4,11,14,14,14,9,14,18,0,14,18,18,20,
#predictedHeads=2,4,2,9,4,4,4,7,0,11,14,14,14,9,14,18,0,14,18,18,20,
(0,1),-0.447803 # DEPENDENCYPART_ARC
(0,2),-0.124546 # DEPENDENCYPART_ARC
(0,3),-0.458827 # DEPENDENCYPART_ARC
(0,4),-0.0934745 # DEPENDENCYPART_ARC
(0,5),-0.539868 # DEPENDENCYPART_ARC
(0,6),-0.595469 # DEPENDENCYPART_ARC
(0,7),-1.74914 # DEPENDENCYPART_ARC
(0,8),-0.971903 # DEPENDENCYPART_ARC
(0,9),1.11308 # DEPENDENCYPART_ARC
(0,10),-1.61278 # DEPENDENCYPART_ARC
(0,12),-1.04761 # DEPENDENCYPART_ARC
(0,13),-1.24879 # DEPENDENCYPART_ARC
(0,14),-1.06118 # DEPENDENCYPART_ARC
(0,15),-0.764093 # DEPENDENCYPART_ARC
(0,17),0.638811 # DEPENDENCYPART_ARC
(0,18),-1.72351 # DEPENDENCYPART_ARC
(0,19),-1.19203 # DEPENDENCYPART_ARC
(0,20),-0.484642 # DEPENDENCYPART_ARC
(0,21),-1.82275 # DEPENDENCYPART_ARC
(1,2),-1.66387 # DEPENDENCYPART_ARC
(1,3),-2.16878 # DEPENDENCYPART_ARC
(1,5),-1.856 # DEPENDENCYPART_ARC
(1,6),-1.61546 # DEPENDENCYPART_ARC
(2,1),2.32398 # DEPENDENCYPART_ARC
(2,3),1.9565 # DEPENDENCYPART_ARC
(2,4),-0.561473 # DEPENDENCYPART_ARC
(2,5),-0.727541 # DEPENDENCYPART_ARC
(2,9),-0.41442 # DEPENDENCYPART_ARC
(2,11),-0.846864 # DEPENDENCYPART_ARC
(2,12),-0.574186 # DEPENDENCYPART_ARC
(2,13),-1.19949 # DEPENDENCYPART_ARC
(2,14),-0.416403 # DEPENDENCYPART_ARC
(2,16),-1.34919 # DEPENDENCYPART_ARC
(2,18),-1.22617 # DEPENDENCYPART_ARC
(2,19),-0.377476 # DEPENDENCYPART_ARC
(2,20),-1.92782 # DEPENDENCYPART_ARC
(3,1),-0.747077 # DEPENDENCYPART_ARC
(3,4),-1.14741 # DEPENDENCYPART_ARC
(3,5),-0.985999 # DEPENDENCYPART_ARC
(3,6),-0.972319 # DEPENDENCYPART_ARC
(4,1),0.73975 # DEPENDENCYPART_ARC
