# _root_ gero pistorius organista zaharrak paperezko pezeta , hogerleko eta bosdurokoak eman zizkidan gordetzeko , baina mesede_baten_truke .
#goldHeads=11,3,11,3,6,9,6,9,11,9,15,11,11,13,0,15,16,
#predictedHeads=11,3,5,3,6,9,6,9,11,11,15,11,11,13,0,15,16,
(0,1),-0.151189 # DEPENDENCYPART_ARC
(0,2),-1.02268 # DEPENDENCYPART_ARC
(0,3),-0.907224 # DEPENDENCYPART_ARC
(0,4),-1.89634 # DEPENDENCYPART_ARC
(0,5),-0.939176 # DEPENDENCYPART_ARC
(0,6),-1.19865 # DEPENDENCYPART_ARC
(0,7),-1.37887 # DEPENDENCYPART_ARC
(0,9),-0.65946 # DEPENDENCYPART_ARC
(0,10),-1.44341 # DEPENDENCYPART_ARC
(0,11),-0.333412 # DEPENDENCYPART_ARC
(0,12),-0.935719 # DEPENDENCYPART_ARC
(0,13),-1.41922 # DEPENDENCYPART_ARC
(0,14),-1.17726 # DEPENDENCYPART_ARC
(0,15),0.781428 # DEPENDENCYPART_ARC
(0,16),-1.39542 # DEPENDENCYPART_ARC
(0,17),-1.84821 # DEPENDENCYPART_ARC
(1,2),-0.757441 # DEPENDENCYPART_ARC
(1,7),-1.7012 # DEPENDENCYPART_ARC
(2,3),0.186304 # DEPENDENCYPART_ARC
(2,4),-0.113301 # DEPENDENCYPART_ARC
(2,6),-1.0628 # DEPENDENCYPART_ARC
(3,1),-0.789933 # DEPENDENCYPART_ARC
(3,2),0.810308 # DEPENDENCYPART_ARC
(3,4),1.63808 # DEPENDENCYPART_ARC
(3,5),-0.48343 # DEPENDENCYPART_ARC
(3,6),-0.906844 # DEPENDENCYPART_ARC
(3,8),-0.84383 # DEPENDENCYPART_ARC
(3,9),-0.542485 # DEPENDENCYPART_ARC
(3,11),-0.783761 # DEPENDENCYPART_ARC
(3,13),-0.623646 # DEPENDENCYPART_ARC
(3,15),-0.732977 # DEPENDENCYPART_ARC
(3,16),-0.801139 # DEPENDENCYPART_ARC
(4,1),-0.440844 # DEPENDENCYPART_ARC
(4,2),0.0619568 # DEPENDENCYPART_ARC
(4,3),-0.210912 # DEPENDENCYPART_ARC
(4,5),-0.272754 # DEPENDENCYPART_ARC
(4,6),-1.3755 # DEPENDENCYPART_ARC
(4,7),-0.562625 # DEPENDENCYPART_ARC
(4,10),-0.998798 # DEPENDENCYPART_ARC
(5,1),-1.12724 # DEPENDENCYPART_ARC
(5,2),-1.1427 # DEPENDENCYPART_ARC
(5,3),-0.00545753 # DEPENDENCYPART_ARC
(5,4),-1.23968 # DEPENDENCYPART_ARC
(5,6),-0.674181 # DEPENDENCYPART_ARC
(5,7),-0.590554 # DEPENDENCYPART_ARC
(5,8),-1.66714 # DEPENDENCYPART_ARC
(5,9),-1.23973 # DEPENDENCYPART_ARC
(5,12),-1.73743 # DEPENDENCYPART_ARC
(5,17),-1.52879 # DEPENDENCYPART_ARC
(6,1),-1.03323 # DEPENDENCYPART_ARC
(6,2),-0.604967 # DEPENDENCYPART_ARC
(6,3),-0.524362 # DEPENDENCYPART_ARC
(6,4),-1.26968 # DEPENDENCYPART_ARC
(6,5),1.00663 # DEPENDENCYPART_ARC
(6,7),1.55447 # DEPENDENCYPART_ARC
(6,8),-0.195923 # DEPENDENCYPART_ARC
(6,9),-0.27411 # DEPENDENCYPART_ARC
(6,11),-0.579033 # DEPENDENCYPART_ARC
(6,12),-0.978168 # DEPENDENCYPART_ARC
(6,13),-0.204403 # DEPENDENCYPART_ARC
