# _root_ hala ekarri dituzte antton_lopez ruiz algecirastik langraizera , joxean etxebarri_aiesta jaendik langraizera , eta iñigo_azkue eta jose_antonio galarraga mansillatik langraizera .
#goldHeads=2,0,2,14,4,2,2,7,14,9,2,2,12,2,16,14,16,17,2,2,20,
#predictedHeads=2,0,2,14,4,2,2,7,14,9,2,2,12,2,16,14,16,17,2,2,20,
(0,1),0.116842 # DEPENDENCYPART_ARC
(0,2),-0.120432 # DEPENDENCYPART_ARC
(0,3),-0.446326 # DEPENDENCYPART_ARC
(0,4),-1.07 # DEPENDENCYPART_ARC
(0,5),-0.73598 # DEPENDENCYPART_ARC
(0,6),-1.19631 # DEPENDENCYPART_ARC
(0,7),-1.25231 # DEPENDENCYPART_ARC
(0,8),-1.30093 # DEPENDENCYPART_ARC
(0,9),-1.10293 # DEPENDENCYPART_ARC
(0,10),-1.09832 # DEPENDENCYPART_ARC
(0,11),-1.24902 # DEPENDENCYPART_ARC
(0,12),-1.3744 # DEPENDENCYPART_ARC
(0,13),-1.65381 # DEPENDENCYPART_ARC
(0,14),-0.128316 # DEPENDENCYPART_ARC
(0,15),-1.32311 # DEPENDENCYPART_ARC
(0,16),-0.951405 # DEPENDENCYPART_ARC
(0,17),-1.31734 # DEPENDENCYPART_ARC
(0,18),-0.99479 # DEPENDENCYPART_ARC
(0,19),-1.46644 # DEPENDENCYPART_ARC
(0,20),-1.50725 # DEPENDENCYPART_ARC
(0,21),-2.93331 # DEPENDENCYPART_ARC
(1,2),-1.11535 # DEPENDENCYPART_ARC
(1,4),-1.69422 # DEPENDENCYPART_ARC
(1,5),-1.74032 # DEPENDENCYPART_ARC
(2,1),1.0533 # DEPENDENCYPART_ARC
(2,3),1.66723 # DEPENDENCYPART_ARC
(2,4),-0.184672 # DEPENDENCYPART_ARC
(2,5),0.227656 # DEPENDENCYPART_ARC
(2,6),0.320037 # DEPENDENCYPART_ARC
(2,7),0.634223 # DEPENDENCYPART_ARC
(2,8),-0.480052 # DEPENDENCYPART_ARC
(2,10),-0.533187 # DEPENDENCYPART_ARC
(2,11),0.0274777 # DEPENDENCYPART_ARC
(2,12),0.475815 # DEPENDENCYPART_ARC
(2,14),-0.0305291 # DEPENDENCYPART_ARC
(2,16),-0.0355278 # DEPENDENCYPART_ARC
(2,19),0.414169 # DEPENDENCYPART_ARC
(2,20),0.445949 # DEPENDENCYPART_ARC
(3,1),-0.683112 # DEPENDENCYPART_ARC
(3,2),-0.581419 # DEPENDENCYPART_ARC
(3,4),-0.8854 # DEPENDENCYPART_ARC
(3,6),-1.34909 # DEPENDENCYPART_ARC
(3,7),-1.61806 # DEPENDENCYPART_ARC
(3,14),-0.68789 # DEPENDENCYPART_ARC
(3,16),-0.804393 # DEPENDENCYPART_ARC
(4,2),-0.860104 # DEPENDENCYPART_ARC
(4,5),0.82584 # DEPENDENCYPART_ARC
(4,6),-0.221571 # DEPENDENCYPART_ARC
(5,2),-1.47095 # DEPENDENCYPART_ARC
(5,4),-0.120143 # DEPENDENCYPART_ARC
(5,6),-0.597216 # DEPENDENCYPART_ARC
(5,7),-1.57704 # DEPENDENCYPART_ARC
(6,2),-1.84942 # DEPENDENCYPART_ARC
(6,4),-0.822127 # DEPENDENCYPART_ARC
(6,5),-1.52371 # DEPENDENCYPART_ARC
(6,7),-0.90453 # DEPENDENCYPART_ARC
(6,10),-1.67839 # DEPENDENCYPART_ARC
(6,11),-2.42928 # DEPENDENCYPART_ARC
(7,5),-3.56705 # DEPENDENCYPART_ARC
(7,6),-2.0585 # DEPENDENCYPART_ARC
(7,8),1.30858 # DEPENDENCYPART_ARC
(7,10),-0.505001 # DEPENDENCYPART_ARC
(7,11),-1.49287 # DEPENDENCYPART_ARC
(7,12),-1.01282 # DEPENDENCYPART_ARC
(8,3),-1.49748 # DEPENDENCYPART_ARC
(8,4),-1.01106 # DEPENDENCYPART_ARC
(8,5),-1.00269 # DEPENDENCYPART_ARC
(8,14),-0.8032 # DEPENDENCYPART_ARC
(9,7),-2.21068 # DEPENDENCYPART_ARC
(9,8),-0.54808 # DEPENDENCYPART_ARC
(9,10),1.69009 # DEPENDENCYPART_ARC
(9,11),0.156198 # DEPENDENCYPART_ARC
(10,7),-2.95492 # DEPENDENCYPART_ARC
(10,8),-1.4103 # DEPENDENCYPART_ARC
(10,9),0.169479 # DEPENDENCYPART_ARC
(10,11),-1.351 # DEPENDENCYPART_ARC
(10,12),-1.56239 # DEPENDENCYPART_ARC
(10,14),-1.77226 # DEPENDENCYPART_ARC
(11,8),-1.63313 # DEPENDENCYPART_ARC
