# _root_ " sakabanaketa_bezalako legez kanpoko tresna presoen_kontra erabiltzeaz gain , orain espetxe_barruko errepresioa gogortzen ari_dira " , salatu dute aabek .
#goldHeads=0,5,5,3,7,7,13,7,8,13,12,13,0,0,14,15,0,17,17,19,
#predictedHeads=0,3,14,5,7,7,14,7,8,14,12,13,14,17,14,15,0,17,17,19,
(0,1),0.850807 # DEPENDENCYPART_ARC
(0,2),-0.549678 # DEPENDENCYPART_ARC
(0,3),-0.29775 # DEPENDENCYPART_ARC
(0,4),-0.533619 # DEPENDENCYPART_ARC
(0,5),-0.115944 # DEPENDENCYPART_ARC
(0,6),-0.986705 # DEPENDENCYPART_ARC
(0,7),-0.975866 # DEPENDENCYPART_ARC
(0,8),-0.40794 # DEPENDENCYPART_ARC
(0,9),-1.10823 # DEPENDENCYPART_ARC
(0,10),-1.15357 # DEPENDENCYPART_ARC
(0,11),-0.81189 # DEPENDENCYPART_ARC
(0,12),-0.823605 # DEPENDENCYPART_ARC
(0,13),-1.07449 # DEPENDENCYPART_ARC
(0,14),0.346141 # DEPENDENCYPART_ARC
(0,15),-2.18362 # DEPENDENCYPART_ARC
(0,16),-1.06095 # DEPENDENCYPART_ARC
(0,17),1.08949 # DEPENDENCYPART_ARC
(0,18),-0.349638 # DEPENDENCYPART_ARC
(0,19),-1.35672 # DEPENDENCYPART_ARC
(0,20),-2.07321 # DEPENDENCYPART_ARC
(2,1),-0.64482 # DEPENDENCYPART_ARC
(2,3),-0.257543 # DEPENDENCYPART_ARC
(2,4),-1.05495 # DEPENDENCYPART_ARC
(2,5),-1.51076 # DEPENDENCYPART_ARC
(3,2),0.76388 # DEPENDENCYPART_ARC
(3,4),0.35119 # DEPENDENCYPART_ARC
(3,5),-0.568162 # DEPENDENCYPART_ARC
(3,6),-0.809589 # DEPENDENCYPART_ARC
(4,2),-1.15213 # DEPENDENCYPART_ARC
(4,3),-0.180777 # DEPENDENCYPART_ARC
(4,5),-1.16814 # DEPENDENCYPART_ARC
(4,6),-2.2638 # DEPENDENCYPART_ARC
(5,2),-0.760363 # DEPENDENCYPART_ARC
(5,3),-0.569852 # DEPENDENCYPART_ARC
(5,4),1.54621 # DEPENDENCYPART_ARC
(5,6),-0.696442 # DEPENDENCYPART_ARC
(5,10),-1.35296 # DEPENDENCYPART_ARC
(6,2),-1.12852 # DEPENDENCYPART_ARC
(6,3),-1.73569 # DEPENDENCYPART_ARC
(6,4),0.881855 # DEPENDENCYPART_ARC
(6,5),-0.671686 # DEPENDENCYPART_ARC
(6,7),-1.12018 # DEPENDENCYPART_ARC
(6,8),-0.612257 # DEPENDENCYPART_ARC
(6,9),-0.569092 # DEPENDENCYPART_ARC
