# _root_ kasu honetan gutuna posta arruntaren_bidez etorri da , eta etako presoek bizi duten egoeraren erantzule egiten gaituzte " , azaldu zuen .
#goldHeads=6,1,6,6,4,9,6,7,20,11,12,14,12,15,16,9,16,17,18,0,0,21,
#predictedHeads=6,1,6,6,4,9,6,7,0,11,12,14,12,15,16,9,16,17,18,0,20,21,
(0,1),-0.394917 # DEPENDENCYPART_ARC
(0,2),-1.52345 # DEPENDENCYPART_ARC
(0,3),-0.349073 # DEPENDENCYPART_ARC
(0,5),-2.00501 # DEPENDENCYPART_ARC
(0,6),-0.195749 # DEPENDENCYPART_ARC
(0,7),-0.889412 # DEPENDENCYPART_ARC
(0,8),-0.930142 # DEPENDENCYPART_ARC
(0,9),0.499185 # DEPENDENCYPART_ARC
(0,13),-1.10708 # DEPENDENCYPART_ARC
(0,16),-1.79001 # DEPENDENCYPART_ARC
(0,17),-1.01118 # DEPENDENCYPART_ARC
(0,18),-2.33136 # DEPENDENCYPART_ARC
(0,19),-1.06066 # DEPENDENCYPART_ARC
(0,20),0.170954 # DEPENDENCYPART_ARC
(0,21),-0.757579 # DEPENDENCYPART_ARC
(0,22),-2.25249 # DEPENDENCYPART_ARC
(1,2),1.60544 # DEPENDENCYPART_ARC
(1,3),-0.913715 # DEPENDENCYPART_ARC
(1,4),-1.30643 # DEPENDENCYPART_ARC
(1,5),-0.908194 # DEPENDENCYPART_ARC
(1,7),-1.77854 # DEPENDENCYPART_ARC
(2,3),-0.681078 # DEPENDENCYPART_ARC
(2,4),-1.21451 # DEPENDENCYPART_ARC
(2,16),-1.12252 # DEPENDENCYPART_ARC
(2,20),-1.27876 # DEPENDENCYPART_ARC
(3,1),0.0933975 # DEPENDENCYPART_ARC
(3,2),-1.54375 # DEPENDENCYPART_ARC
(3,4),-0.894524 # DEPENDENCYPART_ARC
(3,5),-1.92893 # DEPENDENCYPART_ARC
(3,7),-1.88575 # DEPENDENCYPART_ARC
(4,1),-0.375482 # DEPENDENCYPART_ARC
(4,2),-1.29045 # DEPENDENCYPART_ARC
(4,3),-0.111622 # DEPENDENCYPART_ARC
(4,5),1.70242 # DEPENDENCYPART_ARC
(4,7),-1.18471 # DEPENDENCYPART_ARC
(4,10),-0.721904 # DEPENDENCYPART_ARC
(4,11),-0.899488 # DEPENDENCYPART_ARC
(5,1),-0.855884 # DEPENDENCYPART_ARC
(5,3),-0.331099 # DEPENDENCYPART_ARC
(5,4),0.0646706 # DEPENDENCYPART_ARC
(5,6),-0.680124 # DEPENDENCYPART_ARC
(5,7),-0.0753468 # DEPENDENCYPART_ARC
(6,1),0.365515 # DEPENDENCYPART_ARC
(6,2),-0.375669 # DEPENDENCYPART_ARC
(6,3),0.945619 # DEPENDENCYPART_ARC
(6,4),0.833631 # DEPENDENCYPART_ARC
(6,5),0.554818 # DEPENDENCYPART_ARC
(6,7),0.917014 # DEPENDENCYPART_ARC
(6,8),-0.462736 # DEPENDENCYPART_ARC
(6,9),-0.533791 # DEPENDENCYPART_ARC
(6,10),-1.26119 # DEPENDENCYPART_ARC
(6,11),-0.590497 # DEPENDENCYPART_ARC
(6,12),-0.836508 # DEPENDENCYPART_ARC
(6,13),-0.943381 # DEPENDENCYPART_ARC
(6,14),-1.34122 # DEPENDENCYPART_ARC
(6,15),-0.845843 # DEPENDENCYPART_ARC
(6,16),-1.08737 # DEPENDENCYPART_ARC
(6,17),-1.72126 # DEPENDENCYPART_ARC
(6,20),-1.5741 # DEPENDENCYPART_ARC
(6,21),-2.6913 # DEPENDENCYPART_ARC
(7,1),-0.651247 # DEPENDENCYPART_ARC
(7,3),-0.60488 # DEPENDENCYPART_ARC
(7,4),-0.433685 # DEPENDENCYPART_ARC
(7,8),1.25349 # DEPENDENCYPART_ARC
(7,9),-0.667369 # DEPENDENCYPART_ARC
(7,13),-0.850036 # DEPENDENCYPART_ARC
(7,16),-1.20882 # DEPENDENCYPART_ARC
(8,6),-0.936178 # DEPENDENCYPART_ARC
(8,7),-0.640286 # DEPENDENCYPART_ARC
(8,9),-0.327382 # DEPENDENCYPART_ARC
(9,1),-0.586649 # DEPENDENCYPART_ARC
(9,2),-1.22951 # DEPENDENCYPART_ARC
(9,3),-1.00849 # DEPENDENCYPART_ARC
(9,4),-0.614524 # DEPENDENCYPART_ARC
(9,5),-0.808105 # DEPENDENCYPART_ARC
(9,6),0.723974 # DEPENDENCYPART_ARC
(9,7),-0.646751 # DEPENDENCYPART_ARC
(9,8),-0.46382 # DEPENDENCYPART_ARC
(9,10),0.246665 # DEPENDENCYPART_ARC
(9,11),-0.205596 # DEPENDENCYPART_ARC
(9,12),-0.525806 # DEPENDENCYPART_ARC
(9,13),-0.549311 # DEPENDENCYPART_ARC
(9,14),-1.10494 # DEPENDENCYPART_ARC
(9,15),-0.805888 # DEPENDENCYPART_ARC
(9,16),0.0400764 # DEPENDENCYPART_ARC
(9,20),-0.747642 # DEPENDENCYPART_ARC
(10,11),-0.508518 # DEPENDENCYPART_ARC
(10,12),-1.13789 # DEPENDENCYPART_ARC
(11,2),-2.43711 # DEPENDENCYPART_ARC
(11,6),-1.30351 # DEPENDENCYPART_ARC
(11,8),-1.44713 # DEPENDENCYPART_ARC
(11,9),-0.378757 # DEPENDENCYPART_ARC
(11,10),1.70955 # DEPENDENCYPART_ARC
(11,12),-0.434648 # DEPENDENCYPART_ARC
(11,13),-1.61507 # DEPENDENCYPART_ARC
(11,14),-1.91255 # DEPENDENCYPART_ARC
(11,15),-1.24327 # DEPENDENCYPART_ARC
(11,17),-2.27798 # DEPENDENCYPART_ARC
(12,1),-0.71704 # DEPENDENCYPART_ARC
(12,2),-2.68498 # DEPENDENCYPART_ARC
(12,4),-0.592963 # DEPENDENCYPART_ARC
(12,6),-1.14439 # DEPENDENCYPART_ARC
(12,8),-1.41876 # DEPENDENCYPART_ARC
(12,9),-0.475391 # DEPENDENCYPART_ARC
(12,10),0.796728 # DEPENDENCYPART_ARC
(12,11),-0.155831 # DEPENDENCYPART_ARC
(12,13),0.767413 # DEPENDENCYPART_ARC
(12,14),-1.30439 # DEPENDENCYPART_ARC
(12,15),-0.710503 # DEPENDENCYPART_ARC
(12,16),-1.3889 # DEPENDENCYPART_ARC
(12,17),-1.12859 # DEPENDENCYPART_ARC
(12,20),-1.71277 # DEPENDENCYPART_ARC
(12,22),-1.49427 # DEPENDENCYPART_ARC
(13,10),-0.00397767 # DEPENDENCYPART_ARC
(13,11),-0.275894 # DEPENDENCYPART_ARC
(13,12),0.23284 # DEPENDENCYPART_ARC
(13,14),-0.0802354 # DEPENDENCYPART_ARC
(13,15),-0.581008 # DEPENDENCYPART_ARC
(13,17),-0.992031 # DEPENDENCYPART_ARC
(13,21),-1.19962 # DEPENDENCYPART_ARC
(14,6),-1.26032 # DEPENDENCYPART_ARC
(14,8),-1.53718 # DEPENDENCYPART_ARC
(14,9),-0.70368 # DEPENDENCYPART_ARC
(14,10),-0.0059535 # DEPENDENCYPART_ARC
(14,11),-2.16276 # DEPENDENCYPART_ARC
(14,12),-1.28836 # DEPENDENCYPART_ARC
(14,13),-0.805946 # DEPENDENCYPART_ARC
(14,15),0.815292 # DEPENDENCYPART_ARC
(14,17),-2.02272 # DEPENDENCYPART_ARC
(14,21),-1.502 # DEPENDENCYPART_ARC
(15,6),-1.38165 # DEPENDENCYPART_ARC
(15,8),-1.81653 # DEPENDENCYPART_ARC
(15,9),-0.81052 # DEPENDENCYPART_ARC
(15,10),-0.212285 # DEPENDENCYPART_ARC
(15,11),-1.80383 # DEPENDENCYPART_ARC
(15,12),-1.10867 # DEPENDENCYPART_ARC
(15,13),-1.60119 # DEPENDENCYPART_ARC
(15,14),1.51364 # DEPENDENCYPART_ARC
(15,16),0.0460625 # DEPENDENCYPART_ARC
(15,17),0.09354 # DEPENDENCYPART_ARC
(15,20),-1.24552 # DEPENDENCYPART_ARC
(15,21),-0.0329612 # DEPENDENCYPART_ARC
(15,22),-0.783116 # DEPENDENCYPART_ARC
(16,1),-0.812358 # DEPENDENCYPART_ARC
(16,2),-0.772719 # DEPENDENCYPART_ARC
(16,3),-0.577013 # DEPENDENCYPART_ARC
(16,4),-1.19852 # DEPENDENCYPART_ARC
(16,6),-1.2959 # DEPENDENCYPART_ARC
(16,7),-1.1211 # DEPENDENCYPART_ARC
(16,8),-1.88559 # DEPENDENCYPART_ARC
(16,9),-0.909759 # DEPENDENCYPART_ARC
(16,10),-1.10208 # DEPENDENCYPART_ARC
(16,11),-0.0901206 # DEPENDENCYPART_ARC
(16,12),-0.25781 # DEPENDENCYPART_ARC
(16,13),-0.898335 # DEPENDENCYPART_ARC
(16,14),-0.26425 # DEPENDENCYPART_ARC
(16,15),1.36172 # DEPENDENCYPART_ARC
(16,17),1.02969 # DEPENDENCYPART_ARC
(16,19),-1.35361 # DEPENDENCYPART_ARC
(16,20),-1.7904 # DEPENDENCYPART_ARC
(16,21),-1.8577 # DEPENDENCYPART_ARC
(17,12),-0.826252 # DEPENDENCYPART_ARC
(17,14),-0.506613 # DEPENDENCYPART_ARC
(17,15),-0.752867 # DEPENDENCYPART_ARC
(17,18),1.05692 # DEPENDENCYPART_ARC
(17,20),-1.25794 # DEPENDENCYPART_ARC
(17,21),-1.0312 # DEPENDENCYPART_ARC
(18,14),-0.969449 # DEPENDENCYPART_ARC
(18,15),-0.877912 # DEPENDENCYPART_ARC
(18,19),1.15117 # DEPENDENCYPART_ARC
(18,20),-0.754867 # DEPENDENCYPART_ARC
(19,16),-0.742768 # DEPENDENCYPART_ARC
(19,17),-0.934418 # DEPENDENCYPART_ARC
(19,20),-0.448158 # DEPENDENCYPART_ARC
(20,1),-1.55602 # DEPENDENCYPART_ARC
(20,3),-1.17381 # DEPENDENCYPART_ARC
(20,4),-1.82183 # DEPENDENCYPART_ARC
(20,6),-0.503429 # DEPENDENCYPART_ARC
(20,8),-1.54431 # DEPENDENCYPART_ARC
(20,9),-0.270566 # DEPENDENCYPART_ARC
(20,10),-1.64891 # DEPENDENCYPART_ARC
(20,11),-0.732665 # DEPENDENCYPART_ARC
(20,12),-1.21926 # DEPENDENCYPART_ARC
(20,13),-1.15734 # DEPENDENCYPART_ARC
(20,14),-1.62724 # DEPENDENCYPART_ARC
(20,15),-0.907974 # DEPENDENCYPART_ARC
(20,16),-0.338135 # DEPENDENCYPART_ARC
(20,17),-0.732895 # DEPENDENCYPART_ARC
(20,19),-0.442573 # DEPENDENCYPART_ARC
(20,21),1.17362 # DEPENDENCYPART_ARC
(20,22),-0.392785 # DEPENDENCYPART_ARC
(21,16),-2.3932 # DEPENDENCYPART_ARC
(21,22),1.56867 # DEPENDENCYPART_ARC
(0,1),(0,2),0.00844986 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.05911 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.0181179 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.123434 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0416774 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.135118 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0885663 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0605686 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.160569 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.059172 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.19855 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.135118 # DEPENDENCYPART_SIBL
