# _root_ hala , aznarri " doluminik sentituena " helarazi dio chiracek , eta jauregiren senide eta lagunei " frantziaren laguntasuna " helarazteko eskaera egin dio .
#goldHeads=0,3,8,3,8,5,6,12,8,8,10,0,14,15,21,15,16,19,21,19,22,23,12,23,24,
#predictedHeads=0,3,8,3,6,8,6,12,8,8,10,0,14,15,23,15,16,19,21,19,22,23,12,23,24,
(0,1),0.0796509 # DEPENDENCYPART_ARC
(0,2),-1.13635 # DEPENDENCYPART_ARC
(0,3),-0.97705 # DEPENDENCYPART_ARC
(0,4),-0.976032 # DEPENDENCYPART_ARC
(0,5),-0.599235 # DEPENDENCYPART_ARC
(0,6),-0.158541 # DEPENDENCYPART_ARC
(0,7),-1.06999 # DEPENDENCYPART_ARC
(0,8),0.0693407 # DEPENDENCYPART_ARC
(0,9),-0.163518 # DEPENDENCYPART_ARC
(0,10),-1.46937 # DEPENDENCYPART_ARC
(0,11),-0.955466 # DEPENDENCYPART_ARC
(0,12),0.421623 # DEPENDENCYPART_ARC
(0,13),-1.29527 # DEPENDENCYPART_ARC
(0,14),-1.01854 # DEPENDENCYPART_ARC
(0,15),-0.496115 # DEPENDENCYPART_ARC
(0,16),-1.75639 # DEPENDENCYPART_ARC
(0,17),-1.97647 # DEPENDENCYPART_ARC
(0,18),-1.27722 # DEPENDENCYPART_ARC
(0,19),-0.749537 # DEPENDENCYPART_ARC
(0,20),-2.44006 # DEPENDENCYPART_ARC
(0,21),-0.995143 # DEPENDENCYPART_ARC
(0,22),-0.834954 # DEPENDENCYPART_ARC
(0,23),-1.13052 # DEPENDENCYPART_ARC
(0,24),0.164919 # DEPENDENCYPART_ARC
(0,25),-2.26351 # DEPENDENCYPART_ARC
(1,2),-0.927267 # DEPENDENCYPART_ARC
(1,3),-1.54857 # DEPENDENCYPART_ARC
(3,2),-0.547279 # DEPENDENCYPART_ARC
(3,4),1.38824 # DEPENDENCYPART_ARC
(3,5),-0.911632 # DEPENDENCYPART_ARC
(3,6),-0.521485 # DEPENDENCYPART_ARC
(4,5),-0.525121 # DEPENDENCYPART_ARC
(5,1),-0.966658 # DEPENDENCYPART_ARC
(5,2),-1.02173 # DEPENDENCYPART_ARC
(5,3),-1.82847 # DEPENDENCYPART_ARC
(5,4),-0.192039 # DEPENDENCYPART_ARC
(5,6),0.665747 # DEPENDENCYPART_ARC
(5,8),-1.72318 # DEPENDENCYPART_ARC
(5,9),-1.13374 # DEPENDENCYPART_ARC
(5,10),-0.813161 # DEPENDENCYPART_ARC
(6,1),-0.647279 # DEPENDENCYPART_ARC
(6,2),-1.34186 # DEPENDENCYPART_ARC
(6,3),-0.334653 # DEPENDENCYPART_ARC
(6,5),1.29782 # DEPENDENCYPART_ARC
(6,7),1.047 # DEPENDENCYPART_ARC
(6,8),-1.73729 # DEPENDENCYPART_ARC
(6,9),-2.2642 # DEPENDENCYPART_ARC
(6,10),-1.2114 # DEPENDENCYPART_ARC
(6,11),-0.766924 # DEPENDENCYPART_ARC
(6,12),-0.888062 # DEPENDENCYPART_ARC
(6,15),-0.836094 # DEPENDENCYPART_ARC
(6,16),-1.59123 # DEPENDENCYPART_ARC
(6,18),-3.61164 # DEPENDENCYPART_ARC
(6,21),-1.77908 # DEPENDENCYPART_ARC
(6,23),-2.55863 # DEPENDENCYPART_ARC
(7,3),-1.17264 # DEPENDENCYPART_ARC
(7,5),-0.972608 # DEPENDENCYPART_ARC
(7,9),-0.717134 # DEPENDENCYPART_ARC
(8,1),-0.751671 # DEPENDENCYPART_ARC
(8,2),-1.2036 # DEPENDENCYPART_ARC
(8,3),0.00129481 # DEPENDENCYPART_ARC
(8,5),-0.109897 # DEPENDENCYPART_ARC
(8,6),0.520682 # DEPENDENCYPART_ARC
(8,9),1.65796 # DEPENDENCYPART_ARC
(8,10),1.04695 # DEPENDENCYPART_ARC
(8,11),-0.48375 # DEPENDENCYPART_ARC
(8,12),-0.307821 # DEPENDENCYPART_ARC
(8,14),-0.740489 # DEPENDENCYPART_ARC
(8,15),-0.286502 # DEPENDENCYPART_ARC
(8,19),-0.504345 # DEPENDENCYPART_ARC
(8,22),-1.07343 # DEPENDENCYPART_ARC
(8,23),-0.860403 # DEPENDENCYPART_ARC
(9,6),-1.81375 # DEPENDENCYPART_ARC
(9,10),-0.7198 # DEPENDENCYPART_ARC
(10,8),-0.56001 # DEPENDENCYPART_ARC
(10,11),1.16882 # DEPENDENCYPART_ARC
(10,14),-0.700175 # DEPENDENCYPART_ARC
(11,6),-1.38714 # DEPENDENCYPART_ARC
(11,9),-1.34277 # DEPENDENCYPART_ARC
(11,12),-0.354997 # DEPENDENCYPART_ARC
(12,1),-0.978955 # DEPENDENCYPART_ARC
(12,3),-0.688241 # DEPENDENCYPART_ARC
(12,5),-0.566493 # DEPENDENCYPART_ARC
(12,6),-0.213222 # DEPENDENCYPART_ARC
(12,8),0.443703 # DEPENDENCYPART_ARC
(12,9),-1.01093 # DEPENDENCYPART_ARC
(12,10),0.0826439 # DEPENDENCYPART_ARC
(12,11),-0.506154 # DEPENDENCYPART_ARC
(12,13),-0.185598 # DEPENDENCYPART_ARC
(12,14),-0.844418 # DEPENDENCYPART_ARC
(12,15),-0.568667 # DEPENDENCYPART_ARC
(12,16),-0.595556 # DEPENDENCYPART_ARC
(12,19),-0.960773 # DEPENDENCYPART_ARC
(12,21),-0.611165 # DEPENDENCYPART_ARC
(12,22),-1.26827 # DEPENDENCYPART_ARC
