# _root_ umeak ginen artean , eta gauzak betirako zirela uste_genuen , eta ziur nengoen gure konplizitatea ez zuela ezerk zirdinduko .
#goldHeads=2,5,2,3,0,8,8,9,5,9,0,13,5,15,19,19,19,19,13,19,
#predictedHeads=2,5,2,3,0,8,8,9,11,9,0,13,11,15,19,19,19,19,13,19,
(0,1),-0.0691147 # DEPENDENCYPART_ARC
(0,2),-0.290106 # DEPENDENCYPART_ARC
(0,3),-0.794057 # DEPENDENCYPART_ARC
(0,4),-1.13333 # DEPENDENCYPART_ARC
(0,5),0.477216 # DEPENDENCYPART_ARC
(0,7),-0.739354 # DEPENDENCYPART_ARC
(0,8),-0.996343 # DEPENDENCYPART_ARC
(0,9),0.0536335 # DEPENDENCYPART_ARC
(0,10),-1.01633 # DEPENDENCYPART_ARC
(0,11),0.449049 # DEPENDENCYPART_ARC
(0,12),-1.12309 # DEPENDENCYPART_ARC
(0,13),-0.397353 # DEPENDENCYPART_ARC
(0,14),-1.50604 # DEPENDENCYPART_ARC
(0,16),-1.06758 # DEPENDENCYPART_ARC
(0,17),-0.954602 # DEPENDENCYPART_ARC
(0,18),-1.3157 # DEPENDENCYPART_ARC
(0,19),-1.11379 # DEPENDENCYPART_ARC
(0,20),-1.28122 # DEPENDENCYPART_ARC
(1,3),-1.15589 # DEPENDENCYPART_ARC
(1,4),-1.63375 # DEPENDENCYPART_ARC
(2,1),1.76448 # DEPENDENCYPART_ARC
(2,3),0.33511 # DEPENDENCYPART_ARC
(2,4),-0.291802 # DEPENDENCYPART_ARC
(2,5),-0.542304 # DEPENDENCYPART_ARC
(2,6),-0.467543 # DEPENDENCYPART_ARC
(2,7),-0.811997 # DEPENDENCYPART_ARC
(2,8),-0.905893 # DEPENDENCYPART_ARC
(2,9),-0.383073 # DEPENDENCYPART_ARC
(2,11),-0.728046 # DEPENDENCYPART_ARC
(2,13),-1.01331 # DEPENDENCYPART_ARC
(2,15),-0.958473 # DEPENDENCYPART_ARC
(2,19),-0.765994 # DEPENDENCYPART_ARC
(3,1),-0.95222 # DEPENDENCYPART_ARC
(3,2),-0.295288 # DEPENDENCYPART_ARC
(3,4),0.932817 # DEPENDENCYPART_ARC
(3,5),-0.474137 # DEPENDENCYPART_ARC
(3,6),-0.669383 # DEPENDENCYPART_ARC
(3,7),-0.760719 # DEPENDENCYPART_ARC
(3,11),-0.402309 # DEPENDENCYPART_ARC
(4,2),-0.87513 # DEPENDENCYPART_ARC
(5,1),-0.212142 # DEPENDENCYPART_ARC
(5,2),0.15365 # DEPENDENCYPART_ARC
(5,3),-0.277757 # DEPENDENCYPART_ARC
(5,4),-0.475437 # DEPENDENCYPART_ARC
(5,6),0.77364 # DEPENDENCYPART_ARC
(5,7),-0.775173 # DEPENDENCYPART_ARC
(5,8),-0.153246 # DEPENDENCYPART_ARC
(5,9),0.509554 # DEPENDENCYPART_ARC
(5,10),-0.756602 # DEPENDENCYPART_ARC
(5,11),-0.57085 # DEPENDENCYPART_ARC
(5,13),-0.369244 # DEPENDENCYPART_ARC
(5,19),-0.515874 # DEPENDENCYPART_ARC
(6,4),-1.59596 # DEPENDENCYPART_ARC
(6,5),-0.494337 # DEPENDENCYPART_ARC
(6,7),-0.195443 # DEPENDENCYPART_ARC
(6,8),-1.72751 # DEPENDENCYPART_ARC
(6,9),-1.64412 # DEPENDENCYPART_ARC
(6,12),-2.3406 # DEPENDENCYPART_ARC
(7,5),-0.752864 # DEPENDENCYPART_ARC
(7,6),-0.220617 # DEPENDENCYPART_ARC
(7,8),0.258695 # DEPENDENCYPART_ARC
(7,10),-0.386186 # DEPENDENCYPART_ARC
(8,1),0.337403 # DEPENDENCYPART_ARC
(8,2),-1.20989 # DEPENDENCYPART_ARC
(8,3),-0.349927 # DEPENDENCYPART_ARC
(8,4),-1.04401 # DEPENDENCYPART_ARC
(8,5),-0.332383 # DEPENDENCYPART_ARC
(8,6),1.7359 # DEPENDENCYPART_ARC
(8,7),0.890999 # DEPENDENCYPART_ARC
(8,9),-0.998658 # DEPENDENCYPART_ARC
(8,10),-0.405428 # DEPENDENCYPART_ARC
(8,11),-0.33259 # DEPENDENCYPART_ARC
(8,12),-0.583565 # DEPENDENCYPART_ARC
(8,13),-1.36958 # DEPENDENCYPART_ARC
(8,15),-0.611147 # DEPENDENCYPART_ARC
(8,17),-1.40329 # DEPENDENCYPART_ARC
(8,19),-1.66764 # DEPENDENCYPART_ARC
(9,1),0.0980628 # DEPENDENCYPART_ARC
(9,2),-0.534357 # DEPENDENCYPART_ARC
(9,3),-0.444159 # DEPENDENCYPART_ARC
(9,5),-0.419166 # DEPENDENCYPART_ARC
(9,6),0.428345 # DEPENDENCYPART_ARC
(9,7),0.274482 # DEPENDENCYPART_ARC
(9,8),2.3549 # DEPENDENCYPART_ARC
(9,10),1.48038 # DEPENDENCYPART_ARC
(9,11),-0.421586 # DEPENDENCYPART_ARC
(9,12),-0.413632 # DEPENDENCYPART_ARC
(9,13),-0.869778 # DEPENDENCYPART_ARC
(9,15),-1.1895 # DEPENDENCYPART_ARC
(9,16),-0.717489 # DEPENDENCYPART_ARC
(9,17),-0.717979 # DEPENDENCYPART_ARC
(9,19),-0.210024 # DEPENDENCYPART_ARC
(10,2),-0.975476 # DEPENDENCYPART_ARC
(10,8),-0.842152 # DEPENDENCYPART_ARC
(10,9),-0.309942 # DEPENDENCYPART_ARC
(10,12),-1.04541 # DEPENDENCYPART_ARC
(10,13),-0.652647 # DEPENDENCYPART_ARC
(11,1),-0.947279 # DEPENDENCYPART_ARC
(11,2),-0.272353 # DEPENDENCYPART_ARC
(11,3),-0.561816 # DEPENDENCYPART_ARC
(11,5),-0.283329 # DEPENDENCYPART_ARC
(11,6),-0.676548 # DEPENDENCYPART_ARC
(11,7),-0.485121 # DEPENDENCYPART_ARC
(11,8),0.230192 # DEPENDENCYPART_ARC
(11,9),0.91338 # DEPENDENCYPART_ARC
(11,10),-0.261398 # DEPENDENCYPART_ARC
(11,12),0.895365 # DEPENDENCYPART_ARC
(11,13),-0.100999 # DEPENDENCYPART_ARC
(11,15),-0.368149 # DEPENDENCYPART_ARC
(11,19),-0.243438 # DEPENDENCYPART_ARC
(12,11),-0.566294 # DEPENDENCYPART_ARC
(12,13),0.00488092 # DEPENDENCYPART_ARC
(12,19),-1.15517 # DEPENDENCYPART_ARC
(13,1),-0.524916 # DEPENDENCYPART_ARC
(13,2),-0.778852 # DEPENDENCYPART_ARC
(13,3),-0.382177 # DEPENDENCYPART_ARC
(13,4),-1.07386 # DEPENDENCYPART_ARC
(13,5),-0.336221 # DEPENDENCYPART_ARC
