# _root_ gainera , ez da kasu honetan bakarrik ezagutzen zientziaren praktika , baina gutxi_batzuek bakarrik ezagutzen dituzte zientzia horren oinarri diren lege eta arauak .
#goldHeads=0,3,8,8,8,5,8,12,10,8,10,0,15,15,12,15,19,17,20,21,22,15,22,23,
#predictedHeads=0,3,8,8,8,5,8,12,10,8,10,0,15,15,12,15,19,17,20,21,22,15,22,23,
(0,1),1.149 # DEPENDENCYPART_ARC
(0,2),-1.02493 # DEPENDENCYPART_ARC
(0,3),-0.817965 # DEPENDENCYPART_ARC
(0,4),-0.610592 # DEPENDENCYPART_ARC
(0,5),-0.851326 # DEPENDENCYPART_ARC
(0,6),-1.47745 # DEPENDENCYPART_ARC
(0,7),-0.656779 # DEPENDENCYPART_ARC
(0,8),-0.630233 # DEPENDENCYPART_ARC
(0,9),-0.853412 # DEPENDENCYPART_ARC
(0,10),-0.565906 # DEPENDENCYPART_ARC
(0,11),-1.02648 # DEPENDENCYPART_ARC
(0,12),1.23075 # DEPENDENCYPART_ARC
(0,14),-0.758297 # DEPENDENCYPART_ARC
(0,15),-0.572033 # DEPENDENCYPART_ARC
(0,16),-0.774151 # DEPENDENCYPART_ARC
(0,17),-1.20971 # DEPENDENCYPART_ARC
(0,18),-1.51292 # DEPENDENCYPART_ARC
(0,19),-0.730383 # DEPENDENCYPART_ARC
(0,20),-1.00092 # DEPENDENCYPART_ARC
(0,21),-1.52309 # DEPENDENCYPART_ARC
(0,22),-0.625458 # DEPENDENCYPART_ARC
(0,23),-1.51574 # DEPENDENCYPART_ARC
(0,24),-2.27151 # DEPENDENCYPART_ARC
(1,2),-0.647816 # DEPENDENCYPART_ARC
(2,13),-1.14798 # DEPENDENCYPART_ARC
(3,2),-0.45322 # DEPENDENCYPART_ARC
(3,5),-0.8545 # DEPENDENCYPART_ARC
(3,10),-1.16733 # DEPENDENCYPART_ARC
(4,3),-0.374163 # DEPENDENCYPART_ARC
(4,5),-0.594652 # DEPENDENCYPART_ARC
(4,7),-1.07859 # DEPENDENCYPART_ARC
(5,2),-1.34435 # DEPENDENCYPART_ARC
(5,3),-0.679503 # DEPENDENCYPART_ARC
(5,4),-0.528707 # DEPENDENCYPART_ARC
(5,6),1.96933 # DEPENDENCYPART_ARC
(5,7),-0.436746 # DEPENDENCYPART_ARC
(5,13),-0.628834 # DEPENDENCYPART_ARC
(6,8),-1.16248 # DEPENDENCYPART_ARC
(6,9),-1.27517 # DEPENDENCYPART_ARC
(6,10),-1.40276 # DEPENDENCYPART_ARC
(6,13),-1.2877 # DEPENDENCYPART_ARC
(7,1),-0.939989 # DEPENDENCYPART_ARC
(7,5),-0.901177 # DEPENDENCYPART_ARC
(7,6),-0.297161 # DEPENDENCYPART_ARC
(7,8),-0.165199 # DEPENDENCYPART_ARC
(7,9),-0.892408 # DEPENDENCYPART_ARC
(7,11),-0.634248 # DEPENDENCYPART_ARC
(8,1),-0.377437 # DEPENDENCYPART_ARC
(8,2),-1.33129 # DEPENDENCYPART_ARC
(8,3),0.371155 # DEPENDENCYPART_ARC
(8,4),-0.039164 # DEPENDENCYPART_ARC
(8,5),0.376357 # DEPENDENCYPART_ARC
(8,6),0.111122 # DEPENDENCYPART_ARC
(8,7),0.960185 # DEPENDENCYPART_ARC
(8,9),0.236121 # DEPENDENCYPART_ARC
(8,10),0.116369 # DEPENDENCYPART_ARC
(8,11),-0.641565 # DEPENDENCYPART_ARC
(8,12),-0.799235 # DEPENDENCYPART_ARC
(8,13),-0.801917 # DEPENDENCYPART_ARC
(8,14),-1.11446 # DEPENDENCYPART_ARC
(8,15),-1.01168 # DEPENDENCYPART_ARC
(8,16),-1.31336 # DEPENDENCYPART_ARC
(8,17),-1.24067 # DEPENDENCYPART_ARC
(8,19),-1.23174 # DEPENDENCYPART_ARC
(8,20),-1.18436 # DEPENDENCYPART_ARC
(8,21),-1.52375 # DEPENDENCYPART_ARC
(8,22),-0.58767 # DEPENDENCYPART_ARC
(8,23),-1.2606 # DEPENDENCYPART_ARC
(9,2),-1.51994 # DEPENDENCYPART_ARC
(9,5),-0.428297 # DEPENDENCYPART_ARC
(9,6),-2.81902 # DEPENDENCYPART_ARC
(9,7),-0.632591 # DEPENDENCYPART_ARC
(9,8),0.222359 # DEPENDENCYPART_ARC
(9,10),-0.0860374 # DEPENDENCYPART_ARC
(9,11),-0.498263 # DEPENDENCYPART_ARC
(9,13),-3.25502 # DEPENDENCYPART_ARC
(9,16),-2.52581 # DEPENDENCYPART_ARC
(10,5),-0.52516 # DEPENDENCYPART_ARC
(10,6),-2.92956 # DEPENDENCYPART_ARC
(10,7),-0.825275 # DEPENDENCYPART_ARC
(10,8),-0.428137 # DEPENDENCYPART_ARC
(10,9),1.36405 # DEPENDENCYPART_ARC
(10,11),1.03906 # DEPENDENCYPART_ARC
(10,12),-0.508762 # DEPENDENCYPART_ARC
(10,13),-3.24177 # DEPENDENCYPART_ARC
(10,14),-1.1125 # DEPENDENCYPART_ARC
(10,16),-2.27455 # DEPENDENCYPART_ARC
(10,20),-2.16072 # DEPENDENCYPART_ARC
(10,22),-1.26089 # DEPENDENCYPART_ARC
(11,8),-1.04861 # DEPENDENCYPART_ARC
(11,9),-1.12023 # DEPENDENCYPART_ARC
(11,12),-0.31622 # DEPENDENCYPART_ARC
(11,13),-1.2196 # DEPENDENCYPART_ARC
(12,3),-0.664741 # DEPENDENCYPART_ARC
(12,5),-1.05253 # DEPENDENCYPART_ARC
(12,6),-1.35537 # DEPENDENCYPART_ARC
(12,7),-0.697721 # DEPENDENCYPART_ARC
(12,8),-0.323497 # DEPENDENCYPART_ARC
(12,9),-1.26921 # DEPENDENCYPART_ARC
(12,10),-0.745895 # DEPENDENCYPART_ARC
(12,11),-0.338474 # DEPENDENCYPART_ARC
(12,13),-0.520165 # DEPENDENCYPART_ARC
(12,14),-0.914665 # DEPENDENCYPART_ARC
(12,15),-0.197354 # DEPENDENCYPART_ARC
(12,16),-0.911606 # DEPENDENCYPART_ARC
(12,17),-1.21856 # DEPENDENCYPART_ARC
(12,19),-0.880172 # DEPENDENCYPART_ARC
(12,20),-0.370353 # DEPENDENCYPART_ARC
(12,21),-1.35831 # DEPENDENCYPART_ARC
(12,22),-0.469607 # DEPENDENCYPART_ARC
(12,23),-1.28972 # DEPENDENCYPART_ARC
(13,3),-0.788261 # DEPENDENCYPART_ARC
(13,12),-0.157374 # DEPENDENCYPART_ARC
(13,15),-1.46469 # DEPENDENCYPART_ARC
(14,1),-0.702213 # DEPENDENCYPART_ARC
(14,10),-1.05885 # DEPENDENCYPART_ARC
(14,12),-0.724591 # DEPENDENCYPART_ARC
(14,13),-0.164327 # DEPENDENCYPART_ARC
(14,15),-0.324859 # DEPENDENCYPART_ARC
(14,17),-0.946196 # DEPENDENCYPART_ARC
(14,19),-1.02665 # DEPENDENCYPART_ARC
