# _root_ orduan , gai ezberdinei_buruzko elkarrizketa atsegin bati ekingo dio , nahiz_eta gizartean oso gaizki ikusiko liratekeen gaietaz hitzerdika hitzegingo duten .
#goldHeads=0,3,5,3,8,5,5,0,8,9,0,15,14,15,17,15,19,19,8,19,20,
#predictedHeads=8,3,8,3,8,5,5,0,8,9,0,15,14,15,17,15,19,19,8,19,20,
(0,1),-0.279665 # DEPENDENCYPART_ARC
(0,2),-1.31914 # DEPENDENCYPART_ARC
(0,3),-0.813198 # DEPENDENCYPART_ARC
(0,4),-2.17386 # DEPENDENCYPART_ARC
(0,5),-1.08756 # DEPENDENCYPART_ARC
(0,6),-1.11392 # DEPENDENCYPART_ARC
(0,7),-1.66324 # DEPENDENCYPART_ARC
(0,8),-0.546605 # DEPENDENCYPART_ARC
(0,9),-0.56862 # DEPENDENCYPART_ARC
(0,10),-0.964398 # DEPENDENCYPART_ARC
(0,11),0.224997 # DEPENDENCYPART_ARC
(0,13),-0.979768 # DEPENDENCYPART_ARC
(0,14),-0.847309 # DEPENDENCYPART_ARC
(0,15),-0.554139 # DEPENDENCYPART_ARC
(0,16),-0.880076 # DEPENDENCYPART_ARC
(0,17),-1.8332 # DEPENDENCYPART_ARC
(0,18),-0.854192 # DEPENDENCYPART_ARC
(0,19),-0.93142 # DEPENDENCYPART_ARC
(0,20),-0.755499 # DEPENDENCYPART_ARC
(0,21),-2.02472 # DEPENDENCYPART_ARC
(1,2),-0.731392 # DEPENDENCYPART_ARC
(1,3),-1.48096 # DEPENDENCYPART_ARC
(1,13),-1.61448 # DEPENDENCYPART_ARC
(1,14),-1.70797 # DEPENDENCYPART_ARC
(2,3),-0.728559 # DEPENDENCYPART_ARC
(2,19),-1.46076 # DEPENDENCYPART_ARC
(3,1),-0.739867 # DEPENDENCYPART_ARC
(3,2),-0.152317 # DEPENDENCYPART_ARC
(3,4),1.54079 # DEPENDENCYPART_ARC
(3,5),-0.755469 # DEPENDENCYPART_ARC
(3,6),-0.223382 # DEPENDENCYPART_ARC
(3,7),0.406396 # DEPENDENCYPART_ARC
(3,8),-0.982953 # DEPENDENCYPART_ARC
(3,9),-1.19745 # DEPENDENCYPART_ARC
(3,19),-0.726914 # DEPENDENCYPART_ARC
(4,3),0.00836196 # DEPENDENCYPART_ARC
(4,5),-0.406715 # DEPENDENCYPART_ARC
(5,1),-1.03457 # DEPENDENCYPART_ARC
(5,2),-1.25537 # DEPENDENCYPART_ARC
(5,3),0.114529 # DEPENDENCYPART_ARC
(5,4),0.162609 # DEPENDENCYPART_ARC
(5,6),1.46313 # DEPENDENCYPART_ARC
(5,7),1.13798 # DEPENDENCYPART_ARC
(5,8),-0.704876 # DEPENDENCYPART_ARC
(5,9),-0.949832 # DEPENDENCYPART_ARC
(5,12),-0.614025 # DEPENDENCYPART_ARC
(5,15),-0.567888 # DEPENDENCYPART_ARC
(5,17),-0.560532 # DEPENDENCYPART_ARC
(5,19),-0.539302 # DEPENDENCYPART_ARC
(6,1),-0.74463 # DEPENDENCYPART_ARC
(6,3),-1.08877 # DEPENDENCYPART_ARC
(6,5),-0.242307 # DEPENDENCYPART_ARC
(6,7),-0.186801 # DEPENDENCYPART_ARC
(7,1),-0.739749 # DEPENDENCYPART_ARC
(7,3),-1.27092 # DEPENDENCYPART_ARC
(7,5),-0.935129 # DEPENDENCYPART_ARC
(8,1),-0.0770138 # DEPENDENCYPART_ARC
(8,2),-1.40047 # DEPENDENCYPART_ARC
(8,3),0.401446 # DEPENDENCYPART_ARC
(8,4),-0.320601 # DEPENDENCYPART_ARC
(8,5),0.526517 # DEPENDENCYPART_ARC
(8,6),-0.202379 # DEPENDENCYPART_ARC
(8,7),0.401109 # DEPENDENCYPART_ARC
(8,9),1.51407 # DEPENDENCYPART_ARC
(8,10),-0.344602 # DEPENDENCYPART_ARC
(8,11),-0.297353 # DEPENDENCYPART_ARC
(8,12),0.0006788 # DEPENDENCYPART_ARC
(8,13),-0.759872 # DEPENDENCYPART_ARC
(8,14),-0.86711 # DEPENDENCYPART_ARC
(8,15),-0.754457 # DEPENDENCYPART_ARC
(8,16),-0.38712 # DEPENDENCYPART_ARC
(8,17),-0.643702 # DEPENDENCYPART_ARC
(8,18),-1.09698 # DEPENDENCYPART_ARC
(8,19),-0.915085 # DEPENDENCYPART_ARC
(8,20),-0.811799 # DEPENDENCYPART_ARC
(9,5),-0.652085 # DEPENDENCYPART_ARC
(9,7),-0.740104 # DEPENDENCYPART_ARC
(9,8),-1.13793 # DEPENDENCYPART_ARC
(9,10),1.1914 # DEPENDENCYPART_ARC
(9,12),-1.01051 # DEPENDENCYPART_ARC
(9,13),-0.837635 # DEPENDENCYPART_ARC
(9,14),-0.904978 # DEPENDENCYPART_ARC
(9,15),-1.22778 # DEPENDENCYPART_ARC
(9,16),-0.825475 # DEPENDENCYPART_ARC
(10,8),-0.767202 # DEPENDENCYPART_ARC
(10,9),-0.499984 # DEPENDENCYPART_ARC
(10,12),-1.31404 # DEPENDENCYPART_ARC
(10,15),-1.12355 # DEPENDENCYPART_ARC
(10,19),-1.27236 # DEPENDENCYPART_ARC
(11,8),-0.261285 # DEPENDENCYPART_ARC
(11,10),-0.708565 # DEPENDENCYPART_ARC
(11,12),-0.515668 # DEPENDENCYPART_ARC
(11,15),-0.251009 # DEPENDENCYPART_ARC
(11,19),-0.547126 # DEPENDENCYPART_ARC
(12,1),-1.31543 # DEPENDENCYPART_ARC
(12,5),-0.978542 # DEPENDENCYPART_ARC
(12,6),-1.27042 # DEPENDENCYPART_ARC
(12,7),-2.75985 # DEPENDENCYPART_ARC
(12,8),-1.23697 # DEPENDENCYPART_ARC
(12,10),-1.09832 # DEPENDENCYPART_ARC
(12,13),-0.322812 # DEPENDENCYPART_ARC
(12,14),-1.01103 # DEPENDENCYPART_ARC
(12,16),-2.28859 # DEPENDENCYPART_ARC
(12,18),-1.47506 # DEPENDENCYPART_ARC
(12,21),-1.66791 # DEPENDENCYPART_ARC
(13,11),-0.921628 # DEPENDENCYPART_ARC
(13,12),-0.404551 # DEPENDENCYPART_ARC
(13,14),-0.264323 # DEPENDENCYPART_ARC
(13,17),-1.15074 # DEPENDENCYPART_ARC
(13,18),-1.24205 # DEPENDENCYPART_ARC
(14,11),-0.503045 # DEPENDENCYPART_ARC
(14,12),-0.717759 # DEPENDENCYPART_ARC
(14,13),0.37953 # DEPENDENCYPART_ARC
(14,15),-0.280238 # DEPENDENCYPART_ARC
(14,17),-0.937264 # DEPENDENCYPART_ARC
(14,18),-1.0524 # DEPENDENCYPART_ARC
(15,1),-0.482794 # DEPENDENCYPART_ARC
(15,2),-1.48315 # DEPENDENCYPART_ARC
(15,3),-0.510569 # DEPENDENCYPART_ARC
(15,5),-0.527832 # DEPENDENCYPART_ARC
(15,6),-1.11126 # DEPENDENCYPART_ARC
(15,8),-0.225198 # DEPENDENCYPART_ARC
(15,9),-0.702294 # DEPENDENCYPART_ARC
(15,10),-1.41784 # DEPENDENCYPART_ARC
(15,11),0.0787462 # DEPENDENCYPART_ARC
(15,12),0.861655 # DEPENDENCYPART_ARC
(15,13),-0.0167769 # DEPENDENCYPART_ARC
(15,14),0.656857 # DEPENDENCYPART_ARC
(15,16),2.26749 # DEPENDENCYPART_ARC
(15,17),0.427108 # DEPENDENCYPART_ARC
(15,18),-0.435948 # DEPENDENCYPART_ARC
(15,19),-0.392897 # DEPENDENCYPART_ARC
(15,20),0.0961572 # DEPENDENCYPART_ARC
(16,14),-0.753578 # DEPENDENCYPART_ARC
(16,17),-0.783783 # DEPENDENCYPART_ARC
(16,18),-0.800681 # DEPENDENCYPART_ARC
(16,19),-1.04633 # DEPENDENCYPART_ARC
(16,20),-1.05228 # DEPENDENCYPART_ARC
(17,1),-1.14982 # DEPENDENCYPART_ARC
(17,6),-1.40195 # DEPENDENCYPART_ARC
(17,8),-1.49005 # DEPENDENCYPART_ARC
(17,10),-1.65569 # DEPENDENCYPART_ARC
(17,12),-2.6289 # DEPENDENCYPART_ARC
(17,13),-1.19031 # DEPENDENCYPART_ARC
(17,14),-1.03723 # DEPENDENCYPART_ARC
(17,15),-0.387579 # DEPENDENCYPART_ARC
(17,16),-0.568408 # DEPENDENCYPART_ARC
(17,18),-0.0223327 # DEPENDENCYPART_ARC
(17,19),-2.01723 # DEPENDENCYPART_ARC
(17,20),-2.13645 # DEPENDENCYPART_ARC
(17,21),-1.26788 # DEPENDENCYPART_ARC
(18,11),-0.950528 # DEPENDENCYPART_ARC
(18,15),-1.15603 # DEPENDENCYPART_ARC
(18,17),-0.375707 # DEPENDENCYPART_ARC
(19,3),-0.649668 # DEPENDENCYPART_ARC
(19,5),-0.713089 # DEPENDENCYPART_ARC
(19,7),-1.09702 # DEPENDENCYPART_ARC
(19,8),-0.301313 # DEPENDENCYPART_ARC
(19,9),-0.676341 # DEPENDENCYPART_ARC
(19,11),0.0703704 # DEPENDENCYPART_ARC
(19,12),0.2391 # DEPENDENCYPART_ARC
(19,13),-0.630264 # DEPENDENCYPART_ARC
(19,14),-0.483166 # DEPENDENCYPART_ARC
(19,15),0.146583 # DEPENDENCYPART_ARC
(19,16),-0.333343 # DEPENDENCYPART_ARC
(19,17),1.28522 # DEPENDENCYPART_ARC
(19,18),0.951904 # DEPENDENCYPART_ARC
(19,20),2.05636 # DEPENDENCYPART_ARC
(20,17),-0.539269 # DEPENDENCYPART_ARC
(20,18),-0.773744 # DEPENDENCYPART_ARC
(20,21),1.86733 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.148803 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.00840738 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0159118 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.0260594 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.00640484 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0167569 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.169901 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.155521 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.148803 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.138907 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0977606 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0920804 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.169612 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.121143 # DEPENDENCYPART_SIBL
(0,1),(0,17),0.011257 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.0920804 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.169612 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.121823 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.170631 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.205052 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.132739 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.186163 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.11414 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.177376 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.293154 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.221347 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.413823 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.15377 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.298727 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.290997 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.293028 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.200902 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.202026 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.290997 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.293028 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.205532 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.340789 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.0180953 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.0931269 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.0569266 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.00344652 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.114044 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0873322 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.135141 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0335851 # DEPENDENCYPART_SIBL
(0,3),(0,13),0.0198816 # DEPENDENCYPART_SIBL
(0,3),(0,14),0.0261185 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.113931 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.0591962 # DEPENDENCYPART_SIBL
(0,3),(0,17),0.0506233 # DEPENDENCYPART_SIBL
(0,3),(0,18),0.0261185 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.113929 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.0605928 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.175283 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.0114373 # DEPENDENCYPART_SIBL
