# _root_ Livestock and meat prices , however , dropped on concern that a financial crisis would cut consumption of beef and pork .
#goldHeads=8,1,4,2,8,8,8,0,8,9,10,14,14,15,11,15,16,17,18,19,20,8,
#predictedHeads=8,1,4,2,8,8,8,0,8,9,8,14,14,15,11,15,16,17,18,19,20,8,
(0,1),-6.61577 # DEPENDENCYPART_ARC
(0,2),-7.63493 # DEPENDENCYPART_ARC
(0,3),-6.75204 # DEPENDENCYPART_ARC
(0,4),-7.55577 # DEPENDENCYPART_ARC
(0,5),-7.45001 # DEPENDENCYPART_ARC
(0,6),-6.71849 # DEPENDENCYPART_ARC
(0,7),-7.33656 # DEPENDENCYPART_ARC
(0,8),-2.50328 # DEPENDENCYPART_ARC
(0,9),-7.0291 # DEPENDENCYPART_ARC
(0,10),-7.58173 # DEPENDENCYPART_ARC
(0,11),-6.39714 # DEPENDENCYPART_ARC
(0,12),-8.23839 # DEPENDENCYPART_ARC
(0,13),-6.74561 # DEPENDENCYPART_ARC
(0,14),-7.22969 # DEPENDENCYPART_ARC
(0,15),-3.97924 # DEPENDENCYPART_ARC
(0,16),-5.03473 # DEPENDENCYPART_ARC
(0,17),-7.35606 # DEPENDENCYPART_ARC
(0,18),-8.30116 # DEPENDENCYPART_ARC
(0,19),-7.74426 # DEPENDENCYPART_ARC
(0,20),-9.41236 # DEPENDENCYPART_ARC
(0,21),-7.46099 # DEPENDENCYPART_ARC
(0,22),-6.94573 # DEPENDENCYPART_ARC
(1,2),3.72284 # DEPENDENCYPART_ARC
(1,3),1.30261 # DEPENDENCYPART_ARC
(1,4),1.21116 # DEPENDENCYPART_ARC
(1,5),1.46213 # DEPENDENCYPART_ARC
(1,6),0.699653 # DEPENDENCYPART_ARC
(1,7),1.68412 # DEPENDENCYPART_ARC
(1,8),0.653055 # DEPENDENCYPART_ARC
(1,9),0.0484064 # DEPENDENCYPART_ARC
(1,10),-0.762457 # DEPENDENCYPART_ARC
(1,11),0.192635 # DEPENDENCYPART_ARC
(1,12),-0.16051 # DEPENDENCYPART_ARC
(1,13),-0.340871 # DEPENDENCYPART_ARC
(1,14),-0.841231 # DEPENDENCYPART_ARC
(1,15),-1.04224 # DEPENDENCYPART_ARC
(1,16),-0.349932 # DEPENDENCYPART_ARC
(1,17),-1.22811 # DEPENDENCYPART_ARC
(1,18),-2.47456 # DEPENDENCYPART_ARC
(1,19),-1.62206 # DEPENDENCYPART_ARC
(1,20),-0.706691 # DEPENDENCYPART_ARC
(1,21),-2.2632 # DEPENDENCYPART_ARC
(1,22),1.89834 # DEPENDENCYPART_ARC
(2,1),0.353396 # DEPENDENCYPART_ARC
(2,3),2.75927 # DEPENDENCYPART_ARC
(2,4),3.85011 # DEPENDENCYPART_ARC
(2,5),1.15737 # DEPENDENCYPART_ARC
(2,6),-0.325573 # DEPENDENCYPART_ARC
(2,7),0.506804 # DEPENDENCYPART_ARC
(2,8),1.03689 # DEPENDENCYPART_ARC
(2,9),-1.23151 # DEPENDENCYPART_ARC
(2,10),-0.430844 # DEPENDENCYPART_ARC
(2,11),-1.6732 # DEPENDENCYPART_ARC
(2,12),-1.42004 # DEPENDENCYPART_ARC
(2,13),-0.663674 # DEPENDENCYPART_ARC
(2,14),-1.66283 # DEPENDENCYPART_ARC
(2,15),-0.595651 # DEPENDENCYPART_ARC
(2,16),-0.209819 # DEPENDENCYPART_ARC
(2,17),-3.23897 # DEPENDENCYPART_ARC
(2,18),-2.13896 # DEPENDENCYPART_ARC
(2,19),-5.04569 # DEPENDENCYPART_ARC
(2,20),0.267437 # DEPENDENCYPART_ARC
(2,21),-4.42722 # DEPENDENCYPART_ARC
(2,22),0.0433597 # DEPENDENCYPART_ARC
(3,1),-1.74878 # DEPENDENCYPART_ARC
(3,2),-1.09872 # DEPENDENCYPART_ARC
(3,4),1.08785 # DEPENDENCYPART_ARC
(3,5),-0.46221 # DEPENDENCYPART_ARC
(3,6),-0.917112 # DEPENDENCYPART_ARC
(3,7),-0.370639 # DEPENDENCYPART_ARC
(3,8),-1.28433 # DEPENDENCYPART_ARC
(3,9),-2.26145 # DEPENDENCYPART_ARC
(3,10),-2.01835 # DEPENDENCYPART_ARC
(3,11),-2.22138 # DEPENDENCYPART_ARC
(3,12),-1.82795 # DEPENDENCYPART_ARC
(3,13),-1.79812 # DEPENDENCYPART_ARC
(3,14),-2.07679 # DEPENDENCYPART_ARC
