# _root_ The CWA represents 40,000 Nynex workers and the IBEW represents 20,000 workers .
#goldHeads=2,3,0,6,6,3,3,9,10,7,12,10,3,
#predictedHeads=2,3,0,6,6,3,6,9,10,7,12,10,3,
(0,1),-6.20509 # DEPENDENCYPART_ARC
(0,2),-5.45115 # DEPENDENCYPART_ARC
(0,3),-2.4831 # DEPENDENCYPART_ARC
(0,4),-7.23819 # DEPENDENCYPART_ARC
(0,5),-6.40795 # DEPENDENCYPART_ARC
(0,6),-6.24833 # DEPENDENCYPART_ARC
(0,7),-7.4048 # DEPENDENCYPART_ARC
(0,8),-7.48194 # DEPENDENCYPART_ARC
(0,9),-7.03051 # DEPENDENCYPART_ARC
(0,10),-2.8157 # DEPENDENCYPART_ARC
(0,11),-8.00146 # DEPENDENCYPART_ARC
(0,12),-6.54154 # DEPENDENCYPART_ARC
(0,13),-4.36912 # DEPENDENCYPART_ARC
(1,2),-0.480378 # DEPENDENCYPART_ARC
(1,3),0.207973 # DEPENDENCYPART_ARC
(1,4),-0.565393 # DEPENDENCYPART_ARC
(1,5),-1.35767 # DEPENDENCYPART_ARC
(1,6),-1.36381 # DEPENDENCYPART_ARC
(1,7),-0.715021 # DEPENDENCYPART_ARC
(1,8),-2.2121 # DEPENDENCYPART_ARC
(1,9),-2.29111 # DEPENDENCYPART_ARC
(1,10),-1.58478 # DEPENDENCYPART_ARC
(1,11),-1.79438 # DEPENDENCYPART_ARC
(1,12),-2.39671 # DEPENDENCYPART_ARC
(1,13),-1.21691 # DEPENDENCYPART_ARC
(2,1),4.29202 # DEPENDENCYPART_ARC
(2,3),1.42875 # DEPENDENCYPART_ARC
(2,4),0.985497 # DEPENDENCYPART_ARC
(2,5),0.229989 # DEPENDENCYPART_ARC
(2,6),-0.0295719 # DEPENDENCYPART_ARC
(2,7),-0.127404 # DEPENDENCYPART_ARC
(2,8),-0.0237586 # DEPENDENCYPART_ARC
(2,9),-0.900719 # DEPENDENCYPART_ARC
(2,10),-0.67786 # DEPENDENCYPART_ARC
(2,11),-1.23799 # DEPENDENCYPART_ARC
(2,12),-0.98359 # DEPENDENCYPART_ARC
(2,13),1.27299 # DEPENDENCYPART_ARC
(3,1),0.847389 # DEPENDENCYPART_ARC
(3,2),3.11562 # DEPENDENCYPART_ARC
(3,4),1.44813 # DEPENDENCYPART_ARC
(3,5),1.5619 # DEPENDENCYPART_ARC
(3,6),2.18964 # DEPENDENCYPART_ARC
(3,7),1.26413 # DEPENDENCYPART_ARC
(3,8),-0.529279 # DEPENDENCYPART_ARC
