# _root_ More taunting in the parking lot , the players said , led to a fight .
#goldHeads=2,12,2,6,6,3,10,9,10,0,10,10,12,15,13,12,
#predictedHeads=2,10,2,6,6,3,10,9,10,0,10,10,12,15,13,12,
(0,1),-5.61854 # DEPENDENCYPART_ARC
(0,2),-5.95569 # DEPENDENCYPART_ARC
(0,3),-6.34685 # DEPENDENCYPART_ARC
(0,4),-7.17585 # DEPENDENCYPART_ARC
(0,5),-5.95256 # DEPENDENCYPART_ARC
(0,6),-5.9356 # DEPENDENCYPART_ARC
(0,7),-6.89257 # DEPENDENCYPART_ARC
(0,8),-7.5748 # DEPENDENCYPART_ARC
(0,9),-5.5872 # DEPENDENCYPART_ARC
(0,10),-0.645178 # DEPENDENCYPART_ARC
(0,11),-7.15811 # DEPENDENCYPART_ARC
(0,12),-2.33695 # DEPENDENCYPART_ARC
(0,13),-7.75944 # DEPENDENCYPART_ARC
(0,14),-7.86773 # DEPENDENCYPART_ARC
(0,15),-5.79806 # DEPENDENCYPART_ARC
(0,16),-4.7789 # DEPENDENCYPART_ARC
(1,2),0.251737 # DEPENDENCYPART_ARC
(1,3),-0.597192 # DEPENDENCYPART_ARC
(1,4),-1.04928 # DEPENDENCYPART_ARC
(1,5),-0.880121 # DEPENDENCYPART_ARC
(1,6),-0.939725 # DEPENDENCYPART_ARC
(1,7),-0.246724 # DEPENDENCYPART_ARC
(1,8),-1.60366 # DEPENDENCYPART_ARC
(1,9),-2.2301 # DEPENDENCYPART_ARC
(1,10),-1.2204 # DEPENDENCYPART_ARC
(1,11),-0.640143 # DEPENDENCYPART_ARC
(1,12),-1.3726 # DEPENDENCYPART_ARC
(1,13),-1.26427 # DEPENDENCYPART_ARC
(1,14),-2.23623 # DEPENDENCYPART_ARC
(1,15),-1.95404 # DEPENDENCYPART_ARC
(1,16),-0.972485 # DEPENDENCYPART_ARC
(2,1),3.5528 # DEPENDENCYPART_ARC
(2,3),2.66562 # DEPENDENCYPART_ARC
(2,4),0.279834 # DEPENDENCYPART_ARC
(2,5),1.08387 # DEPENDENCYPART_ARC
(2,6),0.836895 # DEPENDENCYPART_ARC
(2,7),1.34063 # DEPENDENCYPART_ARC
(2,8),-0.0437935 # DEPENDENCYPART_ARC
(2,9),-0.173987 # DEPENDENCYPART_ARC
(2,10),0.0483132 # DEPENDENCYPART_ARC
(2,11),0.769097 # DEPENDENCYPART_ARC
(2,12),-0.136182 # DEPENDENCYPART_ARC
(2,13),-0.342077 # DEPENDENCYPART_ARC
(2,14),-0.665305 # DEPENDENCYPART_ARC
(2,15),-1.30176 # DEPENDENCYPART_ARC
(2,16),0.605692 # DEPENDENCYPART_ARC
(3,1),0.548799 # DEPENDENCYPART_ARC
(3,2),0.326177 # DEPENDENCYPART_ARC
(3,4),0.553543 # DEPENDENCYPART_ARC
(3,5),2.4379 # DEPENDENCYPART_ARC
(3,6),3.66005 # DEPENDENCYPART_ARC
(3,7),0.37951 # DEPENDENCYPART_ARC
(3,8),-1.55065 # DEPENDENCYPART_ARC
(3,9),-0.208531 # DEPENDENCYPART_ARC
(3,10),-0.256767 # DEPENDENCYPART_ARC
(3,11),0.355761 # DEPENDENCYPART_ARC
(3,12),-1.88111 # DEPENDENCYPART_ARC
(3,13),-2.49849 # DEPENDENCYPART_ARC
(3,14),-2.63145 # DEPENDENCYPART_ARC
(3,15),-5.12551 # DEPENDENCYPART_ARC
(3,16),-0.158626 # DEPENDENCYPART_ARC
(4,1),-1.72791 # DEPENDENCYPART_ARC
(4,2),-2.58333 # DEPENDENCYPART_ARC
(4,3),-1.31441 # DEPENDENCYPART_ARC
(4,5),0.164926 # DEPENDENCYPART_ARC
(4,6),-0.727485 # DEPENDENCYPART_ARC
(4,7),-1.56421 # DEPENDENCYPART_ARC
(4,8),-2.49633 # DEPENDENCYPART_ARC
(4,9),-2.01754 # DEPENDENCYPART_ARC
(4,10),-1.81293 # DEPENDENCYPART_ARC
(4,11),-1.47174 # DEPENDENCYPART_ARC
(4,12),-2.46011 # DEPENDENCYPART_ARC
(4,13),-2.25956 # DEPENDENCYPART_ARC
(4,14),-3.06447 # DEPENDENCYPART_ARC
(4,15),-2.07707 # DEPENDENCYPART_ARC
(4,16),-2.06592 # DEPENDENCYPART_ARC
(5,1),-1.13916 # DEPENDENCYPART_ARC
(5,2),-2.16874 # DEPENDENCYPART_ARC
(5,3),-0.416428 # DEPENDENCYPART_ARC
(5,4),2.84704 # DEPENDENCYPART_ARC
(5,6),0.591068 # DEPENDENCYPART_ARC
(5,7),-0.0310794 # DEPENDENCYPART_ARC
(5,8),-0.974048 # DEPENDENCYPART_ARC
(5,9),-1.37007 # DEPENDENCYPART_ARC
(5,10),-0.736664 # DEPENDENCYPART_ARC
(5,11),-0.141835 # DEPENDENCYPART_ARC
(5,12),-0.979372 # DEPENDENCYPART_ARC
(5,13),-1.44545 # DEPENDENCYPART_ARC
(5,14),-1.41008 # DEPENDENCYPART_ARC
(5,15),-2.16584 # DEPENDENCYPART_ARC
(5,16),-0.883704 # DEPENDENCYPART_ARC
(6,1),1.30014 # DEPENDENCYPART_ARC
(6,2),0.166169 # DEPENDENCYPART_ARC
(6,3),1.02948 # DEPENDENCYPART_ARC
(6,4),4.89186 # DEPENDENCYPART_ARC
(6,5),4.58005 # DEPENDENCYPART_ARC
(6,7),1.93068 # DEPENDENCYPART_ARC
(6,8),0.0673224 # DEPENDENCYPART_ARC
(6,9),0.30979 # DEPENDENCYPART_ARC
(6,10),0.658943 # DEPENDENCYPART_ARC
(6,11),1.50586 # DEPENDENCYPART_ARC
(6,12),0.0361534 # DEPENDENCYPART_ARC
(6,13),-0.560998 # DEPENDENCYPART_ARC
(6,14),-0.56601 # DEPENDENCYPART_ARC
(6,15),-0.994024 # DEPENDENCYPART_ARC
(6,16),0.844516 # DEPENDENCYPART_ARC
(7,1),-1.79474 # DEPENDENCYPART_ARC
(7,2),-1.5572 # DEPENDENCYPART_ARC
(7,3),-1.46668 # DEPENDENCYPART_ARC
(7,4),-0.621482 # DEPENDENCYPART_ARC
(7,5),-1.57434 # DEPENDENCYPART_ARC
(7,6),-0.991357 # DEPENDENCYPART_ARC
(7,8),0.092663 # DEPENDENCYPART_ARC
(7,9),-0.498979 # DEPENDENCYPART_ARC
(7,10),-0.361346 # DEPENDENCYPART_ARC
(7,11),0.716465 # DEPENDENCYPART_ARC
(7,12),-0.806899 # DEPENDENCYPART_ARC
(7,13),-1.13631 # DEPENDENCYPART_ARC
(7,14),-1.48166 # DEPENDENCYPART_ARC
(7,15),-2.07186 # DEPENDENCYPART_ARC
(7,16),-1.22365 # DEPENDENCYPART_ARC
(8,1),-2.19175 # DEPENDENCYPART_ARC
(8,2),-2.78107 # DEPENDENCYPART_ARC
(8,3),-2.41359 # DEPENDENCYPART_ARC
(8,4),-1.22215 # DEPENDENCYPART_ARC
(8,5),-1.91618 # DEPENDENCYPART_ARC
