# _root_ That move , along with the return to the Manpower name , could bolster the company 's prospects during possibly difficult times for temporary help .
#goldHeads=2,13,13,13,4,7,5,7,11,11,8,13,0,13,16,18,16,14,14,21,22,19,22,25,23,13,
#predictedHeads=2,13,13,13,4,7,5,7,11,11,8,13,0,13,16,18,16,14,14,22,22,19,22,25,23,13,
(0,1),-5.92885 # DEPENDENCYPART_ARC
(0,2),-6.52556 # DEPENDENCYPART_ARC
(0,3),-6.59755 # DEPENDENCYPART_ARC
(0,4),-6.59028 # DEPENDENCYPART_ARC
(0,5),-6.80161 # DEPENDENCYPART_ARC
(0,6),-7.49533 # DEPENDENCYPART_ARC
(0,7),-6.23647 # DEPENDENCYPART_ARC
(0,8),-7.13189 # DEPENDENCYPART_ARC
(0,9),-7.93937 # DEPENDENCYPART_ARC
(0,10),-6.53174 # DEPENDENCYPART_ARC
(0,11),-6.75863 # DEPENDENCYPART_ARC
(0,12),-7.71779 # DEPENDENCYPART_ARC
(0,13),-2.12426 # DEPENDENCYPART_ARC
(0,14),-5.38122 # DEPENDENCYPART_ARC
(0,15),-8.53513 # DEPENDENCYPART_ARC
(0,16),-5.65646 # DEPENDENCYPART_ARC
(0,17),-8.06959 # DEPENDENCYPART_ARC
(0,18),-5.86844 # DEPENDENCYPART_ARC
(0,19),-8.78105 # DEPENDENCYPART_ARC
(0,20),-8.43441 # DEPENDENCYPART_ARC
(0,21),-6.55659 # DEPENDENCYPART_ARC
(0,22),-7.10319 # DEPENDENCYPART_ARC
(0,23),-7.36603 # DEPENDENCYPART_ARC
(0,24),-6.67881 # DEPENDENCYPART_ARC
(0,25),-5.92379 # DEPENDENCYPART_ARC
(0,26),-5.79871 # DEPENDENCYPART_ARC
(1,2),-0.688576 # DEPENDENCYPART_ARC
(1,3),-0.226919 # DEPENDENCYPART_ARC
(1,4),-0.675968 # DEPENDENCYPART_ARC
(1,5),-0.311831 # DEPENDENCYPART_ARC
(1,6),-2.3489 # DEPENDENCYPART_ARC
(1,7),-1.97049 # DEPENDENCYPART_ARC
(1,8),-1.5024 # DEPENDENCYPART_ARC
(1,9),-2.5728 # DEPENDENCYPART_ARC
(1,10),-3.11216 # DEPENDENCYPART_ARC
(1,11),-2.37146 # DEPENDENCYPART_ARC
(1,12),-0.545214 # DEPENDENCYPART_ARC
(1,13),0.862922 # DEPENDENCYPART_ARC
(1,14),-1.33717 # DEPENDENCYPART_ARC
(1,15),-3.40981 # DEPENDENCYPART_ARC
(1,16),-3.03361 # DEPENDENCYPART_ARC
(1,17),-2.27152 # DEPENDENCYPART_ARC
(1,18),-3.94242 # DEPENDENCYPART_ARC
(1,19),-2.00347 # DEPENDENCYPART_ARC
(1,20),-2.8272 # DEPENDENCYPART_ARC
(1,21),-2.1885 # DEPENDENCYPART_ARC
(1,22),-4.20459 # DEPENDENCYPART_ARC
(1,23),-1.60663 # DEPENDENCYPART_ARC
(1,24),-2.31767 # DEPENDENCYPART_ARC
(1,25),-3.45741 # DEPENDENCYPART_ARC
(1,26),0.0920782 # DEPENDENCYPART_ARC
(2,1),2.97832 # DEPENDENCYPART_ARC
(2,3),1.41551 # DEPENDENCYPART_ARC
(2,4),1.37999 # DEPENDENCYPART_ARC
(2,5),0.641625 # DEPENDENCYPART_ARC
(2,6),-0.137155 # DEPENDENCYPART_ARC
(2,7),0.26544 # DEPENDENCYPART_ARC
(2,8),1.2935 # DEPENDENCYPART_ARC
(2,9),-0.426019 # DEPENDENCYPART_ARC
(2,10),-0.584167 # DEPENDENCYPART_ARC
(2,11),0.412548 # DEPENDENCYPART_ARC
(2,12),1.39043 # DEPENDENCYPART_ARC
(2,13),-0.224454 # DEPENDENCYPART_ARC
(2,14),-0.830479 # DEPENDENCYPART_ARC
(2,15),-0.966698 # DEPENDENCYPART_ARC
(2,16),-0.848366 # DEPENDENCYPART_ARC
(2,17),-1.77759 # DEPENDENCYPART_ARC
(2,18),-1.58246 # DEPENDENCYPART_ARC
(2,19),-1.59058 # DEPENDENCYPART_ARC
(2,20),-1.38545 # DEPENDENCYPART_ARC
(2,21),-1.87443 # DEPENDENCYPART_ARC
(2,22),-1.72673 # DEPENDENCYPART_ARC
(2,23),-2.87311 # DEPENDENCYPART_ARC
(2,24),-2.40664 # DEPENDENCYPART_ARC
(2,25),-1.22684 # DEPENDENCYPART_ARC
(2,26),0.211997 # DEPENDENCYPART_ARC
(3,1),-0.778404 # DEPENDENCYPART_ARC
(3,2),-1.23442 # DEPENDENCYPART_ARC
(3,4),-0.618619 # DEPENDENCYPART_ARC
(3,5),-1.09972 # DEPENDENCYPART_ARC
(3,6),-1.41691 # DEPENDENCYPART_ARC
(3,7),-1.67357 # DEPENDENCYPART_ARC
(3,8),-1.60169 # DEPENDENCYPART_ARC
(3,9),-1.84528 # DEPENDENCYPART_ARC
(3,10),-1.95621 # DEPENDENCYPART_ARC
(3,11),-2.45529 # DEPENDENCYPART_ARC
(3,12),-0.799673 # DEPENDENCYPART_ARC
(3,13),-1.98082 # DEPENDENCYPART_ARC
(3,14),-1.97451 # DEPENDENCYPART_ARC
(3,15),-2.56536 # DEPENDENCYPART_ARC
(3,16),-2.98608 # DEPENDENCYPART_ARC
(3,17),-2.68189 # DEPENDENCYPART_ARC
(3,18),-3.10132 # DEPENDENCYPART_ARC
(3,19),-2.26108 # DEPENDENCYPART_ARC
(3,20),-2.91535 # DEPENDENCYPART_ARC
(3,21),-3.2864 # DEPENDENCYPART_ARC
(3,22),-3.58669 # DEPENDENCYPART_ARC
(3,23),-2.51781 # DEPENDENCYPART_ARC
(3,24),-3.49574 # DEPENDENCYPART_ARC
(3,25),-4.02292 # DEPENDENCYPART_ARC
