# _root_ Some traders said that the closely watched Major Market Index , whose 20 stocks mimic the Dow industrials , did n't lead yesterday 's big rally .
#goldHeads=2,3,0,3,10,7,10,10,10,20,10,14,14,15,10,18,18,15,10,4,20,20,26,23,26,22,3,
#predictedHeads=2,3,0,3,10,7,10,10,10,20,10,14,14,15,4,18,18,15,10,4,20,20,26,23,26,22,3,
(0,1),-6.11615 # DEPENDENCYPART_ARC
(0,2),-6.06496 # DEPENDENCYPART_ARC
(0,3),-1.35283 # DEPENDENCYPART_ARC
(0,4),-6.1596 # DEPENDENCYPART_ARC
(0,5),-7.42367 # DEPENDENCYPART_ARC
(0,6),-6.88164 # DEPENDENCYPART_ARC
(0,7),-4.78155 # DEPENDENCYPART_ARC
(0,8),-6.25119 # DEPENDENCYPART_ARC
(0,9),-6.06841 # DEPENDENCYPART_ARC
(0,10),-6.68801 # DEPENDENCYPART_ARC
(0,11),-7.10224 # DEPENDENCYPART_ARC
(0,12),-6.70515 # DEPENDENCYPART_ARC
(0,13),-8.33544 # DEPENDENCYPART_ARC
(0,14),-6.02788 # DEPENDENCYPART_ARC
(0,15),-3.19167 # DEPENDENCYPART_ARC
(0,16),-8.29023 # DEPENDENCYPART_ARC
(0,17),-7.88598 # DEPENDENCYPART_ARC
(0,18),-6.71008 # DEPENDENCYPART_ARC
(0,19),-8.17055 # DEPENDENCYPART_ARC
(0,20),-2.33259 # DEPENDENCYPART_ARC
(0,21),-8.51274 # DEPENDENCYPART_ARC
(0,22),-4.7478 # DEPENDENCYPART_ARC
(0,23),-6.29191 # DEPENDENCYPART_ARC
(0,24),-10.8607 # DEPENDENCYPART_ARC
(0,25),-6.84311 # DEPENDENCYPART_ARC
(0,26),-7.42065 # DEPENDENCYPART_ARC
(0,27),-6.31199 # DEPENDENCYPART_ARC
(1,2),0.683633 # DEPENDENCYPART_ARC
(1,3),0.660575 # DEPENDENCYPART_ARC
(1,4),0.0956316 # DEPENDENCYPART_ARC
(1,5),-1.2784 # DEPENDENCYPART_ARC
(1,6),-0.794184 # DEPENDENCYPART_ARC
(1,7),-0.491364 # DEPENDENCYPART_ARC
(1,8),-1.19613 # DEPENDENCYPART_ARC
(1,9),-1.2495 # DEPENDENCYPART_ARC
(1,10),-1.22913 # DEPENDENCYPART_ARC
(1,11),0.191825 # DEPENDENCYPART_ARC
(1,12),-1.56356 # DEPENDENCYPART_ARC
(1,13),-0.393123 # DEPENDENCYPART_ARC
(1,14),-1.53291 # DEPENDENCYPART_ARC
(1,15),-1.88216 # DEPENDENCYPART_ARC
(1,16),-2.59395 # DEPENDENCYPART_ARC
(1,17),-2.12201 # DEPENDENCYPART_ARC
(1,18),-1.68864 # DEPENDENCYPART_ARC
(1,19),-0.343639 # DEPENDENCYPART_ARC
(1,20),-3.77998 # DEPENDENCYPART_ARC
(1,21),-2.18035 # DEPENDENCYPART_ARC
(1,22),-3.11151 # DEPENDENCYPART_ARC
(1,23),-2.52849 # DEPENDENCYPART_ARC
(1,24),-3.36043 # DEPENDENCYPART_ARC
(1,25),-2.97197 # DEPENDENCYPART_ARC
(1,26),-2.88421 # DEPENDENCYPART_ARC
(1,27),-0.762145 # DEPENDENCYPART_ARC
(2,1),4.2343 # DEPENDENCYPART_ARC
(2,3),1.9053 # DEPENDENCYPART_ARC
(2,4),0.570078 # DEPENDENCYPART_ARC
(2,5),-0.0845326 # DEPENDENCYPART_ARC
(2,6),0.117317 # DEPENDENCYPART_ARC
(2,7),-0.0338675 # DEPENDENCYPART_ARC
(2,8),-0.0189393 # DEPENDENCYPART_ARC
(2,9),0.110385 # DEPENDENCYPART_ARC
(2,10),0.0148617 # DEPENDENCYPART_ARC
(2,11),2.12864 # DEPENDENCYPART_ARC
(2,12),-0.844387 # DEPENDENCYPART_ARC
(2,13),-0.275985 # DEPENDENCYPART_ARC
(2,14),-0.45599 # DEPENDENCYPART_ARC
(2,15),-0.404293 # DEPENDENCYPART_ARC
(2,16),-1.10535 # DEPENDENCYPART_ARC
(2,17),-0.762009 # DEPENDENCYPART_ARC
(2,18),-0.797819 # DEPENDENCYPART_ARC
(2,19),1.92479 # DEPENDENCYPART_ARC
(2,20),-1.01578 # DEPENDENCYPART_ARC
(2,21),-0.911379 # DEPENDENCYPART_ARC
(2,22),-1.35386 # DEPENDENCYPART_ARC
(2,23),-1.67155 # DEPENDENCYPART_ARC
(2,24),-2.06497 # DEPENDENCYPART_ARC
(2,25),-1.28353 # DEPENDENCYPART_ARC
(2,26),-2.50571 # DEPENDENCYPART_ARC
(2,27),-0.372853 # DEPENDENCYPART_ARC
(3,1),1.96026 # DEPENDENCYPART_ARC
(3,2),3.67611 # DEPENDENCYPART_ARC
(3,4),3.54911 # DEPENDENCYPART_ARC
(3,5),-0.825773 # DEPENDENCYPART_ARC
(3,6),0.579189 # DEPENDENCYPART_ARC
(3,7),0.14381 # DEPENDENCYPART_ARC
(3,8),-1.32583 # DEPENDENCYPART_ARC
(3,9),-1.91285 # DEPENDENCYPART_ARC
(3,10),-1.24007 # DEPENDENCYPART_ARC
(3,11),1.58277 # DEPENDENCYPART_ARC
(3,12),-0.653534 # DEPENDENCYPART_ARC
(3,13),-1.49007 # DEPENDENCYPART_ARC
(3,14),-2.79951 # DEPENDENCYPART_ARC
(3,15),0.827139 # DEPENDENCYPART_ARC
(3,16),-2.62798 # DEPENDENCYPART_ARC
(3,17),-2.57538 # DEPENDENCYPART_ARC
(3,18),-3.34234 # DEPENDENCYPART_ARC
(3,19),0.287884 # DEPENDENCYPART_ARC
(3,20),1.69448 # DEPENDENCYPART_ARC
(3,21),-1.01679 # DEPENDENCYPART_ARC
(3,22),0.0682425 # DEPENDENCYPART_ARC
(3,23),-1.18386 # DEPENDENCYPART_ARC
(3,24),-2.17892 # DEPENDENCYPART_ARC
(3,25),-3.12431 # DEPENDENCYPART_ARC
(3,26),-3.01132 # DEPENDENCYPART_ARC
(3,27),6.85831 # DEPENDENCYPART_ARC
(4,1),-0.102247 # DEPENDENCYPART_ARC
(4,2),-0.674988 # DEPENDENCYPART_ARC
(4,3),0.162211 # DEPENDENCYPART_ARC
(4,5),-0.728853 # DEPENDENCYPART_ARC
