# _root_ `` When you 're in the groove , you see every ball tremendously , '' he lectured .
#goldHeads=17,4,4,10,4,7,5,10,10,17,12,10,10,17,17,17,0,17,
#predictedHeads=17,4,4,10,4,7,5,10,10,17,12,10,10,17,17,17,0,17,
(0,1),-6.35437 # DEPENDENCYPART_ARC
(0,2),-5.76262 # DEPENDENCYPART_ARC
(0,3),-5.6185 # DEPENDENCYPART_ARC
(0,4),-5.78086 # DEPENDENCYPART_ARC
(0,5),-6.83569 # DEPENDENCYPART_ARC
(0,6),-7.12217 # DEPENDENCYPART_ARC
(0,7),-6.0814 # DEPENDENCYPART_ARC
(0,8),-6.82105 # DEPENDENCYPART_ARC
(0,9),-5.26254 # DEPENDENCYPART_ARC
(0,10),-4.8581 # DEPENDENCYPART_ARC
(0,11),-7.43654 # DEPENDENCYPART_ARC
(0,12),-5.56913 # DEPENDENCYPART_ARC
(0,13),-7.13111 # DEPENDENCYPART_ARC
(0,14),-7.50211 # DEPENDENCYPART_ARC
(0,15),-6.72721 # DEPENDENCYPART_ARC
(0,16),-2.70339 # DEPENDENCYPART_ARC
(0,17),-2.4178 # DEPENDENCYPART_ARC
(0,18),-4.4796 # DEPENDENCYPART_ARC
(1,2),-1.99287 # DEPENDENCYPART_ARC
(1,3),-2.13446 # DEPENDENCYPART_ARC
(1,4),-2.62902 # DEPENDENCYPART_ARC
(1,5),-2.61155 # DEPENDENCYPART_ARC
(1,6),-3.24172 # DEPENDENCYPART_ARC
(1,7),-3.11534 # DEPENDENCYPART_ARC
(1,8),-2.19531 # DEPENDENCYPART_ARC
(1,9),-3.1022 # DEPENDENCYPART_ARC
(1,10),-3.4512 # DEPENDENCYPART_ARC
(1,11),-3.61313 # DEPENDENCYPART_ARC
(1,12),-3.4961 # DEPENDENCYPART_ARC
(1,13),-3.27864 # DEPENDENCYPART_ARC
(1,14),-2.81543 # DEPENDENCYPART_ARC
(1,15),-1.78911 # DEPENDENCYPART_ARC
(1,16),-3.69679 # DEPENDENCYPART_ARC
(1,17),-3.63862 # DEPENDENCYPART_ARC
(1,18),-3.0143 # DEPENDENCYPART_ARC
(2,1),0.23655 # DEPENDENCYPART_ARC
(2,3),0.271581 # DEPENDENCYPART_ARC
(2,4),0.165169 # DEPENDENCYPART_ARC
(2,5),-0.159395 # DEPENDENCYPART_ARC
(2,6),-1.11247 # DEPENDENCYPART_ARC
(2,7),-0.477288 # DEPENDENCYPART_ARC
(2,8),-0.464641 # DEPENDENCYPART_ARC
(2,9),-1.38166 # DEPENDENCYPART_ARC
(2,10),-1.36235 # DEPENDENCYPART_ARC
(2,11),-1.62037 # DEPENDENCYPART_ARC
(2,12),-1.22877 # DEPENDENCYPART_ARC
(2,13),-1.51234 # DEPENDENCYPART_ARC
(2,14),-1.1279 # DEPENDENCYPART_ARC
(2,15),-0.59907 # DEPENDENCYPART_ARC
(2,16),-2.1116 # DEPENDENCYPART_ARC
(2,17),-1.44143 # DEPENDENCYPART_ARC
(2,18),-0.333449 # DEPENDENCYPART_ARC
(3,1),-1.36675 # DEPENDENCYPART_ARC
(3,2),0.081706 # DEPENDENCYPART_ARC
(3,4),0.580246 # DEPENDENCYPART_ARC
(3,5),-0.0577245 # DEPENDENCYPART_ARC
(3,6),-0.597136 # DEPENDENCYPART_ARC
(3,7),-0.439858 # DEPENDENCYPART_ARC
(3,8),-0.0254569 # DEPENDENCYPART_ARC
(3,9),-0.784156 # DEPENDENCYPART_ARC
(3,10),-1.13556 # DEPENDENCYPART_ARC
(3,11),-1.25451 # DEPENDENCYPART_ARC
(3,12),-0.943139 # DEPENDENCYPART_ARC
(3,13),-1.36782 # DEPENDENCYPART_ARC
(3,14),-0.024546 # DEPENDENCYPART_ARC
(3,15),-1.13897 # DEPENDENCYPART_ARC
(3,16),-1.50349 # DEPENDENCYPART_ARC
(3,17),-1.88282 # DEPENDENCYPART_ARC
(3,18),-1.29098 # DEPENDENCYPART_ARC
(4,1),1.22161 # DEPENDENCYPART_ARC
(4,2),2.6485 # DEPENDENCYPART_ARC
(4,3),3.52509 # DEPENDENCYPART_ARC
(4,5),2.81152 # DEPENDENCYPART_ARC
(4,6),-0.0281929 # DEPENDENCYPART_ARC
(4,7),0.787508 # DEPENDENCYPART_ARC
(4,8),1.29542 # DEPENDENCYPART_ARC
(4,9),-0.558357 # DEPENDENCYPART_ARC
(4,10),0.483538 # DEPENDENCYPART_ARC
(4,11),-0.654509 # DEPENDENCYPART_ARC
(4,12),-1.04441 # DEPENDENCYPART_ARC
(4,13),0.888214 # DEPENDENCYPART_ARC
(4,14),0.606002 # DEPENDENCYPART_ARC
(4,15),0.136575 # DEPENDENCYPART_ARC
(4,16),-1.50884 # DEPENDENCYPART_ARC
(4,17),-0.63881 # DEPENDENCYPART_ARC
(4,18),1.00117 # DEPENDENCYPART_ARC
(5,1),-0.412431 # DEPENDENCYPART_ARC
(5,2),0.848398 # DEPENDENCYPART_ARC
(5,3),-0.322122 # DEPENDENCYPART_ARC
(5,4),-0.266558 # DEPENDENCYPART_ARC
(5,6),0.423223 # DEPENDENCYPART_ARC
(5,7),3.46352 # DEPENDENCYPART_ARC
(5,8),0.627595 # DEPENDENCYPART_ARC
(5,9),-0.146861 # DEPENDENCYPART_ARC
(5,10),-0.0529565 # DEPENDENCYPART_ARC
(5,11),-1.01377 # DEPENDENCYPART_ARC
(5,12),-1.80104 # DEPENDENCYPART_ARC
(5,13),-0.447568 # DEPENDENCYPART_ARC
(5,14),-0.102724 # DEPENDENCYPART_ARC
(5,15),-0.539696 # DEPENDENCYPART_ARC
(5,16),-1.56217 # DEPENDENCYPART_ARC
(5,17),-3.00052 # DEPENDENCYPART_ARC
(5,18),0.631796 # DEPENDENCYPART_ARC
(6,1),-2.86834 # DEPENDENCYPART_ARC
(6,2),-1.57912 # DEPENDENCYPART_ARC
(6,3),-1.78006 # DEPENDENCYPART_ARC
(6,4),-2.2247 # DEPENDENCYPART_ARC
(6,5),-0.883822 # DEPENDENCYPART_ARC
(6,7),-0.35498 # DEPENDENCYPART_ARC
(6,8),-2.05289 # DEPENDENCYPART_ARC
(6,9),-2.15468 # DEPENDENCYPART_ARC
(6,10),-1.79928 # DEPENDENCYPART_ARC
(6,11),-3.19128 # DEPENDENCYPART_ARC
(6,12),-2.18722 # DEPENDENCYPART_ARC
(6,13),-2.60097 # DEPENDENCYPART_ARC
(6,14),-2.61837 # DEPENDENCYPART_ARC
(6,15),-2.26143 # DEPENDENCYPART_ARC
(6,16),-2.94948 # DEPENDENCYPART_ARC
(6,17),-3.86484 # DEPENDENCYPART_ARC
(6,18),-2.66596 # DEPENDENCYPART_ARC
(7,1),-1.27132 # DEPENDENCYPART_ARC
(7,2),0.0783823 # DEPENDENCYPART_ARC
(7,3),-0.422249 # DEPENDENCYPART_ARC
(7,4),-0.634653 # DEPENDENCYPART_ARC
(7,5),0.804484 # DEPENDENCYPART_ARC
(7,6),4.72674 # DEPENDENCYPART_ARC
(7,8),0.658306 # DEPENDENCYPART_ARC
(7,9),0.0137029 # DEPENDENCYPART_ARC
(7,10),0.155347 # DEPENDENCYPART_ARC
(7,11),-0.562822 # DEPENDENCYPART_ARC
(7,12),-0.480386 # DEPENDENCYPART_ARC
(7,13),-0.494852 # DEPENDENCYPART_ARC
(7,14),0.300508 # DEPENDENCYPART_ARC
(7,15),0.475375 # DEPENDENCYPART_ARC
(7,16),-0.898301 # DEPENDENCYPART_ARC
(7,17),-1.23792 # DEPENDENCYPART_ARC
(7,18),0.321136 # DEPENDENCYPART_ARC
(8,1),-1.48016 # DEPENDENCYPART_ARC
(8,2),-0.818672 # DEPENDENCYPART_ARC
(8,3),-1.76812 # DEPENDENCYPART_ARC
(8,4),-2.01591 # DEPENDENCYPART_ARC
(8,5),-1.07765 # DEPENDENCYPART_ARC
(8,6),-0.630812 # DEPENDENCYPART_ARC
(8,7),-0.851937 # DEPENDENCYPART_ARC
(8,9),-0.0818679 # DEPENDENCYPART_ARC
(8,10),-0.195306 # DEPENDENCYPART_ARC
(8,11),-1.04592 # DEPENDENCYPART_ARC
(8,12),-1.32579 # DEPENDENCYPART_ARC
(8,13),-1.33264 # DEPENDENCYPART_ARC
(8,14),0.668791 # DEPENDENCYPART_ARC
(8,15),-0.741155 # DEPENDENCYPART_ARC
(8,16),-1.71659 # DEPENDENCYPART_ARC
(8,17),-1.38105 # DEPENDENCYPART_ARC
(8,18),-1.33451 # DEPENDENCYPART_ARC
(9,1),-2.06726 # DEPENDENCYPART_ARC
(9,2),-1.15187 # DEPENDENCYPART_ARC
(9,3),-1.7942 # DEPENDENCYPART_ARC
(9,4),-1.7591 # DEPENDENCYPART_ARC
(9,5),-1.02072 # DEPENDENCYPART_ARC
(9,6),-0.0400972 # DEPENDENCYPART_ARC
(9,7),-1.19925 # DEPENDENCYPART_ARC
(9,8),0.899209 # DEPENDENCYPART_ARC
(9,10),0.675675 # DEPENDENCYPART_ARC
(9,11),-0.0943977 # DEPENDENCYPART_ARC
(9,12),0.0184661 # DEPENDENCYPART_ARC
(9,13),-0.630583 # DEPENDENCYPART_ARC
(9,14),0.228912 # DEPENDENCYPART_ARC
(9,15),-0.453227 # DEPENDENCYPART_ARC
(9,16),-0.728184 # DEPENDENCYPART_ARC
(9,17),-0.871702 # DEPENDENCYPART_ARC
(9,18),-0.723999 # DEPENDENCYPART_ARC
(10,1),1.10411 # DEPENDENCYPART_ARC
(10,2),1.72746 # DEPENDENCYPART_ARC
(10,3),1.33509 # DEPENDENCYPART_ARC
(10,4),1.16742 # DEPENDENCYPART_ARC
(10,5),1.5946 # DEPENDENCYPART_ARC
(10,6),0.491687 # DEPENDENCYPART_ARC
(10,7),1.16906 # DEPENDENCYPART_ARC
(10,8),2.92116 # DEPENDENCYPART_ARC
(10,9),3.84551 # DEPENDENCYPART_ARC
(10,11),2.07779 # DEPENDENCYPART_ARC
(10,12),2.49041 # DEPENDENCYPART_ARC
(10,13),1.7769 # DEPENDENCYPART_ARC
(10,14),2.39161 # DEPENDENCYPART_ARC
(10,15),0.86521 # DEPENDENCYPART_ARC
(10,16),0.348979 # DEPENDENCYPART_ARC
(10,17),1.03597 # DEPENDENCYPART_ARC
(10,18),2.20261 # DEPENDENCYPART_ARC
(11,1),-2.1985 # DEPENDENCYPART_ARC
(11,2),-1.12686 # DEPENDENCYPART_ARC
(11,3),-1.55112 # DEPENDENCYPART_ARC
(11,4),-1.76206 # DEPENDENCYPART_ARC
(11,5),-0.81016 # DEPENDENCYPART_ARC
(11,6),-0.462598 # DEPENDENCYPART_ARC
(11,7),-1.32048 # DEPENDENCYPART_ARC
(11,8),-0.53818 # DEPENDENCYPART_ARC
(11,9),0.137012 # DEPENDENCYPART_ARC
(11,10),-0.203706 # DEPENDENCYPART_ARC
(11,12),1.00902 # DEPENDENCYPART_ARC
(11,13),0.0940507 # DEPENDENCYPART_ARC
(11,14),0.00225743 # DEPENDENCYPART_ARC
(11,15),-0.0378963 # DEPENDENCYPART_ARC
(11,16),-0.591042 # DEPENDENCYPART_ARC
(11,17),-0.321145 # DEPENDENCYPART_ARC
(11,18),-0.251851 # DEPENDENCYPART_ARC
(12,1),-1.7463 # DEPENDENCYPART_ARC
(12,2),-1.19813 # DEPENDENCYPART_ARC
(12,3),-1.4856 # DEPENDENCYPART_ARC
(12,4),-1.71987 # DEPENDENCYPART_ARC
(12,5),0.366799 # DEPENDENCYPART_ARC
(12,6),0.611321 # DEPENDENCYPART_ARC
(12,7),-1.02059 # DEPENDENCYPART_ARC
(12,8),0.212744 # DEPENDENCYPART_ARC
(12,9),0.223886 # DEPENDENCYPART_ARC
(12,10),-0.118685 # DEPENDENCYPART_ARC
(12,11),3.69983 # DEPENDENCYPART_ARC
(12,13),1.43451 # DEPENDENCYPART_ARC
(12,14),0.801709 # DEPENDENCYPART_ARC
(12,15),1.31035 # DEPENDENCYPART_ARC
(12,16),0.0556467 # DEPENDENCYPART_ARC
(12,17),0.325068 # DEPENDENCYPART_ARC
(12,18),0.681271 # DEPENDENCYPART_ARC
(13,1),-1.4165 # DEPENDENCYPART_ARC
(13,2),-0.541862 # DEPENDENCYPART_ARC
(13,3),-1.48014 # DEPENDENCYPART_ARC
(13,4),-1.34539 # DEPENDENCYPART_ARC
(13,5),-0.846561 # DEPENDENCYPART_ARC
(13,6),-0.0988029 # DEPENDENCYPART_ARC
(13,7),-0.565438 # DEPENDENCYPART_ARC
(13,8),-0.157041 # DEPENDENCYPART_ARC
(13,9),-0.646701 # DEPENDENCYPART_ARC
(13,10),-0.557534 # DEPENDENCYPART_ARC
(13,11),0.889433 # DEPENDENCYPART_ARC
(13,12),1.78848 # DEPENDENCYPART_ARC
(13,14),0.954788 # DEPENDENCYPART_ARC
(13,15),0.531485 # DEPENDENCYPART_ARC
(13,16),0.0391966 # DEPENDENCYPART_ARC
(13,17),0.390794 # DEPENDENCYPART_ARC
(13,18),0.251779 # DEPENDENCYPART_ARC
(14,1),-2.05311 # DEPENDENCYPART_ARC
(14,2),-1.58424 # DEPENDENCYPART_ARC
(14,3),-2.39749 # DEPENDENCYPART_ARC
(14,4),-2.5933 # DEPENDENCYPART_ARC
(14,5),-1.91336 # DEPENDENCYPART_ARC
(14,6),-1.51577 # DEPENDENCYPART_ARC
(14,7),-1.74016 # DEPENDENCYPART_ARC
(14,8),-0.226855 # DEPENDENCYPART_ARC
(14,9),-1.7867 # DEPENDENCYPART_ARC
(14,10),-1.93487 # DEPENDENCYPART_ARC
(14,11),-0.636373 # DEPENDENCYPART_ARC
(14,12),-1.61361 # DEPENDENCYPART_ARC
(14,13),-0.813503 # DEPENDENCYPART_ARC
(14,15),0.394946 # DEPENDENCYPART_ARC
(14,16),-0.731815 # DEPENDENCYPART_ARC
(14,17),-0.538038 # DEPENDENCYPART_ARC
(14,18),-0.919286 # DEPENDENCYPART_ARC
(15,1),-0.12143 # DEPENDENCYPART_ARC
(15,2),-1.71248 # DEPENDENCYPART_ARC
(15,3),-2.41056 # DEPENDENCYPART_ARC
(15,4),-2.12598 # DEPENDENCYPART_ARC
(15,5),-1.89447 # DEPENDENCYPART_ARC
(15,6),-1.10256 # DEPENDENCYPART_ARC
(15,7),-2.22394 # DEPENDENCYPART_ARC
(15,8),-1.26101 # DEPENDENCYPART_ARC
(15,9),-1.70123 # DEPENDENCYPART_ARC
(15,10),-1.72616 # DEPENDENCYPART_ARC
(15,11),-0.488727 # DEPENDENCYPART_ARC
(15,12),-1.16365 # DEPENDENCYPART_ARC
(15,13),-0.799646 # DEPENDENCYPART_ARC
(15,14),0.31226 # DEPENDENCYPART_ARC
(15,16),-0.00289257 # DEPENDENCYPART_ARC
(15,17),-0.0271873 # DEPENDENCYPART_ARC
(15,18),-0.487627 # DEPENDENCYPART_ARC
(16,1),-2.5002 # DEPENDENCYPART_ARC
(16,2),-1.81185 # DEPENDENCYPART_ARC
(16,3),-2.37908 # DEPENDENCYPART_ARC
(16,4),-2.13095 # DEPENDENCYPART_ARC
(16,5),-1.84189 # DEPENDENCYPART_ARC
(16,6),-1.1503 # DEPENDENCYPART_ARC
(16,7),-2.41733 # DEPENDENCYPART_ARC
(16,8),-0.53389 # DEPENDENCYPART_ARC
(16,9),-1.71421 # DEPENDENCYPART_ARC
(16,10),-1.50401 # DEPENDENCYPART_ARC
(16,11),-0.457047 # DEPENDENCYPART_ARC
(16,12),-1.46427 # DEPENDENCYPART_ARC
(16,13),-0.980198 # DEPENDENCYPART_ARC
(16,14),0.535748 # DEPENDENCYPART_ARC
(16,15),-0.159156 # DEPENDENCYPART_ARC
(16,17),0.799138 # DEPENDENCYPART_ARC
(16,18),-0.327455 # DEPENDENCYPART_ARC
(17,1),2.43614 # DEPENDENCYPART_ARC
(17,2),0.765017 # DEPENDENCYPART_ARC
(17,3),-0.55631 # DEPENDENCYPART_ARC
(17,4),0.653939 # DEPENDENCYPART_ARC
(17,5),-0.14975 # DEPENDENCYPART_ARC
(17,6),-1.34163 # DEPENDENCYPART_ARC
(17,7),-0.989161 # DEPENDENCYPART_ARC
(17,8),2.16723 # DEPENDENCYPART_ARC
(17,9),0.291701 # DEPENDENCYPART_ARC
(17,10),0.655388 # DEPENDENCYPART_ARC
(17,11),0.241317 # DEPENDENCYPART_ARC
(17,12),0.341957 # DEPENDENCYPART_ARC
(17,13),0.304039 # DEPENDENCYPART_ARC
(17,14),3.51707 # DEPENDENCYPART_ARC
(17,15),3.14107 # DEPENDENCYPART_ARC
(17,16),4.40883 # DEPENDENCYPART_ARC
(17,18),5.20876 # DEPENDENCYPART_ARC
(18,1),-2.33862 # DEPENDENCYPART_ARC
(18,2),-2.03919 # DEPENDENCYPART_ARC
(18,3),-1.79645 # DEPENDENCYPART_ARC
(18,4),-1.73979 # DEPENDENCYPART_ARC
(18,5),-2.58655 # DEPENDENCYPART_ARC
(18,6),-1.95074 # DEPENDENCYPART_ARC
(18,7),-2.20416 # DEPENDENCYPART_ARC
(18,8),-0.733234 # DEPENDENCYPART_ARC
(18,9),-1.46808 # DEPENDENCYPART_ARC
(18,10),-1.56581 # DEPENDENCYPART_ARC
(18,11),-1.24683 # DEPENDENCYPART_ARC
(18,12),-1.70145 # DEPENDENCYPART_ARC
(18,13),-1.54226 # DEPENDENCYPART_ARC
(18,14),-0.418456 # DEPENDENCYPART_ARC
(18,15),-1.05246 # DEPENDENCYPART_ARC
(18,16),-0.848739 # DEPENDENCYPART_ARC
(18,17),-0.924848 # DEPENDENCYPART_ARC
