# _root_ Seconds later , a 7,500-share `` sell '' order for Scottish & Newcastle came in .
#goldHeads=2,14,14,9,9,9,9,9,14,9,10,11,12,0,14,14,
#predictedHeads=2,9,14,9,9,9,9,9,14,9,10,11,12,0,14,14,
(0,1),-6.26513 # DEPENDENCYPART_ARC
(0,2),-5.90791 # DEPENDENCYPART_ARC
(0,3),-6.7039 # DEPENDENCYPART_ARC
(0,4),-7.47818 # DEPENDENCYPART_ARC
(0,5),-7.01624 # DEPENDENCYPART_ARC
(0,6),-7.3693 # DEPENDENCYPART_ARC
(0,7),-7.20311 # DEPENDENCYPART_ARC
(0,8),-6.88985 # DEPENDENCYPART_ARC
(0,9),-7.12136 # DEPENDENCYPART_ARC
(0,10),-7.20681 # DEPENDENCYPART_ARC
(0,11),-7.33224 # DEPENDENCYPART_ARC
(0,12),-8.25372 # DEPENDENCYPART_ARC
(0,13),-6.94042 # DEPENDENCYPART_ARC
(0,14),-3.18594 # DEPENDENCYPART_ARC
(0,15),-7.92738 # DEPENDENCYPART_ARC
(0,16),-6.7086 # DEPENDENCYPART_ARC
(1,2),0.6854 # DEPENDENCYPART_ARC
(1,3),0.377591 # DEPENDENCYPART_ARC
(1,4),0.385857 # DEPENDENCYPART_ARC
(1,5),0.35447 # DEPENDENCYPART_ARC
(1,6),0.499116 # DEPENDENCYPART_ARC
(1,7),0.0940863 # DEPENDENCYPART_ARC
(1,8),1.04158 # DEPENDENCYPART_ARC
(1,9),-0.315343 # DEPENDENCYPART_ARC
(1,10),-0.0325447 # DEPENDENCYPART_ARC
(1,11),-0.318314 # DEPENDENCYPART_ARC
(1,12),-0.630579 # DEPENDENCYPART_ARC
(1,13),-0.646032 # DEPENDENCYPART_ARC
(1,14),0.0224157 # DEPENDENCYPART_ARC
(1,15),-1.48225 # DEPENDENCYPART_ARC
(1,16),1.62406 # DEPENDENCYPART_ARC
(2,1),2.43635 # DEPENDENCYPART_ARC
(2,3),1.73549 # DEPENDENCYPART_ARC
(2,4),0.820434 # DEPENDENCYPART_ARC
(2,5),0.836355 # DEPENDENCYPART_ARC
(2,6),0.548678 # DEPENDENCYPART_ARC
(2,7),0.372239 # DEPENDENCYPART_ARC
(2,8),0.852571 # DEPENDENCYPART_ARC
(2,9),-0.0725971 # DEPENDENCYPART_ARC
(2,10),0.487972 # DEPENDENCYPART_ARC
(2,11),0.0745514 # DEPENDENCYPART_ARC
(2,12),0.720036 # DEPENDENCYPART_ARC
(2,13),-0.0220333 # DEPENDENCYPART_ARC
