# _root_ While profitable , it `` was n't growing and was n't providing a satisfactory return on invested capital , '' he says .
#goldHeads=6,1,6,6,6,22,6,6,6,9,10,10,15,15,12,15,18,16,6,6,22,0,22,
#predictedHeads=6,1,6,6,6,22,6,6,6,9,10,10,15,15,12,15,18,16,22,22,22,0,22,
(0,1),-6.61834 # DEPENDENCYPART_ARC
(0,2),-6.7143 # DEPENDENCYPART_ARC
(0,3),-6.90438 # DEPENDENCYPART_ARC
(0,4),-6.13107 # DEPENDENCYPART_ARC
(0,5),-7.73017 # DEPENDENCYPART_ARC
(0,6),-4.16055 # DEPENDENCYPART_ARC
(0,7),-7.37345 # DEPENDENCYPART_ARC
(0,8),-7.03873 # DEPENDENCYPART_ARC
(0,9),-8.29161 # DEPENDENCYPART_ARC
(0,10),-5.28062 # DEPENDENCYPART_ARC
(0,11),-7.52258 # DEPENDENCYPART_ARC
(0,12),-7.39546 # DEPENDENCYPART_ARC
(0,13),-8.21621 # DEPENDENCYPART_ARC
(0,14),-8.18762 # DEPENDENCYPART_ARC
(0,15),-8.01022 # DEPENDENCYPART_ARC
(0,16),-7.75744 # DEPENDENCYPART_ARC
(0,17),-6.00215 # DEPENDENCYPART_ARC
(0,18),-7.77251 # DEPENDENCYPART_ARC
(0,19),-8.94548 # DEPENDENCYPART_ARC
(0,20),-7.91624 # DEPENDENCYPART_ARC
(0,21),-5.50417 # DEPENDENCYPART_ARC
(0,22),0.0365071 # DEPENDENCYPART_ARC
(0,23),-5.70877 # DEPENDENCYPART_ARC
(1,2),2.12532 # DEPENDENCYPART_ARC
(1,3),1.04584 # DEPENDENCYPART_ARC
(1,4),0.0496481 # DEPENDENCYPART_ARC
(1,5),0.617499 # DEPENDENCYPART_ARC
(1,6),3.34286 # DEPENDENCYPART_ARC
(1,7),-0.125722 # DEPENDENCYPART_ARC
(1,8),0.153136 # DEPENDENCYPART_ARC
(1,9),-0.320148 # DEPENDENCYPART_ARC
(1,10),0.916149 # DEPENDENCYPART_ARC
(1,11),-0.518901 # DEPENDENCYPART_ARC
(1,12),0.0235305 # DEPENDENCYPART_ARC
(1,13),-2.49802 # DEPENDENCYPART_ARC
(1,14),-1.39315 # DEPENDENCYPART_ARC
(1,15),-4.07497 # DEPENDENCYPART_ARC
(1,16),-1.04909 # DEPENDENCYPART_ARC
(1,17),-0.587824 # DEPENDENCYPART_ARC
(1,18),-4.90187 # DEPENDENCYPART_ARC
(1,19),-0.104103 # DEPENDENCYPART_ARC
(1,20),0.539073 # DEPENDENCYPART_ARC
(1,21),-3.07542 # DEPENDENCYPART_ARC
(1,22),-2.02644 # DEPENDENCYPART_ARC
(1,23),2.46339 # DEPENDENCYPART_ARC
(2,1),1.08549 # DEPENDENCYPART_ARC
(2,3),1.24354 # DEPENDENCYPART_ARC
