# _root_ Burmah Oil PLC , a British independent oil and specialty chemicals marketing concern , said SHV Holdings N.V. of the Netherlands has built up a 6.7 % stake in the company .
#goldHeads=3,3,15,3,8,8,8,3,8,13,13,13,9,3,0,17,22,17,17,21,19,15,22,23,28,27,28,23,28,31,29,15,
#predictedHeads=3,3,15,3,8,8,8,3,8,13,13,13,9,3,0,17,22,17,17,21,19,15,22,23,28,27,28,23,28,31,29,15,
(0,1),-6.09754 # DEPENDENCYPART_ARC
(0,2),-6.0171 # DEPENDENCYPART_ARC
(0,3),-6.89349 # DEPENDENCYPART_ARC
(0,4),-7.06382 # DEPENDENCYPART_ARC
(0,5),-7.60869 # DEPENDENCYPART_ARC
(0,6),-7.74627 # DEPENDENCYPART_ARC
(0,7),-6.44629 # DEPENDENCYPART_ARC
(0,8),-8.25672 # DEPENDENCYPART_ARC
(0,9),-8.22226 # DEPENDENCYPART_ARC
(0,10),-8.1592 # DEPENDENCYPART_ARC
(0,11),-6.48761 # DEPENDENCYPART_ARC
(0,12),-7.84406 # DEPENDENCYPART_ARC
(0,13),-7.9514 # DEPENDENCYPART_ARC
(0,14),-8.41147 # DEPENDENCYPART_ARC
(0,15),0.410577 # DEPENDENCYPART_ARC
(0,16),-8.59706 # DEPENDENCYPART_ARC
(0,17),-8.195 # DEPENDENCYPART_ARC
(0,18),-10.0944 # DEPENDENCYPART_ARC
(0,19),-10.9589 # DEPENDENCYPART_ARC
(0,20),-9.49148 # DEPENDENCYPART_ARC
(0,21),-9.53281 # DEPENDENCYPART_ARC
(0,22),-3.32278 # DEPENDENCYPART_ARC
(0,23),-5.02167 # DEPENDENCYPART_ARC
(0,24),-8.43045 # DEPENDENCYPART_ARC
(0,25),-9.5273 # DEPENDENCYPART_ARC
(0,26),-10.132 # DEPENDENCYPART_ARC
(0,27),-10.6737 # DEPENDENCYPART_ARC
(0,28),-10.2504 # DEPENDENCYPART_ARC
(0,29),-13.0974 # DEPENDENCYPART_ARC
(0,30),-10.7562 # DEPENDENCYPART_ARC
(0,31),-9.20269 # DEPENDENCYPART_ARC
(0,32),-6.17885 # DEPENDENCYPART_ARC
(1,2),0.429444 # DEPENDENCYPART_ARC
(1,3),0.832121 # DEPENDENCYPART_ARC
(1,4),1.43642 # DEPENDENCYPART_ARC
(1,5),-1.19011 # DEPENDENCYPART_ARC
(1,6),-1.20263 # DEPENDENCYPART_ARC
(1,7),-1.19633 # DEPENDENCYPART_ARC
(1,8),0.525488 # DEPENDENCYPART_ARC
(1,9),-1.36298 # DEPENDENCYPART_ARC
(1,10),-1.08434 # DEPENDENCYPART_ARC
(1,11),-1.3197 # DEPENDENCYPART_ARC
(1,12),-1.97777 # DEPENDENCYPART_ARC
(1,13),-1.43685 # DEPENDENCYPART_ARC
(1,14),1.4041 # DEPENDENCYPART_ARC
(1,15),-2.52218 # DEPENDENCYPART_ARC
(1,16),-3.53829 # DEPENDENCYPART_ARC
(1,17),-3.6314 # DEPENDENCYPART_ARC
(1,18),-2.88487 # DEPENDENCYPART_ARC
(1,19),-2.73846 # DEPENDENCYPART_ARC
(1,20),-2.12677 # DEPENDENCYPART_ARC
(1,21),-3.64938 # DEPENDENCYPART_ARC
(1,22),-4.32912 # DEPENDENCYPART_ARC
(1,23),-3.239 # DEPENDENCYPART_ARC
(1,24),-3.33864 # DEPENDENCYPART_ARC
(1,25),-2.68474 # DEPENDENCYPART_ARC
(1,26),-4.44148 # DEPENDENCYPART_ARC
(1,27),-6.1123 # DEPENDENCYPART_ARC
(1,28),-6.34413 # DEPENDENCYPART_ARC
(1,29),-5.25897 # DEPENDENCYPART_ARC
(1,30),-3.03465 # DEPENDENCYPART_ARC
(1,31),-5.52009 # DEPENDENCYPART_ARC
(1,32),-0.948487 # DEPENDENCYPART_ARC
(2,1),2.61333 # DEPENDENCYPART_ARC
(2,3),2.019 # DEPENDENCYPART_ARC
(2,4),2.25659 # DEPENDENCYPART_ARC
(2,5),-0.490639 # DEPENDENCYPART_ARC
(2,6),-0.487332 # DEPENDENCYPART_ARC
(2,7),-0.379307 # DEPENDENCYPART_ARC
(2,8),1.34606 # DEPENDENCYPART_ARC
(2,9),-0.96737 # DEPENDENCYPART_ARC
(2,10),-0.352053 # DEPENDENCYPART_ARC
(2,11),-0.603603 # DEPENDENCYPART_ARC
(2,12),-0.85874 # DEPENDENCYPART_ARC
(2,13),-0.261455 # DEPENDENCYPART_ARC
(2,14),1.72792 # DEPENDENCYPART_ARC
(2,15),-1.88531 # DEPENDENCYPART_ARC
(2,16),-2.66901 # DEPENDENCYPART_ARC
(2,17),-2.22715 # DEPENDENCYPART_ARC
(2,18),-1.48666 # DEPENDENCYPART_ARC
(2,19),-3.66808 # DEPENDENCYPART_ARC
(2,20),-1.5373 # DEPENDENCYPART_ARC
(2,21),-2.7931 # DEPENDENCYPART_ARC
(2,22),-3.21711 # DEPENDENCYPART_ARC
(2,23),-2.03838 # DEPENDENCYPART_ARC
(2,24),-2.62131 # DEPENDENCYPART_ARC
(2,25),-2.11298 # DEPENDENCYPART_ARC
(2,26),-3.88577 # DEPENDENCYPART_ARC
(2,27),-5.23018 # DEPENDENCYPART_ARC
(2,28),-5.11246 # DEPENDENCYPART_ARC
(2,29),-5.88211 # DEPENDENCYPART_ARC
(2,30),-2.46518 # DEPENDENCYPART_ARC
(2,31),-4.8984 # DEPENDENCYPART_ARC
(2,32),-0.152515 # DEPENDENCYPART_ARC
(3,1),4.35725 # DEPENDENCYPART_ARC
(3,2),4.67855 # DEPENDENCYPART_ARC
(3,4),3.58915 # DEPENDENCYPART_ARC
(3,5),0.714036 # DEPENDENCYPART_ARC
(3,6),1.00325 # DEPENDENCYPART_ARC
(3,7),0.902841 # DEPENDENCYPART_ARC
(3,8),2.58797 # DEPENDENCYPART_ARC
(3,9),0.690179 # DEPENDENCYPART_ARC
(3,10),0.651875 # DEPENDENCYPART_ARC
(3,11),0.649781 # DEPENDENCYPART_ARC
(3,12),0.0100216 # DEPENDENCYPART_ARC
(3,13),1.0344 # DEPENDENCYPART_ARC
(3,14),4.17715 # DEPENDENCYPART_ARC
(3,15),-0.314789 # DEPENDENCYPART_ARC
(3,16),-1.99759 # DEPENDENCYPART_ARC
(3,17),-1.83752 # DEPENDENCYPART_ARC
(3,18),-1.13868 # DEPENDENCYPART_ARC
(3,19),-0.730811 # DEPENDENCYPART_ARC
(3,20),-0.467554 # DEPENDENCYPART_ARC
(3,21),-2.20422 # DEPENDENCYPART_ARC
(3,22),-1.662 # DEPENDENCYPART_ARC
(3,23),-1.09824 # DEPENDENCYPART_ARC
(3,24),-1.40895 # DEPENDENCYPART_ARC
(3,25),-1.06334 # DEPENDENCYPART_ARC
(3,26),-2.85969 # DEPENDENCYPART_ARC
(3,27),-4.32269 # DEPENDENCYPART_ARC
(3,28),-3.83934 # DEPENDENCYPART_ARC
(3,29),-3.00754 # DEPENDENCYPART_ARC
(3,30),-1.49051 # DEPENDENCYPART_ARC
(3,31),-3.89225 # DEPENDENCYPART_ARC
(3,32),0.765082 # DEPENDENCYPART_ARC
(4,1),-1.69749 # DEPENDENCYPART_ARC
(4,2),-1.83423 # DEPENDENCYPART_ARC
(4,3),-1.2432 # DEPENDENCYPART_ARC
(4,5),-0.39322 # DEPENDENCYPART_ARC
(4,6),-0.67705 # DEPENDENCYPART_ARC
(4,7),-1.17083 # DEPENDENCYPART_ARC
(4,8),-1.77609 # DEPENDENCYPART_ARC
(4,9),-1.47448 # DEPENDENCYPART_ARC
(4,10),-2.16057 # DEPENDENCYPART_ARC
(4,11),-2.12257 # DEPENDENCYPART_ARC
(4,12),-2.41468 # DEPENDENCYPART_ARC
(4,13),-2.49038 # DEPENDENCYPART_ARC
(4,14),-0.964306 # DEPENDENCYPART_ARC
(4,15),-1.79086 # DEPENDENCYPART_ARC
(4,16),-2.50266 # DEPENDENCYPART_ARC
(4,17),-2.58999 # DEPENDENCYPART_ARC
(4,18),-2.72423 # DEPENDENCYPART_ARC
(4,19),-2.1131 # DEPENDENCYPART_ARC
(4,20),-2.86868 # DEPENDENCYPART_ARC
(4,21),-3.01096 # DEPENDENCYPART_ARC
(4,22),-2.57796 # DEPENDENCYPART_ARC
(4,23),-2.94438 # DEPENDENCYPART_ARC
(4,24),-3.1496 # DEPENDENCYPART_ARC
(4,25),-3.29793 # DEPENDENCYPART_ARC
(4,26),-3.72887 # DEPENDENCYPART_ARC
(4,27),-3.99704 # DEPENDENCYPART_ARC
(4,28),-4.21973 # DEPENDENCYPART_ARC
(4,29),-3.16864 # DEPENDENCYPART_ARC
(4,30),-3.94143 # DEPENDENCYPART_ARC
(4,31),-4.64342 # DEPENDENCYPART_ARC
(4,32),-3.45259 # DEPENDENCYPART_ARC
(5,1),-1.21016 # DEPENDENCYPART_ARC
(5,2),-0.954047 # DEPENDENCYPART_ARC
(5,3),-0.920107 # DEPENDENCYPART_ARC
(5,4),-0.0163597 # DEPENDENCYPART_ARC
(5,6),0.731976 # DEPENDENCYPART_ARC
(5,7),0.37288 # DEPENDENCYPART_ARC
(5,8),0.229482 # DEPENDENCYPART_ARC
(5,9),0.218073 # DEPENDENCYPART_ARC
(5,10),-0.181106 # DEPENDENCYPART_ARC
(5,11),-0.608501 # DEPENDENCYPART_ARC
(5,12),-0.517677 # DEPENDENCYPART_ARC
(5,13),-0.601623 # DEPENDENCYPART_ARC
(5,14),-0.236237 # DEPENDENCYPART_ARC
(5,15),-0.744114 # DEPENDENCYPART_ARC
(5,16),-1.23712 # DEPENDENCYPART_ARC
(5,17),-1.23566 # DEPENDENCYPART_ARC
(5,18),-1.22379 # DEPENDENCYPART_ARC
(5,19),-1.55827 # DEPENDENCYPART_ARC
(5,20),-2.25436 # DEPENDENCYPART_ARC
(5,21),-1.54391 # DEPENDENCYPART_ARC
(5,22),-2.2511 # DEPENDENCYPART_ARC
(5,23),-1.81806 # DEPENDENCYPART_ARC
(5,24),-2.04439 # DEPENDENCYPART_ARC
(5,25),-2.76593 # DEPENDENCYPART_ARC
(5,26),-2.37658 # DEPENDENCYPART_ARC
(5,27),-2.30081 # DEPENDENCYPART_ARC
(5,28),-2.31096 # DEPENDENCYPART_ARC
(5,29),-3.79001 # DEPENDENCYPART_ARC
(5,30),-3.30749 # DEPENDENCYPART_ARC
(5,31),-2.82092 # DEPENDENCYPART_ARC
(5,32),-1.42696 # DEPENDENCYPART_ARC
(6,1),-0.975191 # DEPENDENCYPART_ARC
(6,2),-0.773195 # DEPENDENCYPART_ARC
(6,3),-0.942395 # DEPENDENCYPART_ARC
(6,4),0.197065 # DEPENDENCYPART_ARC
(6,5),1.89059 # DEPENDENCYPART_ARC
(6,7),1.54312 # DEPENDENCYPART_ARC
(6,8),1.09277 # DEPENDENCYPART_ARC
(6,9),0.135717 # DEPENDENCYPART_ARC
(6,10),-0.765205 # DEPENDENCYPART_ARC
(6,11),-0.391557 # DEPENDENCYPART_ARC
(6,12),-1.37738 # DEPENDENCYPART_ARC
(6,13),-1.51187 # DEPENDENCYPART_ARC
(6,14),0.357602 # DEPENDENCYPART_ARC
(6,15),-1.16244 # DEPENDENCYPART_ARC
(6,16),-2.60992 # DEPENDENCYPART_ARC
(6,17),-2.5491 # DEPENDENCYPART_ARC
(6,18),-2.0188 # DEPENDENCYPART_ARC
(6,19),-0.791045 # DEPENDENCYPART_ARC
(6,20),-1.12527 # DEPENDENCYPART_ARC
(6,21),-2.87543 # DEPENDENCYPART_ARC
(6,22),-2.59421 # DEPENDENCYPART_ARC
(6,23),-1.83995 # DEPENDENCYPART_ARC
(6,24),-2.30384 # DEPENDENCYPART_ARC
(6,25),-1.68188 # DEPENDENCYPART_ARC
(6,26),-3.14461 # DEPENDENCYPART_ARC
(6,27),-5.31156 # DEPENDENCYPART_ARC
(6,28),-6.0792 # DEPENDENCYPART_ARC
(6,29),-2.7977 # DEPENDENCYPART_ARC
(6,30),-2.05031 # DEPENDENCYPART_ARC
(6,31),-6.01079 # DEPENDENCYPART_ARC
(6,32),-0.469542 # DEPENDENCYPART_ARC
(7,1),-0.116104 # DEPENDENCYPART_ARC
(7,2),-0.190881 # DEPENDENCYPART_ARC
(7,3),-0.515217 # DEPENDENCYPART_ARC
(7,4),0.0562377 # DEPENDENCYPART_ARC
(7,5),1.15532 # DEPENDENCYPART_ARC
(7,6),2.10014 # DEPENDENCYPART_ARC
(7,8),1.09975 # DEPENDENCYPART_ARC
(7,9),0.577373 # DEPENDENCYPART_ARC
(7,10),-0.563618 # DEPENDENCYPART_ARC
(7,11),-0.332486 # DEPENDENCYPART_ARC
(7,12),-0.931674 # DEPENDENCYPART_ARC
(7,13),-1.44038 # DEPENDENCYPART_ARC
(7,14),-0.485388 # DEPENDENCYPART_ARC
(7,15),-0.933551 # DEPENDENCYPART_ARC
(7,16),-1.54199 # DEPENDENCYPART_ARC
(7,17),-1.54928 # DEPENDENCYPART_ARC
(7,18),-1.64985 # DEPENDENCYPART_ARC
(7,19),-2.51477 # DEPENDENCYPART_ARC
(7,20),-2.72524 # DEPENDENCYPART_ARC
(7,21),-2.05475 # DEPENDENCYPART_ARC
(7,22),-1.39543 # DEPENDENCYPART_ARC
(7,23),-1.67404 # DEPENDENCYPART_ARC
(7,24),-2.05082 # DEPENDENCYPART_ARC
(7,25),-2.97871 # DEPENDENCYPART_ARC
(7,26),-3.89985 # DEPENDENCYPART_ARC
(7,27),-2.74807 # DEPENDENCYPART_ARC
(7,28),-3.00896 # DEPENDENCYPART_ARC
(7,29),-3.58955 # DEPENDENCYPART_ARC
(7,30),-3.74239 # DEPENDENCYPART_ARC
(7,31),-3.57224 # DEPENDENCYPART_ARC
(7,32),-0.889834 # DEPENDENCYPART_ARC
(8,1),0.191321 # DEPENDENCYPART_ARC
(8,2),0.420365 # DEPENDENCYPART_ARC
(8,3),-0.228592 # DEPENDENCYPART_ARC
(8,4),0.339258 # DEPENDENCYPART_ARC
(8,5),4.26312 # DEPENDENCYPART_ARC
(8,6),3.47463 # DEPENDENCYPART_ARC
(8,7),4.27033 # DEPENDENCYPART_ARC
(8,9),3.71193 # DEPENDENCYPART_ARC
(8,10),1.18298 # DEPENDENCYPART_ARC
(8,11),0.954513 # DEPENDENCYPART_ARC
(8,12),0.559086 # DEPENDENCYPART_ARC
(8,13),0.37432 # DEPENDENCYPART_ARC
(8,14),1.71696 # DEPENDENCYPART_ARC
(8,15),1.22035 # DEPENDENCYPART_ARC
(8,16),-0.198418 # DEPENDENCYPART_ARC
(8,17),0.363104 # DEPENDENCYPART_ARC
(8,18),0.318528 # DEPENDENCYPART_ARC
(8,19),-1.00378 # DEPENDENCYPART_ARC
(8,20),-0.658417 # DEPENDENCYPART_ARC
(8,21),-0.896573 # DEPENDENCYPART_ARC
(8,22),-0.101434 # DEPENDENCYPART_ARC
(8,23),0.415967 # DEPENDENCYPART_ARC
(8,24),-0.849073 # DEPENDENCYPART_ARC
(8,25),-1.11136 # DEPENDENCYPART_ARC
(8,26),-1.26205 # DEPENDENCYPART_ARC
(8,27),-2.95541 # DEPENDENCYPART_ARC
(8,28),-1.30652 # DEPENDENCYPART_ARC
(8,29),-3.17715 # DEPENDENCYPART_ARC
(8,30),-1.6092 # DEPENDENCYPART_ARC
(8,31),-2.78095 # DEPENDENCYPART_ARC
(8,32),0.684035 # DEPENDENCYPART_ARC
(9,1),-0.800801 # DEPENDENCYPART_ARC
(9,2),-0.721548 # DEPENDENCYPART_ARC
(9,3),-0.557089 # DEPENDENCYPART_ARC
(9,4),-1.30531 # DEPENDENCYPART_ARC
(9,5),-0.555946 # DEPENDENCYPART_ARC
(9,6),-0.100553 # DEPENDENCYPART_ARC
(9,7),-0.678999 # DEPENDENCYPART_ARC
(9,8),0.198509 # DEPENDENCYPART_ARC
(9,10),2.48051 # DEPENDENCYPART_ARC
(9,11),2.56522 # DEPENDENCYPART_ARC
(9,12),1.46472 # DEPENDENCYPART_ARC
(9,13),2.77174 # DEPENDENCYPART_ARC
(9,14),0.795217 # DEPENDENCYPART_ARC
(9,15),0.705257 # DEPENDENCYPART_ARC
(9,16),-1.25028 # DEPENDENCYPART_ARC
(9,17),-0.364816 # DEPENDENCYPART_ARC
(9,18),-1.02923 # DEPENDENCYPART_ARC
(9,19),-1.29003 # DEPENDENCYPART_ARC
(9,20),-2.3124 # DEPENDENCYPART_ARC
(9,21),-1.88178 # DEPENDENCYPART_ARC
(9,22),-0.370991 # DEPENDENCYPART_ARC
(9,23),-0.405519 # DEPENDENCYPART_ARC
(9,24),-1.45196 # DEPENDENCYPART_ARC
(9,25),-2.34013 # DEPENDENCYPART_ARC
(9,26),-2.44377 # DEPENDENCYPART_ARC
(9,27),-4.71216 # DEPENDENCYPART_ARC
(9,28),-2.82783 # DEPENDENCYPART_ARC
(9,29),-2.84485 # DEPENDENCYPART_ARC
(9,30),-3.44801 # DEPENDENCYPART_ARC
(9,31),-5.35482 # DEPENDENCYPART_ARC
(9,32),-0.810612 # DEPENDENCYPART_ARC
(10,1),-3.82905 # DEPENDENCYPART_ARC
(10,2),-3.95007 # DEPENDENCYPART_ARC
(10,3),-4.68223 # DEPENDENCYPART_ARC
(10,4),-3.43677 # DEPENDENCYPART_ARC
(10,5),-0.696008 # DEPENDENCYPART_ARC
(10,6),-0.956114 # DEPENDENCYPART_ARC
(10,7),-0.919457 # DEPENDENCYPART_ARC
(10,8),-1.52467 # DEPENDENCYPART_ARC
(10,9),-1.02596 # DEPENDENCYPART_ARC
(10,11),1.62924 # DEPENDENCYPART_ARC
(10,12),0.0725557 # DEPENDENCYPART_ARC
(10,13),-0.144206 # DEPENDENCYPART_ARC
(10,14),-0.0785724 # DEPENDENCYPART_ARC
(10,15),-0.569078 # DEPENDENCYPART_ARC
(10,16),-1.39617 # DEPENDENCYPART_ARC
(10,17),-1.24863 # DEPENDENCYPART_ARC
(10,18),-1.38822 # DEPENDENCYPART_ARC
(10,19),-1.51763 # DEPENDENCYPART_ARC
(10,20),-2.0074 # DEPENDENCYPART_ARC
(10,21),-2.07463 # DEPENDENCYPART_ARC
(10,22),-2.11066 # DEPENDENCYPART_ARC
(10,23),-1.68099 # DEPENDENCYPART_ARC
(10,24),-2.26432 # DEPENDENCYPART_ARC
(10,25),-2.54484 # DEPENDENCYPART_ARC
(10,26),-2.41637 # DEPENDENCYPART_ARC
(10,27),-3.82122 # DEPENDENCYPART_ARC
(10,28),-2.25577 # DEPENDENCYPART_ARC
(10,29),-3.71803 # DEPENDENCYPART_ARC
(10,30),-2.92387 # DEPENDENCYPART_ARC
(10,31),-3.79254 # DEPENDENCYPART_ARC
(10,32),-1.02661 # DEPENDENCYPART_ARC
(11,1),-0.709095 # DEPENDENCYPART_ARC
(11,2),-0.815336 # DEPENDENCYPART_ARC
